# _root_ Ertesi gün hava _ kararırken , alçak bir sesle " Rapunzel , Rapunzel ! _ Uzat altın _ sarısı saçlarını ! " diye seslenirmiş .
#goldHeads=2,4,4,5,24,0,9,9,24,0,12,13,16,0,16,23,19,19,20,16,0,0,24,25,0,
#predictedHeads=2,4,4,5,16,0,9,9,16,0,12,13,14,0,16,21,19,19,20,24,0,0,24,25,0,
(0,6),1.12798 # DEPENDENCYPART_ARC
(0,10),2.52021 # DEPENDENCYPART_ARC
(0,12),1.01029 # DEPENDENCYPART_ARC
(0,14),2.13056 # DEPENDENCYPART_ARC
(0,21),3.00505 # DEPENDENCYPART_ARC
(0,22),3.9331 # DEPENDENCYPART_ARC
(0,25),2.86541 # DEPENDENCYPART_ARC
(1,2),0.187629 # DEPENDENCYPART_ARC
(1,3),-0.245995 # DEPENDENCYPART_ARC
(2,1),1.80334 # DEPENDENCYPART_ARC
(2,3),-0.297415 # DEPENDENCYPART_ARC
(2,8),-0.690727 # DEPENDENCYPART_ARC
(3,1),0.0664928 # DEPENDENCYPART_ARC
(3,2),1.34219 # DEPENDENCYPART_ARC
(3,7),-0.89673 # DEPENDENCYPART_ARC
(3,8),-0.830298 # DEPENDENCYPART_ARC
(4,1),-0.0294943 # DEPENDENCYPART_ARC
(4,2),2.12623 # DEPENDENCYPART_ARC
(4,3),2.75056 # DEPENDENCYPART_ARC
(4,5),0.686755 # DEPENDENCYPART_ARC
(4,6),-0.844344 # DEPENDENCYPART_ARC
(4,7),-1.09122 # DEPENDENCYPART_ARC
(4,9),-0.602615 # DEPENDENCYPART_ARC
(5,2),1.12357 # DEPENDENCYPART_ARC
(5,3),1.43115 # DEPENDENCYPART_ARC
(5,4),2.7555 # DEPENDENCYPART_ARC
(6,1),-0.180761 # DEPENDENCYPART_ARC
(6,2),0.347976 # DEPENDENCYPART_ARC
(6,3),0.5994 # DEPENDENCYPART_ARC
(6,4),-0.221054 # DEPENDENCYPART_ARC
(6,5),0.223233 # DEPENDENCYPART_ARC
(6,24),-1.27254 # DEPENDENCYPART_ARC
(7,5),-0.53582 # DEPENDENCYPART_ARC
(7,6),0.233081 # DEPENDENCYPART_ARC
(7,20),-1.49607 # DEPENDENCYPART_ARC
(8,7),-0.260826 # DEPENDENCYPART_ARC
(9,1),-0.703496 # DEPENDENCYPART_ARC
(9,2),-0.392361 # DEPENDENCYPART_ARC
(9,3),-0.433613 # DEPENDENCYPART_ARC
(9,4),-0.843203 # DEPENDENCYPART_ARC
(9,5),-0.603377 # DEPENDENCYPART_ARC
(9,6),0.387688 # DEPENDENCYPART_ARC
(9,7),1.71121 # DEPENDENCYPART_ARC
(9,8),2.16079 # DEPENDENCYPART_ARC
(9,10),0.471488 # DEPENDENCYPART_ARC
(9,11),0.030995 # DEPENDENCYPART_ARC
(9,12),-0.116341 # DEPENDENCYPART_ARC
(9,13),-0.360627 # DEPENDENCYPART_ARC
(10,4),-2.33737 # DEPENDENCYPART_ARC
(10,6),-1.21432 # DEPENDENCYPART_ARC
(10,7),-1.16874 # DEPENDENCYPART_ARC
(10,8),-0.934264 # DEPENDENCYPART_ARC
(10,9),-0.440199 # DEPENDENCYPART_ARC
(10,11),-0.00536948 # DEPENDENCYPART_ARC
(10,12),-0.639049 # DEPENDENCYPART_ARC
(10,24),-0.868929 # DEPENDENCYPART_ARC
(11,3),-0.587772 # DEPENDENCYPART_ARC
(11,6),-0.454837 # DEPENDENCYPART_ARC
(11,7),-0.0529992 # DEPENDENCYPART_ARC
(11,9),-0.650378 # DEPENDENCYPART_ARC
(11,10),1.60238 # DEPENDENCYPART_ARC
(11,13),-0.652455 # DEPENDENCYPART_ARC
(12,4),-2.98068 # DEPENDENCYPART_ARC
(12,9),-0.55769 # DEPENDENCYPART_ARC
(12,10),-0.346993 # DEPENDENCYPART_ARC
(12,11),1.2856 # DEPENDENCYPART_ARC
(12,13),0.24069 # DEPENDENCYPART_ARC
(12,14),-0.543111 # DEPENDENCYPART_ARC
(12,24),-0.632472 # DEPENDENCYPART_ARC
(13,10),-0.276873 # DEPENDENCYPART_ARC
(13,11),-0.483682 # DEPENDENCYPART_ARC
(13,12),1.49359 # DEPENDENCYPART_ARC
(14,1),-0.150427 # DEPENDENCYPART_ARC
(14,4),-2.24194 # DEPENDENCYPART_ARC
(14,7),-0.841388 # DEPENDENCYPART_ARC
(14,8),-0.588303 # DEPENDENCYPART_ARC
(14,12),-0.232476 # DEPENDENCYPART_ARC
(14,13),0.997916 # DEPENDENCYPART_ARC
(14,15),-0.475061 # DEPENDENCYPART_ARC
(14,16),-0.500722 # DEPENDENCYPART_ARC
(14,19),-0.847659 # DEPENDENCYPART_ARC
(14,21),-0.750074 # DEPENDENCYPART_ARC
(14,24),-0.577902 # DEPENDENCYPART_ARC
(15,2),-0.30957 # DEPENDENCYPART_ARC
(15,5),-1.16374 # DEPENDENCYPART_ARC
(15,9),-0.317631 # DEPENDENCYPART_ARC
(15,11),-0.677164 # DEPENDENCYPART_ARC
(15,12),-1.05146 # DEPENDENCYPART_ARC
(15,13),-0.0875427 # DEPENDENCYPART_ARC
(15,14),0.546579 # DEPENDENCYPART_ARC
(15,16),0.0134356 # DEPENDENCYPART_ARC
(15,17),0.425646 # DEPENDENCYPART_ARC
(15,18),-0.889702 # DEPENDENCYPART_ARC
(15,19),0.0435485 # DEPENDENCYPART_ARC
(15,20),0.17913 # DEPENDENCYPART_ARC
(15,21),-0.401789 # DEPENDENCYPART_ARC
(15,22),-0.516858 # DEPENDENCYPART_ARC
(15,23),-0.137381 # DEPENDENCYPART_ARC
(15,24),-0.293167 # DEPENDENCYPART_ARC
(15,25),-0.91003 # DEPENDENCYPART_ARC
(16,1),-0.836222 # DEPENDENCYPART_ARC
(16,2),0.417878 # DEPENDENCYPART_ARC
(16,3),0.117447 # DEPENDENCYPART_ARC
(16,4),-4.78732 # DEPENDENCYPART_ARC
(16,5),0.948138 # DEPENDENCYPART_ARC
(16,6),-0.944268 # DEPENDENCYPART_ARC
(16,7),-0.795295 # DEPENDENCYPART_ARC
(16,8),-0.766085 # DEPENDENCYPART_ARC
(16,9),0.295901 # DEPENDENCYPART_ARC
(16,10),-0.727821 # DEPENDENCYPART_ARC
(16,11),-0.0650827 # DEPENDENCYPART_ARC
(16,12),-0.61428 # DEPENDENCYPART_ARC
(16,13),0.211673 # DEPENDENCYPART_ARC
(16,14),0.575175 # DEPENDENCYPART_ARC
(16,15),2.14997 # DEPENDENCYPART_ARC
(16,17),-0.32594 # DEPENDENCYPART_ARC
(16,18),-0.65142 # DEPENDENCYPART_ARC
(16,19),-0.38761 # DEPENDENCYPART_ARC
(16,20),0.717262 # DEPENDENCYPART_ARC
(16,21),-0.843188 # DEPENDENCYPART_ARC
(16,22),-0.932981 # DEPENDENCYPART_ARC
(16,23),-0.323891 # DEPENDENCYPART_ARC
(16,24),-1.46842 # DEPENDENCYPART_ARC
(16,25),-1.20367 # DEPENDENCYPART_ARC
(17,7),-1.11343 # DEPENDENCYPART_ARC
(17,8),-0.769058 # DEPENDENCYPART_ARC
(17,11),-0.9666 # DEPENDENCYPART_ARC
(17,13),-1.09456 # DEPENDENCYPART_ARC
(17,14),-0.404852 # DEPENDENCYPART_ARC
(17,15),-0.198632 # DEPENDENCYPART_ARC
(17,16),1.17955 # DEPENDENCYPART_ARC
(17,18),0.086048 # DEPENDENCYPART_ARC
(17,19),-0.370305 # DEPENDENCYPART_ARC
(17,23),-0.628742 # DEPENDENCYPART_ARC
(18,14),-0.121484 # DEPENDENCYPART_ARC
(18,15),-0.876309 # DEPENDENCYPART_ARC
(18,16),-0.273158 # DEPENDENCYPART_ARC
