# _root_ İş Güvencesi , İş Kanunu ile birlikte _ ele_alınsın , SSK primleri _ _ düşürülsün .
#goldHeads=2,9,0,5,6,7,9,9,10,15,12,15,14,15,16,0,
#predictedHeads=2,9,0,5,6,9,9,9,10,15,12,15,14,15,16,0,
(0,3),1.4447 # DEPENDENCYPART_ARC
(0,10),0.24357 # DEPENDENCYPART_ARC
(0,12),-1.34819 # DEPENDENCYPART_ARC
(0,16),2.49484 # DEPENDENCYPART_ARC
(1,2),-0.224236 # DEPENDENCYPART_ARC
(1,3),-0.105076 # DEPENDENCYPART_ARC
(1,9),-2.33811 # DEPENDENCYPART_ARC
(1,15),-2.39594 # DEPENDENCYPART_ARC
(2,1),2.92403 # DEPENDENCYPART_ARC
(2,3),-0.161927 # DEPENDENCYPART_ARC
(2,4),-0.244455 # DEPENDENCYPART_ARC
(3,1),0.0404313 # DEPENDENCYPART_ARC
(3,2),0.665558 # DEPENDENCYPART_ARC
(3,4),-0.297885 # DEPENDENCYPART_ARC
(3,9),-1.01643 # DEPENDENCYPART_ARC
(3,10),-1.38548 # DEPENDENCYPART_ARC
(3,12),-0.396994 # DEPENDENCYPART_ARC
(3,13),-1.32398 # DEPENDENCYPART_ARC
(3,14),-1.83548 # DEPENDENCYPART_ARC
(3,15),-1.26325 # DEPENDENCYPART_ARC
(4,1),-0.92597 # DEPENDENCYPART_ARC
(4,2),-0.615409 # DEPENDENCYPART_ARC
(4,3),0.312998 # DEPENDENCYPART_ARC
(4,5),-0.288823 # DEPENDENCYPART_ARC
(4,6),-0.745886 # DEPENDENCYPART_ARC
(4,7),-0.727155 # DEPENDENCYPART_ARC
(4,8),-0.942927 # DEPENDENCYPART_ARC
(4,15),-2.39474 # DEPENDENCYPART_ARC
(5,1),0.17026 # DEPENDENCYPART_ARC
(5,2),0.0973921 # DEPENDENCYPART_ARC
(5,3),0.784903 # DEPENDENCYPART_ARC
(5,4),3.11368 # DEPENDENCYPART_ARC
(5,6),-0.929558 # DEPENDENCYPART_ARC
(5,7),-1.0347 # DEPENDENCYPART_ARC
(5,8),-1.36162 # DEPENDENCYPART_ARC
(5,11),-0.79562 # DEPENDENCYPART_ARC
(5,15),-2.48405 # DEPENDENCYPART_ARC
(6,1),-0.871089 # DEPENDENCYPART_ARC
(6,2),0.0826796 # DEPENDENCYPART_ARC
(6,3),-0.0454336 # DEPENDENCYPART_ARC
(6,4),1.05639 # DEPENDENCYPART_ARC
(6,5),3.49806 # DEPENDENCYPART_ARC
(6,7),0.32892 # DEPENDENCYPART_ARC
(7,1),-1.71795 # DEPENDENCYPART_ARC
(7,2),-1.33827 # DEPENDENCYPART_ARC
(7,3),-0.500706 # DEPENDENCYPART_ARC
(7,4),-0.550734 # DEPENDENCYPART_ARC
(7,5),0.824434 # DEPENDENCYPART_ARC
(7,6),0.824141 # DEPENDENCYPART_ARC
(7,11),-0.223188 # DEPENDENCYPART_ARC
(8,1),-0.404657 # DEPENDENCYPART_ARC
(8,2),-0.607604 # DEPENDENCYPART_ARC
(8,3),-0.163021 # DEPENDENCYPART_ARC
(8,4),0.405148 # DEPENDENCYPART_ARC
(8,5),0.287165 # DEPENDENCYPART_ARC
(8,6),0.511159 # DEPENDENCYPART_ARC
(8,7),0.865854 # DEPENDENCYPART_ARC
(8,9),0.498267 # DEPENDENCYPART_ARC
(8,10),0.0622763 # DEPENDENCYPART_ARC
(8,11),-0.301568 # DEPENDENCYPART_ARC
(8,12),-0.470941 # DEPENDENCYPART_ARC
(8,13),-0.733707 # DEPENDENCYPART_ARC
(8,14),-0.784916 # DEPENDENCYPART_ARC
(8,15),-0.160267 # DEPENDENCYPART_ARC
(8,16),-1.00845 # DEPENDENCYPART_ARC
(9,1),0.849756 # DEPENDENCYPART_ARC
(9,2),1.03323 # DEPENDENCYPART_ARC
(9,3),0.0255265 # DEPENDENCYPART_ARC
(9,4),1.43177 # DEPENDENCYPART_ARC
(9,5),1.46747 # DEPENDENCYPART_ARC
(9,6),1.53738 # DEPENDENCYPART_ARC
(9,7),1.55496 # DEPENDENCYPART_ARC
(9,8),2.25159 # DEPENDENCYPART_ARC
(9,10),-0.653573 # DEPENDENCYPART_ARC
(9,11),-1.23378 # DEPENDENCYPART_ARC
(9,12),-0.582254 # DEPENDENCYPART_ARC
(9,13),-1.08022 # DEPENDENCYPART_ARC
(9,14),-1.38362 # DEPENDENCYPART_ARC
(9,15),-1.20641 # DEPENDENCYPART_ARC
(9,16),-1.91246 # DEPENDENCYPART_ARC
(10,4),0.338133 # DEPENDENCYPART_ARC
(10,5),0.178206 # DEPENDENCYPART_ARC
(10,6),-0.758292 # DEPENDENCYPART_ARC
(10,7),-0.324386 # DEPENDENCYPART_ARC
(10,8),-0.805567 # DEPENDENCYPART_ARC
(10,9),1.62064 # DEPENDENCYPART_ARC
(10,11),-0.150215 # DEPENDENCYPART_ARC
(10,12),-0.355603 # DEPENDENCYPART_ARC
(10,13),-0.879225 # DEPENDENCYPART_ARC
(10,14),-0.745059 # DEPENDENCYPART_ARC
(10,15),-0.444164 # DEPENDENCYPART_ARC
(10,16),-1.46739 # DEPENDENCYPART_ARC
(11,8),-0.947892 # DEPENDENCYPART_ARC
(11,9),-1.07783 # DEPENDENCYPART_ARC
(11,10),-0.179646 # DEPENDENCYPART_ARC
(11,12),-0.221336 # DEPENDENCYPART_ARC
(11,13),-0.504835 # DEPENDENCYPART_ARC
(11,14),-0.976637 # DEPENDENCYPART_ARC
(12,5),-0.505145 # DEPENDENCYPART_ARC
(12,6),-0.120958 # DEPENDENCYPART_ARC
(12,7),-0.427868 # DEPENDENCYPART_ARC
(12,8),-1.29334 # DEPENDENCYPART_ARC
(12,9),0.140774 # DEPENDENCYPART_ARC
(12,10),0.180261 # DEPENDENCYPART_ARC
(12,11),3.11089 # DEPENDENCYPART_ARC
(12,13),0.0306089 # DEPENDENCYPART_ARC
(12,14),-0.486517 # DEPENDENCYPART_ARC
(13,5),-1.08855 # DEPENDENCYPART_ARC
(13,6),-1.10543 # DEPENDENCYPART_ARC
(13,7),-1.29081 # DEPENDENCYPART_ARC
(13,8),-3.39544 # DEPENDENCYPART_ARC
(13,9),-0.95906 # DEPENDENCYPART_ARC
(13,10),0.45981 # DEPENDENCYPART_ARC
(13,11),0.914369 # DEPENDENCYPART_ARC
(13,12),1.36367 # DEPENDENCYPART_ARC
(13,14),-0.143794 # DEPENDENCYPART_ARC
(13,15),-0.10266 # DEPENDENCYPART_ARC
(14,1),-0.400294 # DEPENDENCYPART_ARC
(14,2),-0.84782 # DEPENDENCYPART_ARC
(14,4),-0.36982 # DEPENDENCYPART_ARC
(14,5),-0.842182 # DEPENDENCYPART_ARC
(14,6),-0.646452 # DEPENDENCYPART_ARC
(14,7),-0.549232 # DEPENDENCYPART_ARC
(14,8),-3.47561 # DEPENDENCYPART_ARC
(14,9),-0.68345 # DEPENDENCYPART_ARC
(14,10),0.844499 # DEPENDENCYPART_ARC
(14,11),1.02409 # DEPENDENCYPART_ARC
(14,12),1.22182 # DEPENDENCYPART_ARC
(14,13),2.89015 # DEPENDENCYPART_ARC
(14,15),0.00889074 # DEPENDENCYPART_ARC
(15,1),0.448783 # DEPENDENCYPART_ARC
(15,2),0.66752 # DEPENDENCYPART_ARC
(15,3),-0.707287 # DEPENDENCYPART_ARC
(15,4),0.264344 # DEPENDENCYPART_ARC
(15,5),0.188045 # DEPENDENCYPART_ARC
(15,6),-0.0672847 # DEPENDENCYPART_ARC
(15,7),-0.0549669 # DEPENDENCYPART_ARC
(15,8),-3.4321 # DEPENDENCYPART_ARC
(15,9),-0.500333 # DEPENDENCYPART_ARC
(15,10),1.47052 # DEPENDENCYPART_ARC
(15,11),1.67472 # DEPENDENCYPART_ARC
(15,12),2.66908 # DEPENDENCYPART_ARC
(15,13),0.740962 # DEPENDENCYPART_ARC
(15,14),2.95604 # DEPENDENCYPART_ARC
(15,16),-0.994723 # DEPENDENCYPART_ARC
(16,8),-2.87035 # DEPENDENCYPART_ARC
(16,9),-0.140747 # DEPENDENCYPART_ARC
(16,10),0.133919 # DEPENDENCYPART_ARC
(16,11),0.23313 # DEPENDENCYPART_ARC
(16,12),0.118182 # DEPENDENCYPART_ARC
(16,13),-1.22475 # DEPENDENCYPART_ARC
