# _root_ Eee , sen tarlaya yemek götürdün , biz ne yapacağız .
#goldHeads=6,0,6,6,6,7,10,10,10,11,0,
#predictedHeads=6,0,6,6,6,7,10,10,10,11,0,
(0,2),1.89536 # DEPENDENCYPART_ARC
(0,4),-0.672034 # DEPENDENCYPART_ARC
(0,6),-1.37993 # DEPENDENCYPART_ARC
(0,7),0.368003 # DEPENDENCYPART_ARC
(0,10),-1.25144 # DEPENDENCYPART_ARC
(0,11),2.1992 # DEPENDENCYPART_ARC
(2,1),-0.615629 # DEPENDENCYPART_ARC
(2,4),-0.253728 # DEPENDENCYPART_ARC
(2,5),-0.244003 # DEPENDENCYPART_ARC
(2,6),-0.389443 # DEPENDENCYPART_ARC
(2,7),-0.983611 # DEPENDENCYPART_ARC
(2,10),-0.300646 # DEPENDENCYPART_ARC
(3,1),-1.16813 # DEPENDENCYPART_ARC
(3,2),-0.200777 # DEPENDENCYPART_ARC
(4,1),-0.861845 # DEPENDENCYPART_ARC
(4,2),-0.328625 # DEPENDENCYPART_ARC
(4,3),0.520945 # DEPENDENCYPART_ARC
(4,5),-0.920624 # DEPENDENCYPART_ARC
(4,6),-1.80094 # DEPENDENCYPART_ARC
(4,7),-0.142228 # DEPENDENCYPART_ARC
(4,10),-1.69902 # DEPENDENCYPART_ARC
(5,1),-1.00374 # DEPENDENCYPART_ARC
(5,2),-0.328355 # DEPENDENCYPART_ARC
(5,3),0.0491529 # DEPENDENCYPART_ARC
(5,4),1.24684 # DEPENDENCYPART_ARC
(5,6),-1.32609 # DEPENDENCYPART_ARC
(5,7),0.164897 # DEPENDENCYPART_ARC
(5,8),-0.525159 # DEPENDENCYPART_ARC
(5,10),-1.57962 # DEPENDENCYPART_ARC
(6,1),0.310359 # DEPENDENCYPART_ARC
(6,2),0.654952 # DEPENDENCYPART_ARC
(6,3),2.10814 # DEPENDENCYPART_ARC
(6,4),1.99901 # DEPENDENCYPART_ARC
(6,5),2.71855 # DEPENDENCYPART_ARC
(6,7),-0.457619 # DEPENDENCYPART_ARC
(6,8),-0.694139 # DEPENDENCYPART_ARC
(6,9),-0.842187 # DEPENDENCYPART_ARC
(6,10),-0.928317 # DEPENDENCYPART_ARC
(6,11),-1.77629 # DEPENDENCYPART_ARC
(7,1),-0.895433 # DEPENDENCYPART_ARC
(7,2),-0.274367 # DEPENDENCYPART_ARC
(7,3),-0.336244 # DEPENDENCYPART_ARC
(7,4),0.334477 # DEPENDENCYPART_ARC
(7,5),0.0839613 # DEPENDENCYPART_ARC
(7,6),1.12868 # DEPENDENCYPART_ARC
(7,10),0.0295611 # DEPENDENCYPART_ARC
(7,11),-0.59484 # DEPENDENCYPART_ARC
(8,5),-1.63008 # DEPENDENCYPART_ARC
(8,7),-0.563892 # DEPENDENCYPART_ARC
(9,5),-0.62812 # DEPENDENCYPART_ARC
(9,7),0.194466 # DEPENDENCYPART_ARC
(9,8),1.01483 # DEPENDENCYPART_ARC
(10,1),0.00701329 # DEPENDENCYPART_ARC
(10,2),-0.323272 # DEPENDENCYPART_ARC
(10,3),0.274777 # DEPENDENCYPART_ARC
(10,4),0.282718 # DEPENDENCYPART_ARC
(10,5),-0.199235 # DEPENDENCYPART_ARC
(10,6),-0.00965614 # DEPENDENCYPART_ARC
(10,7),1.52713 # DEPENDENCYPART_ARC
(10,8),2.35637 # DEPENDENCYPART_ARC
(10,9),1.82368 # DEPENDENCYPART_ARC
(10,11),-0.496784 # DEPENDENCYPART_ARC
(11,1),-0.00363123 # DEPENDENCYPART_ARC
(11,2),-0.352359 # DEPENDENCYPART_ARC
(11,3),-0.406245 # DEPENDENCYPART_ARC
(11,4),-0.202819 # DEPENDENCYPART_ARC
(11,5),-0.443966 # DEPENDENCYPART_ARC
(11,6),-0.281246 # DEPENDENCYPART_ARC
(11,7),0.389652 # DEPENDENCYPART_ARC
(11,8),0.0336571 # DEPENDENCYPART_ARC
(11,9),-0.411467 # DEPENDENCYPART_ARC
(11,10),1.25123 # DEPENDENCYPART_ARC
