# _root_ Bilim , _ Aydınlanma mücadelesinde , _ insanlığın _ elindeki en _ önemli kazanımlardan _ _ biridir .
#goldHeads=17,0,4,5,17,0,8,10,10,14,13,13,14,17,16,17,18,0,
#predictedHeads=17,0,4,5,17,0,8,9,10,14,13,13,14,17,16,17,18,0,
(0,2),1.80169 # DEPENDENCYPART_ARC
(0,6),1.35324 # DEPENDENCYPART_ARC
(0,18),2.65601 # DEPENDENCYPART_ARC
(1,2),-0.270469 # DEPENDENCYPART_ARC
(1,3),-1.3474 # DEPENDENCYPART_ARC
(2,1),0.244284 # DEPENDENCYPART_ARC
(2,3),-0.49908 # DEPENDENCYPART_ARC
(2,4),-0.294498 # DEPENDENCYPART_ARC
(2,17),-1.09714 # DEPENDENCYPART_ARC
(3,1),-0.562289 # DEPENDENCYPART_ARC
(3,2),0.222851 # DEPENDENCYPART_ARC
(3,4),0.325085 # DEPENDENCYPART_ARC
(3,5),0.535015 # DEPENDENCYPART_ARC
(3,11),-1.42814 # DEPENDENCYPART_ARC
(3,12),-2.83802 # DEPENDENCYPART_ARC
(3,14),-2.422 # DEPENDENCYPART_ARC
(4,1),-0.729152 # DEPENDENCYPART_ARC
(4,2),0.388945 # DEPENDENCYPART_ARC
(4,3),2.43188 # DEPENDENCYPART_ARC
(5,1),-0.0769956 # DEPENDENCYPART_ARC
(5,2),0.972594 # DEPENDENCYPART_ARC
(5,3),0.858082 # DEPENDENCYPART_ARC
(5,4),3.04988 # DEPENDENCYPART_ARC
(6,3),-1.27852 # DEPENDENCYPART_ARC
(6,4),-0.0184051 # DEPENDENCYPART_ARC
(6,5),0.569922 # DEPENDENCYPART_ARC
(6,17),-1.32437 # DEPENDENCYPART_ARC
(7,5),-1.6828 # DEPENDENCYPART_ARC
(7,6),0.296869 # DEPENDENCYPART_ARC
(7,10),-0.587751 # DEPENDENCYPART_ARC
(8,1),-0.555988 # DEPENDENCYPART_ARC
(8,2),-0.489109 # DEPENDENCYPART_ARC
(8,3),-2.0568 # DEPENDENCYPART_ARC
(8,4),-0.279964 # DEPENDENCYPART_ARC
(8,5),-1.59944 # DEPENDENCYPART_ARC
(8,6),0.291404 # DEPENDENCYPART_ARC
(8,7),2.65953 # DEPENDENCYPART_ARC
(8,9),-1.42722 # DEPENDENCYPART_ARC
(8,10),-1.15806 # DEPENDENCYPART_ARC
(8,12),-1.6142 # DEPENDENCYPART_ARC
(8,14),-1.8695 # DEPENDENCYPART_ARC
(9,6),-0.15126 # DEPENDENCYPART_ARC
(9,7),0.542389 # DEPENDENCYPART_ARC
(9,8),2.21102 # DEPENDENCYPART_ARC
(9,10),-0.469886 # DEPENDENCYPART_ARC
(9,11),-0.417484 # DEPENDENCYPART_ARC
(9,12),-1.20056 # DEPENDENCYPART_ARC
(9,13),-1.02713 # DEPENDENCYPART_ARC
(9,14),-1.60501 # DEPENDENCYPART_ARC
(10,1),-0.347119 # DEPENDENCYPART_ARC
(10,2),-0.688298 # DEPENDENCYPART_ARC
(10,3),-2.04506 # DEPENDENCYPART_ARC
(10,4),-0.493716 # DEPENDENCYPART_ARC
(10,5),-0.496333 # DEPENDENCYPART_ARC
(10,6),-0.0299175 # DEPENDENCYPART_ARC
(10,7),0.757747 # DEPENDENCYPART_ARC
(10,8),1.1407 # DEPENDENCYPART_ARC
(10,9),2.81691 # DEPENDENCYPART_ARC
(10,11),-0.173199 # DEPENDENCYPART_ARC
(10,12),-0.521409 # DEPENDENCYPART_ARC
(10,14),-0.771162 # DEPENDENCYPART_ARC
(11,7),-0.407313 # DEPENDENCYPART_ARC
(11,8),-0.337641 # DEPENDENCYPART_ARC
(11,9),0.355341 # DEPENDENCYPART_ARC
(11,10),0.228619 # DEPENDENCYPART_ARC
(12,7),-2.60203 # DEPENDENCYPART_ARC
(12,8),-0.584665 # DEPENDENCYPART_ARC
(12,9),-1.45425 # DEPENDENCYPART_ARC
(12,10),-0.37418 # DEPENDENCYPART_ARC
(12,11),0.662937 # DEPENDENCYPART_ARC
(12,13),-0.00915885 # DEPENDENCYPART_ARC
