# _root_ Ben bir hizmet _ insanıyım , söylerim , _ söylediğimin arkasından giderim ve bana neye mal olursa_olsun ben bununla iftihar ederim .
#goldHeads=4,3,4,5,6,22,8,22,10,11,12,13,21,15,17,17,21,19,20,21,22,0,
#predictedHeads=5,3,4,5,6,7,8,21,10,11,12,13,21,17,17,17,21,21,20,21,22,0,
(0,6),0.557347 # DEPENDENCYPART_ARC
(0,8),0.125292 # DEPENDENCYPART_ARC
(0,13),-1.27376 # DEPENDENCYPART_ARC
(0,22),1.78572 # DEPENDENCYPART_ARC
(3,1),0.0759147 # DEPENDENCYPART_ARC
(3,2),1.61511 # DEPENDENCYPART_ARC
(3,4),-0.450075 # DEPENDENCYPART_ARC
(4,1),0.287936 # DEPENDENCYPART_ARC
(4,2),0.477397 # DEPENDENCYPART_ARC
(4,3),2.87484 # DEPENDENCYPART_ARC
(4,21),-1.43418 # DEPENDENCYPART_ARC
(5,1),1.83553 # DEPENDENCYPART_ARC
(5,2),0.490601 # DEPENDENCYPART_ARC
(5,3),2.10747 # DEPENDENCYPART_ARC
(5,4),2.48615 # DEPENDENCYPART_ARC
(5,7),-1.42126 # DEPENDENCYPART_ARC
(5,12),-1.84256 # DEPENDENCYPART_ARC
(5,20),-3.14928 # DEPENDENCYPART_ARC
(6,2),-0.492929 # DEPENDENCYPART_ARC
(6,3),0.285922 # DEPENDENCYPART_ARC
(6,4),-0.534258 # DEPENDENCYPART_ARC
(6,5),1.78155 # DEPENDENCYPART_ARC
(6,7),-0.139578 # DEPENDENCYPART_ARC
(6,12),-0.505792 # DEPENDENCYPART_ARC
(6,17),-0.572558 # DEPENDENCYPART_ARC
(6,21),-0.676054 # DEPENDENCYPART_ARC
(7,1),0.54839 # DEPENDENCYPART_ARC
(7,2),-0.948349 # DEPENDENCYPART_ARC
(7,3),-0.096048 # DEPENDENCYPART_ARC
(7,4),-1.31332 # DEPENDENCYPART_ARC
(7,5),-0.197805 # DEPENDENCYPART_ARC
(7,6),1.64877 # DEPENDENCYPART_ARC
(7,8),0.379631 # DEPENDENCYPART_ARC
(7,9),-0.674989 # DEPENDENCYPART_ARC
(7,10),-1.55025 # DEPENDENCYPART_ARC
(7,11),-0.465194 # DEPENDENCYPART_ARC
(7,12),-0.974016 # DEPENDENCYPART_ARC
(7,16),-1.56946 # DEPENDENCYPART_ARC
(7,17),-0.842452 # DEPENDENCYPART_ARC
(7,20),-2.34202 # DEPENDENCYPART_ARC
(7,21),-0.907257 # DEPENDENCYPART_ARC
(8,2),-1.11994 # DEPENDENCYPART_ARC
(8,5),-0.161851 # DEPENDENCYPART_ARC
(8,6),-0.116043 # DEPENDENCYPART_ARC
(8,7),1.29044 # DEPENDENCYPART_ARC
(8,9),-0.249087 # DEPENDENCYPART_ARC
(8,12),-0.316605 # DEPENDENCYPART_ARC
(8,17),0.00256772 # DEPENDENCYPART_ARC
(8,21),-0.557761 # DEPENDENCYPART_ARC
(9,1),-0.752438 # DEPENDENCYPART_ARC
(9,3),-0.72038 # DEPENDENCYPART_ARC
(9,4),-2.48095 # DEPENDENCYPART_ARC
(9,5),-1.04204 # DEPENDENCYPART_ARC
(9,6),-0.810474 # DEPENDENCYPART_ARC
(9,7),-0.938645 # DEPENDENCYPART_ARC
(9,8),0.88413 # DEPENDENCYPART_ARC
(9,10),-0.335069 # DEPENDENCYPART_ARC
(9,11),-0.352967 # DEPENDENCYPART_ARC
(9,12),-1.11233 # DEPENDENCYPART_ARC
(9,13),-0.286878 # DEPENDENCYPART_ARC
(9,16),-1.40938 # DEPENDENCYPART_ARC
(9,17),-1.49744 # DEPENDENCYPART_ARC
