# _root_ Gündüz ayrı iş , gece ayrı iş ; can mı dayanır , diye _ söylendi saatine _ bakarken .
#goldHeads=3,3,4,7,7,7,8,0,11,9,12,13,15,15,19,17,18,15,0,
#predictedHeads=3,3,4,0,7,7,11,0,11,9,12,13,14,15,19,17,18,15,0,
(0,4),1.39129 # DEPENDENCYPART_ARC
(0,8),1.95787 # DEPENDENCYPART_ARC
(0,12),0.390804 # DEPENDENCYPART_ARC
(0,19),3.3 # DEPENDENCYPART_ARC
(1,2),-0.367999 # DEPENDENCYPART_ARC
(2,1),1.1349 # DEPENDENCYPART_ARC
(2,16),-1.11165 # DEPENDENCYPART_ARC
(3,1),1.30529 # DEPENDENCYPART_ARC
(3,2),2.16355 # DEPENDENCYPART_ARC
(3,4),-0.198748 # DEPENDENCYPART_ARC
(3,5),-0.568499 # DEPENDENCYPART_ARC
(3,6),-1.03229 # DEPENDENCYPART_ARC
(4,1),0.210656 # DEPENDENCYPART_ARC
(4,2),0.221561 # DEPENDENCYPART_ARC
(4,3),0.855832 # DEPENDENCYPART_ARC
(4,11),-0.831492 # DEPENDENCYPART_ARC
(4,14),-1.24218 # DEPENDENCYPART_ARC
(4,15),-0.982876 # DEPENDENCYPART_ARC
(4,17),-1.66304 # DEPENDENCYPART_ARC
(5,2),-0.586173 # DEPENDENCYPART_ARC
(5,3),-0.544426 # DEPENDENCYPART_ARC
(5,4),0.160108 # DEPENDENCYPART_ARC
(5,6),-0.149463 # DEPENDENCYPART_ARC
(5,7),-0.603347 # DEPENDENCYPART_ARC
(5,8),-0.493418 # DEPENDENCYPART_ARC
(6,3),-1.21517 # DEPENDENCYPART_ARC
(6,4),-0.256901 # DEPENDENCYPART_ARC
(6,5),1.11698 # DEPENDENCYPART_ARC
(6,16),-0.604061 # DEPENDENCYPART_ARC
(7,1),-0.452069 # DEPENDENCYPART_ARC
(7,2),0.130844 # DEPENDENCYPART_ARC
(7,3),-0.779053 # DEPENDENCYPART_ARC
(7,4),0.836077 # DEPENDENCYPART_ARC
(7,5),1.22826 # DEPENDENCYPART_ARC
(7,6),2.23728 # DEPENDENCYPART_ARC
(7,8),0.00467612 # DEPENDENCYPART_ARC
(7,9),-0.286056 # DEPENDENCYPART_ARC
(7,10),0.197641 # DEPENDENCYPART_ARC
(7,13),-0.766235 # DEPENDENCYPART_ARC
(7,14),-1.13293 # DEPENDENCYPART_ARC
(7,15),-2.15502 # DEPENDENCYPART_ARC
(8,4),-0.168294 # DEPENDENCYPART_ARC
(8,5),0.428211 # DEPENDENCYPART_ARC
(8,6),0.24856 # DEPENDENCYPART_ARC
(8,7),0.788078 # DEPENDENCYPART_ARC
(8,9),-0.146479 # DEPENDENCYPART_ARC
(8,11),-0.621428 # DEPENDENCYPART_ARC
(8,14),-0.971653 # DEPENDENCYPART_ARC
(8,15),-0.811088 # DEPENDENCYPART_ARC
(8,16),-0.0564534 # DEPENDENCYPART_ARC
(8,17),-0.992358 # DEPENDENCYPART_ARC
(9,1),-0.971045 # DEPENDENCYPART_ARC
(9,2),-0.607266 # DEPENDENCYPART_ARC
(9,3),-1.18276 # DEPENDENCYPART_ARC
(9,4),-0.73019 # DEPENDENCYPART_ARC
(9,5),-1.00026 # DEPENDENCYPART_ARC
(9,6),-0.292844 # DEPENDENCYPART_ARC
(9,7),-0.604827 # DEPENDENCYPART_ARC
(9,8),0.677333 # DEPENDENCYPART_ARC
(9,10),1.49073 # DEPENDENCYPART_ARC
(9,11),-0.683684 # DEPENDENCYPART_ARC
(9,12),0.192606 # DEPENDENCYPART_ARC
(9,13),-0.48874 # DEPENDENCYPART_ARC
(9,14),-0.871399 # DEPENDENCYPART_ARC
(9,15),-1.79212 # DEPENDENCYPART_ARC
(9,17),-1.50454 # DEPENDENCYPART_ARC
(10,4),-0.368521 # DEPENDENCYPART_ARC
(10,7),-0.00308361 # DEPENDENCYPART_ARC
(10,8),-0.0729714 # DEPENDENCYPART_ARC
(10,9),1.29602 # DEPENDENCYPART_ARC
(11,1),1.15288 # DEPENDENCYPART_ARC
(11,2),-0.435104 # DEPENDENCYPART_ARC
(11,3),0.679422 # DEPENDENCYPART_ARC
(11,4),-0.740148 # DEPENDENCYPART_ARC
(11,5),1.1799 # DEPENDENCYPART_ARC
(11,6),-0.0783532 # DEPENDENCYPART_ARC
(11,7),1.19473 # DEPENDENCYPART_ARC
(11,8),0.413553 # DEPENDENCYPART_ARC
