# _root_ Akkor a két állam között automatikusan adódna katonai szövetség , a vasútvonal használatát egymástól nem lehetne megtagadni , ( ... )
#goldHeads=7,4,4,5,7,7,0,9,7,7,12,13,17,17,16,7,16,7,7,7,7,
#predictedHeads=7,4,4,5,7,7,0,9,7,7,12,13,17,17,16,7,16,16,16,7,7,
(0,1),-2.87421 # DEPENDENCYPART_ARC
(0,3),-3.24891 # DEPENDENCYPART_ARC
(0,4),-3.80383 # DEPENDENCYPART_ARC
(0,5),-3.80846 # DEPENDENCYPART_ARC
(0,6),-3.77971 # DEPENDENCYPART_ARC
(0,7),-2.30089 # DEPENDENCYPART_ARC
(0,8),-4.02521 # DEPENDENCYPART_ARC
(0,9),-4.58676 # DEPENDENCYPART_ARC
(0,15),-4.1476 # DEPENDENCYPART_ARC
(0,16),-3.32733 # DEPENDENCYPART_ARC
(0,17),-4.8158 # DEPENDENCYPART_ARC
(1,4),-0.719271 # DEPENDENCYPART_ARC
(1,5),-0.542326 # DEPENDENCYPART_ARC
(1,7),-0.881334 # DEPENDENCYPART_ARC
(1,9),-1.15986 # DEPENDENCYPART_ARC
(1,10),-0.782959 # DEPENDENCYPART_ARC
(1,12),-1.62914 # DEPENDENCYPART_ARC
(1,13),-1.70668 # DEPENDENCYPART_ARC
(1,16),-1.15693 # DEPENDENCYPART_ARC
(1,21),-1.01406 # DEPENDENCYPART_ARC
(2,6),-0.738338 # DEPENDENCYPART_ARC
(2,8),-0.881743 # DEPENDENCYPART_ARC
(3,2),-0.828374 # DEPENDENCYPART_ARC
(3,17),-2.16193 # DEPENDENCYPART_ARC
(3,18),-1.62325 # DEPENDENCYPART_ARC
(3,19),-1.44318 # DEPENDENCYPART_ARC
(3,20),-1.53468 # DEPENDENCYPART_ARC
(3,21),-1.7188 # DEPENDENCYPART_ARC
(4,1),-0.836619 # DEPENDENCYPART_ARC
(4,2),0.992459 # DEPENDENCYPART_ARC
(4,3),2.02661 # DEPENDENCYPART_ARC
(4,5),-1.13427 # DEPENDENCYPART_ARC
(4,6),-1.91252 # DEPENDENCYPART_ARC
(4,16),-2.04174 # DEPENDENCYPART_ARC
(4,17),-1.9187 # DEPENDENCYPART_ARC
(4,18),-1.41881 # DEPENDENCYPART_ARC
(4,19),-1.62953 # DEPENDENCYPART_ARC
(4,20),-1.64856 # DEPENDENCYPART_ARC
(5,2),-0.810383 # DEPENDENCYPART_ARC
(5,3),0.258767 # DEPENDENCYPART_ARC
(5,4),2.46838 # DEPENDENCYPART_ARC
(5,6),-0.893152 # DEPENDENCYPART_ARC
(5,7),-1.03235 # DEPENDENCYPART_ARC
(5,8),-1.29015 # DEPENDENCYPART_ARC
(5,9),-1.4062 # DEPENDENCYPART_ARC
(5,10),-1.06465 # DEPENDENCYPART_ARC
(5,12),-1.5741 # DEPENDENCYPART_ARC
(5,13),-1.5361 # DEPENDENCYPART_ARC
(5,16),-1.52176 # DEPENDENCYPART_ARC
(5,17),-1.54637 # DEPENDENCYPART_ARC
(5,18),-0.996632 # DEPENDENCYPART_ARC
(5,19),-1.11724 # DEPENDENCYPART_ARC
(5,20),-1.11125 # DEPENDENCYPART_ARC
(5,21),-1.42495 # DEPENDENCYPART_ARC
(6,1),-1.06282 # DEPENDENCYPART_ARC
(6,2),-1.09947 # DEPENDENCYPART_ARC
(6,3),-0.7692 # DEPENDENCYPART_ARC
(6,4),-1.24374 # DEPENDENCYPART_ARC
(6,5),0.521011 # DEPENDENCYPART_ARC
(6,7),-0.766088 # DEPENDENCYPART_ARC
(6,8),-1.17772 # DEPENDENCYPART_ARC
(6,9),-1.17735 # DEPENDENCYPART_ARC
(6,10),-0.781033 # DEPENDENCYPART_ARC
(6,12),-1.57005 # DEPENDENCYPART_ARC
(6,13),-1.97457 # DEPENDENCYPART_ARC
(6,15),-1.47208 # DEPENDENCYPART_ARC
(6,16),-1.69754 # DEPENDENCYPART_ARC
(6,17),-1.72387 # DEPENDENCYPART_ARC
(6,18),-1.00659 # DEPENDENCYPART_ARC
(6,19),-1.05614 # DEPENDENCYPART_ARC
(6,20),-1.06598 # DEPENDENCYPART_ARC
(6,21),-1.16187 # DEPENDENCYPART_ARC
(7,1),0.388528 # DEPENDENCYPART_ARC
(7,2),-1.35854 # DEPENDENCYPART_ARC
(7,3),-0.876994 # DEPENDENCYPART_ARC
(7,4),0.377937 # DEPENDENCYPART_ARC
(7,5),0.98391 # DEPENDENCYPART_ARC
(7,6),2.08292 # DEPENDENCYPART_ARC
(7,8),0.804157 # DEPENDENCYPART_ARC
(7,9),1.14051 # DEPENDENCYPART_ARC
(7,10),0.0318687 # DEPENDENCYPART_ARC
(7,11),-1.822 # DEPENDENCYPART_ARC
(7,12),-0.633509 # DEPENDENCYPART_ARC
(7,13),-0.642136 # DEPENDENCYPART_ARC
(7,15),-0.753188 # DEPENDENCYPART_ARC
(7,16),0.256085 # DEPENDENCYPART_ARC
(7,17),0.795123 # DEPENDENCYPART_ARC
(7,18),-0.662464 # DEPENDENCYPART_ARC
(7,19),-0.836663 # DEPENDENCYPART_ARC
(7,20),-0.895487 # DEPENDENCYPART_ARC
(7,21),-0.737808 # DEPENDENCYPART_ARC
(8,1),-1.91068 # DEPENDENCYPART_ARC
(8,2),-1.99985 # DEPENDENCYPART_ARC
(8,3),-1.3866 # DEPENDENCYPART_ARC
(8,4),-1.96508 # DEPENDENCYPART_ARC
(8,5),-0.877742 # DEPENDENCYPART_ARC
(8,6),-0.313373 # DEPENDENCYPART_ARC
(8,7),-0.039568 # DEPENDENCYPART_ARC
(8,13),-2.16698 # DEPENDENCYPART_ARC
(8,16),-1.47352 # DEPENDENCYPART_ARC
(9,1),-1.53823 # DEPENDENCYPART_ARC
(9,2),-0.286381 # DEPENDENCYPART_ARC
(9,3),-0.569852 # DEPENDENCYPART_ARC
(9,4),-1.37787 # DEPENDENCYPART_ARC
(9,5),-1.02119 # DEPENDENCYPART_ARC
(9,6),-2.03623 # DEPENDENCYPART_ARC
(9,7),-0.218465 # DEPENDENCYPART_ARC
(9,8),2.30633 # DEPENDENCYPART_ARC
(9,10),-0.516627 # DEPENDENCYPART_ARC
(9,12),-1.3316 # DEPENDENCYPART_ARC
(9,13),-1.9418 # DEPENDENCYPART_ARC
(9,16),-1.64894 # DEPENDENCYPART_ARC
(9,17),-1.64174 # DEPENDENCYPART_ARC
(9,18),-1.24912 # DEPENDENCYPART_ARC
(9,19),-1.39005 # DEPENDENCYPART_ARC
(9,20),-1.54991 # DEPENDENCYPART_ARC
(9,21),-1.59699 # DEPENDENCYPART_ARC
(12,2),-1.94108 # DEPENDENCYPART_ARC
(12,7),-1.9794 # DEPENDENCYPART_ARC
(12,8),-1.4444 # DEPENDENCYPART_ARC
(12,10),-1.29198 # DEPENDENCYPART_ARC
(12,11),1.67532 # DEPENDENCYPART_ARC
(13,2),-2.60867 # DEPENDENCYPART_ARC
