# _root_ Egyelőre az autó nem saját tulajdon , egy cseh cégtől bérlik , akik a szervizszerelőket és a programozó mérnököt is adják .
#goldHeads=4,3,4,0,6,4,4,10,10,11,4,11,21,15,21,21,19,19,21,21,11,4,
#predictedHeads=11,3,11,11,6,11,11,10,10,11,0,11,21,15,21,21,19,19,21,21,11,11,
(0,1),-2.90967 # DEPENDENCYPART_ARC
(0,3),-3.6647 # DEPENDENCYPART_ARC
(0,4),-3.57365 # DEPENDENCYPART_ARC
(0,6),-4.21847 # DEPENDENCYPART_ARC
(0,11),-2.63041 # DEPENDENCYPART_ARC
(0,16),-3.82918 # DEPENDENCYPART_ARC
(0,20),-4.98857 # DEPENDENCYPART_ARC
(0,21),-3.43929 # DEPENDENCYPART_ARC
(1,3),-0.704194 # DEPENDENCYPART_ARC
(1,6),-0.947781 # DEPENDENCYPART_ARC
(1,7),-0.719798 # DEPENDENCYPART_ARC
(1,10),-1.49292 # DEPENDENCYPART_ARC
(1,11),-0.920434 # DEPENDENCYPART_ARC
(1,12),-1.0339 # DEPENDENCYPART_ARC
(1,15),-1.92174 # DEPENDENCYPART_ARC
(1,16),-0.888032 # DEPENDENCYPART_ARC
(1,19),-2.01981 # DEPENDENCYPART_ARC
(1,20),-1.42064 # DEPENDENCYPART_ARC
(1,21),-1.18956 # DEPENDENCYPART_ARC
(1,22),-1.21063 # DEPENDENCYPART_ARC
(2,6),-1.49429 # DEPENDENCYPART_ARC
(3,1),-1.00129 # DEPENDENCYPART_ARC
(3,2),1.75415 # DEPENDENCYPART_ARC
(3,6),-1.19692 # DEPENDENCYPART_ARC
(3,7),-0.933712 # DEPENDENCYPART_ARC
(3,11),-1.33552 # DEPENDENCYPART_ARC
(3,21),-1.83642 # DEPENDENCYPART_ARC
(3,22),-1.77837 # DEPENDENCYPART_ARC
(4,1),-0.63627 # DEPENDENCYPART_ARC
(4,3),-0.365906 # DEPENDENCYPART_ARC
(4,6),-0.853001 # DEPENDENCYPART_ARC
(4,7),-0.649451 # DEPENDENCYPART_ARC
(4,10),-1.60559 # DEPENDENCYPART_ARC
(4,11),-1.15531 # DEPENDENCYPART_ARC
(4,12),-1.05608 # DEPENDENCYPART_ARC
(4,16),-0.849209 # DEPENDENCYPART_ARC
(4,21),-1.56271 # DEPENDENCYPART_ARC
(4,22),-1.59197 # DEPENDENCYPART_ARC
(6,1),-1.35519 # DEPENDENCYPART_ARC
(6,2),-0.310189 # DEPENDENCYPART_ARC
(6,3),-0.875264 # DEPENDENCYPART_ARC
(6,4),-0.420388 # DEPENDENCYPART_ARC
(6,5),1.74506 # DEPENDENCYPART_ARC
(6,7),-0.538211 # DEPENDENCYPART_ARC
(6,9),-1.69436 # DEPENDENCYPART_ARC
(6,10),-1.59805 # DEPENDENCYPART_ARC
(6,11),-1.20126 # DEPENDENCYPART_ARC
(6,12),-1.11043 # DEPENDENCYPART_ARC
(6,15),-2.37361 # DEPENDENCYPART_ARC
(6,19),-2.44279 # DEPENDENCYPART_ARC
(6,20),-1.73096 # DEPENDENCYPART_ARC
(6,21),-1.75936 # DEPENDENCYPART_ARC
(6,22),-1.68413 # DEPENDENCYPART_ARC
(8,9),-0.312324 # DEPENDENCYPART_ARC
(9,1),-2.17984 # DEPENDENCYPART_ARC
(9,3),-2.40706 # DEPENDENCYPART_ARC
(9,4),-1.7044 # DEPENDENCYPART_ARC
(9,6),-1.9981 # DEPENDENCYPART_ARC
(9,7),-1.15476 # DEPENDENCYPART_ARC
(9,8),-0.272592 # DEPENDENCYPART_ARC
