# _root_ Szerinte a tudomány egyrészt az élet minden szférájába behatolt , másrészt viszont lekerült arról a piedesztálról , amelyre a felvilágosodás korában állították .
#goldHeads=9,3,9,9,6,8,8,9,0,9,13,13,9,16,16,13,13,22,20,21,22,14,9,
#predictedHeads=9,3,9,9,6,8,8,9,0,9,13,13,9,16,16,13,13,22,20,21,22,14,9,
(0,1),-2.97053 # DEPENDENCYPART_ARC
(0,3),-3.70702 # DEPENDENCYPART_ARC
(0,4),-3.68705 # DEPENDENCYPART_ARC
(0,9),-2.20433 # DEPENDENCYPART_ARC
(0,11),-4.31255 # DEPENDENCYPART_ARC
(0,12),-2.82243 # DEPENDENCYPART_ARC
(0,13),-2.92905 # DEPENDENCYPART_ARC
(0,14),-4.63629 # DEPENDENCYPART_ARC
(0,22),-3.39867 # DEPENDENCYPART_ARC
(1,3),-0.665898 # DEPENDENCYPART_ARC
(1,6),-1.0761 # DEPENDENCYPART_ARC
(1,8),-1.36798 # DEPENDENCYPART_ARC
(1,9),-0.895107 # DEPENDENCYPART_ARC
(1,10),-0.84936 # DEPENDENCYPART_ARC
(1,13),-1.21376 # DEPENDENCYPART_ARC
(1,16),-1.68032 # DEPENDENCYPART_ARC
(1,17),-1.01833 # DEPENDENCYPART_ARC
(1,20),-2.02744 # DEPENDENCYPART_ARC
(1,22),-1.15795 # DEPENDENCYPART_ARC
(1,23),-1.7058 # DEPENDENCYPART_ARC
(2,6),-1.55852 # DEPENDENCYPART_ARC
(3,1),-1.14354 # DEPENDENCYPART_ARC
(3,2),1.70057 # DEPENDENCYPART_ARC
(3,6),-1.30333 # DEPENDENCYPART_ARC
(3,9),-1.37575 # DEPENDENCYPART_ARC
(3,10),-1.24909 # DEPENDENCYPART_ARC
(3,12),-1.53317 # DEPENDENCYPART_ARC
(3,13),-1.5951 # DEPENDENCYPART_ARC
(3,22),-1.74892 # DEPENDENCYPART_ARC
(4,6),-0.547375 # DEPENDENCYPART_ARC
(4,8),-0.833403 # DEPENDENCYPART_ARC
(4,10),-0.587692 # DEPENDENCYPART_ARC
(4,23),-1.26927 # DEPENDENCYPART_ARC
(6,2),-0.527749 # DEPENDENCYPART_ARC
(6,3),-1.36474 # DEPENDENCYPART_ARC
(6,4),-0.839941 # DEPENDENCYPART_ARC
(6,5),1.92578 # DEPENDENCYPART_ARC
(6,8),-1.6622 # DEPENDENCYPART_ARC
(6,9),-0.913558 # DEPENDENCYPART_ARC
(6,10),-0.997582 # DEPENDENCYPART_ARC
(6,12),-1.33104 # DEPENDENCYPART_ARC
(6,13),-1.33808 # DEPENDENCYPART_ARC
(6,22),-1.55528 # DEPENDENCYPART_ARC
(6,23),-1.61325 # DEPENDENCYPART_ARC
(7,6),-0.325887 # DEPENDENCYPART_ARC
(8,2),-2.08497 # DEPENDENCYPART_ARC
(8,3),-0.781843 # DEPENDENCYPART_ARC
(8,5),-1.07486 # DEPENDENCYPART_ARC
(8,6),1.16389 # DEPENDENCYPART_ARC
(8,7),1.3889 # DEPENDENCYPART_ARC
(8,10),-1.11684 # DEPENDENCYPART_ARC
(8,12),-1.56796 # DEPENDENCYPART_ARC
(8,13),-1.28153 # DEPENDENCYPART_ARC
(8,16),-2.90371 # DEPENDENCYPART_ARC
(8,22),-1.68828 # DEPENDENCYPART_ARC
(8,23),-1.74863 # DEPENDENCYPART_ARC
(9,1),0.705989 # DEPENDENCYPART_ARC
(9,2),-1.74112 # DEPENDENCYPART_ARC
(9,3),0.461771 # DEPENDENCYPART_ARC
(9,4),0.849498 # DEPENDENCYPART_ARC
(9,5),-1.34548 # DEPENDENCYPART_ARC
(9,6),0.966069 # DEPENDENCYPART_ARC
(9,7),0.80007 # DEPENDENCYPART_ARC
(9,8),2.29678 # DEPENDENCYPART_ARC
(9,10),0.334297 # DEPENDENCYPART_ARC
(9,11),-0.327825 # DEPENDENCYPART_ARC
(9,12),-0.569241 # DEPENDENCYPART_ARC
(9,13),0.119189 # DEPENDENCYPART_ARC
(9,14),-1.43111 # DEPENDENCYPART_ARC
(9,16),-1.70027 # DEPENDENCYPART_ARC
(9,17),-0.574133 # DEPENDENCYPART_ARC
(9,18),-2.18905 # DEPENDENCYPART_ARC
(9,22),-0.770748 # DEPENDENCYPART_ARC
(9,23),-0.989602 # DEPENDENCYPART_ARC
(11,16),-1.27403 # DEPENDENCYPART_ARC
(11,17),-0.872295 # DEPENDENCYPART_ARC
(11,20),-1.82394 # DEPENDENCYPART_ARC
(11,23),-1.45642 # DEPENDENCYPART_ARC
