# _root_ Ha ezt a hitelező nem adja meg , és a bank beváltja a hitelekhez járó állami garanciát , az az érintett gazdáknak az állami agrártámogatásokból való kizárását jelenti .
#goldHeads=28,6,4,6,6,28,6,28,28,11,12,28,14,15,17,17,12,28,28,22,22,28,25,25,26,27,28,0,28,
#predictedHeads=28,6,4,6,6,9,6,9,0,11,12,9,14,15,17,17,12,12,28,22,22,28,25,25,26,27,28,12,9,
(0,1),-3.23215 # DEPENDENCYPART_ARC
(0,2),-3.93818 # DEPENDENCYPART_ARC
(0,4),-3.94139 # DEPENDENCYPART_ARC
(0,5),-3.77508 # DEPENDENCYPART_ARC
(0,6),-2.12214 # DEPENDENCYPART_ARC
(0,7),-4.09051 # DEPENDENCYPART_ARC
(0,9),-2.77201 # DEPENDENCYPART_ARC
(0,12),-3.00673 # DEPENDENCYPART_ARC
(0,28),-3.28227 # DEPENDENCYPART_ARC
(1,4),-1.30609 # DEPENDENCYPART_ARC
(1,6),-0.978504 # DEPENDENCYPART_ARC
(1,7),-1.53057 # DEPENDENCYPART_ARC
(1,8),-0.564008 # DEPENDENCYPART_ARC
(1,9),-0.904512 # DEPENDENCYPART_ARC
(1,12),-1.66469 # DEPENDENCYPART_ARC
(1,18),-0.559971 # DEPENDENCYPART_ARC
(1,28),-2.03278 # DEPENDENCYPART_ARC
(1,29),-0.824285 # DEPENDENCYPART_ARC
(2,1),-0.799286 # DEPENDENCYPART_ARC
(2,4),-0.789133 # DEPENDENCYPART_ARC
(2,5),-1.10341 # DEPENDENCYPART_ARC
(2,6),-0.555111 # DEPENDENCYPART_ARC
(2,7),-1.39007 # DEPENDENCYPART_ARC
(2,8),-0.687325 # DEPENDENCYPART_ARC
(2,9),-0.46901 # DEPENDENCYPART_ARC
(2,11),-1.07338 # DEPENDENCYPART_ARC
(2,12),-0.218072 # DEPENDENCYPART_ARC
(2,15),-1.35866 # DEPENDENCYPART_ARC
(2,16),-1.3116 # DEPENDENCYPART_ARC
(2,17),-1.88157 # DEPENDENCYPART_ARC
(2,18),-0.889643 # DEPENDENCYPART_ARC
(2,19),-0.909494 # DEPENDENCYPART_ARC
(2,21),-1.30331 # DEPENDENCYPART_ARC
(2,22),-1.79094 # DEPENDENCYPART_ARC
(2,24),-1.43202 # DEPENDENCYPART_ARC
(2,25),-2.00854 # DEPENDENCYPART_ARC
(2,26),-1.46804 # DEPENDENCYPART_ARC
(2,27),-2.23667 # DEPENDENCYPART_ARC
(2,28),-1.07555 # DEPENDENCYPART_ARC
(2,29),-2.79492 # DEPENDENCYPART_ARC
(4,1),-1.28804 # DEPENDENCYPART_ARC
(4,2),-0.720953 # DEPENDENCYPART_ARC
(4,3),1.81431 # DEPENDENCYPART_ARC
(5,1),-0.730473 # DEPENDENCYPART_ARC
(5,2),-0.852411 # DEPENDENCYPART_ARC
(5,4),-0.195928 # DEPENDENCYPART_ARC
(5,8),-0.925078 # DEPENDENCYPART_ARC
(5,12),-1.45934 # DEPENDENCYPART_ARC
(5,29),-1.64157 # DEPENDENCYPART_ARC
(6,1),0.247674 # DEPENDENCYPART_ARC
(6,2),0.457327 # DEPENDENCYPART_ARC
(6,3),-1.13963 # DEPENDENCYPART_ARC
(6,4),1.44575 # DEPENDENCYPART_ARC
(6,5),2.39939 # DEPENDENCYPART_ARC
(6,7),1.84029 # DEPENDENCYPART_ARC
(6,8),0.444583 # DEPENDENCYPART_ARC
(6,9),-0.0153458 # DEPENDENCYPART_ARC
(6,10),-1.86384 # DEPENDENCYPART_ARC
(6,11),-0.852363 # DEPENDENCYPART_ARC
(6,12),0.0905258 # DEPENDENCYPART_ARC
(6,13),-2.27425 # DEPENDENCYPART_ARC
(6,14),-2.02897 # DEPENDENCYPART_ARC
(6,15),-1.741 # DEPENDENCYPART_ARC
(6,16),-1.73644 # DEPENDENCYPART_ARC
(6,17),-0.364249 # DEPENDENCYPART_ARC
(6,18),-0.394747 # DEPENDENCYPART_ARC
(6,19),-2.63263 # DEPENDENCYPART_ARC
(6,22),-1.71891 # DEPENDENCYPART_ARC
(6,25),-2.48314 # DEPENDENCYPART_ARC
(6,27),-1.24387 # DEPENDENCYPART_ARC
(6,28),-1.25204 # DEPENDENCYPART_ARC
(6,29),-0.491409 # DEPENDENCYPART_ARC
(7,1),-0.627845 # DEPENDENCYPART_ARC
(7,4),-0.781019 # DEPENDENCYPART_ARC
(7,5),-0.612802 # DEPENDENCYPART_ARC
(7,6),-0.274814 # DEPENDENCYPART_ARC
(7,8),-0.814989 # DEPENDENCYPART_ARC
(7,11),-1.58773 # DEPENDENCYPART_ARC
(7,29),-1.77801 # DEPENDENCYPART_ARC
(9,1),-0.997388 # DEPENDENCYPART_ARC
(9,2),-2.41057 # DEPENDENCYPART_ARC
(9,4),-1.81763 # DEPENDENCYPART_ARC
(9,5),-1.32013 # DEPENDENCYPART_ARC
(9,6),0.195403 # DEPENDENCYPART_ARC
(9,8),0.676317 # DEPENDENCYPART_ARC
(9,10),-0.830561 # DEPENDENCYPART_ARC
(9,11),-0.732747 # DEPENDENCYPART_ARC
(9,12),0.292312 # DEPENDENCYPART_ARC
(9,14),-1.30492 # DEPENDENCYPART_ARC
(9,15),-1.34632 # DEPENDENCYPART_ARC
(9,16),-1.52267 # DEPENDENCYPART_ARC
(9,17),-1.40115 # DEPENDENCYPART_ARC
(9,18),-0.818381 # DEPENDENCYPART_ARC
(9,19),-1.59783 # DEPENDENCYPART_ARC
(9,21),-1.76354 # DEPENDENCYPART_ARC
(9,24),-1.89329 # DEPENDENCYPART_ARC
(9,25),-1.84702 # DEPENDENCYPART_ARC
(9,26),-1.99526 # DEPENDENCYPART_ARC
(9,27),-1.87507 # DEPENDENCYPART_ARC
(9,28),-1.6935 # DEPENDENCYPART_ARC
(9,29),-1.23837 # DEPENDENCYPART_ARC
(11,2),-2.99688 # DEPENDENCYPART_ARC
(11,9),-0.495558 # DEPENDENCYPART_ARC
(11,10),1.77124 # DEPENDENCYPART_ARC
(12,1),-0.083902 # DEPENDENCYPART_ARC
(12,2),-1.38713 # DEPENDENCYPART_ARC
(12,3),-2.09837 # DEPENDENCYPART_ARC
(12,4),-0.628193 # DEPENDENCYPART_ARC
(12,5),-0.458638 # DEPENDENCYPART_ARC
(12,6),-0.39888 # DEPENDENCYPART_ARC
(12,7),-0.189916 # DEPENDENCYPART_ARC
(12,8),-0.21902 # DEPENDENCYPART_ARC
(12,9),-0.0778914 # DEPENDENCYPART_ARC
(12,10),-0.840676 # DEPENDENCYPART_ARC
(12,11),2.12313 # DEPENDENCYPART_ARC
(12,13),-1.12249 # DEPENDENCYPART_ARC
(12,14),0.0608529 # DEPENDENCYPART_ARC
(12,15),-0.671387 # DEPENDENCYPART_ARC
(12,16),-0.812731 # DEPENDENCYPART_ARC
(12,17),1.67306 # DEPENDENCYPART_ARC
(12,18),0.570958 # DEPENDENCYPART_ARC
(12,19),-1.83448 # DEPENDENCYPART_ARC
(12,20),-2.1823 # DEPENDENCYPART_ARC
(12,21),-1.59212 # DEPENDENCYPART_ARC
(12,22),-0.234405 # DEPENDENCYPART_ARC
(12,24),-1.96634 # DEPENDENCYPART_ARC
(12,25),-1.52037 # DEPENDENCYPART_ARC
(12,26),-1.90444 # DEPENDENCYPART_ARC
(12,27),-0.105684 # DEPENDENCYPART_ARC
(12,28),-0.330701 # DEPENDENCYPART_ARC
(12,29),-0.617243 # DEPENDENCYPART_ARC
(14,10),-0.937962 # DEPENDENCYPART_ARC
(14,13),1.67417 # DEPENDENCYPART_ARC
(14,28),-2.31505 # DEPENDENCYPART_ARC
(15,2),-1.83833 # DEPENDENCYPART_ARC
(15,4),-2.27679 # DEPENDENCYPART_ARC
(15,5),-1.79699 # DEPENDENCYPART_ARC
(15,6),-1.31602 # DEPENDENCYPART_ARC
(15,10),-1.59277 # DEPENDENCYPART_ARC
(15,11),-1.20704 # DEPENDENCYPART_ARC
(15,12),-0.636709 # DEPENDENCYPART_ARC
(15,13),-0.569295 # DEPENDENCYPART_ARC
(15,14),1.57581 # DEPENDENCYPART_ARC
(15,28),-1.74572 # DEPENDENCYPART_ARC
(16,10),-1.93049 # DEPENDENCYPART_ARC
(16,11),-2.13455 # DEPENDENCYPART_ARC
(16,13),-1.27796 # DEPENDENCYPART_ARC
(16,14),-0.073216 # DEPENDENCYPART_ARC
(16,15),0.280406 # DEPENDENCYPART_ARC
(17,2),-1.23277 # DEPENDENCYPART_ARC
(17,3),-2.1792 # DEPENDENCYPART_ARC
(17,6),-2.14866 # DEPENDENCYPART_ARC
(17,8),-0.956792 # DEPENDENCYPART_ARC
