# _root_ Mindebből azonban hiba volna azt a következtetést levonni , hogy gyermekek tömkelege születne " balkézről " ; sokkal inkább arról van szó , hogy az élettársi kapcsolatok egyre inkább hasonlítanak magára a házasságra .
#goldHeads=8,4,4,0,7,7,8,4,4,4,12,13,1,13,13,13,4,19,21,21,4,21,21,21,27,27,30,29,30,20,30,33,30,4,
#predictedHeads=4,4,4,0,8,7,8,4,4,4,12,13,5,13,13,13,4,19,21,21,5,21,21,21,27,27,30,30,30,20,33,33,30,4,
(0,1),-3.44501 # DEPENDENCYPART_ARC
(0,2),-3.11806 # DEPENDENCYPART_ARC
(0,3),-3.40105 # DEPENDENCYPART_ARC
(0,4),-1.8745 # DEPENDENCYPART_ARC
(0,5),-4.32199 # DEPENDENCYPART_ARC
(0,8),-4.09056 # DEPENDENCYPART_ARC
(0,10),-4.18552 # DEPENDENCYPART_ARC
(0,13),-3.12778 # DEPENDENCYPART_ARC
(0,20),-4.75906 # DEPENDENCYPART_ARC
(0,21),-3.20274 # DEPENDENCYPART_ARC
(1,2),-0.725574 # DEPENDENCYPART_ARC
(1,3),-0.699476 # DEPENDENCYPART_ARC
(1,4),0.721956 # DEPENDENCYPART_ARC
(1,5),-1.67507 # DEPENDENCYPART_ARC
(1,7),-1.35046 # DEPENDENCYPART_ARC
(1,8),-0.131369 # DEPENDENCYPART_ARC
(1,9),-0.167164 # DEPENDENCYPART_ARC
(1,10),-0.362615 # DEPENDENCYPART_ARC
(1,11),-0.989577 # DEPENDENCYPART_ARC
(1,12),-1.0484 # DEPENDENCYPART_ARC
(1,13),1.08131 # DEPENDENCYPART_ARC
(1,14),-0.555702 # DEPENDENCYPART_ARC
(1,15),-0.930238 # DEPENDENCYPART_ARC
(1,16),-0.695839 # DEPENDENCYPART_ARC
(1,17),-0.428279 # DEPENDENCYPART_ARC
(1,18),-0.949639 # DEPENDENCYPART_ARC
(1,19),-0.88494 # DEPENDENCYPART_ARC
(1,21),0.102685 # DEPENDENCYPART_ARC
(1,22),-1.32839 # DEPENDENCYPART_ARC
(1,23),-0.486538 # DEPENDENCYPART_ARC
(1,24),-0.339875 # DEPENDENCYPART_ARC
(1,26),-1.00671 # DEPENDENCYPART_ARC
(1,27),-1.53293 # DEPENDENCYPART_ARC
(1,28),-0.984468 # DEPENDENCYPART_ARC
(1,29),-0.8621 # DEPENDENCYPART_ARC
(1,30),0.691702 # DEPENDENCYPART_ARC
(1,33),-1.99106 # DEPENDENCYPART_ARC
(2,1),-0.940283 # DEPENDENCYPART_ARC
(2,3),-1.08843 # DEPENDENCYPART_ARC
(2,4),-0.547262 # DEPENDENCYPART_ARC
(2,8),-1.88707 # DEPENDENCYPART_ARC
(2,34),-1.98555 # DEPENDENCYPART_ARC
(3,1),-1.06398 # DEPENDENCYPART_ARC
(3,2),-0.151671 # DEPENDENCYPART_ARC
(4,1),0.319373 # DEPENDENCYPART_ARC
(4,2),0.905079 # DEPENDENCYPART_ARC
(4,3),2.03212 # DEPENDENCYPART_ARC
(4,5),-0.15284 # DEPENDENCYPART_ARC
(4,6),-1.43356 # DEPENDENCYPART_ARC
(4,7),-0.44476 # DEPENDENCYPART_ARC
(4,8),1.5599 # DEPENDENCYPART_ARC
(4,9),-0.278334 # DEPENDENCYPART_ARC
(4,10),0.585567 # DEPENDENCYPART_ARC
(4,11),-2.29242 # DEPENDENCYPART_ARC
(4,12),-1.95844 # DEPENDENCYPART_ARC
(4,13),-0.00737453 # DEPENDENCYPART_ARC
(4,14),-0.860066 # DEPENDENCYPART_ARC
(4,15),-1.49927 # DEPENDENCYPART_ARC
(4,16),-0.90749 # DEPENDENCYPART_ARC
(4,17),-0.821267 # DEPENDENCYPART_ARC
(4,18),-2.30937 # DEPENDENCYPART_ARC
(4,20),-2.18458 # DEPENDENCYPART_ARC
(4,21),-1.46395 # DEPENDENCYPART_ARC
(4,23),-1.28792 # DEPENDENCYPART_ARC
(4,24),-3.70589 # DEPENDENCYPART_ARC
(4,29),-2.73762 # DEPENDENCYPART_ARC
