# _root_ Amikor Freit megválasztottuk , sokkal erőteljesebben felléphetett volna a hadsereggel és Pinochettel szemben , hiszen ma a demokrácia már nincs veszélyben .
#goldHeads=3,3,7,7,6,7,15,7,10,13,13,13,7,15,0,20,18,20,20,15,20,15,
#predictedHeads=3,3,7,7,6,7,15,7,10,13,13,13,7,15,0,20,18,20,20,15,20,15,
(0,1),-2.88234 # DEPENDENCYPART_ARC
(0,2),-3.15017 # DEPENDENCYPART_ARC
(0,3),-1.71925 # DEPENDENCYPART_ARC
(0,5),-3.85705 # DEPENDENCYPART_ARC
(0,6),-3.89315 # DEPENDENCYPART_ARC
(0,7),-2.37572 # DEPENDENCYPART_ARC
(0,8),-2.92051 # DEPENDENCYPART_ARC
(0,11),-2.51077 # DEPENDENCYPART_ARC
(0,15),-0.958333 # DEPENDENCYPART_ARC
(0,20),-3.56811 # DEPENDENCYPART_ARC
(1,2),-0.930724 # DEPENDENCYPART_ARC
(1,4),-0.758286 # DEPENDENCYPART_ARC
(1,7),-1.27051 # DEPENDENCYPART_ARC
(1,20),-1.44073 # DEPENDENCYPART_ARC
(1,22),-1.89045 # DEPENDENCYPART_ARC
(2,6),-1.65296 # DEPENDENCYPART_ARC
(2,7),-1.93985 # DEPENDENCYPART_ARC
(3,1),1.54651 # DEPENDENCYPART_ARC
(3,2),3.00955 # DEPENDENCYPART_ARC
(3,4),0.414228 # DEPENDENCYPART_ARC
(3,5),-0.223791 # DEPENDENCYPART_ARC
(3,6),-0.280215 # DEPENDENCYPART_ARC
(3,7),0.289825 # DEPENDENCYPART_ARC
(3,8),1.0706 # DEPENDENCYPART_ARC
(3,9),-2.10689 # DEPENDENCYPART_ARC
(3,11),-0.945604 # DEPENDENCYPART_ARC
(3,12),-2.51663 # DEPENDENCYPART_ARC
(3,13),-0.820607 # DEPENDENCYPART_ARC
(3,14),-0.808802 # DEPENDENCYPART_ARC
(3,15),-1.67862 # DEPENDENCYPART_ARC
(3,16),-1.94837 # DEPENDENCYPART_ARC
(3,19),-1.99909 # DEPENDENCYPART_ARC
