# _root_ Budapesten és a vidéki nagyvárosokban túlzsúfoltak a temetők , nem érik el az ideális 30-40 hektáros nagyságot , kihasználtságuk így gyakran 90 százalék feletti .
#goldHeads=6,6,5,5,6,0,8,6,6,11,6,11,17,17,16,17,11,6,21,21,6,23,24,21,6,
#predictedHeads=11,11,5,5,6,11,8,11,11,11,0,11,17,17,16,17,11,11,20,11,23,23,24,11,11,
(0,1),-3.01569 # DEPENDENCYPART_ARC
(0,2),-3.31964 # DEPENDENCYPART_ARC
(0,5),-4.36299 # DEPENDENCYPART_ARC
(0,6),-3.69671 # DEPENDENCYPART_ARC
(0,10),-3.90222 # DEPENDENCYPART_ARC
(0,11),-2.57893 # DEPENDENCYPART_ARC
(0,12),-4.39855 # DEPENDENCYPART_ARC
(0,20),-2.41483 # DEPENDENCYPART_ARC
(0,21),-4.60547 # DEPENDENCYPART_ARC
(0,24),-4.21811 # DEPENDENCYPART_ARC
(1,5),-1.89943 # DEPENDENCYPART_ARC
(1,8),-1.94806 # DEPENDENCYPART_ARC
(1,11),-2.13836 # DEPENDENCYPART_ARC
(2,1),-0.41696 # DEPENDENCYPART_ARC
(2,3),-1.19026 # DEPENDENCYPART_ARC
(2,4),-1.17161 # DEPENDENCYPART_ARC
(2,5),-1.05263 # DEPENDENCYPART_ARC
(2,6),-1.35145 # DEPENDENCYPART_ARC
(2,8),-1.06424 # DEPENDENCYPART_ARC
(2,9),-1.09635 # DEPENDENCYPART_ARC
(2,10),-1.72259 # DEPENDENCYPART_ARC
(2,11),-1.44234 # DEPENDENCYPART_ARC
(2,15),-1.66242 # DEPENDENCYPART_ARC
(2,17),-1.80128 # DEPENDENCYPART_ARC
(2,18),-1.14848 # DEPENDENCYPART_ARC
(2,20),-1.90644 # DEPENDENCYPART_ARC
(2,21),-1.90863 # DEPENDENCYPART_ARC
(2,22),-1.71705 # DEPENDENCYPART_ARC
(2,24),-2.36784 # DEPENDENCYPART_ARC
(2,25),-1.33096 # DEPENDENCYPART_ARC
(3,2),-0.812965 # DEPENDENCYPART_ARC
(3,4),-0.598974 # DEPENDENCYPART_ARC
(3,8),-1.65339 # DEPENDENCYPART_ARC
(4,1),-1.1037 # DEPENDENCYPART_ARC
(4,2),-1.10618 # DEPENDENCYPART_ARC
(4,3),-0.629473 # DEPENDENCYPART_ARC
(5,1),-1.72707 # DEPENDENCYPART_ARC
(5,2),-0.542143 # DEPENDENCYPART_ARC
(5,3),1.56015 # DEPENDENCYPART_ARC
(5,4),2.52001 # DEPENDENCYPART_ARC
(5,6),-1.00011 # DEPENDENCYPART_ARC
(5,8),-1.434 # DEPENDENCYPART_ARC
(5,9),-0.891623 # DEPENDENCYPART_ARC
(5,11),-2.20021 # DEPENDENCYPART_ARC
(6,1),-0.111514 # DEPENDENCYPART_ARC
(6,2),-0.153683 # DEPENDENCYPART_ARC
(6,3),0.190755 # DEPENDENCYPART_ARC
(6,4),0.308982 # DEPENDENCYPART_ARC
(6,5),1.43331 # DEPENDENCYPART_ARC
(6,8),-1.05627 # DEPENDENCYPART_ARC
(6,9),-0.486925 # DEPENDENCYPART_ARC
(6,10),-1.1734 # DEPENDENCYPART_ARC
(6,11),-0.608901 # DEPENDENCYPART_ARC
(6,14),-1.47778 # DEPENDENCYPART_ARC
(6,15),-1.11353 # DEPENDENCYPART_ARC
(6,17),-1.61315 # DEPENDENCYPART_ARC
(6,23),-1.78066 # DEPENDENCYPART_ARC
(6,25),-1.12014 # DEPENDENCYPART_ARC
(7,6),-0.854959 # DEPENDENCYPART_ARC
(8,1),-2.84805 # DEPENDENCYPART_ARC
(8,2),-1.3662 # DEPENDENCYPART_ARC
(8,3),-0.974794 # DEPENDENCYPART_ARC
(8,4),-1.28371 # DEPENDENCYPART_ARC
(8,5),-2.5679 # DEPENDENCYPART_ARC
(8,6),-1.21927 # DEPENDENCYPART_ARC
(8,7),1.8447 # DEPENDENCYPART_ARC
(8,9),-0.62666 # DEPENDENCYPART_ARC
(8,21),-1.9883 # DEPENDENCYPART_ARC
(10,5),-1.46594 # DEPENDENCYPART_ARC
(10,6),-1.55779 # DEPENDENCYPART_ARC
(10,8),-1.23442 # DEPENDENCYPART_ARC
(10,9),-0.743645 # DEPENDENCYPART_ARC
(10,17),-1.5183 # DEPENDENCYPART_ARC
(10,20),-0.973011 # DEPENDENCYPART_ARC
(10,25),-1.58039 # DEPENDENCYPART_ARC
(11,1),0.0270393 # DEPENDENCYPART_ARC
(11,2),0.238751 # DEPENDENCYPART_ARC
(11,3),-1.60107 # DEPENDENCYPART_ARC
(11,4),-1.86579 # DEPENDENCYPART_ARC
(11,5),0.776732 # DEPENDENCYPART_ARC
(11,6),-0.269535 # DEPENDENCYPART_ARC
(11,7),-1.35297 # DEPENDENCYPART_ARC
(11,8),0.389237 # DEPENDENCYPART_ARC
(11,9),0.273273 # DEPENDENCYPART_ARC
(11,10),2.23111 # DEPENDENCYPART_ARC
(11,12),1.84171 # DEPENDENCYPART_ARC
(11,13),-1.00117 # DEPENDENCYPART_ARC
(11,14),-0.429421 # DEPENDENCYPART_ARC
(11,15),-0.618151 # DEPENDENCYPART_ARC
(11,16),-0.63886 # DEPENDENCYPART_ARC
(11,17),1.44326 # DEPENDENCYPART_ARC
(11,18),0.197221 # DEPENDENCYPART_ARC
(11,19),-0.590291 # DEPENDENCYPART_ARC
(11,20),0.133051 # DEPENDENCYPART_ARC
(11,21),-0.541972 # DEPENDENCYPART_ARC
(11,22),-1.23353 # DEPENDENCYPART_ARC
(11,23),-1.60192 # DEPENDENCYPART_ARC
(11,24),-1.46075 # DEPENDENCYPART_ARC
(11,25),-0.446907 # DEPENDENCYPART_ARC
(12,2),-0.930125 # DEPENDENCYPART_ARC
(12,5),-1.42328 # DEPENDENCYPART_ARC
(12,6),-1.38493 # DEPENDENCYPART_ARC
(12,8),-1.26319 # DEPENDENCYPART_ARC
(12,9),-1.04347 # DEPENDENCYPART_ARC
(12,10),-0.714319 # DEPENDENCYPART_ARC
(12,17),-0.987475 # DEPENDENCYPART_ARC
(12,18),-0.789719 # DEPENDENCYPART_ARC
(12,19),-1.57402 # DEPENDENCYPART_ARC
(12,23),-1.79675 # DEPENDENCYPART_ARC
(12,25),-1.44534 # DEPENDENCYPART_ARC
(13,14),-0.479301 # DEPENDENCYPART_ARC
(13,16),-0.866213 # DEPENDENCYPART_ARC
(14,10),-1.68351 # DEPENDENCYPART_ARC
(14,12),-0.847392 # DEPENDENCYPART_ARC
(14,13),-0.399838 # DEPENDENCYPART_ARC
(14,15),-0.817128 # DEPENDENCYPART_ARC
(14,16),-1.4903 # DEPENDENCYPART_ARC
(14,19),-1.66992 # DEPENDENCYPART_ARC
(14,22),-1.34811 # DEPENDENCYPART_ARC
(14,24),-1.91789 # DEPENDENCYPART_ARC
(15,9),-1.26377 # DEPENDENCYPART_ARC
(15,11),-1.00394 # DEPENDENCYPART_ARC
(15,13),-0.700834 # DEPENDENCYPART_ARC
(15,14),-0.268378 # DEPENDENCYPART_ARC
(15,16),-1.08147 # DEPENDENCYPART_ARC
(15,18),-0.939962 # DEPENDENCYPART_ARC
(15,19),-1.61285 # DEPENDENCYPART_ARC
(15,20),-1.33506 # DEPENDENCYPART_ARC
(15,22),-1.67829 # DEPENDENCYPART_ARC
(15,23),-1.85942 # DEPENDENCYPART_ARC
(15,24),-1.84686 # DEPENDENCYPART_ARC
(15,25),-1.3248 # DEPENDENCYPART_ARC
(16,1),-2.12794 # DEPENDENCYPART_ARC
