# _root_ A kávéházak és a passzázsokból kialakított bevásárlóudvarok zsúfolásig tömve vannak , mintha csak azt szeretnék bizonyítani , hogy itt Argentínához és Uruguayhoz hasonlóan igen is erős középosztály van .
#goldHeads=2,9,9,5,6,7,9,9,10,0,10,10,16,16,10,15,15,15,28,23,23,23,28,25,28,27,28,14,10,
#predictedHeads=2,10,10,5,6,7,10,10,10,0,10,10,16,16,10,15,15,15,28,28,28,23,28,25,26,27,28,14,10,
(0,3),-3.36027 # DEPENDENCYPART_ARC
(0,9),-4.13348 # DEPENDENCYPART_ARC
(0,10),-2.62596 # DEPENDENCYPART_ARC
(0,12),-2.89005 # DEPENDENCYPART_ARC
(0,14),-4.96019 # DEPENDENCYPART_ARC
(0,15),-3.04456 # DEPENDENCYPART_ARC
(0,16),-4.58216 # DEPENDENCYPART_ARC
(0,18),-5.14984 # DEPENDENCYPART_ARC
(0,19),-4.03857 # DEPENDENCYPART_ARC
(0,21),-3.47333 # DEPENDENCYPART_ARC
(0,24),-3.54687 # DEPENDENCYPART_ARC
(0,25),-4.91568 # DEPENDENCYPART_ARC
(0,28),-3.42736 # DEPENDENCYPART_ARC
(2,1),1.73139 # DEPENDENCYPART_ARC
(3,1),-1.4176 # DEPENDENCYPART_ARC
(3,2),-0.416535 # DEPENDENCYPART_ARC
(3,4),-1.08975 # DEPENDENCYPART_ARC
(3,5),-0.761168 # DEPENDENCYPART_ARC
(3,6),-1.23682 # DEPENDENCYPART_ARC
(3,7),-0.924672 # DEPENDENCYPART_ARC
(3,8),-1.42591 # DEPENDENCYPART_ARC
(3,10),-1.08753 # DEPENDENCYPART_ARC
(3,11),-0.887275 # DEPENDENCYPART_ARC
(3,13),-1.66291 # DEPENDENCYPART_ARC
(3,14),-2.03278 # DEPENDENCYPART_ARC
(3,15),-1.91142 # DEPENDENCYPART_ARC
(3,16),-2.41927 # DEPENDENCYPART_ARC
(3,17),-1.04907 # DEPENDENCYPART_ARC
(3,28),-3.34019 # DEPENDENCYPART_ARC
(3,29),-1.63679 # DEPENDENCYPART_ARC
(5,1),-0.955419 # DEPENDENCYPART_ARC
(5,2),-1.93242 # DEPENDENCYPART_ARC
(5,4),1.94003 # DEPENDENCYPART_ARC
(6,1),-1.38186 # DEPENDENCYPART_ARC
(6,2),-1.04073 # DEPENDENCYPART_ARC
(6,3),-0.207625 # DEPENDENCYPART_ARC
(6,4),-0.602562 # DEPENDENCYPART_ARC
(6,5),1.76164 # DEPENDENCYPART_ARC
(7,1),-0.686979 # DEPENDENCYPART_ARC
(7,2),-1.62397 # DEPENDENCYPART_ARC
(7,3),-0.411116 # DEPENDENCYPART_ARC
(7,4),0.689086 # DEPENDENCYPART_ARC
(7,5),-0.778237 # DEPENDENCYPART_ARC
(7,6),2.45571 # DEPENDENCYPART_ARC
(7,8),-1.73858 # DEPENDENCYPART_ARC
(8,1),-1.60442 # DEPENDENCYPART_ARC
(8,2),-2.41933 # DEPENDENCYPART_ARC
(8,3),-0.53865 # DEPENDENCYPART_ARC
(8,4),-0.43224 # DEPENDENCYPART_ARC
(8,5),-2.7106 # DEPENDENCYPART_ARC
(8,6),0.522973 # DEPENDENCYPART_ARC
(8,7),0.874164 # DEPENDENCYPART_ARC
(8,9),-1.33122 # DEPENDENCYPART_ARC
(9,2),-0.754344 # DEPENDENCYPART_ARC
(9,3),-0.152926 # DEPENDENCYPART_ARC
(9,5),-0.407782 # DEPENDENCYPART_ARC
(9,6),-0.412941 # DEPENDENCYPART_ARC
(9,7),-0.195238 # DEPENDENCYPART_ARC
(9,8),0.488267 # DEPENDENCYPART_ARC
(9,11),-0.607015 # DEPENDENCYPART_ARC
(9,12),-0.543138 # DEPENDENCYPART_ARC
(9,13),-0.908239 # DEPENDENCYPART_ARC
(9,14),-0.933063 # DEPENDENCYPART_ARC
(9,15),-0.931841 # DEPENDENCYPART_ARC
(9,16),-0.918962 # DEPENDENCYPART_ARC
(9,29),-1.60148 # DEPENDENCYPART_ARC
(10,1),-1.56898 # DEPENDENCYPART_ARC
(10,2),0.593866 # DEPENDENCYPART_ARC
(10,3),0.339363 # DEPENDENCYPART_ARC
(10,4),-1.5021 # DEPENDENCYPART_ARC
(10,5),1.17002 # DEPENDENCYPART_ARC
(10,6),-0.893029 # DEPENDENCYPART_ARC
(10,7),1.22972 # DEPENDENCYPART_ARC
(10,8),1.39853 # DEPENDENCYPART_ARC
(10,9),2.24348 # DEPENDENCYPART_ARC
(10,11),0.696646 # DEPENDENCYPART_ARC
(10,12),2.05999 # DEPENDENCYPART_ARC
(10,13),-0.720978 # DEPENDENCYPART_ARC
(10,14),-1.28334 # DEPENDENCYPART_ARC
(10,15),0.646808 # DEPENDENCYPART_ARC
(10,16),0.812944 # DEPENDENCYPART_ARC
(10,17),-0.735928 # DEPENDENCYPART_ARC
(10,18),-0.326273 # DEPENDENCYPART_ARC
(10,19),-1.68018 # DEPENDENCYPART_ARC
(10,21),-1.3887 # DEPENDENCYPART_ARC
(10,23),-1.11711 # DEPENDENCYPART_ARC
