# _root_ A marseille-i és a párizsi , a Gare_de_l'Esten működő toborzóirodákban manapság sokszor többen jelentkeznek egy-egy nap , mint ahányat egyáltalán felvehetnek .
#goldHeads=2,10,10,5,10,10,8,9,10,14,14,14,14,0,16,14,14,14,21,21,14,14,
#predictedHeads=2,10,14,10,10,10,8,9,10,14,14,13,14,0,0,14,14,14,21,21,14,14,
(0,2),-3.3847 # DEPENDENCYPART_ARC
(0,3),-3.18966 # DEPENDENCYPART_ARC
(0,5),-3.73263 # DEPENDENCYPART_ARC
(0,10),-5.05981 # DEPENDENCYPART_ARC
(0,11),-3.99611 # DEPENDENCYPART_ARC
(0,12),-4.29805 # DEPENDENCYPART_ARC
(0,13),-4.33483 # DEPENDENCYPART_ARC
(0,14),-2.59686 # DEPENDENCYPART_ARC
(0,16),-4.30455 # DEPENDENCYPART_ARC
(0,18),-3.87723 # DEPENDENCYPART_ARC
(0,20),-4.32633 # DEPENDENCYPART_ARC
(0,21),-3.64491 # DEPENDENCYPART_ARC
(1,2),-0.483181 # DEPENDENCYPART_ARC
(1,3),-0.768005 # DEPENDENCYPART_ARC
(1,5),-1.08505 # DEPENDENCYPART_ARC
(2,1),-0.386045 # DEPENDENCYPART_ARC
(2,14),-1.90449 # DEPENDENCYPART_ARC
(2,21),-2.04913 # DEPENDENCYPART_ARC
(2,22),-1.76597 # DEPENDENCYPART_ARC
(3,1),-1.45768 # DEPENDENCYPART_ARC
(3,2),-0.67606 # DEPENDENCYPART_ARC
(3,4),-1.17961 # DEPENDENCYPART_ARC
(3,5),-1.20317 # DEPENDENCYPART_ARC
(3,6),-0.927846 # DEPENDENCYPART_ARC
(3,8),-1.33414 # DEPENDENCYPART_ARC
(3,9),-1.70215 # DEPENDENCYPART_ARC
(3,10),-1.71197 # DEPENDENCYPART_ARC
(3,11),-1.79479 # DEPENDENCYPART_ARC
(3,12),-1.53607 # DEPENDENCYPART_ARC
(3,13),-1.55025 # DEPENDENCYPART_ARC
(3,14),-1.47834 # DEPENDENCYPART_ARC
(3,16),-1.84723 # DEPENDENCYPART_ARC
(3,17),-1.01327 # DEPENDENCYPART_ARC
(3,18),-1.55293 # DEPENDENCYPART_ARC
(3,20),-1.88521 # DEPENDENCYPART_ARC
(3,21),-2.25964 # DEPENDENCYPART_ARC
(3,22),-0.518331 # DEPENDENCYPART_ARC
(4,3),-0.754726 # DEPENDENCYPART_ARC
(4,5),-0.525954 # DEPENDENCYPART_ARC
(5,1),-1.8742 # DEPENDENCYPART_ARC
(5,2),-1.29749 # DEPENDENCYPART_ARC
(5,3),-0.976091 # DEPENDENCYPART_ARC
(5,4),-0.485835 # DEPENDENCYPART_ARC
(5,6),-0.375684 # DEPENDENCYPART_ARC
(5,8),-1.40444 # DEPENDENCYPART_ARC
(5,10),-1.72095 # DEPENDENCYPART_ARC
(5,12),-1.33466 # DEPENDENCYPART_ARC
(5,13),-1.3606 # DEPENDENCYPART_ARC
(5,14),-1.44739 # DEPENDENCYPART_ARC
(5,21),-1.71063 # DEPENDENCYPART_ARC
(5,22),-1.43707 # DEPENDENCYPART_ARC
(7,9),-0.845513 # DEPENDENCYPART_ARC
(8,1),-2.53695 # DEPENDENCYPART_ARC
(8,4),-1.34694 # DEPENDENCYPART_ARC
(8,7),1.39306 # DEPENDENCYPART_ARC
(8,18),-1.38013 # DEPENDENCYPART_ARC
(9,2),-1.57314 # DEPENDENCYPART_ARC
(9,3),-0.696119 # DEPENDENCYPART_ARC
(9,4),-1.39785 # DEPENDENCYPART_ARC
(9,5),-1.09072 # DEPENDENCYPART_ARC
(9,6),-0.533825 # DEPENDENCYPART_ARC
(9,7),-0.528402 # DEPENDENCYPART_ARC
(9,8),1.03372 # DEPENDENCYPART_ARC
(9,11),-1.58145 # DEPENDENCYPART_ARC
(9,12),-1.41136 # DEPENDENCYPART_ARC
(9,13),-1.5165 # DEPENDENCYPART_ARC
(9,18),-1.8124 # DEPENDENCYPART_ARC
(10,1),-1.27847 # DEPENDENCYPART_ARC
(10,2),-0.971298 # DEPENDENCYPART_ARC
(10,3),-0.310276 # DEPENDENCYPART_ARC
(10,4),-0.259599 # DEPENDENCYPART_ARC
(10,5),-0.0631652 # DEPENDENCYPART_ARC
(10,6),0.0424707 # DEPENDENCYPART_ARC
(10,7),0.606143 # DEPENDENCYPART_ARC
(10,8),0.514566 # DEPENDENCYPART_ARC
(10,9),2.7981 # DEPENDENCYPART_ARC
(10,11),-1.24731 # DEPENDENCYPART_ARC
(10,12),-1.5454 # DEPENDENCYPART_ARC
(10,13),-1.57338 # DEPENDENCYPART_ARC
(10,16),-1.72206 # DEPENDENCYPART_ARC
(10,17),-1.06404 # DEPENDENCYPART_ARC
(11,2),-1.48863 # DEPENDENCYPART_ARC
(11,3),-0.808135 # DEPENDENCYPART_ARC
(11,5),-1.39742 # DEPENDENCYPART_ARC
(11,6),-1.23973 # DEPENDENCYPART_ARC
(11,8),-0.807974 # DEPENDENCYPART_ARC
(11,9),-0.933048 # DEPENDENCYPART_ARC
(11,10),-0.274832 # DEPENDENCYPART_ARC
(11,12),-0.743031 # DEPENDENCYPART_ARC
(11,13),-0.944586 # DEPENDENCYPART_ARC
(11,14),-0.96572 # DEPENDENCYPART_ARC
(11,16),-1.30614 # DEPENDENCYPART_ARC
(11,17),-0.862806 # DEPENDENCYPART_ARC
(11,18),-0.987719 # DEPENDENCYPART_ARC
(11,20),-1.34812 # DEPENDENCYPART_ARC
(11,21),-1.42901 # DEPENDENCYPART_ARC
(11,22),-1.62858 # DEPENDENCYPART_ARC
(12,6),-1.43097 # DEPENDENCYPART_ARC
(12,8),-1.33278 # DEPENDENCYPART_ARC
(12,10),-1.07789 # DEPENDENCYPART_ARC
(12,11),-0.174333 # DEPENDENCYPART_ARC
(12,13),-1.0113 # DEPENDENCYPART_ARC
(12,14),-0.560097 # DEPENDENCYPART_ARC
(12,17),-0.969722 # DEPENDENCYPART_ARC
(12,21),-1.10931 # DEPENDENCYPART_ARC
(12,22),-1.21307 # DEPENDENCYPART_ARC
(13,6),-1.21469 # DEPENDENCYPART_ARC
(13,8),-1.17969 # DEPENDENCYPART_ARC
(13,10),-1.09695 # DEPENDENCYPART_ARC
(13,11),-0.529533 # DEPENDENCYPART_ARC
(13,12),0.465301 # DEPENDENCYPART_ARC
(13,14),-0.623798 # DEPENDENCYPART_ARC
(13,17),-1.15038 # DEPENDENCYPART_ARC
(13,21),-1.42941 # DEPENDENCYPART_ARC
(13,22),-1.48159 # DEPENDENCYPART_ARC
(14,1),-1.7024 # DEPENDENCYPART_ARC
(14,2),-2.13741 # DEPENDENCYPART_ARC
(14,3),-0.401196 # DEPENDENCYPART_ARC
(14,4),-1.68966 # DEPENDENCYPART_ARC
(14,5),-1.98954 # DEPENDENCYPART_ARC
(14,6),-0.437086 # DEPENDENCYPART_ARC
(14,7),-1.63396 # DEPENDENCYPART_ARC
(14,8),-0.523104 # DEPENDENCYPART_ARC
(14,9),-1.29143 # DEPENDENCYPART_ARC
(14,10),1.74075 # DEPENDENCYPART_ARC
(14,11),0.747228 # DEPENDENCYPART_ARC
(14,12),0.550448 # DEPENDENCYPART_ARC
(14,13),2.05381 # DEPENDENCYPART_ARC
(14,16),0.669312 # DEPENDENCYPART_ARC
(14,17),0.205123 # DEPENDENCYPART_ARC
(14,18),1.49663 # DEPENDENCYPART_ARC
(14,19),-1.04658 # DEPENDENCYPART_ARC
(14,20),-0.805306 # DEPENDENCYPART_ARC
(14,21),-0.213954 # DEPENDENCYPART_ARC
(14,22),-0.752503 # DEPENDENCYPART_ARC
(16,10),-1.43756 # DEPENDENCYPART_ARC
(16,11),-1.01703 # DEPENDENCYPART_ARC
(16,12),-1.25985 # DEPENDENCYPART_ARC
(16,13),-1.04636 # DEPENDENCYPART_ARC
(16,14),-0.970127 # DEPENDENCYPART_ARC
(16,17),-0.84844 # DEPENDENCYPART_ARC
(16,18),-1.21797 # DEPENDENCYPART_ARC
(16,20),-1.41013 # DEPENDENCYPART_ARC
(16,21),-1.33644 # DEPENDENCYPART_ARC
(16,22),-1.65929 # DEPENDENCYPART_ARC
(18,2),-1.61084 # DEPENDENCYPART_ARC
(18,3),-1.17231 # DEPENDENCYPART_ARC
(18,5),-1.48663 # DEPENDENCYPART_ARC
(18,6),-1.71062 # DEPENDENCYPART_ARC
(18,8),-1.29496 # DEPENDENCYPART_ARC
(18,9),-1.37742 # DEPENDENCYPART_ARC
(18,10),-1.60468 # DEPENDENCYPART_ARC
(18,11),-1.66927 # DEPENDENCYPART_ARC
(18,14),-2.21812 # DEPENDENCYPART_ARC
(18,16),-0.341311 # DEPENDENCYPART_ARC
(18,17),0.103635 # DEPENDENCYPART_ARC
(18,20),-1.30016 # DEPENDENCYPART_ARC
(18,21),-0.524419 # DEPENDENCYPART_ARC
(18,22),-0.366569 # DEPENDENCYPART_ARC
(20,16),-1.3878 # DEPENDENCYPART_ARC
(20,17),-1.44137 # DEPENDENCYPART_ARC
(20,18),-1.28629 # DEPENDENCYPART_ARC
(20,19),-0.607566 # DEPENDENCYPART_ARC
(21,1),-1.89928 # DEPENDENCYPART_ARC
(21,2),-2.58865 # DEPENDENCYPART_ARC
(21,3),-0.55828 # DEPENDENCYPART_ARC
(21,4),-2.02076 # DEPENDENCYPART_ARC
(21,5),-2.73253 # DEPENDENCYPART_ARC
(21,6),-1.07171 # DEPENDENCYPART_ARC
(21,7),-2.09381 # DEPENDENCYPART_ARC
(21,8),-1.79681 # DEPENDENCYPART_ARC
(21,9),-2.28697 # DEPENDENCYPART_ARC
(21,10),0.218747 # DEPENDENCYPART_ARC
(21,11),-0.773677 # DEPENDENCYPART_ARC
(21,12),-0.982545 # DEPENDENCYPART_ARC
(21,13),-0.226506 # DEPENDENCYPART_ARC
(21,14),-0.799681 # DEPENDENCYPART_ARC
(21,16),-0.0767707 # DEPENDENCYPART_ARC
(21,17),-0.392234 # DEPENDENCYPART_ARC
(21,18),-0.0852506 # DEPENDENCYPART_ARC
(21,19),0.914303 # DEPENDENCYPART_ARC
(21,20),2.27579 # DEPENDENCYPART_ARC
(21,22),-0.287943 # DEPENDENCYPART_ARC
(0,15),-4.24093 # DEPENDENCYPART_ARC
(0,2),(0,3),-0.0987385 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.0627034 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.0345846 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.035195 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.0127777 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.0127643 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.0886079 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.0127611 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.0351953 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.080027 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.0359684 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.0886079 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.0897728 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.0674034 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.0699859 # DEPENDENCYPART_SIBL
