# _root_ Elismerte ugyanakkor , hogy kevés léket vágtak az őstó jégfelületén , de — hangsúlyozta — az egyesület álláspontja szerint nem ez volt a halpusztulás oka .
#goldHeads=12,1,1,1,6,7,1,9,10,7,12,0,14,12,14,17,18,19,22,22,22,14,24,25,22,12,
#predictedHeads=12,1,1,1,6,7,12,9,10,7,12,0,14,12,14,17,18,19,22,22,22,12,24,25,22,12,
(0,1),-0.805802 # DEPENDENCYPART_ARC
(0,2),-3.35327 # DEPENDENCYPART_ARC
(0,4),-2.72374 # DEPENDENCYPART_ARC
(0,7),-2.77792 # DEPENDENCYPART_ARC
(0,12),-1.73565 # DEPENDENCYPART_ARC
(0,14),-2.62375 # DEPENDENCYPART_ARC
(0,20),-4.08432 # DEPENDENCYPART_ARC
(0,21),-4.70238 # DEPENDENCYPART_ARC
(0,22),-3.67051 # DEPENDENCYPART_ARC
(1,2),1.88022 # DEPENDENCYPART_ARC
(1,3),0.788221 # DEPENDENCYPART_ARC
(1,4),1.67078 # DEPENDENCYPART_ARC
(1,5),-0.776852 # DEPENDENCYPART_ARC
(1,6),0.170418 # DEPENDENCYPART_ARC
(1,7),0.401733 # DEPENDENCYPART_ARC
(1,8),-1.82095 # DEPENDENCYPART_ARC
(1,9),-1.4398 # DEPENDENCYPART_ARC
(1,10),-0.225959 # DEPENDENCYPART_ARC
(1,11),-0.192746 # DEPENDENCYPART_ARC
(1,12),-0.231612 # DEPENDENCYPART_ARC
(1,13),-0.471308 # DEPENDENCYPART_ARC
(1,14),-0.48346 # DEPENDENCYPART_ARC
(1,15),-0.679033 # DEPENDENCYPART_ARC
(1,17),-3.25305 # DEPENDENCYPART_ARC
(1,18),-3.00959 # DEPENDENCYPART_ARC
(1,19),-1.53475 # DEPENDENCYPART_ARC
(1,20),-1.09443 # DEPENDENCYPART_ARC
(1,21),-2.27704 # DEPENDENCYPART_ARC
(1,22),-0.299348 # DEPENDENCYPART_ARC
(1,25),-3.09033 # DEPENDENCYPART_ARC
