# _root_ Ám 1996-ban született egy újabb rendelet , amely alapján a díj magasabb lett , mint amennyit a szegedi orvosegyetem előzőleg kifizetett .
#goldHeads=3,3,0,6,6,3,3,9,13,11,13,13,3,13,13,21,19,19,21,21,13,3,
#predictedHeads=3,3,0,6,6,3,3,13,13,11,13,13,3,13,13,21,19,19,21,21,13,3,
(0,1),-2.86331 # DEPENDENCYPART_ARC
(0,2),-3.19681 # DEPENDENCYPART_ARC
(0,3),-1.5054 # DEPENDENCYPART_ARC
(0,6),-4.30312 # DEPENDENCYPART_ARC
(0,13),-2.71982 # DEPENDENCYPART_ARC
(0,15),-3.94829 # DEPENDENCYPART_ARC
(0,21),-3.19348 # DEPENDENCYPART_ARC
(1,2),-0.96954 # DEPENDENCYPART_ARC
(1,3),-0.00807323 # DEPENDENCYPART_ARC
(1,5),-1.4886 # DEPENDENCYPART_ARC
(1,6),-1.29127 # DEPENDENCYPART_ARC
(1,7),-0.589176 # DEPENDENCYPART_ARC
(1,9),-1.70384 # DEPENDENCYPART_ARC
(1,11),-1.66587 # DEPENDENCYPART_ARC
(1,12),-1.8705 # DEPENDENCYPART_ARC
(1,13),-1.07248 # DEPENDENCYPART_ARC
(1,14),-0.858024 # DEPENDENCYPART_ARC
(1,15),-1.36655 # DEPENDENCYPART_ARC
(1,19),-1.8949 # DEPENDENCYPART_ARC
(1,20),-1.69274 # DEPENDENCYPART_ARC
(1,21),-1.56725 # DEPENDENCYPART_ARC
(1,22),-0.644543 # DEPENDENCYPART_ARC
(2,1),-0.073845 # DEPENDENCYPART_ARC
(2,3),-0.330794 # DEPENDENCYPART_ARC
(2,5),-1.22167 # DEPENDENCYPART_ARC
(2,6),-1.20925 # DEPENDENCYPART_ARC
(2,7),-1.0378 # DEPENDENCYPART_ARC
(2,13),-1.38377 # DEPENDENCYPART_ARC
(2,14),-1.09865 # DEPENDENCYPART_ARC
(2,21),-1.47414 # DEPENDENCYPART_ARC
(2,22),-0.948572 # DEPENDENCYPART_ARC
(3,1),0.795021 # DEPENDENCYPART_ARC
(3,2),2.50517 # DEPENDENCYPART_ARC
(3,5),-0.0657669 # DEPENDENCYPART_ARC
(3,6),1.52175 # DEPENDENCYPART_ARC
(3,7),0.891502 # DEPENDENCYPART_ARC
(3,8),-0.883829 # DEPENDENCYPART_ARC
(3,9),0.456985 # DEPENDENCYPART_ARC
(3,10),-1.56994 # DEPENDENCYPART_ARC
(3,11),-0.829961 # DEPENDENCYPART_ARC
(3,12),-1.4744 # DEPENDENCYPART_ARC
(3,13),0.44783 # DEPENDENCYPART_ARC
(3,14),-0.0284476 # DEPENDENCYPART_ARC
(3,15),0.399552 # DEPENDENCYPART_ARC
(3,16),-1.69387 # DEPENDENCYPART_ARC
(3,18),-1.93448 # DEPENDENCYPART_ARC
(3,19),-1.78042 # DEPENDENCYPART_ARC
(3,20),-1.13158 # DEPENDENCYPART_ARC
(3,21),-0.524364 # DEPENDENCYPART_ARC
(3,22),-0.202395 # DEPENDENCYPART_ARC
(4,5),-0.46151 # DEPENDENCYPART_ARC
(5,1),-1.63819 # DEPENDENCYPART_ARC
(5,2),-1.44639 # DEPENDENCYPART_ARC
(5,4),-0.438862 # DEPENDENCYPART_ARC
(5,13),-1.67413 # DEPENDENCYPART_ARC
(6,1),-0.963418 # DEPENDENCYPART_ARC
(6,2),-1.58839 # DEPENDENCYPART_ARC
(6,3),-0.373284 # DEPENDENCYPART_ARC
(6,4),1.43662 # DEPENDENCYPART_ARC
(6,5),2.35683 # DEPENDENCYPART_ARC
(6,7),-0.562004 # DEPENDENCYPART_ARC
(6,8),-1.65769 # DEPENDENCYPART_ARC
(6,9),-2.0582 # DEPENDENCYPART_ARC
(6,11),-1.51735 # DEPENDENCYPART_ARC
(6,13),-1.48809 # DEPENDENCYPART_ARC
(6,21),-1.78293 # DEPENDENCYPART_ARC
(6,22),-1.71924 # DEPENDENCYPART_ARC
(8,9),-0.978293 # DEPENDENCYPART_ARC
(8,11),-0.905249 # DEPENDENCYPART_ARC
(8,12),-0.691287 # DEPENDENCYPART_ARC
(8,19),-1.40715 # DEPENDENCYPART_ARC
(9,1),-1.76022 # DEPENDENCYPART_ARC
(9,2),-3.64168 # DEPENDENCYPART_ARC
(9,3),-3.6141 # DEPENDENCYPART_ARC
(9,4),-1.34844 # DEPENDENCYPART_ARC
(9,5),-1.41257 # DEPENDENCYPART_ARC
(9,6),-0.490236 # DEPENDENCYPART_ARC
(9,7),-1.49947 # DEPENDENCYPART_ARC
(9,8),0.329599 # DEPENDENCYPART_ARC
(9,10),-1.72132 # DEPENDENCYPART_ARC
(9,11),-1.1387 # DEPENDENCYPART_ARC
(9,12),-1.68269 # DEPENDENCYPART_ARC
(9,14),-1.22961 # DEPENDENCYPART_ARC
(9,19),-1.85702 # DEPENDENCYPART_ARC
(9,21),-1.89612 # DEPENDENCYPART_ARC
(9,22),-1.73387 # DEPENDENCYPART_ARC
(10,12),-1.04242 # DEPENDENCYPART_ARC
(11,4),-1.35538 # DEPENDENCYPART_ARC
(11,6),-2.2865 # DEPENDENCYPART_ARC
(11,8),-1.23953 # DEPENDENCYPART_ARC
