# _root_ — 1997 telén a szponzorokkal megállapodtunk , hogy a ' 98-as szezonra egy F2-es Opel_Astrát vásárolunk , amit egy jó nevű német cég készít fel a versenyekre — nyilatkozta az újdonsült bronzérmes .
#goldHeads=29,3,6,5,6,29,6,6,12,12,12,16,15,15,16,6,16,24,23,21,23,23,24,16,24,27,24,29,0,32,32,29,29,
#predictedHeads=29,3,6,5,6,29,29,6,12,29,12,16,14,15,16,29,29,24,23,23,23,23,24,29,24,27,24,29,0,32,32,29,29,
(0,2),-3.29488 # DEPENDENCYPART_ARC
(0,3),-4.15337 # DEPENDENCYPART_ARC
(0,6),-2.36564 # DEPENDENCYPART_ARC
(0,8),-3.71218 # DEPENDENCYPART_ARC
(0,16),-3.54295 # DEPENDENCYPART_ARC
(0,24),-3.66957 # DEPENDENCYPART_ARC
(0,25),-5.14173 # DEPENDENCYPART_ARC
(0,29),-2.35334 # DEPENDENCYPART_ARC
(2,1),-0.304408 # DEPENDENCYPART_ARC
(2,3),-1.19281 # DEPENDENCYPART_ARC
(2,5),-1.8403 # DEPENDENCYPART_ARC
(2,6),-1.39187 # DEPENDENCYPART_ARC
(2,7),-1.25286 # DEPENDENCYPART_ARC
(2,12),-2.25573 # DEPENDENCYPART_ARC
(2,16),-1.62384 # DEPENDENCYPART_ARC
(2,24),-1.47748 # DEPENDENCYPART_ARC
(2,28),-1.51125 # DEPENDENCYPART_ARC
(2,29),-1.96697 # DEPENDENCYPART_ARC
(2,33),-0.832943 # DEPENDENCYPART_ARC
(3,1),-0.783951 # DEPENDENCYPART_ARC
(3,2),1.97978 # DEPENDENCYPART_ARC
(3,4),-1.65312 # DEPENDENCYPART_ARC
(3,5),-1.13012 # DEPENDENCYPART_ARC
(3,7),-1.09589 # DEPENDENCYPART_ARC
(3,12),-2.08678 # DEPENDENCYPART_ARC
(3,14),-1.80805 # DEPENDENCYPART_ARC
(3,24),-2.21203 # DEPENDENCYPART_ARC
(3,29),-2.38288 # DEPENDENCYPART_ARC
(3,33),-1.1129 # DEPENDENCYPART_ARC
(5,1),-1.45132 # DEPENDENCYPART_ARC
(5,2),-1.61159 # DEPENDENCYPART_ARC
(5,3),-2.50059 # DEPENDENCYPART_ARC
(5,4),1.30059 # DEPENDENCYPART_ARC
(5,33),-1.42791 # DEPENDENCYPART_ARC
(6,1),-0.173956 # DEPENDENCYPART_ARC
(6,2),-1.04125 # DEPENDENCYPART_ARC
(6,3),1.89239 # DEPENDENCYPART_ARC
(6,4),-0.452617 # DEPENDENCYPART_ARC
(6,5),2.85495 # DEPENDENCYPART_ARC
(6,7),0.310251 # DEPENDENCYPART_ARC
(6,8),1.88411 # DEPENDENCYPART_ARC
(6,9),-1.66201 # DEPENDENCYPART_ARC
(6,10),-0.629477 # DEPENDENCYPART_ARC
(6,11),-1.39052 # DEPENDENCYPART_ARC
(6,12),-1.48017 # DEPENDENCYPART_ARC
(6,14),-1.16412 # DEPENDENCYPART_ARC
(6,15),-2.24943 # DEPENDENCYPART_ARC
(6,16),0.287046 # DEPENDENCYPART_ARC
(6,17),-0.677263 # DEPENDENCYPART_ARC
(6,18),-2.98609 # DEPENDENCYPART_ARC
(6,20),-2.54078 # DEPENDENCYPART_ARC
(6,21),-2.55769 # DEPENDENCYPART_ARC
(6,23),-3.52774 # DEPENDENCYPART_ARC
(6,24),-0.654999 # DEPENDENCYPART_ARC
(6,25),-1.65606 # DEPENDENCYPART_ARC
