# _root_ A tervgazdaságban , ahol nem működik valódi gazdasági kalkuláció , a központi tervezőnek nincs eszköze a versengő beruházási javaslatok közötti ésszerű választáshoz .
#goldHeads=2,14,14,6,6,14,9,9,6,14,13,13,14,0,14,19,19,19,20,22,22,14,14,
#predictedHeads=2,6,6,6,6,0,9,9,6,6,13,13,14,6,14,19,19,19,20,22,22,14,6,
(0,2),-3.33192 # DEPENDENCYPART_ARC
(0,4),-3.64715 # DEPENDENCYPART_ARC
(0,5),-3.62565 # DEPENDENCYPART_ARC
(0,6),-2.25329 # DEPENDENCYPART_ARC
(0,7),-3.94612 # DEPENDENCYPART_ARC
(0,8),-4.06539 # DEPENDENCYPART_ARC
(0,9),-4.47312 # DEPENDENCYPART_ARC
(0,14),-2.98438 # DEPENDENCYPART_ARC
(1,3),-0.797389 # DEPENDENCYPART_ARC
(2,1),1.79719 # DEPENDENCYPART_ARC
(2,3),-0.617022 # DEPENDENCYPART_ARC
(2,6),-1.60267 # DEPENDENCYPART_ARC
(2,9),-1.8469 # DEPENDENCYPART_ARC
(2,10),-1.11463 # DEPENDENCYPART_ARC
(2,23),-1.56765 # DEPENDENCYPART_ARC
(4,2),-1.24893 # DEPENDENCYPART_ARC
(4,3),-0.794541 # DEPENDENCYPART_ARC
(4,6),-0.735168 # DEPENDENCYPART_ARC
(4,9),-1.18421 # DEPENDENCYPART_ARC
(4,10),-0.879618 # DEPENDENCYPART_ARC
(4,13),-1.7175 # DEPENDENCYPART_ARC
(4,14),-1.17444 # DEPENDENCYPART_ARC
(4,19),-1.87197 # DEPENDENCYPART_ARC
(4,22),-1.90428 # DEPENDENCYPART_ARC
(4,23),-1.79463 # DEPENDENCYPART_ARC
(5,2),-1.53544 # DEPENDENCYPART_ARC
(5,3),-1.6014 # DEPENDENCYPART_ARC
(5,4),-0.466247 # DEPENDENCYPART_ARC
(5,6),-0.816761 # DEPENDENCYPART_ARC
(5,7),-1.23628 # DEPENDENCYPART_ARC
(5,9),-1.32584 # DEPENDENCYPART_ARC
(5,10),-1.20332 # DEPENDENCYPART_ARC
(5,13),-1.88195 # DEPENDENCYPART_ARC
(5,14),-1.62452 # DEPENDENCYPART_ARC
(5,23),-1.66825 # DEPENDENCYPART_ARC
(6,1),-1.75318 # DEPENDENCYPART_ARC
(6,2),0.132015 # DEPENDENCYPART_ARC
(6,3),0.080032 # DEPENDENCYPART_ARC
(6,4),1.21896 # DEPENDENCYPART_ARC
(6,5),2.05276 # DEPENDENCYPART_ARC
(6,7),0.818762 # DEPENDENCYPART_ARC
(6,8),0.200588 # DEPENDENCYPART_ARC
(6,9),1.43933 # DEPENDENCYPART_ARC
(6,10),0.3105 # DEPENDENCYPART_ARC
(6,11),-1.70933 # DEPENDENCYPART_ARC
(6,12),-1.06306 # DEPENDENCYPART_ARC
(6,13),0.289727 # DEPENDENCYPART_ARC
(6,14),0.262963 # DEPENDENCYPART_ARC
(6,15),-0.184088 # DEPENDENCYPART_ARC
(6,17),-1.73449 # DEPENDENCYPART_ARC
(6,18),-1.75204 # DEPENDENCYPART_ARC
(6,19),-1.14424 # DEPENDENCYPART_ARC
(6,20),-1.86144 # DEPENDENCYPART_ARC
(6,21),-1.87028 # DEPENDENCYPART_ARC
(6,22),-0.0186775 # DEPENDENCYPART_ARC
(6,23),-0.442887 # DEPENDENCYPART_ARC
(7,1),-2.09648 # DEPENDENCYPART_ARC
(7,2),-1.29166 # DEPENDENCYPART_ARC
(7,3),-1.28583 # DEPENDENCYPART_ARC
(7,4),-0.849541 # DEPENDENCYPART_ARC
(7,5),-0.716266 # DEPENDENCYPART_ARC
(7,6),-0.352102 # DEPENDENCYPART_ARC
(7,8),-1.32239 # DEPENDENCYPART_ARC
(7,9),-1.26506 # DEPENDENCYPART_ARC
(7,10),-0.90295 # DEPENDENCYPART_ARC
(7,14),-1.45036 # DEPENDENCYPART_ARC
(7,22),-2.30404 # DEPENDENCYPART_ARC
(8,1),-2.19187 # DEPENDENCYPART_ARC
(8,2),-1.67104 # DEPENDENCYPART_ARC
(8,3),-1.37376 # DEPENDENCYPART_ARC
(8,4),-1.22397 # DEPENDENCYPART_ARC
(8,5),-1.11199 # DEPENDENCYPART_ARC
(8,6),-1.09564 # DEPENDENCYPART_ARC
(8,7),0.251843 # DEPENDENCYPART_ARC
(9,1),-0.734469 # DEPENDENCYPART_ARC
(9,2),-3.15209 # DEPENDENCYPART_ARC
(9,3),-0.919596 # DEPENDENCYPART_ARC
(9,4),-0.979326 # DEPENDENCYPART_ARC
(9,5),-0.782049 # DEPENDENCYPART_ARC
(9,6),-0.595363 # DEPENDENCYPART_ARC
(9,7),1.45097 # DEPENDENCYPART_ARC
(9,8),2.55328 # DEPENDENCYPART_ARC
(9,10),-0.498434 # DEPENDENCYPART_ARC
(9,12),-1.74139 # DEPENDENCYPART_ARC
(9,13),-1.45071 # DEPENDENCYPART_ARC
(9,14),-1.32909 # DEPENDENCYPART_ARC
(9,19),-1.63935 # DEPENDENCYPART_ARC
(9,20),-2.31196 # DEPENDENCYPART_ARC
(9,22),-2.23592 # DEPENDENCYPART_ARC
(9,23),-1.70421 # DEPENDENCYPART_ARC
(11,12),-0.43107 # DEPENDENCYPART_ARC
(11,15),-1.5871 # DEPENDENCYPART_ARC
(11,17),-1.19868 # DEPENDENCYPART_ARC
(12,4),-2.20164 # DEPENDENCYPART_ARC
(12,7),-2.11445 # DEPENDENCYPART_ARC
(12,9),-2.20712 # DEPENDENCYPART_ARC
(12,11),-0.544933 # DEPENDENCYPART_ARC
(13,1),-2.28122 # DEPENDENCYPART_ARC
(13,5),-1.34297 # DEPENDENCYPART_ARC
(13,6),-2.007 # DEPENDENCYPART_ARC
(13,7),-0.952925 # DEPENDENCYPART_ARC
(13,8),-0.510524 # DEPENDENCYPART_ARC
(13,9),-1.06958 # DEPENDENCYPART_ARC
(13,10),-0.742118 # DEPENDENCYPART_ARC
(13,11),1.1114 # DEPENDENCYPART_ARC
(13,12),2.34228 # DEPENDENCYPART_ARC
(13,15),-1.64564 # DEPENDENCYPART_ARC
(13,19),-1.68619 # DEPENDENCYPART_ARC
(13,22),-2.10991 # DEPENDENCYPART_ARC
(14,2),-1.35739 # DEPENDENCYPART_ARC
(14,3),-0.270721 # DEPENDENCYPART_ARC
(14,4),-0.0687675 # DEPENDENCYPART_ARC
(14,5),-0.430459 # DEPENDENCYPART_ARC
(14,6),-0.394632 # DEPENDENCYPART_ARC
(14,7),-1.53164 # DEPENDENCYPART_ARC
(14,8),-1.34436 # DEPENDENCYPART_ARC
(14,9),-0.127999 # DEPENDENCYPART_ARC
(14,10),0.369719 # DEPENDENCYPART_ARC
(14,11),-1.09567 # DEPENDENCYPART_ARC
(14,12),-0.136758 # DEPENDENCYPART_ARC
(14,13),2.61796 # DEPENDENCYPART_ARC
(14,15),1.99327 # DEPENDENCYPART_ARC
(14,16),-1.37344 # DEPENDENCYPART_ARC
(14,17),-0.761175 # DEPENDENCYPART_ARC
(14,18),-0.84986 # DEPENDENCYPART_ARC
(14,19),-0.025733 # DEPENDENCYPART_ARC
(14,20),-1.30708 # DEPENDENCYPART_ARC
(14,21),-1.37967 # DEPENDENCYPART_ARC
(14,22),0.741021 # DEPENDENCYPART_ARC
(14,23),-0.657165 # DEPENDENCYPART_ARC
(15,11),-1.30784 # DEPENDENCYPART_ARC
(15,12),-0.817096 # DEPENDENCYPART_ARC
(15,13),-0.578498 # DEPENDENCYPART_ARC
(15,14),-1.18854 # DEPENDENCYPART_ARC
(15,16),-1.61012 # DEPENDENCYPART_ARC
(15,17),-1.45105 # DEPENDENCYPART_ARC
(15,18),-1.44789 # DEPENDENCYPART_ARC
(15,19),-0.737905 # DEPENDENCYPART_ARC
(15,20),-1.71375 # DEPENDENCYPART_ARC
(15,22),-1.66591 # DEPENDENCYPART_ARC
(15,23),-1.19789 # DEPENDENCYPART_ARC
(16,17),-0.472301 # DEPENDENCYPART_ARC
(16,18),-0.811026 # DEPENDENCYPART_ARC
(16,19),-1.33624 # DEPENDENCYPART_ARC
(16,20),-1.08088 # DEPENDENCYPART_ARC
(17,11),-2.34997 # DEPENDENCYPART_ARC
(17,15),-1.69669 # DEPENDENCYPART_ARC
(17,16),-0.623058 # DEPENDENCYPART_ARC
(17,22),-1.85347 # DEPENDENCYPART_ARC
(18,11),-1.94898 # DEPENDENCYPART_ARC
(18,13),-2.23675 # DEPENDENCYPART_ARC
(18,15),-1.67512 # DEPENDENCYPART_ARC
(18,16),-0.889292 # DEPENDENCYPART_ARC
(18,17),0.654817 # DEPENDENCYPART_ARC
(18,22),-1.95055 # DEPENDENCYPART_ARC
(19,7),-2.28601 # DEPENDENCYPART_ARC
(19,8),-1.99036 # DEPENDENCYPART_ARC
(19,11),-0.873827 # DEPENDENCYPART_ARC
(19,12),-0.985802 # DEPENDENCYPART_ARC
(19,13),-2.73679 # DEPENDENCYPART_ARC
(19,14),-1.5135 # DEPENDENCYPART_ARC
(19,15),-1.99195 # DEPENDENCYPART_ARC
(19,16),0.910268 # DEPENDENCYPART_ARC
(19,17),1.47023 # DEPENDENCYPART_ARC
(19,18),2.58188 # DEPENDENCYPART_ARC
(19,20),-1.33732 # DEPENDENCYPART_ARC
(19,22),-1.73379 # DEPENDENCYPART_ARC
(19,23),-1.40165 # DEPENDENCYPART_ARC
(20,2),-1.31559 # DEPENDENCYPART_ARC
(20,3),-0.685934 # DEPENDENCYPART_ARC
(20,6),-1.29752 # DEPENDENCYPART_ARC
(20,9),-2.03472 # DEPENDENCYPART_ARC
(20,10),-0.603046 # DEPENDENCYPART_ARC
(20,12),-1.45252 # DEPENDENCYPART_ARC
(20,13),-1.52073 # DEPENDENCYPART_ARC
(20,14),-0.924503 # DEPENDENCYPART_ARC
(20,15),-1.12436 # DEPENDENCYPART_ARC
(20,16),-0.740336 # DEPENDENCYPART_ARC
(20,17),-0.291302 # DEPENDENCYPART_ARC
(20,18),0.0671404 # DEPENDENCYPART_ARC
(20,19),0.836126 # DEPENDENCYPART_ARC
(20,21),-1.23656 # DEPENDENCYPART_ARC
(20,23),-1.35694 # DEPENDENCYPART_ARC
(21,15),-2.26094 # DEPENDENCYPART_ARC
(21,16),-1.61177 # DEPENDENCYPART_ARC
(21,17),-1.04256 # DEPENDENCYPART_ARC
(21,18),-0.945475 # DEPENDENCYPART_ARC
(21,19),-0.972784 # DEPENDENCYPART_ARC
(21,20),0.398904 # DEPENDENCYPART_ARC
(22,2),-5.00756 # DEPENDENCYPART_ARC
(22,7),-2.63815 # DEPENDENCYPART_ARC
(22,8),-2.4286 # DEPENDENCYPART_ARC
(22,10),-1.2518 # DEPENDENCYPART_ARC
(22,11),-1.29061 # DEPENDENCYPART_ARC
(22,12),-1.45908 # DEPENDENCYPART_ARC
(22,13),-2.85777 # DEPENDENCYPART_ARC
(22,14),-1.7088 # DEPENDENCYPART_ARC
(22,15),-2.10609 # DEPENDENCYPART_ARC
(22,16),0.303207 # DEPENDENCYPART_ARC
