# _root_ Az első hidegzuhany az esztergomi ralin ért , ahol a motor úgy kikészült , hogy a kukába lehetett dobni .
#goldHeads=3,3,7,6,6,7,0,7,13,11,13,13,7,13,13,17,19,13,18,7,
#predictedHeads=3,3,7,6,6,7,0,7,13,11,13,13,7,13,13,17,19,13,18,7,
(0,2),-2.95253 # DEPENDENCYPART_ARC
(0,3),-3.04944 # DEPENDENCYPART_ARC
(0,7),-1.52824 # DEPENDENCYPART_ARC
(0,9),-4.03726 # DEPENDENCYPART_ARC
(0,12),-4.21053 # DEPENDENCYPART_ARC
(0,13),-2.52893 # DEPENDENCYPART_ARC
(0,15),-4.41724 # DEPENDENCYPART_ARC
(0,18),-2.92739 # DEPENDENCYPART_ARC
(0,19),-4.80604 # DEPENDENCYPART_ARC
(1,2),-0.42543 # DEPENDENCYPART_ARC
(1,5),-0.965312 # DEPENDENCYPART_ARC
(1,6),-1.46083 # DEPENDENCYPART_ARC
(2,1),-0.215286 # DEPENDENCYPART_ARC
(2,6),-1.85907 # DEPENDENCYPART_ARC
(2,7),-1.16242 # DEPENDENCYPART_ARC
(3,1),0.204275 # DEPENDENCYPART_ARC
(3,2),0.704782 # DEPENDENCYPART_ARC
(3,6),-0.891783 # DEPENDENCYPART_ARC
(3,7),-0.920761 # DEPENDENCYPART_ARC
(3,8),-0.745363 # DEPENDENCYPART_ARC
(3,11),-1.31117 # DEPENDENCYPART_ARC
(3,14),-0.76427 # DEPENDENCYPART_ARC
(3,17),-1.44202 # DEPENDENCYPART_ARC
(4,5),-0.514057 # DEPENDENCYPART_ARC
(5,1),-1.79863 # DEPENDENCYPART_ARC
(5,3),-0.789707 # DEPENDENCYPART_ARC
(5,4),-0.422512 # DEPENDENCYPART_ARC
(5,13),-1.73469 # DEPENDENCYPART_ARC
(5,20),-1.56016 # DEPENDENCYPART_ARC
(6,1),-0.524595 # DEPENDENCYPART_ARC
(6,2),0.186089 # DEPENDENCYPART_ARC
(6,3),-0.32749 # DEPENDENCYPART_ARC
(6,4),1.12779 # DEPENDENCYPART_ARC
(6,5),2.23432 # DEPENDENCYPART_ARC
(6,7),-0.998304 # DEPENDENCYPART_ARC
(6,8),-1.1351 # DEPENDENCYPART_ARC
(6,11),-1.89608 # DEPENDENCYPART_ARC
(6,13),-1.68428 # DEPENDENCYPART_ARC
(6,18),-2.00469 # DEPENDENCYPART_ARC
(6,19),-1.99737 # DEPENDENCYPART_ARC
(6,20),-1.81539 # DEPENDENCYPART_ARC
(7,1),-1.08854 # DEPENDENCYPART_ARC
(7,2),-0.54216 # DEPENDENCYPART_ARC
(7,3),0.0783993 # DEPENDENCYPART_ARC
(7,4),-0.719407 # DEPENDENCYPART_ARC
(7,5),0.180065 # DEPENDENCYPART_ARC
(7,6),3.26848 # DEPENDENCYPART_ARC
(7,8),0.340842 # DEPENDENCYPART_ARC
(7,9),-0.34291 # DEPENDENCYPART_ARC
(7,10),-1.87913 # DEPENDENCYPART_ARC
(7,11),-1.30991 # DEPENDENCYPART_ARC
(7,12),-0.969512 # DEPENDENCYPART_ARC
(7,13),0.0282106 # DEPENDENCYPART_ARC
(7,14),-0.66998 # DEPENDENCYPART_ARC
(7,15),-0.404655 # DEPENDENCYPART_ARC
(7,17),-2.62444 # DEPENDENCYPART_ARC
(7,18),-0.598593 # DEPENDENCYPART_ARC
(7,19),0.265384 # DEPENDENCYPART_ARC
(7,20),-1.46298 # DEPENDENCYPART_ARC
(9,6),-1.07451 # DEPENDENCYPART_ARC
(9,8),-0.504567 # DEPENDENCYPART_ARC
(9,11),-0.620608 # DEPENDENCYPART_ARC
(9,13),-0.660097 # DEPENDENCYPART_ARC
(9,14),-0.887714 # DEPENDENCYPART_ARC
(9,17),-1.55855 # DEPENDENCYPART_ARC
(9,18),-1.07481 # DEPENDENCYPART_ARC
(9,19),-1.07539 # DEPENDENCYPART_ARC
(9,20),-1.59142 # DEPENDENCYPART_ARC
(11,1),-2.36288 # DEPENDENCYPART_ARC
(11,2),-1.89266 # DEPENDENCYPART_ARC
(11,3),-1.93513 # DEPENDENCYPART_ARC
(11,4),-1.84092 # DEPENDENCYPART_ARC
(11,7),-1.40988 # DEPENDENCYPART_ARC
(11,8),-1.23647 # DEPENDENCYPART_ARC
(11,9),-1.07526 # DEPENDENCYPART_ARC
(11,10),1.73227 # DEPENDENCYPART_ARC
(11,12),-1.16165 # DEPENDENCYPART_ARC
(11,14),-0.920365 # DEPENDENCYPART_ARC
(11,18),-1.37923 # DEPENDENCYPART_ARC
(11,19),-1.46002 # DEPENDENCYPART_ARC
(11,20),-1.63849 # DEPENDENCYPART_ARC
(12,7),-1.16498 # DEPENDENCYPART_ARC
(12,8),-1.14082 # DEPENDENCYPART_ARC
(12,11),-0.131556 # DEPENDENCYPART_ARC
(12,13),-0.539189 # DEPENDENCYPART_ARC
(12,14),-0.910084 # DEPENDENCYPART_ARC
(12,17),-1.51907 # DEPENDENCYPART_ARC
(12,18),-1.25406 # DEPENDENCYPART_ARC
(12,19),-1.29903 # DEPENDENCYPART_ARC
(12,20),-1.54378 # DEPENDENCYPART_ARC
(13,1),-1.91345 # DEPENDENCYPART_ARC
(13,3),-0.705429 # DEPENDENCYPART_ARC
(13,4),-1.78751 # DEPENDENCYPART_ARC
(13,5),-1.54015 # DEPENDENCYPART_ARC
(13,6),0.451069 # DEPENDENCYPART_ARC
(13,7),-0.571088 # DEPENDENCYPART_ARC
(13,8),-0.189752 # DEPENDENCYPART_ARC
(13,9),1.24291 # DEPENDENCYPART_ARC
(13,10),-1.16343 # DEPENDENCYPART_ARC
(13,11),1.71898 # DEPENDENCYPART_ARC
(13,12),2.35616 # DEPENDENCYPART_ARC
(13,14),0.91012 # DEPENDENCYPART_ARC
(13,15),2.34163 # DEPENDENCYPART_ARC
(13,16),-1.55692 # DEPENDENCYPART_ARC
(13,17),-0.458239 # DEPENDENCYPART_ARC
(13,18),0.665475 # DEPENDENCYPART_ARC
(13,19),1.18227 # DEPENDENCYPART_ARC
(13,20),-0.874803 # DEPENDENCYPART_ARC
(15,5),-1.38333 # DEPENDENCYPART_ARC
(15,6),-1.84915 # DEPENDENCYPART_ARC
(15,7),-3.20193 # DEPENDENCYPART_ARC
(15,8),-2.00385 # DEPENDENCYPART_ARC
(15,11),-0.654824 # DEPENDENCYPART_ARC
(15,12),-0.642065 # DEPENDENCYPART_ARC
(15,13),-1.92841 # DEPENDENCYPART_ARC
(15,14),0.157056 # DEPENDENCYPART_ARC
(15,17),-1.27495 # DEPENDENCYPART_ARC
(15,18),-0.242439 # DEPENDENCYPART_ARC
(15,19),-0.960992 # DEPENDENCYPART_ARC
(15,20),-0.684996 # DEPENDENCYPART_ARC
(17,3),-2.13668 # DEPENDENCYPART_ARC
(17,10),-2.06595 # DEPENDENCYPART_ARC
(17,13),-2.21888 # DEPENDENCYPART_ARC
(17,14),-1.23139 # DEPENDENCYPART_ARC
(17,15),-0.980624 # DEPENDENCYPART_ARC
(17,16),1.47934 # DEPENDENCYPART_ARC
(17,18),-0.583987 # DEPENDENCYPART_ARC
(18,1),-2.48164 # DEPENDENCYPART_ARC
(18,3),-1.7539 # DEPENDENCYPART_ARC
(18,4),-2.54591 # DEPENDENCYPART_ARC
(18,6),-1.28816 # DEPENDENCYPART_ARC
(18,7),-1.9051 # DEPENDENCYPART_ARC
(18,8),-1.1805 # DEPENDENCYPART_ARC
(18,9),-0.70494 # DEPENDENCYPART_ARC
(18,11),-0.941878 # DEPENDENCYPART_ARC
(18,12),-0.976339 # DEPENDENCYPART_ARC
(18,13),-1.43813 # DEPENDENCYPART_ARC
(18,14),-0.777585 # DEPENDENCYPART_ARC
(18,15),-0.765484 # DEPENDENCYPART_ARC
(18,16),-1.33629 # DEPENDENCYPART_ARC
(18,17),0.743308 # DEPENDENCYPART_ARC
(18,19),3.45264 # DEPENDENCYPART_ARC
(18,20),-0.192378 # DEPENDENCYPART_ARC
(19,1),-1.22083 # DEPENDENCYPART_ARC
(19,3),-0.732318 # DEPENDENCYPART_ARC
(19,4),-1.2604 # DEPENDENCYPART_ARC
(19,5),-0.989328 # DEPENDENCYPART_ARC
(19,6),0.428914 # DEPENDENCYPART_ARC
(19,7),-1.9914 # DEPENDENCYPART_ARC
(19,8),-0.509605 # DEPENDENCYPART_ARC
(19,9),0.0498003 # DEPENDENCYPART_ARC
(19,10),-1.25617 # DEPENDENCYPART_ARC
(19,11),-0.669484 # DEPENDENCYPART_ARC
(19,12),-0.215648 # DEPENDENCYPART_ARC
(19,13),-1.693 # DEPENDENCYPART_ARC
(19,14),-0.229284 # DEPENDENCYPART_ARC
(19,15),-0.352933 # DEPENDENCYPART_ARC
(19,16),-0.67121 # DEPENDENCYPART_ARC
(19,17),2.0128 # DEPENDENCYPART_ARC
(19,18),0.0337327 # DEPENDENCYPART_ARC
(19,20),-0.693103 # DEPENDENCYPART_ARC
(0,2),(0,3),0.00592505 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.0773981 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.0357043 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.0358269 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.0772325 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.0950995 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.0772396 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.0772325 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.0611811 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.0128338 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.0131417 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.0611809 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.0923855 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.0613036 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.0611809 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.113787 # DEPENDENCYPART_SIBL
(0,7),(0,12),-0.115478 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.245624 # DEPENDENCYPART_SIBL
(0,7),(0,15),-0.265819 # DEPENDENCYPART_SIBL
(0,7),(0,18),-0.245028 # DEPENDENCYPART_SIBL
(0,7),(0,19),-0.245733 # DEPENDENCYPART_SIBL
(0,9),(0,12),-0.0652277 # DEPENDENCYPART_SIBL
(0,9),(0,13),-0.111522 # DEPENDENCYPART_SIBL
(0,9),(0,15),-0.109236 # DEPENDENCYPART_SIBL
(0,9),(0,18),-0.111544 # DEPENDENCYPART_SIBL
(0,9),(0,19),-0.111901 # DEPENDENCYPART_SIBL
(0,12),(0,13),-0.0979564 # DEPENDENCYPART_SIBL
(0,12),(0,15),-0.0994452 # DEPENDENCYPART_SIBL
(0,12),(0,18),-0.0979787 # DEPENDENCYPART_SIBL
(0,12),(0,19),-0.098336 # DEPENDENCYPART_SIBL
(0,13),(0,15),-0.265529 # DEPENDENCYPART_SIBL
(0,13),(0,18),-0.24487 # DEPENDENCYPART_SIBL
(0,13),(0,19),-0.245574 # DEPENDENCYPART_SIBL
(0,15),(0,18),-0.130086 # DEPENDENCYPART_SIBL
(0,15),(0,19),-0.13042 # DEPENDENCYPART_SIBL
(0,18),(0,19),-0.237204 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.0374352 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.0416267 # DEPENDENCYPART_SIBL
(1,5),(1,6),0.0387916 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0110322 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0189914 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.050032 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.201804 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0109584 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0176573 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0481026 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0109584 # DEPENDENCYPART_SIBL
(3,1),(3,14),-0.0481026 # DEPENDENCYPART_SIBL
(3,1),(3,17),-0.0109584 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0159482 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0117232 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0140016 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.0159482 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.0140016 # DEPENDENCYPART_SIBL
(3,2),(3,17),0.0159482 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.0418689 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.112135 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.059444 # DEPENDENCYPART_SIBL
(3,6),(3,14),0.112135 # DEPENDENCYPART_SIBL
(3,6),(3,17),0.0594451 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.0983679 # DEPENDENCYPART_SIBL
(3,7),(3,11),0.0531982 # DEPENDENCYPART_SIBL
(3,7),(3,14),0.0983679 # DEPENDENCYPART_SIBL
(3,7),(3,17),0.0531982 # DEPENDENCYPART_SIBL
(3,8),(3,11),0.161904 # DEPENDENCYPART_SIBL
(3,8),(3,14),0.0129318 # DEPENDENCYPART_SIBL
(3,8),(3,17),0.161904 # DEPENDENCYPART_SIBL
(3,11),(3,14),0.112135 # DEPENDENCYPART_SIBL
(3,11),(3,17),0.0594443 # DEPENDENCYPART_SIBL
(3,14),(3,17),0.161904 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.12468 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.15485 # DEPENDENCYPART_SIBL
(5,1),(5,13),-0.00553261 # DEPENDENCYPART_SIBL
(5,1),(5,20),-0.0146767 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.025252 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.0177514 # DEPENDENCYPART_SIBL
(5,3),(5,20),0.0212229 # DEPENDENCYPART_SIBL
(5,4),(5,13),-0.00553261 # DEPENDENCYPART_SIBL
(5,4),(5,20),-0.0146767 # DEPENDENCYPART_SIBL
(5,13),(5,20),0.0759838 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.357756 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.0938331 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.497702 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.204725 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.0125964 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0165824 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.00571552 # DEPENDENCYPART_SIBL
(6,1),(6,13),-0.0121052 # DEPENDENCYPART_SIBL
(6,1),(6,18),-0.0146658 # DEPENDENCYPART_SIBL
(6,1),(6,19),-0.0121052 # DEPENDENCYPART_SIBL
(6,1),(6,20),-0.0202729 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.105068 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.269774 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.198473 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.00561378 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.0148303 # DEPENDENCYPART_SIBL
(6,2),(6,11),0.00776751 # DEPENDENCYPART_SIBL
(6,2),(6,13),0.00617436 # DEPENDENCYPART_SIBL
(6,2),(6,18),0.00364304 # DEPENDENCYPART_SIBL
(6,2),(6,19),0.00617436 # DEPENDENCYPART_SIBL
(6,2),(6,20),0.0267382 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.265254 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.0172814 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.00593119 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0410892 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.0103106 # DEPENDENCYPART_SIBL
(6,3),(6,13),-0.00544396 # DEPENDENCYPART_SIBL
(6,3),(6,18),-0.00639769 # DEPENDENCYPART_SIBL
(6,3),(6,19),-0.00544396 # DEPENDENCYPART_SIBL
(6,3),(6,20),0.0289004 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.204725 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0125964 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0165824 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.00571552 # DEPENDENCYPART_SIBL
(6,4),(6,13),-0.0121052 # DEPENDENCYPART_SIBL
(6,4),(6,18),-0.0146658 # DEPENDENCYPART_SIBL
(6,4),(6,19),-0.0121052 # DEPENDENCYPART_SIBL
(6,4),(6,20),-0.0202729 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.0394142 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.0329118 # DEPENDENCYPART_SIBL
(6,5),(6,11),-0.00411379 # DEPENDENCYPART_SIBL
(6,5),(6,13),-0.0400735 # DEPENDENCYPART_SIBL
(6,5),(6,18),-0.0416413 # DEPENDENCYPART_SIBL
(6,5),(6,19),-0.0400735 # DEPENDENCYPART_SIBL
(6,5),(6,20),-0.00425058 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.169813 # DEPENDENCYPART_SIBL
(6,7),(6,11),0.0761576 # DEPENDENCYPART_SIBL
(6,7),(6,13),0.0507359 # DEPENDENCYPART_SIBL
(6,7),(6,18),0.0507432 # DEPENDENCYPART_SIBL
(6,7),(6,19),0.0506275 # DEPENDENCYPART_SIBL
(6,7),(6,20),0.217858 # DEPENDENCYPART_SIBL
(6,8),(6,11),0.342981 # DEPENDENCYPART_SIBL
(6,8),(6,13),0.425607 # DEPENDENCYPART_SIBL
(6,8),(6,18),0.422792 # DEPENDENCYPART_SIBL
(6,8),(6,19),0.424364 # DEPENDENCYPART_SIBL
(6,8),(6,20),0.0787788 # DEPENDENCYPART_SIBL
(6,11),(6,13),0.058216 # DEPENDENCYPART_SIBL
(6,11),(6,18),0.0587286 # DEPENDENCYPART_SIBL
(6,11),(6,19),0.057844 # DEPENDENCYPART_SIBL
(6,11),(6,20),0.0485647 # DEPENDENCYPART_SIBL
(6,13),(6,18),0.0510531 # DEPENDENCYPART_SIBL
(6,13),(6,19),0.0509374 # DEPENDENCYPART_SIBL
(6,13),(6,20),0.211166 # DEPENDENCYPART_SIBL
(6,18),(6,19),0.0592291 # DEPENDENCYPART_SIBL
(6,18),(6,20),0.238509 # DEPENDENCYPART_SIBL
(6,19),(6,20),0.210461 # DEPENDENCYPART_SIBL
(7,1),(7,2),0.117888 # DEPENDENCYPART_SIBL
(7,1),(7,3),0.0647935 # DEPENDENCYPART_SIBL
(7,1),(7,4),-0.0793284 # DEPENDENCYPART_SIBL
(7,1),(7,5),0.0534921 # DEPENDENCYPART_SIBL
(7,1),(7,6),0.0142338 # DEPENDENCYPART_SIBL
(7,1),(7,8),0.03153 # DEPENDENCYPART_SIBL
(7,1),(7,9),0.0298345 # DEPENDENCYPART_SIBL
(7,1),(7,10),0.064065 # DEPENDENCYPART_SIBL
(7,1),(7,11),0.0129736 # DEPENDENCYPART_SIBL
(7,1),(7,12),0.0454983 # DEPENDENCYPART_SIBL
(7,1),(7,13),-0.00972141 # DEPENDENCYPART_SIBL
(7,1),(7,14),0.03153 # DEPENDENCYPART_SIBL
(7,1),(7,15),0.0837422 # DEPENDENCYPART_SIBL
(7,1),(7,17),0.0129736 # DEPENDENCYPART_SIBL
(7,1),(7,18),-0.0126974 # DEPENDENCYPART_SIBL
(7,1),(7,19),-0.00952176 # DEPENDENCYPART_SIBL
(7,1),(7,20),0.0316568 # DEPENDENCYPART_SIBL
(7,2),(7,3),0.0204939 # DEPENDENCYPART_SIBL
(7,2),(7,4),-0.0118253 # DEPENDENCYPART_SIBL
(7,2),(7,5),0.0567016 # DEPENDENCYPART_SIBL
(7,2),(7,6),0.0118742 # DEPENDENCYPART_SIBL
(7,2),(7,8),0.0228751 # DEPENDENCYPART_SIBL
(7,2),(7,9),0.0763529 # DEPENDENCYPART_SIBL
(7,2),(7,10),0.0249548 # DEPENDENCYPART_SIBL
(7,2),(7,11),0.0218171 # DEPENDENCYPART_SIBL
(7,2),(7,12),0.0935182 # DEPENDENCYPART_SIBL
(7,2),(7,13),0.00785314 # DEPENDENCYPART_SIBL
(7,2),(7,14),0.0228751 # DEPENDENCYPART_SIBL
(7,2),(7,15),-0.00971879 # DEPENDENCYPART_SIBL
(7,2),(7,17),0.0218171 # DEPENDENCYPART_SIBL
(7,2),(7,18),0.00482402 # DEPENDENCYPART_SIBL
(7,2),(7,19),0.00805282 # DEPENDENCYPART_SIBL
(7,2),(7,20),0.0260377 # DEPENDENCYPART_SIBL
(7,3),(7,4),0.0244865 # DEPENDENCYPART_SIBL
(7,3),(7,5),0.00218409 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.00829725 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.0472708 # DEPENDENCYPART_SIBL
(7,3),(7,9),0.00928135 # DEPENDENCYPART_SIBL
(7,3),(7,10),-0.00449544 # DEPENDENCYPART_SIBL
(7,3),(7,11),-0.0405633 # DEPENDENCYPART_SIBL
(7,3),(7,12),0.0293117 # DEPENDENCYPART_SIBL
(7,3),(7,13),-0.0460401 # DEPENDENCYPART_SIBL
(7,3),(7,14),-0.0472708 # DEPENDENCYPART_SIBL
(7,3),(7,15),0.0190542 # DEPENDENCYPART_SIBL
(7,3),(7,17),-0.0405633 # DEPENDENCYPART_SIBL
(7,3),(7,18),-0.0480805 # DEPENDENCYPART_SIBL
(7,3),(7,19),-0.0458404 # DEPENDENCYPART_SIBL
(7,3),(7,20),-0.0183132 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.0534921 # DEPENDENCYPART_SIBL
(7,4),(7,6),0.0142338 # DEPENDENCYPART_SIBL
(7,4),(7,8),0.03153 # DEPENDENCYPART_SIBL
(7,4),(7,9),0.0298345 # DEPENDENCYPART_SIBL
(7,4),(7,10),0.064065 # DEPENDENCYPART_SIBL
(7,4),(7,11),0.0129736 # DEPENDENCYPART_SIBL
(7,4),(7,12),0.0454983 # DEPENDENCYPART_SIBL
(7,4),(7,13),-0.00972141 # DEPENDENCYPART_SIBL
(7,4),(7,14),0.03153 # DEPENDENCYPART_SIBL
(7,4),(7,15),0.0837422 # DEPENDENCYPART_SIBL
(7,4),(7,17),0.0129736 # DEPENDENCYPART_SIBL
(7,4),(7,18),-0.0126974 # DEPENDENCYPART_SIBL
(7,4),(7,19),-0.00952176 # DEPENDENCYPART_SIBL
(7,4),(7,20),0.0316568 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.013651 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.0035811 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.0238716 # DEPENDENCYPART_SIBL
(7,5),(7,10),-0.0139347 # DEPENDENCYPART_SIBL
