# _root_ A junior lányok versenyén Mester_Orsolyáé ( 347 ) az első hely , a fiúk között Dienes_Miklósé ( 505 ) , aki mögött Varga_Zoltán a harmadik lett ( 495 ) .
#goldHeads=3,3,4,5,0,7,5,7,11,11,5,5,14,15,16,5,18,16,18,16,22,26,26,25,26,16,28,26,28,5,
#predictedHeads=3,3,4,5,0,7,5,7,11,11,15,15,14,15,16,26,18,16,18,26,22,26,26,25,26,0,28,26,28,26,
(0,3),-3.7464 # DEPENDENCYPART_ARC
(0,4),-4.26407 # DEPENDENCYPART_ARC
(0,5),-3.86801 # DEPENDENCYPART_ARC
(0,7),-3.83624 # DEPENDENCYPART_ARC
(0,11),-5.01249 # DEPENDENCYPART_ARC
(0,15),-4.64811 # DEPENDENCYPART_ARC
(0,18),-4.74946 # DEPENDENCYPART_ARC
(0,22),-4.85327 # DEPENDENCYPART_ARC
(0,23),-5.68406 # DEPENDENCYPART_ARC
(0,25),-5.11268 # DEPENDENCYPART_ARC
(0,26),-3.03893 # DEPENDENCYPART_ARC
(0,28),-5.35372 # DEPENDENCYPART_ARC
(1,2),-0.571087 # DEPENDENCYPART_ARC
(2,1),-0.450386 # DEPENDENCYPART_ARC
(2,7),-1.58939 # DEPENDENCYPART_ARC
(3,1),1.20736 # DEPENDENCYPART_ARC
(3,2),2.19324 # DEPENDENCYPART_ARC
(3,5),-2.12034 # DEPENDENCYPART_ARC
(3,6),-1.03756 # DEPENDENCYPART_ARC
(3,7),-1.77991 # DEPENDENCYPART_ARC
(3,15),-2.05961 # DEPENDENCYPART_ARC
(3,22),-2.03962 # DEPENDENCYPART_ARC
(3,26),-2.1073 # DEPENDENCYPART_ARC
(3,30),-1.06032 # DEPENDENCYPART_ARC
(4,1),-0.390685 # DEPENDENCYPART_ARC
(4,2),0.713452 # DEPENDENCYPART_ARC
(4,3),3.45947 # DEPENDENCYPART_ARC
(4,5),-1.17191 # DEPENDENCYPART_ARC
(4,6),-1.05346 # DEPENDENCYPART_ARC
(4,7),-1.58079 # DEPENDENCYPART_ARC
(4,8),-1.05869 # DEPENDENCYPART_ARC
(4,11),-1.88029 # DEPENDENCYPART_ARC
(4,15),-1.90235 # DEPENDENCYPART_ARC
(4,22),-2.00045 # DEPENDENCYPART_ARC
(4,26),-1.89632 # DEPENDENCYPART_ARC
(4,30),-0.890969 # DEPENDENCYPART_ARC
(5,1),-0.653856 # DEPENDENCYPART_ARC
(5,2),-0.993371 # DEPENDENCYPART_ARC
(5,3),0.00977144 # DEPENDENCYPART_ARC
(5,4),-0.237415 # DEPENDENCYPART_ARC
(5,6),-0.275138 # DEPENDENCYPART_ARC
(5,7),-0.921981 # DEPENDENCYPART_ARC
(5,8),-0.579729 # DEPENDENCYPART_ARC
(5,11),-1.1177 # DEPENDENCYPART_ARC
(5,12),-0.73133 # DEPENDENCYPART_ARC
(5,14),-1.66749 # DEPENDENCYPART_ARC
(5,15),-1.36295 # DEPENDENCYPART_ARC
(5,16),-1.99442 # DEPENDENCYPART_ARC
(5,17),-0.983665 # DEPENDENCYPART_ARC
(5,19),-0.68399 # DEPENDENCYPART_ARC
(5,20),-1.09879 # DEPENDENCYPART_ARC
(5,26),-1.58311 # DEPENDENCYPART_ARC
(5,27),-1.30894 # DEPENDENCYPART_ARC
(5,29),-0.834346 # DEPENDENCYPART_ARC
(5,30),-0.478752 # DEPENDENCYPART_ARC
