# _root_ Egyértelmű sikernek könyvelheti el , hogy a sokáig kizárólag klasszikusokhoz szoktatott , jómódú salzburgi publikum idővel hajlandónak mutatkozott befogadni a kortárs zenét is .
#goldHeads=2,3,0,3,3,3,15,11,11,11,15,15,15,15,18,18,18,3,18,22,22,19,18,3,
#predictedHeads=2,3,0,3,3,3,15,11,11,11,15,15,15,15,18,17,19,3,18,22,22,19,18,3,
(0,1),-3.15015 # DEPENDENCYPART_ARC
(0,2),-3.51325 # DEPENDENCYPART_ARC
(0,3),-1.60224 # DEPENDENCYPART_ARC
(0,4),-3.80077 # DEPENDENCYPART_ARC
(0,6),-2.84607 # DEPENDENCYPART_ARC
(0,8),-3.89312 # DEPENDENCYPART_ARC
(0,18),-3.05348 # DEPENDENCYPART_ARC
(0,19),-5.07185 # DEPENDENCYPART_ARC
(0,23),-4.68879 # DEPENDENCYPART_ARC
(1,18),-1.80921 # DEPENDENCYPART_ARC
(1,19),-2.15576 # DEPENDENCYPART_ARC
(1,24),-1.7081 # DEPENDENCYPART_ARC
(2,1),2.43655 # DEPENDENCYPART_ARC
(3,1),-0.0440285 # DEPENDENCYPART_ARC
(3,2),2.49924 # DEPENDENCYPART_ARC
(3,4),2.10104 # DEPENDENCYPART_ARC
(3,5),0.363824 # DEPENDENCYPART_ARC
(3,6),1.40005 # DEPENDENCYPART_ARC
(3,7),-1.80037 # DEPENDENCYPART_ARC
(3,8),-0.587893 # DEPENDENCYPART_ARC
(3,9),-0.571228 # DEPENDENCYPART_ARC
(3,10),-1.69717 # DEPENDENCYPART_ARC
(3,11),-1.2265 # DEPENDENCYPART_ARC
(3,12),-0.772786 # DEPENDENCYPART_ARC
(3,13),-1.53094 # DEPENDENCYPART_ARC
(3,14),-1.65401 # DEPENDENCYPART_ARC
(3,15),-1.91192 # DEPENDENCYPART_ARC
(3,16),-1.05338 # DEPENDENCYPART_ARC
(3,17),-0.783392 # DEPENDENCYPART_ARC
(3,18),-0.405395 # DEPENDENCYPART_ARC
(3,19),-0.0427206 # DEPENDENCYPART_ARC
(3,21),-2.41583 # DEPENDENCYPART_ARC
(3,22),-1.67396 # DEPENDENCYPART_ARC
(3,23),-1.067 # DEPENDENCYPART_ARC
(3,24),-0.883424 # DEPENDENCYPART_ARC
(4,1),-0.927009 # DEPENDENCYPART_ARC
(4,2),-0.539047 # DEPENDENCYPART_ARC
(4,5),-0.862547 # DEPENDENCYPART_ARC
(4,6),-1.17002 # DEPENDENCYPART_ARC
(4,24),-2.32678 # DEPENDENCYPART_ARC
(6,1),-0.73911 # DEPENDENCYPART_ARC
(6,2),-0.932742 # DEPENDENCYPART_ARC
(6,3),-2.09391 # DEPENDENCYPART_ARC
(6,4),-0.209507 # DEPENDENCYPART_ARC
(6,5),0.312734 # DEPENDENCYPART_ARC
(6,11),-1.67555 # DEPENDENCYPART_ARC
(6,12),-0.857037 # DEPENDENCYPART_ARC
(6,13),-1.71916 # DEPENDENCYPART_ARC
(6,14),-1.85911 # DEPENDENCYPART_ARC
(6,15),-2.07301 # DEPENDENCYPART_ARC
