# _root_ Sokan őt okolták ugyanis a vereségért , hiszen a nevéhez fűződött például az 1993-as , nagy port kavart MDF-Fidesz-székházügy .
#goldHeads=3,3,8,3,6,3,8,0,10,11,8,11,19,19,19,17,18,19,11,8,
#predictedHeads=3,3,8,3,6,3,8,0,10,11,8,11,19,19,19,17,18,19,11,8,
(0,1),-2.90373 # DEPENDENCYPART_ARC
(0,2),-3.75136 # DEPENDENCYPART_ARC
(0,3),-1.42862 # DEPENDENCYPART_ARC
(0,4),-2.7482 # DEPENDENCYPART_ARC
(0,8),-1.78511 # DEPENDENCYPART_ARC
(0,11),-2.61613 # DEPENDENCYPART_ARC
(1,3),-0.966149 # DEPENDENCYPART_ARC
(1,4),-0.95696 # DEPENDENCYPART_ARC
(1,6),-1.46274 # DEPENDENCYPART_ARC
(1,7),-1.12151 # DEPENDENCYPART_ARC
(1,8),-1.03043 # DEPENDENCYPART_ARC
(1,11),-1.42453 # DEPENDENCYPART_ARC
(1,19),-2.30436 # DEPENDENCYPART_ARC
(1,20),-1.74704 # DEPENDENCYPART_ARC
(2,3),0.336807 # DEPENDENCYPART_ARC
(2,6),-0.75636 # DEPENDENCYPART_ARC
(2,7),-0.595146 # DEPENDENCYPART_ARC
(2,10),-1.16009 # DEPENDENCYPART_ARC
(2,11),1.10448 # DEPENDENCYPART_ARC
(2,17),-1.39781 # DEPENDENCYPART_ARC
(2,19),-0.878989 # DEPENDENCYPART_ARC
(2,20),-1.57392 # DEPENDENCYPART_ARC
(3,1),0.912487 # DEPENDENCYPART_ARC
(3,2),1.84535 # DEPENDENCYPART_ARC
(3,4),1.27501 # DEPENDENCYPART_ARC
(3,5),-1.04398 # DEPENDENCYPART_ARC
(3,6),0.751118 # DEPENDENCYPART_ARC
(3,7),0.346257 # DEPENDENCYPART_ARC
(3,8),0.0927975 # DEPENDENCYPART_ARC
(3,9),-1.73769 # DEPENDENCYPART_ARC
(3,10),-0.661711 # DEPENDENCYPART_ARC
(3,11),0.170807 # DEPENDENCYPART_ARC
(3,12),-0.711254 # DEPENDENCYPART_ARC
(3,14),-1.82232 # DEPENDENCYPART_ARC
(3,15),-0.830668 # DEPENDENCYPART_ARC
(3,16),-2.06708 # DEPENDENCYPART_ARC
(3,17),-1.80275 # DEPENDENCYPART_ARC
(3,19),-2.36101 # DEPENDENCYPART_ARC
(3,20),-0.570142 # DEPENDENCYPART_ARC
(4,1),-1.14887 # DEPENDENCYPART_ARC
(4,2),-1.87107 # DEPENDENCYPART_ARC
