# _root_ Amiből még olyan következtetést is le lehet vonni , hogy nem is maga a szabadság olyan fontos és nélkülözhetetlen az emberfajtának , hanem a szabadság utáni vágy : a szabadság szivárványos képe .
#goldHeads=8,8,4,8,8,7,0,7,7,7,12,3,12,15,13,17,19,19,12,21,12,3,3,25,26,27,3,27,30,32,32,27,7,
#predictedHeads=7,7,4,8,7,7,0,7,7,7,12,23,15,15,12,17,19,19,23,21,26,23,7,25,26,27,23,27,30,32,32,27,7,
(0,2),-3.29543 # DEPENDENCYPART_ARC
(0,3),-3.76969 # DEPENDENCYPART_ARC
(0,4),-3.97839 # DEPENDENCYPART_ARC
(0,5),-3.77643 # DEPENDENCYPART_ARC
(0,6),-3.72022 # DEPENDENCYPART_ARC
(0,7),-2.22965 # DEPENDENCYPART_ARC
(0,8),-4.28858 # DEPENDENCYPART_ARC
(0,10),-4.04299 # DEPENDENCYPART_ARC
(0,13),-4.21556 # DEPENDENCYPART_ARC
(0,18),-3.69577 # DEPENDENCYPART_ARC
(0,19),-3.86812 # DEPENDENCYPART_ARC
(0,23),-3.3747 # DEPENDENCYPART_ARC
(1,4),-1.35706 # DEPENDENCYPART_ARC
(1,5),-0.89092 # DEPENDENCYPART_ARC
(2,1),-0.81972 # DEPENDENCYPART_ARC
(2,4),-1.08691 # DEPENDENCYPART_ARC
(2,5),-1.00509 # DEPENDENCYPART_ARC
(2,7),-1.2697 # DEPENDENCYPART_ARC
(2,33),-2.67899 # DEPENDENCYPART_ARC
(3,1),-1.37261 # DEPENDENCYPART_ARC
(3,2),-0.706663 # DEPENDENCYPART_ARC
(3,4),-1.10162 # DEPENDENCYPART_ARC
(3,5),-1.17358 # DEPENDENCYPART_ARC
(3,6),-0.966511 # DEPENDENCYPART_ARC
(3,7),-0.204727 # DEPENDENCYPART_ARC
(3,8),-0.776953 # DEPENDENCYPART_ARC
(3,9),-0.141982 # DEPENDENCYPART_ARC
(3,10),-0.29837 # DEPENDENCYPART_ARC
(3,11),-0.738762 # DEPENDENCYPART_ARC
(3,12),-1.0212 # DEPENDENCYPART_ARC
(3,13),-0.995798 # DEPENDENCYPART_ARC
(3,15),-1.31258 # DEPENDENCYPART_ARC
(3,16),-0.980024 # DEPENDENCYPART_ARC
(3,17),-1.14933 # DEPENDENCYPART_ARC
(3,18),-0.343073 # DEPENDENCYPART_ARC
(3,19),-1.05491 # DEPENDENCYPART_ARC
(3,21),-1.73083 # DEPENDENCYPART_ARC
(3,22),-0.320389 # DEPENDENCYPART_ARC
(3,23),-0.105807 # DEPENDENCYPART_ARC
(3,25),-1.48829 # DEPENDENCYPART_ARC
(3,26),-1.13765 # DEPENDENCYPART_ARC
(3,27),-1.55766 # DEPENDENCYPART_ARC
(3,28),-0.751126 # DEPENDENCYPART_ARC
(3,30),-1.64146 # DEPENDENCYPART_ARC
(3,31),-1.08834 # DEPENDENCYPART_ARC
(3,32),-1.5456 # DEPENDENCYPART_ARC
(4,1),-0.844923 # DEPENDENCYPART_ARC
(4,2),-0.302244 # DEPENDENCYPART_ARC
(4,3),1.88548 # DEPENDENCYPART_ARC
(5,1),-1.66227 # DEPENDENCYPART_ARC
(5,2),-0.490537 # DEPENDENCYPART_ARC
(5,3),-1.25569 # DEPENDENCYPART_ARC
(5,4),-0.858541 # DEPENDENCYPART_ARC
(5,7),-0.470473 # DEPENDENCYPART_ARC
(5,8),-1.59089 # DEPENDENCYPART_ARC
(5,9),-1.1182 # DEPENDENCYPART_ARC
(6,2),-0.471961 # DEPENDENCYPART_ARC
(6,4),-0.461086 # DEPENDENCYPART_ARC
(6,5),-0.0231361 # DEPENDENCYPART_ARC
(6,9),-0.782455 # DEPENDENCYPART_ARC
(6,33),-1.75075 # DEPENDENCYPART_ARC
(7,1),-0.760001 # DEPENDENCYPART_ARC
(7,2),-0.198582 # DEPENDENCYPART_ARC
(7,3),-0.679226 # DEPENDENCYPART_ARC
(7,4),-0.60322 # DEPENDENCYPART_ARC
(7,5),0.884075 # DEPENDENCYPART_ARC
(7,6),1.78494 # DEPENDENCYPART_ARC
(7,8),3.38344 # DEPENDENCYPART_ARC
(7,9),0.500153 # DEPENDENCYPART_ARC
(7,10),1.45472 # DEPENDENCYPART_ARC
(7,11),-0.860781 # DEPENDENCYPART_ARC
(7,12),-0.919737 # DEPENDENCYPART_ARC
(7,13),-1.7634 # DEPENDENCYPART_ARC
(7,14),-2.24757 # DEPENDENCYPART_ARC
(7,16),-1.35219 # DEPENDENCYPART_ARC
(7,17),-1.60833 # DEPENDENCYPART_ARC
(7,18),-0.952778 # DEPENDENCYPART_ARC
(7,19),-1.81967 # DEPENDENCYPART_ARC
(7,22),-0.985917 # DEPENDENCYPART_ARC
(7,23),-1.02578 # DEPENDENCYPART_ARC
(7,27),-2.24732 # DEPENDENCYPART_ARC
(7,28),-1.4615 # DEPENDENCYPART_ARC
(7,32),-2.62628 # DEPENDENCYPART_ARC
(7,33),-1.0227 # DEPENDENCYPART_ARC
(8,1),-0.125304 # DEPENDENCYPART_ARC
(8,2),-0.236663 # DEPENDENCYPART_ARC
(8,3),-0.766471 # DEPENDENCYPART_ARC
(8,4),1.67911 # DEPENDENCYPART_ARC
(8,5),0.392453 # DEPENDENCYPART_ARC
(8,6),0.941624 # DEPENDENCYPART_ARC
(8,7),0.139284 # DEPENDENCYPART_ARC
(8,9),0.0170248 # DEPENDENCYPART_ARC
(8,10),-0.119847 # DEPENDENCYPART_ARC
(8,11),-1.12141 # DEPENDENCYPART_ARC
(8,12),-1.23458 # DEPENDENCYPART_ARC
(8,13),-1.46129 # DEPENDENCYPART_ARC
(8,16),-1.72309 # DEPENDENCYPART_ARC
(8,17),-0.994985 # DEPENDENCYPART_ARC
(8,18),-1.42604 # DEPENDENCYPART_ARC
(8,19),-1.11372 # DEPENDENCYPART_ARC
(8,22),-1.39262 # DEPENDENCYPART_ARC
(8,23),-1.5855 # DEPENDENCYPART_ARC
(8,27),-2.85037 # DEPENDENCYPART_ARC
(8,28),-1.58576 # DEPENDENCYPART_ARC
(8,32),-2.82683 # DEPENDENCYPART_ARC
(8,33),-0.766011 # DEPENDENCYPART_ARC
(10,1),-1.75455 # DEPENDENCYPART_ARC
(10,2),-1.15341 # DEPENDENCYPART_ARC
(10,3),-1.27433 # DEPENDENCYPART_ARC
(10,4),-1.95184 # DEPENDENCYPART_ARC
(10,5),-0.80042 # DEPENDENCYPART_ARC
(10,7),-2.18337 # DEPENDENCYPART_ARC
(10,8),-0.997039 # DEPENDENCYPART_ARC
(10,9),0.344645 # DEPENDENCYPART_ARC
(10,11),-1.03632 # DEPENDENCYPART_ARC
(10,12),-1.26238 # DEPENDENCYPART_ARC
(10,13),-1.30351 # DEPENDENCYPART_ARC
(10,18),-0.868913 # DEPENDENCYPART_ARC
(10,23),-1.26112 # DEPENDENCYPART_ARC
(10,28),-1.02662 # DEPENDENCYPART_ARC
(10,33),-0.668793 # DEPENDENCYPART_ARC
(11,10),-1.02004 # DEPENDENCYPART_ARC
(11,33),-1.26788 # DEPENDENCYPART_ARC
(12,8),-1.54479 # DEPENDENCYPART_ARC
(12,9),-1.32639 # DEPENDENCYPART_ARC
(12,10),-1.28243 # DEPENDENCYPART_ARC
(12,11),-0.474248 # DEPENDENCYPART_ARC
(12,15),-1.23355 # DEPENDENCYPART_ARC
(12,16),-1.25626 # DEPENDENCYPART_ARC
