# _root_ Nem véletlen , hogy a menedzserképzőn " szürke eminenciásnak " minősítettek , ami — megvallom — nem is áll messze tőlem .
#goldHeads=4,4,4,0,6,11,11,9,11,11,4,11,19,15,19,15,19,19,11,19,19,4,
#predictedHeads=4,4,4,0,6,11,9,9,11,9,4,11,15,15,11,15,19,19,15,19,19,4,
(0,1),-2.83234 # DEPENDENCYPART_ARC
(0,2),-3.29577 # DEPENDENCYPART_ARC
(0,4),-2.59942 # DEPENDENCYPART_ARC
(0,6),-4.48112 # DEPENDENCYPART_ARC
(0,9),-4.91893 # DEPENDENCYPART_ARC
(0,11),-2.49294 # DEPENDENCYPART_ARC
(0,15),-3.19148 # DEPENDENCYPART_ARC
(0,17),-3.91029 # DEPENDENCYPART_ARC
(0,19),-3.44829 # DEPENDENCYPART_ARC
(0,20),-4.38728 # DEPENDENCYPART_ARC
(0,21),-4.279 # DEPENDENCYPART_ARC
(1,2),-0.88999 # DEPENDENCYPART_ARC
(1,3),-0.991335 # DEPENDENCYPART_ARC
(1,4),-0.922607 # DEPENDENCYPART_ARC
(1,6),-1.46716 # DEPENDENCYPART_ARC
(1,7),-0.88503 # DEPENDENCYPART_ARC
(1,9),-1.77621 # DEPENDENCYPART_ARC
(1,10),-0.931088 # DEPENDENCYPART_ARC
(1,11),-1.35886 # DEPENDENCYPART_ARC
(1,12),-1.41806 # DEPENDENCYPART_ARC
(1,15),-1.58885 # DEPENDENCYPART_ARC
(1,19),-1.6793 # DEPENDENCYPART_ARC
(1,22),-1.80095 # DEPENDENCYPART_ARC
(2,1),0.438218 # DEPENDENCYPART_ARC
(2,3),-0.568808 # DEPENDENCYPART_ARC
(2,4),-1.40725 # DEPENDENCYPART_ARC
(2,6),-1.30261 # DEPENDENCYPART_ARC
(2,7),-1.02566 # DEPENDENCYPART_ARC
(2,8),-1.86973 # DEPENDENCYPART_ARC
(2,9),-1.79506 # DEPENDENCYPART_ARC
(2,10),-1.00706 # DEPENDENCYPART_ARC
(2,11),-1.30523 # DEPENDENCYPART_ARC
(2,12),-1.23969 # DEPENDENCYPART_ARC
(2,14),-1.26095 # DEPENDENCYPART_ARC
(2,15),-1.59562 # DEPENDENCYPART_ARC
(2,16),-1.3232 # DEPENDENCYPART_ARC
(2,19),-1.51907 # DEPENDENCYPART_ARC
(2,22),-0.729795 # DEPENDENCYPART_ARC
(4,1),0.256257 # DEPENDENCYPART_ARC
(4,2),0.321872 # DEPENDENCYPART_ARC
(4,3),0.224408 # DEPENDENCYPART_ARC
(4,6),-1.29648 # DEPENDENCYPART_ARC
(4,7),-0.983291 # DEPENDENCYPART_ARC
(4,8),-1.57564 # DEPENDENCYPART_ARC
(4,9),-1.80264 # DEPENDENCYPART_ARC
(4,10),-1.01312 # DEPENDENCYPART_ARC
(4,11),-1.04212 # DEPENDENCYPART_ARC
(4,12),-0.957349 # DEPENDENCYPART_ARC
(4,14),-1.00847 # DEPENDENCYPART_ARC
(4,15),-1.71068 # DEPENDENCYPART_ARC
(4,16),-1.19013 # DEPENDENCYPART_ARC
(4,18),-1.66646 # DEPENDENCYPART_ARC
(4,19),-2.0855 # DEPENDENCYPART_ARC
(4,20),-1.60939 # DEPENDENCYPART_ARC
(4,22),-1.60818 # DEPENDENCYPART_ARC
(5,9),-1.51707 # DEPENDENCYPART_ARC
(6,1),-1.89288 # DEPENDENCYPART_ARC
(6,2),-1.31409 # DEPENDENCYPART_ARC
(6,3),-0.834689 # DEPENDENCYPART_ARC
(6,4),-1.10124 # DEPENDENCYPART_ARC
(6,5),2.00455 # DEPENDENCYPART_ARC
(6,7),-0.310249 # DEPENDENCYPART_ARC
(6,8),-1.71756 # DEPENDENCYPART_ARC
(6,9),-1.42373 # DEPENDENCYPART_ARC
(6,10),-0.767007 # DEPENDENCYPART_ARC
(6,11),-1.29961 # DEPENDENCYPART_ARC
(6,12),-1.11731 # DEPENDENCYPART_ARC
(6,14),-1.31465 # DEPENDENCYPART_ARC
(6,16),-1.34256 # DEPENDENCYPART_ARC
(6,19),-1.50132 # DEPENDENCYPART_ARC
(6,20),-1.94045 # DEPENDENCYPART_ARC
(6,22),-1.59008 # DEPENDENCYPART_ARC
(8,1),-1.22695 # DEPENDENCYPART_ARC
(8,2),-1.39863 # DEPENDENCYPART_ARC
(8,3),-0.86215 # DEPENDENCYPART_ARC
(8,4),-0.635211 # DEPENDENCYPART_ARC
(8,5),-0.963911 # DEPENDENCYPART_ARC
(8,6),0.303459 # DEPENDENCYPART_ARC
(8,7),0.0961499 # DEPENDENCYPART_ARC
(8,10),-0.754777 # DEPENDENCYPART_ARC
(8,12),-1.09334 # DEPENDENCYPART_ARC
(8,17),-1.76312 # DEPENDENCYPART_ARC
(9,1),-1.42468 # DEPENDENCYPART_ARC
(9,2),-0.770639 # DEPENDENCYPART_ARC
(9,3),-0.0312806 # DEPENDENCYPART_ARC
(9,4),-1.00259 # DEPENDENCYPART_ARC
(9,5),0.282697 # DEPENDENCYPART_ARC
(9,6),-1.63405 # DEPENDENCYPART_ARC
(9,7),-0.183201 # DEPENDENCYPART_ARC
(9,8),2.49244 # DEPENDENCYPART_ARC
(9,10),-0.115619 # DEPENDENCYPART_ARC
(9,11),-1.13969 # DEPENDENCYPART_ARC
(9,12),-0.870851 # DEPENDENCYPART_ARC
(9,14),-1.18667 # DEPENDENCYPART_ARC
(9,15),-1.67098 # DEPENDENCYPART_ARC
(9,16),-1.18236 # DEPENDENCYPART_ARC
(9,18),-1.76215 # DEPENDENCYPART_ARC
(9,19),-1.47371 # DEPENDENCYPART_ARC
(9,20),-1.78286 # DEPENDENCYPART_ARC
(9,22),-1.60552 # DEPENDENCYPART_ARC
(11,1),-0.233754 # DEPENDENCYPART_ARC
(11,2),-1.69172 # DEPENDENCYPART_ARC
(11,3),-0.280643 # DEPENDENCYPART_ARC
(11,4),0.03827 # DEPENDENCYPART_ARC
(11,5),-1.16059 # DEPENDENCYPART_ARC
(11,6),0.383067 # DEPENDENCYPART_ARC
(11,7),0.206417 # DEPENDENCYPART_ARC
(11,8),-0.512438 # DEPENDENCYPART_ARC
(11,9),0.945785 # DEPENDENCYPART_ARC
(11,10),0.815687 # DEPENDENCYPART_ARC
(11,12),0.891681 # DEPENDENCYPART_ARC
(11,13),-0.72219 # DEPENDENCYPART_ARC
(11,14),-0.411403 # DEPENDENCYPART_ARC
(11,15),0.233005 # DEPENDENCYPART_ARC
(11,16),-0.581889 # DEPENDENCYPART_ARC
(11,17),-1.58825 # DEPENDENCYPART_ARC
(11,18),-1.67394 # DEPENDENCYPART_ARC
(11,19),-0.470622 # DEPENDENCYPART_ARC
(11,20),-1.53952 # DEPENDENCYPART_ARC
(11,21),-1.6658 # DEPENDENCYPART_ARC
(11,22),-0.994067 # DEPENDENCYPART_ARC
(15,1),-1.45762 # DEPENDENCYPART_ARC
(15,2),-2.76698 # DEPENDENCYPART_ARC
(15,3),-0.837588 # DEPENDENCYPART_ARC
(15,4),0.111932 # DEPENDENCYPART_ARC
(15,5),-1.84635 # DEPENDENCYPART_ARC
(15,6),-1.44048 # DEPENDENCYPART_ARC
(15,7),-0.30202 # DEPENDENCYPART_ARC
(15,8),-2.03736 # DEPENDENCYPART_ARC
(15,9),-1.21658 # DEPENDENCYPART_ARC
(15,10),-0.503935 # DEPENDENCYPART_ARC
(15,11),0.201266 # DEPENDENCYPART_ARC
(15,12),0.0398687 # DEPENDENCYPART_ARC
(15,13),1.40984 # DEPENDENCYPART_ARC
(15,14),1.00041 # DEPENDENCYPART_ARC
(15,16),0.60077 # DEPENDENCYPART_ARC
(15,17),0.0187639 # DEPENDENCYPART_ARC
(15,18),-0.33825 # DEPENDENCYPART_ARC
(15,19),0.756381 # DEPENDENCYPART_ARC
(15,20),-0.721702 # DEPENDENCYPART_ARC
(15,21),-1.02338 # DEPENDENCYPART_ARC
(15,22),-0.634655 # DEPENDENCYPART_ARC
(17,3),-1.54387 # DEPENDENCYPART_ARC
(17,6),-2.52462 # DEPENDENCYPART_ARC
(17,7),-1.77238 # DEPENDENCYPART_ARC
(17,9),-2.44511 # DEPENDENCYPART_ARC
(17,10),-1.68791 # DEPENDENCYPART_ARC
(17,12),-1.72274 # DEPENDENCYPART_ARC
(17,14),-1.31775 # DEPENDENCYPART_ARC
(17,15),-1.13363 # DEPENDENCYPART_ARC
(17,16),-0.746239 # DEPENDENCYPART_ARC
(17,19),-0.800263 # DEPENDENCYPART_ARC
(17,22),-1.52061 # DEPENDENCYPART_ARC
(18,2),-2.08658 # DEPENDENCYPART_ARC
(18,4),-1.46012 # DEPENDENCYPART_ARC
(18,11),-1.69017 # DEPENDENCYPART_ARC
(18,14),-1.40863 # DEPENDENCYPART_ARC
(18,15),-1.15979 # DEPENDENCYPART_ARC
(18,16),-1.2821 # DEPENDENCYPART_ARC
(18,17),-0.29148 # DEPENDENCYPART_ARC
(18,20),-1.28678 # DEPENDENCYPART_ARC
(18,21),-1.33072 # DEPENDENCYPART_ARC
(19,1),-2.17312 # DEPENDENCYPART_ARC
(19,2),-2.86569 # DEPENDENCYPART_ARC
(19,3),-0.953109 # DEPENDENCYPART_ARC
(19,4),-0.0101375 # DEPENDENCYPART_ARC
(19,6),-1.72548 # DEPENDENCYPART_ARC
(19,7),-0.319425 # DEPENDENCYPART_ARC
(19,8),-2.36914 # DEPENDENCYPART_ARC
(19,9),-1.43002 # DEPENDENCYPART_ARC
(19,10),-0.39507 # DEPENDENCYPART_ARC
(19,11),-0.635486 # DEPENDENCYPART_ARC
(19,12),-0.417977 # DEPENDENCYPART_ARC
(19,13),-0.792275 # DEPENDENCYPART_ARC
(19,14),-0.46252 # DEPENDENCYPART_ARC
(19,15),-0.0749678 # DEPENDENCYPART_ARC
(19,16),0.153954 # DEPENDENCYPART_ARC
