# _root_ Az ÁPTF április 30-ig meghosszabbította a CB_Bróker_Értékpapír-forgalmazó_Rt.-nek , a LaSalle_Értékpapír-forgalmazó_Rt.-nek , a Pannonbróker_Értékpapír-forgalmazó_Rt.-nek és a Pest-Buda_Értékház_Értékpapír-kereskedő_és_Befektetési_Tanácsadó_Rt.-nek a Központi_Elszámolóház_és_Értéktár_(KELER)_Rt.-nél vezetett valamennyi számlája feletti rendelkezési joga felfüggesztését .
#goldHeads=2,5,4,5,0,7,14,14,10,14,14,13,14,5,16,14,18,19,21,21,22,23,24,25,5,5,
#predictedHeads=2,5,4,5,0,7,5,5,10,5,5,13,14,5,16,14,18,19,21,21,22,24,24,25,5,5,
(0,2),-2.99132 # DEPENDENCYPART_ARC
(0,3),-3.55955 # DEPENDENCYPART_ARC
(0,4),-4.22725 # DEPENDENCYPART_ARC
(0,5),-1.40221 # DEPENDENCYPART_ARC
(0,14),-3.64257 # DEPENDENCYPART_ARC
(1,2),-0.715805 # DEPENDENCYPART_ARC
(1,3),-1.09772 # DEPENDENCYPART_ARC
(1,4),-1.44763 # DEPENDENCYPART_ARC
(2,1),1.27918 # DEPENDENCYPART_ARC
(2,3),-0.923448 # DEPENDENCYPART_ARC
(2,4),-1.6534 # DEPENDENCYPART_ARC
(2,5),-1.44302 # DEPENDENCYPART_ARC
(2,25),-2.90434 # DEPENDENCYPART_ARC
(2,26),-1.78944 # DEPENDENCYPART_ARC
(3,1),0.043809 # DEPENDENCYPART_ARC
(3,2),2.16624 # DEPENDENCYPART_ARC
(3,4),-1.6321 # DEPENDENCYPART_ARC
(3,5),-1.30394 # DEPENDENCYPART_ARC
(3,7),-1.98763 # DEPENDENCYPART_ARC
(3,26),-1.80864 # DEPENDENCYPART_ARC
(4,1),-1.40322 # DEPENDENCYPART_ARC
(4,2),1.4899 # DEPENDENCYPART_ARC
(4,3),2.68848 # DEPENDENCYPART_ARC
(4,5),-1.22418 # DEPENDENCYPART_ARC
(4,7),-1.29854 # DEPENDENCYPART_ARC
(4,8),-1.05821 # DEPENDENCYPART_ARC
(4,10),-1.71871 # DEPENDENCYPART_ARC
(4,26),-1.48949 # DEPENDENCYPART_ARC
(5,1),-1.23643 # DEPENDENCYPART_ARC
(5,2),1.09247 # DEPENDENCYPART_ARC
(5,3),1.20944 # DEPENDENCYPART_ARC
(5,4),2.69379 # DEPENDENCYPART_ARC
(5,6),-0.905289 # DEPENDENCYPART_ARC
(5,7),1.9981 # DEPENDENCYPART_ARC
(5,8),0.363946 # DEPENDENCYPART_ARC
(5,9),-1.56175 # DEPENDENCYPART_ARC
(5,10),0.856213 # DEPENDENCYPART_ARC
(5,11),-0.0878182 # DEPENDENCYPART_ARC
(5,12),-1.86832 # DEPENDENCYPART_ARC
(5,13),-0.747806 # DEPENDENCYPART_ARC
(5,14),-0.303865 # DEPENDENCYPART_ARC
(5,16),-1.06528 # DEPENDENCYPART_ARC
(5,18),-2.56978 # DEPENDENCYPART_ARC
(5,19),-1.98076 # DEPENDENCYPART_ARC
(5,21),-2.06034 # DEPENDENCYPART_ARC
(5,22),-2.16366 # DEPENDENCYPART_ARC
(5,24),-1.39891 # DEPENDENCYPART_ARC
(5,25),-0.0555365 # DEPENDENCYPART_ARC
(5,26),0.164773 # DEPENDENCYPART_ARC
(6,8),-0.691846 # DEPENDENCYPART_ARC
(7,1),-2.13457 # DEPENDENCYPART_ARC
(7,3),-2.17035 # DEPENDENCYPART_ARC
(7,6),1.19806 # DEPENDENCYPART_ARC
(7,8),-0.606993 # DEPENDENCYPART_ARC
(7,10),-1.32796 # DEPENDENCYPART_ARC
(7,11),-1.0207 # DEPENDENCYPART_ARC
(7,24),-2.12415 # DEPENDENCYPART_ARC
(7,25),-2.49144 # DEPENDENCYPART_ARC
(7,26),-1.76272 # DEPENDENCYPART_ARC
(9,8),-0.719041 # DEPENDENCYPART_ARC
(9,11),-0.594238 # DEPENDENCYPART_ARC
(10,6),-1.28095 # DEPENDENCYPART_ARC
(10,7),-1.93141 # DEPENDENCYPART_ARC
(10,9),1.34149 # DEPENDENCYPART_ARC
(10,11),-0.56955 # DEPENDENCYPART_ARC
(10,13),-1.41318 # DEPENDENCYPART_ARC
(10,16),-1.84906 # DEPENDENCYPART_ARC
(10,18),-2.24581 # DEPENDENCYPART_ARC
(10,24),-2.03786 # DEPENDENCYPART_ARC
(10,25),-2.35492 # DEPENDENCYPART_ARC
(10,26),-1.85155 # DEPENDENCYPART_ARC
(12,11),-0.714668 # DEPENDENCYPART_ARC
(12,19),-1.31699 # DEPENDENCYPART_ARC
(13,6),-2.32992 # DEPENDENCYPART_ARC
(13,9),-1.27926 # DEPENDENCYPART_ARC
(13,10),-2.04112 # DEPENDENCYPART_ARC
(13,12),1.27954 # DEPENDENCYPART_ARC
(13,25),-2.64638 # DEPENDENCYPART_ARC
(14,2),-2.23761 # DEPENDENCYPART_ARC
(14,3),-2.42705 # DEPENDENCYPART_ARC
(14,4),-2.3314 # DEPENDENCYPART_ARC
(14,5),-0.9236 # DEPENDENCYPART_ARC
(14,7),-1.61083 # DEPENDENCYPART_ARC
(14,8),-1.21225 # DEPENDENCYPART_ARC
(14,9),-1.96001 # DEPENDENCYPART_ARC
(14,10),-1.13491 # DEPENDENCYPART_ARC
(14,11),-0.541187 # DEPENDENCYPART_ARC
(14,12),-1.37561 # DEPENDENCYPART_ARC
(14,13),-0.239025 # DEPENDENCYPART_ARC
(14,15),-1.14641 # DEPENDENCYPART_ARC
(14,16),-0.671087 # DEPENDENCYPART_ARC
(14,18),-1.26541 # DEPENDENCYPART_ARC
(14,19),-1.58444 # DEPENDENCYPART_ARC
(14,21),-1.33554 # DEPENDENCYPART_ARC
(14,22),-1.74545 # DEPENDENCYPART_ARC
(14,24),-1.30312 # DEPENDENCYPART_ARC
(14,25),-1.70794 # DEPENDENCYPART_ARC
(14,26),-2.20579 # DEPENDENCYPART_ARC
(15,14),-0.611047 # DEPENDENCYPART_ARC
(15,22),-1.44046 # DEPENDENCYPART_ARC
(16,9),-2.29574 # DEPENDENCYPART_ARC
(16,12),-1.31468 # DEPENDENCYPART_ARC
(16,13),-1.83433 # DEPENDENCYPART_ARC
(16,14),-0.753742 # DEPENDENCYPART_ARC
(16,15),1.41196 # DEPENDENCYPART_ARC
(16,18),-1.38781 # DEPENDENCYPART_ARC
(16,19),-1.273 # DEPENDENCYPART_ARC
(16,21),-1.3666 # DEPENDENCYPART_ARC
(16,22),-1.50916 # DEPENDENCYPART_ARC
(16,24),-1.50078 # DEPENDENCYPART_ARC
(16,25),-1.81876 # DEPENDENCYPART_ARC
(16,26),-1.34849 # DEPENDENCYPART_ARC
(17,19),-0.987363 # DEPENDENCYPART_ARC
(17,21),-1.66563 # DEPENDENCYPART_ARC
(17,22),-1.34178 # DEPENDENCYPART_ARC
(18,12),-2.09836 # DEPENDENCYPART_ARC
(18,15),-0.803075 # DEPENDENCYPART_ARC
(18,16),-2.04513 # DEPENDENCYPART_ARC
(18,17),1.34359 # DEPENDENCYPART_ARC
(18,21),-1.48551 # DEPENDENCYPART_ARC
