# _root_ Szerinte az egyéves lejáratú hitelek jó részét több év múlva megtérülő vásárlásokra , például alkatrészek és műtrágya beszerzésére fordították a gazdák , ezért e tartozások három-öt éves hitelekké történő átütemezése is szükséges lenne .
#goldHeads=19,5,4,5,7,7,19,9,10,11,12,19,19,19,18,18,18,19,23,21,19,23,0,25,30,29,28,29,30,33,33,33,23,23,
#predictedHeads=19,5,5,5,7,7,19,9,10,11,12,19,19,19,19,19,18,19,23,21,19,23,0,25,30,27,28,29,30,33,33,33,23,23,
(0,1),-2.97053 # DEPENDENCYPART_ARC
(0,16),-3.90452 # DEPENDENCYPART_ARC
(0,19),-2.76528 # DEPENDENCYPART_ARC
(0,23),-2.45084 # DEPENDENCYPART_ARC
(0,33),-4.06782 # DEPENDENCYPART_ARC
(1,3),-0.75076 # DEPENDENCYPART_ARC
(1,4),-0.729264 # DEPENDENCYPART_ARC
(1,5),-0.811608 # DEPENDENCYPART_ARC
(1,6),-0.899111 # DEPENDENCYPART_ARC
(1,7),-1.23371 # DEPENDENCYPART_ARC
(1,9),-1.21905 # DEPENDENCYPART_ARC
(1,11),-1.05159 # DEPENDENCYPART_ARC
(1,12),-1.26137 # DEPENDENCYPART_ARC
(1,13),-0.698044 # DEPENDENCYPART_ARC
(1,15),-1.7912 # DEPENDENCYPART_ARC
(1,17),-1.69 # DEPENDENCYPART_ARC
(1,18),-1.70928 # DEPENDENCYPART_ARC
(1,19),-1.14317 # DEPENDENCYPART_ARC
(1,33),-1.31078 # DEPENDENCYPART_ARC
(1,34),-1.67369 # DEPENDENCYPART_ARC
(2,3),-0.458409 # DEPENDENCYPART_ARC
(2,4),-0.765349 # DEPENDENCYPART_ARC
(3,1),-0.881622 # DEPENDENCYPART_ARC
(3,2),-0.377856 # DEPENDENCYPART_ARC
(4,1),-0.884875 # DEPENDENCYPART_ARC
(4,2),-0.865323 # DEPENDENCYPART_ARC
(4,3),0.681598 # DEPENDENCYPART_ARC
(5,2),0.84718 # DEPENDENCYPART_ARC
(5,3),1.66937 # DEPENDENCYPART_ARC
(5,4),2.64314 # DEPENDENCYPART_ARC
(6,3),-1.14792 # DEPENDENCYPART_ARC
(6,4),-1.03923 # DEPENDENCYPART_ARC
(6,5),-0.339229 # DEPENDENCYPART_ARC
(6,7),-1.04542 # DEPENDENCYPART_ARC
(6,9),-1.30459 # DEPENDENCYPART_ARC
(6,10),-1.0544 # DEPENDENCYPART_ARC
(6,14),-1.36144 # DEPENDENCYPART_ARC
(6,33),-1.88837 # DEPENDENCYPART_ARC
(6,34),-1.65088 # DEPENDENCYPART_ARC
(7,2),-1.46306 # DEPENDENCYPART_ARC
(7,3),-0.834416 # DEPENDENCYPART_ARC
(7,4),-0.550654 # DEPENDENCYPART_ARC
(7,5),1.62085 # DEPENDENCYPART_ARC
(7,6),0.00817016 # DEPENDENCYPART_ARC
(7,8),-1.14599 # DEPENDENCYPART_ARC
