# _root_ Mi vagyunk a hátország , az elkövetkezendő években is az lesz a feladatunk , hogy segítsük a tehetséges fiatalok előbbre jutását .
#goldHeads=2,0,4,2,2,8,8,11,11,11,2,13,11,11,11,10,19,19,21,21,16,2,
#predictedHeads=2,0,4,2,2,8,8,11,11,11,1,13,11,11,11,10,19,19,21,21,16,2,
(0,1),-3.09238 # DEPENDENCYPART_ARC
(0,2),-1.75754 # DEPENDENCYPART_ARC
(0,4),-3.90408 # DEPENDENCYPART_ARC
(0,9),-3.89102 # DEPENDENCYPART_ARC
(0,10),-4.47649 # DEPENDENCYPART_ARC
(0,11),-2.81794 # DEPENDENCYPART_ARC
(0,15),-4.95535 # DEPENDENCYPART_ARC
(0,16),-3.83168 # DEPENDENCYPART_ARC
(1,2),-0.935637 # DEPENDENCYPART_ARC
(1,4),-0.711459 # DEPENDENCYPART_ARC
(1,5),-0.484449 # DEPENDENCYPART_ARC
(1,8),-1.02465 # DEPENDENCYPART_ARC
(1,11),-0.620764 # DEPENDENCYPART_ARC
(1,13),-0.937324 # DEPENDENCYPART_ARC
(1,16),-0.290744 # DEPENDENCYPART_ARC
(1,19),-1.45896 # DEPENDENCYPART_ARC
(1,21),-1.59056 # DEPENDENCYPART_ARC
(1,22),-1.74523 # DEPENDENCYPART_ARC
(2,1),2.40576 # DEPENDENCYPART_ARC
(2,3),-1.07523 # DEPENDENCYPART_ARC
(2,4),0.934928 # DEPENDENCYPART_ARC
(2,5),0.0622824 # DEPENDENCYPART_ARC
(2,6),-1.79824 # DEPENDENCYPART_ARC
(2,7),-1.38297 # DEPENDENCYPART_ARC
(2,8),0.224308 # DEPENDENCYPART_ARC
(2,9),-0.319715 # DEPENDENCYPART_ARC
(2,10),-1.94714 # DEPENDENCYPART_ARC
(2,11),-0.41712 # DEPENDENCYPART_ARC
(2,13),-1.26995 # DEPENDENCYPART_ARC
(2,14),-0.608465 # DEPENDENCYPART_ARC
(2,15),-0.889877 # DEPENDENCYPART_ARC
(2,16),-0.509706 # DEPENDENCYPART_ARC
(2,19),-2.25733 # DEPENDENCYPART_ARC
(2,20),-1.74898 # DEPENDENCYPART_ARC
(2,21),-2.05903 # DEPENDENCYPART_ARC
(2,22),-0.897141 # DEPENDENCYPART_ARC
(3,8),-1.77371 # DEPENDENCYPART_ARC
(4,1),-1.89121 # DEPENDENCYPART_ARC
(4,3),1.66029 # DEPENDENCYPART_ARC
(4,5),-0.590532 # DEPENDENCYPART_ARC
(4,8),-1.76193 # DEPENDENCYPART_ARC
(4,9),-1.69446 # DEPENDENCYPART_ARC
