# _root_ Éppen ezért a Simi_Kft.-vel szembeni kartell megalakítására hívja föl a vidéki csapatokat , a Nyíregyházát , a Pécset és a Százhalombattát .
#goldHeads=8,8,4,5,6,7,8,0,8,12,12,8,8,15,19,19,18,19,8,21,19,8,
#predictedHeads=8,8,4,5,6,7,8,0,8,12,12,8,8,15,8,8,18,19,8,21,19,8,
(0,1),-2.88064 # DEPENDENCYPART_ARC
(0,2),-3.13957 # DEPENDENCYPART_ARC
(0,4),-3.8125 # DEPENDENCYPART_ARC
(0,6),-4.27373 # DEPENDENCYPART_ARC
(0,7),-4.80846 # DEPENDENCYPART_ARC
(0,8),-2.06994 # DEPENDENCYPART_ARC
(0,9),-4.20961 # DEPENDENCYPART_ARC
(0,18),-5.85001 # DEPENDENCYPART_ARC
(0,19),-3.70062 # DEPENDENCYPART_ARC
(0,21),-6.04307 # DEPENDENCYPART_ARC
(1,4),-1.1921 # DEPENDENCYPART_ARC
(1,5),-1.10621 # DEPENDENCYPART_ARC
(1,6),-1.44046 # DEPENDENCYPART_ARC
(1,7),-1.65663 # DEPENDENCYPART_ARC
(1,8),-1.2126 # DEPENDENCYPART_ARC
(1,12),-1.91767 # DEPENDENCYPART_ARC
(1,13),-1.30457 # DEPENDENCYPART_ARC
(1,16),-1.41007 # DEPENDENCYPART_ARC
(1,19),-1.20805 # DEPENDENCYPART_ARC
(1,22),-1.47589 # DEPENDENCYPART_ARC
(2,1),0.0726991 # DEPENDENCYPART_ARC
(2,4),-0.721154 # DEPENDENCYPART_ARC
(2,5),-0.861307 # DEPENDENCYPART_ARC
(2,6),-1.00326 # DEPENDENCYPART_ARC
(2,7),-1.12603 # DEPENDENCYPART_ARC
(2,8),-0.853681 # DEPENDENCYPART_ARC
(2,12),-1.41311 # DEPENDENCYPART_ARC
(2,13),-1.03547 # DEPENDENCYPART_ARC
(2,22),-0.153347 # DEPENDENCYPART_ARC
(3,4),-0.666175 # DEPENDENCYPART_ARC
(3,5),-0.811377 # DEPENDENCYPART_ARC
(4,1),-1.64034 # DEPENDENCYPART_ARC
(4,3),1.11617 # DEPENDENCYPART_ARC
(4,6),-1.32539 # DEPENDENCYPART_ARC
(4,7),-1.84136 # DEPENDENCYPART_ARC
(4,8),-1.77143 # DEPENDENCYPART_ARC
(4,12),-2.01901 # DEPENDENCYPART_ARC
(4,15),-2.29615 # DEPENDENCYPART_ARC
(4,16),-1.29136 # DEPENDENCYPART_ARC
(4,18),-2.52479 # DEPENDENCYPART_ARC
(5,1),-0.710898 # DEPENDENCYPART_ARC
(5,2),-0.550794 # DEPENDENCYPART_ARC
(5,3),-0.614892 # DEPENDENCYPART_ARC
(5,4),1.7978 # DEPENDENCYPART_ARC
(5,8),-1.39864 # DEPENDENCYPART_ARC
(5,12),-2.65202 # DEPENDENCYPART_ARC
(5,19),-1.79747 # DEPENDENCYPART_ARC
(5,22),-1.71169 # DEPENDENCYPART_ARC
(6,1),-0.830785 # DEPENDENCYPART_ARC
(6,2),-0.696431 # DEPENDENCYPART_ARC
(6,3),0.458456 # DEPENDENCYPART_ARC
(6,4),0.391317 # DEPENDENCYPART_ARC
(6,5),2.44116 # DEPENDENCYPART_ARC
(6,7),-1.68203 # DEPENDENCYPART_ARC
(6,8),-1.26841 # DEPENDENCYPART_ARC
(6,12),-2.27784 # DEPENDENCYPART_ARC
(6,15),-2.50927 # DEPENDENCYPART_ARC
(7,1),-1.09647 # DEPENDENCYPART_ARC
(7,2),-0.91653 # DEPENDENCYPART_ARC
(7,3),-1.22013 # DEPENDENCYPART_ARC
(7,4),-1.92241 # DEPENDENCYPART_ARC
(7,5),0.581869 # DEPENDENCYPART_ARC
(7,6),3.00784 # DEPENDENCYPART_ARC
(7,8),-1.62228 # DEPENDENCYPART_ARC
(7,12),-1.61449 # DEPENDENCYPART_ARC
(7,13),-1.1437 # DEPENDENCYPART_ARC
(7,15),-2.06219 # DEPENDENCYPART_ARC
(7,16),-1.33649 # DEPENDENCYPART_ARC
(7,18),-2.38709 # DEPENDENCYPART_ARC
(7,19),-1.3128 # DEPENDENCYPART_ARC
(7,22),-1.73558 # DEPENDENCYPART_ARC
(8,1),0.260972 # DEPENDENCYPART_ARC
(8,2),0.502648 # DEPENDENCYPART_ARC
(8,3),-1.63846 # DEPENDENCYPART_ARC
(8,4),0.227753 # DEPENDENCYPART_ARC
(8,5),-0.693081 # DEPENDENCYPART_ARC
(8,6),1.05229 # DEPENDENCYPART_ARC
(8,7),2.00962 # DEPENDENCYPART_ARC
(8,9),1.71483 # DEPENDENCYPART_ARC
(8,10),-1.21063 # DEPENDENCYPART_ARC
(8,11),-0.443994 # DEPENDENCYPART_ARC
(8,12),1.28481 # DEPENDENCYPART_ARC
(8,13),0.159355 # DEPENDENCYPART_ARC
