# _root_ Ugyanakkor mindkét szakember csak akkor tulajdonítana jelentőséget az eltérésnek , ha hónapokon át , tendenciaszerűen jelentkezne .
#goldHeads=6,3,6,6,6,0,6,9,6,6,6,13,16,16,16,6,6,
#predictedHeads=6,3,6,6,6,0,6,9,6,6,6,13,16,16,16,6,6,
(0,1),-2.84532 # DEPENDENCYPART_ARC
(0,2),-3.09176 # DEPENDENCYPART_ARC
(0,3),-3.58785 # DEPENDENCYPART_ARC
(0,4),-3.5862 # DEPENDENCYPART_ARC
(0,5),-3.67358 # DEPENDENCYPART_ARC
(0,6),-2.42932 # DEPENDENCYPART_ARC
(0,7),-4.26663 # DEPENDENCYPART_ARC
(0,11),-3.16309 # DEPENDENCYPART_ARC
(0,15),-4.14387 # DEPENDENCYPART_ARC
(0,16),-3.42736 # DEPENDENCYPART_ARC
(1,3),-0.754189 # DEPENDENCYPART_ARC
(1,6),-0.97102 # DEPENDENCYPART_ARC
(1,7),-1.43756 # DEPENDENCYPART_ARC
(1,9),-1.41516 # DEPENDENCYPART_ARC
(1,10),-0.917844 # DEPENDENCYPART_ARC
(1,16),-1.3019 # DEPENDENCYPART_ARC
(1,17),-1.51325 # DEPENDENCYPART_ARC
(2,1),-0.268459 # DEPENDENCYPART_ARC
(2,6),-0.914019 # DEPENDENCYPART_ARC
(2,15),-1.98575 # DEPENDENCYPART_ARC
(2,16),-1.50653 # DEPENDENCYPART_ARC
(2,17),-1.6017 # DEPENDENCYPART_ARC
(3,1),-0.00105735 # DEPENDENCYPART_ARC
(3,2),1.98088 # DEPENDENCYPART_ARC
(3,4),-1.29836 # DEPENDENCYPART_ARC
(3,5),-1.53211 # DEPENDENCYPART_ARC
(3,6),-1.28955 # DEPENDENCYPART_ARC
(3,13),-1.69443 # DEPENDENCYPART_ARC
(4,1),-0.782283 # DEPENDENCYPART_ARC
(4,2),-1.08526 # DEPENDENCYPART_ARC
(4,3),-0.393092 # DEPENDENCYPART_ARC
(4,6),-0.947221 # DEPENDENCYPART_ARC
(4,7),-1.23378 # DEPENDENCYPART_ARC
(4,9),-1.37966 # DEPENDENCYPART_ARC
(4,11),-1.14195 # DEPENDENCYPART_ARC
(4,13),-1.17981 # DEPENDENCYPART_ARC
(4,14),-1.36846 # DEPENDENCYPART_ARC
(4,16),-1.48935 # DEPENDENCYPART_ARC
(4,17),-1.54901 # DEPENDENCYPART_ARC
(5,3),-1.03463 # DEPENDENCYPART_ARC
(5,4),-0.105361 # DEPENDENCYPART_ARC
(5,6),-0.487756 # DEPENDENCYPART_ARC
(5,7),-0.951106 # DEPENDENCYPART_ARC
(5,9),-1.10291 # DEPENDENCYPART_ARC
(5,10),-0.925296 # DEPENDENCYPART_ARC
(5,13),-1.00185 # DEPENDENCYPART_ARC
(5,14),-1.10945 # DEPENDENCYPART_ARC
(5,16),-1.31095 # DEPENDENCYPART_ARC
(5,17),-1.13474 # DEPENDENCYPART_ARC
(6,1),0.256941 # DEPENDENCYPART_ARC
(6,2),-0.985791 # DEPENDENCYPART_ARC
(6,3),0.572736 # DEPENDENCYPART_ARC
(6,4),1.12596 # DEPENDENCYPART_ARC
(6,5),1.95505 # DEPENDENCYPART_ARC
(6,7),1.68102 # DEPENDENCYPART_ARC
(6,8),-1.09721 # DEPENDENCYPART_ARC
(6,9),1.18502 # DEPENDENCYPART_ARC
(6,10),0.37406 # DEPENDENCYPART_ARC
(6,11),1.69302 # DEPENDENCYPART_ARC
(6,12),-0.981167 # DEPENDENCYPART_ARC
(6,13),-0.030478 # DEPENDENCYPART_ARC
(6,14),-0.258549 # DEPENDENCYPART_ARC
(6,15),-0.540485 # DEPENDENCYPART_ARC
(6,16),0.50068 # DEPENDENCYPART_ARC
(6,17),-0.804252 # DEPENDENCYPART_ARC
(7,1),-1.60073 # DEPENDENCYPART_ARC
(7,2),-0.901781 # DEPENDENCYPART_ARC
(7,3),-1.76433 # DEPENDENCYPART_ARC
(7,4),-1.30009 # DEPENDENCYPART_ARC
(7,5),-0.780211 # DEPENDENCYPART_ARC
(7,6),-1.02194 # DEPENDENCYPART_ARC
(7,8),-1.3009 # DEPENDENCYPART_ARC
(7,9),-1.60634 # DEPENDENCYPART_ARC
(7,10),-0.722488 # DEPENDENCYPART_ARC
(7,12),-2.01509 # DEPENDENCYPART_ARC
(7,13),-1.27371 # DEPENDENCYPART_ARC
(7,14),-0.993691 # DEPENDENCYPART_ARC
(7,15),-1.8171 # DEPENDENCYPART_ARC
(7,16),-1.86735 # DEPENDENCYPART_ARC
(7,17),-1.24203 # DEPENDENCYPART_ARC
(8,15),-1.40253 # DEPENDENCYPART_ARC
(9,1),-1.78166 # DEPENDENCYPART_ARC
(9,2),-1.44497 # DEPENDENCYPART_ARC
(9,4),-1.73358 # DEPENDENCYPART_ARC
(9,5),-1.5221 # DEPENDENCYPART_ARC
(9,7),-1.72574 # DEPENDENCYPART_ARC
(9,8),1.8608 # DEPENDENCYPART_ARC
(9,10),-0.839503 # DEPENDENCYPART_ARC
(9,12),-2.07935 # DEPENDENCYPART_ARC
(9,13),-1.56597 # DEPENDENCYPART_ARC
(9,14),-1.35829 # DEPENDENCYPART_ARC
(9,15),-2.2119 # DEPENDENCYPART_ARC
(9,16),-2.06973 # DEPENDENCYPART_ARC
(11,1),-1.85436 # DEPENDENCYPART_ARC
(11,3),-1.5357 # DEPENDENCYPART_ARC
(11,4),-1.64743 # DEPENDENCYPART_ARC
(11,5),-1.47653 # DEPENDENCYPART_ARC
(11,6),-2.69492 # DEPENDENCYPART_ARC
(11,7),-1.273 # DEPENDENCYPART_ARC
(11,8),-1.29549 # DEPENDENCYPART_ARC
(11,9),-0.880873 # DEPENDENCYPART_ARC
(11,10),-0.0473766 # DEPENDENCYPART_ARC
(11,12),-1.19582 # DEPENDENCYPART_ARC
(11,14),-1.00416 # DEPENDENCYPART_ARC
(11,15),-1.7229 # DEPENDENCYPART_ARC
(11,16),-0.981583 # DEPENDENCYPART_ARC
(11,17),-0.436512 # DEPENDENCYPART_ARC
(12,4),-2.28721 # DEPENDENCYPART_ARC
(12,7),-3.44894 # DEPENDENCYPART_ARC
(12,8),-0.734118 # DEPENDENCYPART_ARC
(12,9),-2.32044 # DEPENDENCYPART_ARC
(12,10),-1.0175 # DEPENDENCYPART_ARC
(12,11),-0.736938 # DEPENDENCYPART_ARC
(12,13),-1.21397 # DEPENDENCYPART_ARC
(12,14),-1.17446 # DEPENDENCYPART_ARC
(12,15),-1.98713 # DEPENDENCYPART_ARC
(13,3),-1.43317 # DEPENDENCYPART_ARC
(13,7),-0.75993 # DEPENDENCYPART_ARC
(13,8),-1.03855 # DEPENDENCYPART_ARC
(13,9),-0.0862961 # DEPENDENCYPART_ARC
(13,10),-0.157154 # DEPENDENCYPART_ARC
(13,12),2.56468 # DEPENDENCYPART_ARC
(13,14),-0.630178 # DEPENDENCYPART_ARC
(13,15),-1.23736 # DEPENDENCYPART_ARC
(13,16),-1.16265 # DEPENDENCYPART_ARC
(13,17),-1.57911 # DEPENDENCYPART_ARC
(15,1),-2.18775 # DEPENDENCYPART_ARC
(15,2),-2.32913 # DEPENDENCYPART_ARC
(15,3),-3.5836 # DEPENDENCYPART_ARC
(15,4),-2.09723 # DEPENDENCYPART_ARC
(15,5),-1.85366 # DEPENDENCYPART_ARC
(15,6),-1.77732 # DEPENDENCYPART_ARC
(15,8),-1.65521 # DEPENDENCYPART_ARC
(15,9),-1.37286 # DEPENDENCYPART_ARC
(15,10),-1.25182 # DEPENDENCYPART_ARC
(15,11),-1.10967 # DEPENDENCYPART_ARC
(15,12),-1.41845 # DEPENDENCYPART_ARC
(15,13),-0.569888 # DEPENDENCYPART_ARC
(15,14),-0.280009 # DEPENDENCYPART_ARC
(15,17),-1.16823 # DEPENDENCYPART_ARC
(16,1),-0.808396 # DEPENDENCYPART_ARC
(16,2),-1.84031 # DEPENDENCYPART_ARC
(16,3),-0.819743 # DEPENDENCYPART_ARC
(16,4),-0.598326 # DEPENDENCYPART_ARC
(16,5),-0.818301 # DEPENDENCYPART_ARC
(16,6),-0.0954189 # DEPENDENCYPART_ARC
(16,7),-0.642797 # DEPENDENCYPART_ARC
(16,8),-1.16503 # DEPENDENCYPART_ARC
(16,9),-0.466946 # DEPENDENCYPART_ARC
(16,10),-0.250334 # DEPENDENCYPART_ARC
(16,11),-0.14794 # DEPENDENCYPART_ARC
(16,12),0.483127 # DEPENDENCYPART_ARC
(16,13),0.826286 # DEPENDENCYPART_ARC
(16,14),0.514756 # DEPENDENCYPART_ARC
(16,15),2.37567 # DEPENDENCYPART_ARC
(16,17),-0.176012 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0295549 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.0381106 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.0748637 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.0490948 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.115321 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.0398855 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.110156 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.0349035 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.115321 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.0363807 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.0354274 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.0356431 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.0805805 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.0363807 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.0855793 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.0383296 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.0805805 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.0640325 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.0561944 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.108133 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.0663872 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.136938 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.0327478 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.108133 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.0684078 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.124498 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.0304325 # DEPENDENCYPART_SIBL
