# _root_ Az ottani gyülekezet alig hetven emberből áll , mégis örök fájdalmuk volt az alsógödieknek , hogy nincs templomuk .
#goldHeads=3,3,7,7,6,7,9,9,0,11,12,9,14,12,12,12,12,17,9,
#predictedHeads=3,3,7,7,6,7,9,9,0,11,12,9,14,12,12,12,12,17,9,
(0,4),-3.58288 # DEPENDENCYPART_ARC
(0,5),-3.57748 # DEPENDENCYPART_ARC
(0,7),-1.96143 # DEPENDENCYPART_ARC
(0,9),-2.2321 # DEPENDENCYPART_ARC
(0,12),-2.79337 # DEPENDENCYPART_ARC
(0,16),-4.38225 # DEPENDENCYPART_ARC
(0,17),-3.08054 # DEPENDENCYPART_ARC
(1,2),-0.553057 # DEPENDENCYPART_ARC
(1,6),-1.48797 # DEPENDENCYPART_ARC
(2,1),-0.3298 # DEPENDENCYPART_ARC
(3,1),1.14157 # DEPENDENCYPART_ARC
(3,2),2.28012 # DEPENDENCYPART_ARC
(3,4),-1.25911 # DEPENDENCYPART_ARC
(3,5),-1.41459 # DEPENDENCYPART_ARC
(3,6),-1.92045 # DEPENDENCYPART_ARC
(3,7),-1.14555 # DEPENDENCYPART_ARC
(3,12),-1.68628 # DEPENDENCYPART_ARC
(3,19),-1.92986 # DEPENDENCYPART_ARC
(4,2),-0.97001 # DEPENDENCYPART_ARC
(4,3),-0.336231 # DEPENDENCYPART_ARC
(4,5),-0.790873 # DEPENDENCYPART_ARC
(4,6),-0.963701 # DEPENDENCYPART_ARC
(4,7),-0.928603 # DEPENDENCYPART_ARC
(4,8),-0.915067 # DEPENDENCYPART_ARC
(4,9),-1.08144 # DEPENDENCYPART_ARC
(4,11),-1.80527 # DEPENDENCYPART_ARC
(4,12),-1.34673 # DEPENDENCYPART_ARC
(4,14),-1.71807 # DEPENDENCYPART_ARC
(4,15),-1.22392 # DEPENDENCYPART_ARC
(4,16),-1.08307 # DEPENDENCYPART_ARC
(4,17),-1.56406 # DEPENDENCYPART_ARC
(4,18),-2.17184 # DEPENDENCYPART_ARC
(4,19),-1.65282 # DEPENDENCYPART_ARC
(5,1),-1.47922 # DEPENDENCYPART_ARC
(5,3),-0.911311 # DEPENDENCYPART_ARC
(5,4),-0.171503 # DEPENDENCYPART_ARC
(5,7),-0.655879 # DEPENDENCYPART_ARC
(5,8),-1.18223 # DEPENDENCYPART_ARC
(5,9),-1.41927 # DEPENDENCYPART_ARC
(5,12),-1.46557 # DEPENDENCYPART_ARC
(5,14),-2.40803 # DEPENDENCYPART_ARC
(5,15),-1.42599 # DEPENDENCYPART_ARC
(5,17),-1.36841 # DEPENDENCYPART_ARC
(5,19),-1.51236 # DEPENDENCYPART_ARC
(6,1),-0.889186 # DEPENDENCYPART_ARC
(6,2),-0.127535 # DEPENDENCYPART_ARC
(6,3),-0.90621 # DEPENDENCYPART_ARC
(6,4),0.211441 # DEPENDENCYPART_ARC
(6,5),1.75057 # DEPENDENCYPART_ARC
(6,8),-1.18733 # DEPENDENCYPART_ARC
(6,11),-2.3311 # DEPENDENCYPART_ARC
(6,12),-1.83297 # DEPENDENCYPART_ARC
(7,1),-1.14302 # DEPENDENCYPART_ARC
(7,2),-0.630637 # DEPENDENCYPART_ARC
(7,3),1.22167 # DEPENDENCYPART_ARC
(7,4),1.09253 # DEPENDENCYPART_ARC
(7,5),0.116562 # DEPENDENCYPART_ARC
(7,6),2.79158 # DEPENDENCYPART_ARC
(7,8),0.161459 # DEPENDENCYPART_ARC
(7,9),-0.188264 # DEPENDENCYPART_ARC
(7,10),-0.908568 # DEPENDENCYPART_ARC
(7,11),-0.907571 # DEPENDENCYPART_ARC
(7,12),0.458186 # DEPENDENCYPART_ARC
(7,13),-2.54354 # DEPENDENCYPART_ARC
(7,14),-1.12213 # DEPENDENCYPART_ARC
(7,15),-0.690805 # DEPENDENCYPART_ARC
(7,16),-0.290173 # DEPENDENCYPART_ARC
(7,17),-0.660469 # DEPENDENCYPART_ARC
(7,18),-2.20277 # DEPENDENCYPART_ARC
(7,19),-1.17157 # DEPENDENCYPART_ARC
(9,2),-2.32891 # DEPENDENCYPART_ARC
(9,3),-2.17356 # DEPENDENCYPART_ARC
(9,4),-1.50523 # DEPENDENCYPART_ARC
(9,5),-1.30694 # DEPENDENCYPART_ARC
(9,6),-1.76899 # DEPENDENCYPART_ARC
(9,7),0.519243 # DEPENDENCYPART_ARC
(9,8),0.183351 # DEPENDENCYPART_ARC
(9,10),-0.938991 # DEPENDENCYPART_ARC
(9,11),-0.973552 # DEPENDENCYPART_ARC
(9,12),0.164921 # DEPENDENCYPART_ARC
(9,14),-1.41366 # DEPENDENCYPART_ARC
(9,15),-0.856188 # DEPENDENCYPART_ARC
(9,16),-1.04077 # DEPENDENCYPART_ARC
(9,17),-1.06468 # DEPENDENCYPART_ARC
(9,18),-1.64706 # DEPENDENCYPART_ARC
(9,19),-0.391835 # DEPENDENCYPART_ARC
(10,3),-2.51762 # DEPENDENCYPART_ARC
(10,4),-1.46624 # DEPENDENCYPART_ARC
(10,5),-1.27748 # DEPENDENCYPART_ARC
(10,6),-0.980034 # DEPENDENCYPART_ARC
(10,7),-1.34367 # DEPENDENCYPART_ARC
(10,8),-0.828126 # DEPENDENCYPART_ARC
(10,9),-0.203741 # DEPENDENCYPART_ARC
(10,14),-1.72035 # DEPENDENCYPART_ARC
(10,16),-1.4861 # DEPENDENCYPART_ARC
(10,17),-1.52198 # DEPENDENCYPART_ARC
(10,18),-2.05032 # DEPENDENCYPART_ARC
(10,19),-1.43421 # DEPENDENCYPART_ARC
(11,1),-1.6722 # DEPENDENCYPART_ARC
(11,2),-1.18912 # DEPENDENCYPART_ARC
(11,3),-2.50424 # DEPENDENCYPART_ARC
(11,4),-1.1412 # DEPENDENCYPART_ARC
(11,5),-1.11675 # DEPENDENCYPART_ARC
(11,6),-3.75227 # DEPENDENCYPART_ARC
(11,7),-2.06776 # DEPENDENCYPART_ARC
(11,8),-0.364788 # DEPENDENCYPART_ARC
(11,9),0.0680764 # DEPENDENCYPART_ARC
(11,10),2.12724 # DEPENDENCYPART_ARC
(11,14),-1.45623 # DEPENDENCYPART_ARC
(11,15),-1.15068 # DEPENDENCYPART_ARC
(11,18),-2.12116 # DEPENDENCYPART_ARC
(12,1),-1.62381 # DEPENDENCYPART_ARC
(12,2),-1.54556 # DEPENDENCYPART_ARC
(12,3),-0.0133223 # DEPENDENCYPART_ARC
(12,4),-0.474111 # DEPENDENCYPART_ARC
(12,5),-1.05592 # DEPENDENCYPART_ARC
(12,6),0.225489 # DEPENDENCYPART_ARC
(12,7),-0.343033 # DEPENDENCYPART_ARC
(12,8),0.086422 # DEPENDENCYPART_ARC
(12,9),0.567266 # DEPENDENCYPART_ARC
(12,10),0.334824 # DEPENDENCYPART_ARC
(12,11),2.97008 # DEPENDENCYPART_ARC
(12,13),-0.983218 # DEPENDENCYPART_ARC
(12,14),1.88176 # DEPENDENCYPART_ARC
(12,15),0.152124 # DEPENDENCYPART_ARC
(12,16),1.62615 # DEPENDENCYPART_ARC
(12,17),0.587428 # DEPENDENCYPART_ARC
(12,18),-0.827006 # DEPENDENCYPART_ARC
(12,19),-1.06133 # DEPENDENCYPART_ARC
(13,18),-1.90799 # DEPENDENCYPART_ARC
(14,10),-1.42299 # DEPENDENCYPART_ARC
(14,11),-1.33368 # DEPENDENCYPART_ARC
(14,13),1.94069 # DEPENDENCYPART_ARC
(14,15),-0.786009 # DEPENDENCYPART_ARC
(14,17),-1.75219 # DEPENDENCYPART_ARC
(14,18),-2.66121 # DEPENDENCYPART_ARC
(16,2),-1.624 # DEPENDENCYPART_ARC
(16,3),-2.13878 # DEPENDENCYPART_ARC
(16,4),-1.67747 # DEPENDENCYPART_ARC
(16,6),-1.98359 # DEPENDENCYPART_ARC
(16,7),-2.88618 # DEPENDENCYPART_ARC
(16,8),-1.5144 # DEPENDENCYPART_ARC
(16,9),-0.366053 # DEPENDENCYPART_ARC
(16,10),-0.923819 # DEPENDENCYPART_ARC
(16,11),-0.965111 # DEPENDENCYPART_ARC
(16,12),-2.12413 # DEPENDENCYPART_ARC
(16,13),-0.972178 # DEPENDENCYPART_ARC
