# _root_ Azért nem lettem katona sem , mert nem tudtam volna elfogadni , hogy csak egy irány van .
#goldHeads=3,3,0,3,3,3,3,9,1,9,9,9,9,17,16,17,11,3,
#predictedHeads=3,3,0,3,3,3,3,9,1,9,9,9,9,17,16,17,9,3,
(0,1),-3.37328 # DEPENDENCYPART_ARC
(0,2),-3.08946 # DEPENDENCYPART_ARC
(0,3),-1.36268 # DEPENDENCYPART_ARC
(0,5),-3.73636 # DEPENDENCYPART_ARC
(0,7),-2.52669 # DEPENDENCYPART_ARC
(0,8),-3.56664 # DEPENDENCYPART_ARC
(0,9),-2.36009 # DEPENDENCYPART_ARC
(0,10),-2.80833 # DEPENDENCYPART_ARC
(0,11),-4.45801 # DEPENDENCYPART_ARC
(0,13),-4.21288 # DEPENDENCYPART_ARC
(0,14),-3.63904 # DEPENDENCYPART_ARC
(0,17),-2.98649 # DEPENDENCYPART_ARC
(1,2),-0.677957 # DEPENDENCYPART_ARC
(1,3),0.193109 # DEPENDENCYPART_ARC
(1,4),-0.831228 # DEPENDENCYPART_ARC
(1,5),-0.927554 # DEPENDENCYPART_ARC
(1,6),-0.447137 # DEPENDENCYPART_ARC
(1,7),-0.0350038 # DEPENDENCYPART_ARC
(1,8),-0.780108 # DEPENDENCYPART_ARC
(1,9),0.518129 # DEPENDENCYPART_ARC
(1,10),0.729369 # DEPENDENCYPART_ARC
(1,11),-0.454352 # DEPENDENCYPART_ARC
(1,12),0.261256 # DEPENDENCYPART_ARC
(1,13),0.118171 # DEPENDENCYPART_ARC
(1,14),-0.784701 # DEPENDENCYPART_ARC
(1,15),-0.78997 # DEPENDENCYPART_ARC
(1,16),-1.23786 # DEPENDENCYPART_ARC
(1,17),0.143581 # DEPENDENCYPART_ARC
(1,18),-1.364 # DEPENDENCYPART_ARC
(2,1),-0.236276 # DEPENDENCYPART_ARC
(2,4),-1.09523 # DEPENDENCYPART_ARC
(2,6),-1.03884 # DEPENDENCYPART_ARC
(2,9),-1.38223 # DEPENDENCYPART_ARC
(3,1),1.1013 # DEPENDENCYPART_ARC
(3,2),2.17306 # DEPENDENCYPART_ARC
(3,4),1.22498 # DEPENDENCYPART_ARC
(3,5),0.779359 # DEPENDENCYPART_ARC
(3,6),0.273607 # DEPENDENCYPART_ARC
(3,7),1.39013 # DEPENDENCYPART_ARC
(3,8),-0.733188 # DEPENDENCYPART_ARC
(3,9),-0.529527 # DEPENDENCYPART_ARC
(3,10),0.681672 # DEPENDENCYPART_ARC
(3,11),0.668741 # DEPENDENCYPART_ARC
(3,12),-0.584667 # DEPENDENCYPART_ARC
(3,13),-0.958052 # DEPENDENCYPART_ARC
(3,14),-1.7229 # DEPENDENCYPART_ARC
(3,15),-1.86159 # DEPENDENCYPART_ARC
(3,17),-0.843711 # DEPENDENCYPART_ARC
(3,18),-1.43591 # DEPENDENCYPART_ARC
(4,1),-2.04803 # DEPENDENCYPART_ARC
(4,2),-0.76827 # DEPENDENCYPART_ARC
(4,3),0.365512 # DEPENDENCYPART_ARC
(5,2),-0.527907 # DEPENDENCYPART_ARC
(5,3),-0.836794 # DEPENDENCYPART_ARC
(5,4),0.123442 # DEPENDENCYPART_ARC
(5,6),-0.614931 # DEPENDENCYPART_ARC
(5,7),-1.02606 # DEPENDENCYPART_ARC
(5,9),-1.06047 # DEPENDENCYPART_ARC
(5,11),-1.24924 # DEPENDENCYPART_ARC
(5,12),-1.18624 # DEPENDENCYPART_ARC
(5,13),-1.06574 # DEPENDENCYPART_ARC
(5,17),-1.56415 # DEPENDENCYPART_ARC
(5,18),-1.8984 # DEPENDENCYPART_ARC
(7,1),-1.13203 # DEPENDENCYPART_ARC
(7,2),-0.901651 # DEPENDENCYPART_ARC
(7,3),-2.06825 # DEPENDENCYPART_ARC
(7,4),-0.186658 # DEPENDENCYPART_ARC
(7,5),-0.24333 # DEPENDENCYPART_ARC
(7,6),0.358353 # DEPENDENCYPART_ARC
(7,8),-1.01986 # DEPENDENCYPART_ARC
(7,9),-0.0498212 # DEPENDENCYPART_ARC
(7,10),-0.834528 # DEPENDENCYPART_ARC
(7,11),-1.12297 # DEPENDENCYPART_ARC
(7,12),-1.01215 # DEPENDENCYPART_ARC
(7,13),-1.07204 # DEPENDENCYPART_ARC
(7,14),-1.60496 # DEPENDENCYPART_ARC
(7,17),-1.30454 # DEPENDENCYPART_ARC
(7,18),-0.248772 # DEPENDENCYPART_ARC
(8,5),-1.00446 # DEPENDENCYPART_ARC
(8,7),-0.640281 # DEPENDENCYPART_ARC
(8,17),-1.70579 # DEPENDENCYPART_ARC
(9,1),-1.10267 # DEPENDENCYPART_ARC
(9,2),-0.740875 # DEPENDENCYPART_ARC
(9,3),-0.641101 # DEPENDENCYPART_ARC
(9,4),-0.676447 # DEPENDENCYPART_ARC
(9,5),-0.04859 # DEPENDENCYPART_ARC
(9,6),-0.0534073 # DEPENDENCYPART_ARC
(9,7),-0.199545 # DEPENDENCYPART_ARC
(9,8),2.08883 # DEPENDENCYPART_ARC
(9,10),3.54227 # DEPENDENCYPART_ARC
(9,11),2.49179 # DEPENDENCYPART_ARC
(9,12),0.74137 # DEPENDENCYPART_ARC
(9,13),1.32202 # DEPENDENCYPART_ARC
(9,14),-0.332687 # DEPENDENCYPART_ARC
(9,15),-1.04878 # DEPENDENCYPART_ARC
(9,16),-1.62459 # DEPENDENCYPART_ARC
(9,17),0.633773 # DEPENDENCYPART_ARC
(9,18),-0.725188 # DEPENDENCYPART_ARC
(10,3),-1.73684 # DEPENDENCYPART_ARC
(10,4),-1.40521 # DEPENDENCYPART_ARC
(10,6),-0.985014 # DEPENDENCYPART_ARC
(10,7),-0.668571 # DEPENDENCYPART_ARC
(10,9),0.151164 # DEPENDENCYPART_ARC
(10,11),2.17472 # DEPENDENCYPART_ARC
(10,12),-0.542276 # DEPENDENCYPART_ARC
(10,13),0.554007 # DEPENDENCYPART_ARC
(10,16),-2.83215 # DEPENDENCYPART_ARC
(10,17),-1.3219 # DEPENDENCYPART_ARC
(10,18),-1.80145 # DEPENDENCYPART_ARC
(11,1),-0.459476 # DEPENDENCYPART_ARC
(11,2),-0.84412 # DEPENDENCYPART_ARC
(11,3),-1.6386 # DEPENDENCYPART_ARC
(11,4),-0.71431 # DEPENDENCYPART_ARC
(11,5),-0.433696 # DEPENDENCYPART_ARC
(11,6),-0.258149 # DEPENDENCYPART_ARC
(11,7),-0.541565 # DEPENDENCYPART_ARC
(11,8),0.57895 # DEPENDENCYPART_ARC
(11,9),-0.393976 # DEPENDENCYPART_ARC
(11,10),0.2447 # DEPENDENCYPART_ARC
(11,12),0.00155731 # DEPENDENCYPART_ARC
(11,13),-0.135325 # DEPENDENCYPART_ARC
(11,14),-1.1399 # DEPENDENCYPART_ARC
(11,15),-1.26781 # DEPENDENCYPART_ARC
(11,16),-1.78458 # DEPENDENCYPART_ARC
(11,17),-0.60387 # DEPENDENCYPART_ARC
(11,18),-1.42882 # DEPENDENCYPART_ARC
(13,1),-2.18643 # DEPENDENCYPART_ARC
(13,2),-1.98256 # DEPENDENCYPART_ARC
(13,3),-2.9393 # DEPENDENCYPART_ARC
(13,4),-1.71273 # DEPENDENCYPART_ARC
(13,5),-1.47653 # DEPENDENCYPART_ARC
(13,6),-1.42906 # DEPENDENCYPART_ARC
(13,7),-0.623531 # DEPENDENCYPART_ARC
(13,8),-1.03916 # DEPENDENCYPART_ARC
(13,9),-2.41256 # DEPENDENCYPART_ARC
(13,10),-2.29429 # DEPENDENCYPART_ARC
(13,11),-1.0331 # DEPENDENCYPART_ARC
(13,12),0.307829 # DEPENDENCYPART_ARC
(13,14),-1.01277 # DEPENDENCYPART_ARC
(13,15),-1.09052 # DEPENDENCYPART_ARC
(13,16),-1.5534 # DEPENDENCYPART_ARC
(13,17),-0.388892 # DEPENDENCYPART_ARC
(13,18),-0.452693 # DEPENDENCYPART_ARC
(14,15),-0.627428 # DEPENDENCYPART_ARC
(14,16),-0.796143 # DEPENDENCYPART_ARC
(14,18),-1.00065 # DEPENDENCYPART_ARC
(15,14),-0.283624 # DEPENDENCYPART_ARC
(16,1),-3.66659 # DEPENDENCYPART_ARC
(16,5),-1.97098 # DEPENDENCYPART_ARC
(16,8),-1.6821 # DEPENDENCYPART_ARC
(16,11),-0.152453 # DEPENDENCYPART_ARC
(16,12),-0.949703 # DEPENDENCYPART_ARC
(16,13),-0.845176 # DEPENDENCYPART_ARC
(16,14),-0.0675794 # DEPENDENCYPART_ARC
(16,15),1.79463 # DEPENDENCYPART_ARC
(17,1),-1.69443 # DEPENDENCYPART_ARC
(17,2),-1.93302 # DEPENDENCYPART_ARC
(17,3),-1.17355 # DEPENDENCYPART_ARC
(17,4),-1.12773 # DEPENDENCYPART_ARC
(17,5),-1.66123 # DEPENDENCYPART_ARC
(17,6),-0.784026 # DEPENDENCYPART_ARC
(17,7),-0.806965 # DEPENDENCYPART_ARC
(17,8),-0.870982 # DEPENDENCYPART_ARC
(17,9),-0.874433 # DEPENDENCYPART_ARC
(17,10),-0.181402 # DEPENDENCYPART_ARC
(17,11),0.138087 # DEPENDENCYPART_ARC
(17,12),-0.55124 # DEPENDENCYPART_ARC
(17,13),-0.331718 # DEPENDENCYPART_ARC
(17,14),0.961896 # DEPENDENCYPART_ARC
(17,15),-0.195382 # DEPENDENCYPART_ARC
(17,16),2.46578 # DEPENDENCYPART_ARC
(17,18),0.0483483 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0270642 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.104804 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.0353169 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.088093 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.0270642 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.104852 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.10535 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.104804 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.046246 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.0278353 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.110624 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.112223 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.0359326 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.118425 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.0677663 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.112845 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.107078 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.112223 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.11733 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.0738542 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.105997 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.0995196 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.2351 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.108008 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.242678 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.25076 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.245466 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.265529 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.112767 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.249574 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.109655 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.0736182 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.108742 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.102818 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.108121 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.111471 # DEPENDENCYPART_SIBL
(0,5),(0,14),-0.0780658 # DEPENDENCYPART_SIBL
(0,5),(0,17),-0.100418 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.0895412 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.0632428 # DEPENDENCYPART_SIBL
(0,7),(0,10),-0.0680506 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.061853 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.168856 # DEPENDENCYPART_SIBL
(0,7),(0,14),-0.0734235 # DEPENDENCYPART_SIBL
(0,7),(0,17),-0.0773031 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.112845 # DEPENDENCYPART_SIBL
(0,8),(0,10),-0.107078 # DEPENDENCYPART_SIBL
(0,8),(0,11),-0.112223 # DEPENDENCYPART_SIBL
(0,8),(0,13),-0.11733 # DEPENDENCYPART_SIBL
(0,8),(0,14),-0.0738542 # DEPENDENCYPART_SIBL
(0,8),(0,17),-0.105997 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.251013 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.24571 # DEPENDENCYPART_SIBL
(0,9),(0,13),-0.265689 # DEPENDENCYPART_SIBL
(0,9),(0,14),-0.112824 # DEPENDENCYPART_SIBL
(0,9),(0,17),-0.249819 # DEPENDENCYPART_SIBL
(0,10),(0,11),-0.242514 # DEPENDENCYPART_SIBL
(0,10),(0,13),-0.273363 # DEPENDENCYPART_SIBL
(0,10),(0,14),-0.110038 # DEPENDENCYPART_SIBL
(0,10),(0,17),-0.24772 # DEPENDENCYPART_SIBL
(0,11),(0,13),-0.265529 # DEPENDENCYPART_SIBL
(0,11),(0,14),-0.112767 # DEPENDENCYPART_SIBL
(0,11),(0,17),-0.249574 # DEPENDENCYPART_SIBL
(0,13),(0,14),-0.0807828 # DEPENDENCYPART_SIBL
(0,13),(0,17),-0.14977 # DEPENDENCYPART_SIBL
(0,14),(0,17),-0.119075 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.00333291 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.117162 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.0536118 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.0336308 # DEPENDENCYPART_SIBL
(1,2),(1,7),0.0231472 # DEPENDENCYPART_SIBL
(1,2),(1,8),0.00072846 # DEPENDENCYPART_SIBL
(1,2),(1,9),0.00275284 # DEPENDENCYPART_SIBL
(1,2),(1,10),0.00931819 # DEPENDENCYPART_SIBL
(1,2),(1,11),0.00333291 # DEPENDENCYPART_SIBL
(1,2),(1,12),0.0336308 # DEPENDENCYPART_SIBL
(1,2),(1,13),0.0402305 # DEPENDENCYPART_SIBL
(1,2),(1,14),0.0090216 # DEPENDENCYPART_SIBL
(1,2),(1,15),0.0698894 # DEPENDENCYPART_SIBL
(1,2),(1,16),0.117242 # DEPENDENCYPART_SIBL
(1,2),(1,17),0.00533218 # DEPENDENCYPART_SIBL
(1,2),(1,18),0.0620939 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.00231521 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.0311649 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.0494303 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.013646 # DEPENDENCYPART_SIBL
(1,3),(1,8),0.0155157 # DEPENDENCYPART_SIBL
