# _root_ Be kell vallanom , csak pár nap alatt sikerült kiderítenem , hogy retrofit magyarul azt jelenti : korszerűsítés .
#goldHeads=2,0,2,2,9,7,8,9,3,9,9,9,16,16,16,10,16,15,2,
#predictedHeads=2,0,2,2,10,7,8,10,2,9,9,9,16,16,16,9,16,16,2,
(0,1),-2.79696 # DEPENDENCYPART_ARC
(0,2),-1.39327 # DEPENDENCYPART_ARC
(0,3),-2.98111 # DEPENDENCYPART_ARC
(0,8),-3.90818 # DEPENDENCYPART_ARC
(0,9),-2.39137 # DEPENDENCYPART_ARC
(0,10),-3.81961 # DEPENDENCYPART_ARC
(0,12),-3.88373 # DEPENDENCYPART_ARC
(0,15),-4.66615 # DEPENDENCYPART_ARC
(0,16),-2.6994 # DEPENDENCYPART_ARC
(1,4),-0.711466 # DEPENDENCYPART_ARC
(1,8),-1.06691 # DEPENDENCYPART_ARC
(2,1),1.94864 # DEPENDENCYPART_ARC
(2,3),4.22395 # DEPENDENCYPART_ARC
(2,4),0.749704 # DEPENDENCYPART_ARC
(2,5),-0.605493 # DEPENDENCYPART_ARC
(2,6),-0.733901 # DEPENDENCYPART_ARC
(2,7),-0.79698 # DEPENDENCYPART_ARC
(2,8),-0.501197 # DEPENDENCYPART_ARC
(2,9),-0.115156 # DEPENDENCYPART_ARC
(2,10),1.96124 # DEPENDENCYPART_ARC
(2,11),-0.0422644 # DEPENDENCYPART_ARC
(2,12),-0.0596514 # DEPENDENCYPART_ARC
(2,13),-2.58666 # DEPENDENCYPART_ARC
(2,14),-1.16509 # DEPENDENCYPART_ARC
(2,15),-2.05099 # DEPENDENCYPART_ARC
(2,16),-1.25366 # DEPENDENCYPART_ARC
(2,17),-0.391407 # DEPENDENCYPART_ARC
(2,18),-2.68745 # DEPENDENCYPART_ARC
(2,19),-0.468153 # DEPENDENCYPART_ARC
(3,1),0.764442 # DEPENDENCYPART_ARC
(3,2),0.143603 # DEPENDENCYPART_ARC
(3,4),0.115737 # DEPENDENCYPART_ARC
(3,5),-0.589964 # DEPENDENCYPART_ARC
(3,6),-1.34294 # DEPENDENCYPART_ARC
(3,7),-1.4559 # DEPENDENCYPART_ARC
(3,8),-0.717063 # DEPENDENCYPART_ARC
(3,9),-1.20716 # DEPENDENCYPART_ARC
(3,10),0.371545 # DEPENDENCYPART_ARC
(3,11),-0.900029 # DEPENDENCYPART_ARC
(3,12),-1.35571 # DEPENDENCYPART_ARC
(3,14),-1.08757 # DEPENDENCYPART_ARC
(3,15),-2.21024 # DEPENDENCYPART_ARC
(3,16),-2.18974 # DEPENDENCYPART_ARC
(3,17),-1.30667 # DEPENDENCYPART_ARC
(3,19),-1.63707 # DEPENDENCYPART_ARC
(5,2),-1.35179 # DEPENDENCYPART_ARC
(5,3),-1.25824 # DEPENDENCYPART_ARC
(5,4),-0.857307 # DEPENDENCYPART_ARC
(5,6),-0.663778 # DEPENDENCYPART_ARC
(5,7),-0.804791 # DEPENDENCYPART_ARC
(5,8),-0.610226 # DEPENDENCYPART_ARC
(5,9),-0.919172 # DEPENDENCYPART_ARC
(5,10),-1.11031 # DEPENDENCYPART_ARC
(5,11),-0.891762 # DEPENDENCYPART_ARC
(5,12),-0.911751 # DEPENDENCYPART_ARC
(5,13),-1.66013 # DEPENDENCYPART_ARC
(5,16),-1.25299 # DEPENDENCYPART_ARC
(5,17),-1.07749 # DEPENDENCYPART_ARC
(5,18),-2.05868 # DEPENDENCYPART_ARC
