# _root_ A legrövidebb távot , a 2000 métert a II. korcsoport tagjai , az 1986- 1988-as születésű lányok teszik meg .
#goldHeads=3,3,18,18,7,7,18,10,10,11,18,18,17,16,16,17,18,0,18,18,
#predictedHeads=3,3,18,18,7,7,18,10,10,11,18,18,17,17,17,17,18,0,18,18,
(0,3),-3.85187 # DEPENDENCYPART_ARC
(0,6),-3.70414 # DEPENDENCYPART_ARC
(0,7),-4.58812 # DEPENDENCYPART_ARC
(0,11),-5.37213 # DEPENDENCYPART_ARC
(0,15),-4.12326 # DEPENDENCYPART_ARC
(0,18),-2.797 # DEPENDENCYPART_ARC
(0,19),-4.95253 # DEPENDENCYPART_ARC
(1,2),-0.703257 # DEPENDENCYPART_ARC
(1,3),-1.16357 # DEPENDENCYPART_ARC
(1,4),-0.614595 # DEPENDENCYPART_ARC
(2,1),-0.137968 # DEPENDENCYPART_ARC
(2,18),-2.08101 # DEPENDENCYPART_ARC
(3,1),1.20103 # DEPENDENCYPART_ARC
(3,2),2.47126 # DEPENDENCYPART_ARC
(3,4),-0.554087 # DEPENDENCYPART_ARC
(3,6),-1.66915 # DEPENDENCYPART_ARC
(3,7),-1.96587 # DEPENDENCYPART_ARC
(3,10),-2.24941 # DEPENDENCYPART_ARC
(3,11),-2.19716 # DEPENDENCYPART_ARC
(3,12),-0.992795 # DEPENDENCYPART_ARC
(3,15),-2.27037 # DEPENDENCYPART_ARC
(3,17),-2.20211 # DEPENDENCYPART_ARC
(3,18),-2.30725 # DEPENDENCYPART_ARC
(3,20),-1.70766 # DEPENDENCYPART_ARC
(5,4),-0.663686 # DEPENDENCYPART_ARC
(5,10),-1.3051 # DEPENDENCYPART_ARC
(6,3),-2.15341 # DEPENDENCYPART_ARC
(6,5),-0.618254 # DEPENDENCYPART_ARC
(6,10),-1.8051 # DEPENDENCYPART_ARC
(6,11),-1.98842 # DEPENDENCYPART_ARC
(6,18),-1.5625 # DEPENDENCYPART_ARC
(6,20),-1.56336 # DEPENDENCYPART_ARC
(7,1),-0.984695 # DEPENDENCYPART_ARC
(7,2),-0.780431 # DEPENDENCYPART_ARC
(7,3),-2.66092 # DEPENDENCYPART_ARC
(7,4),-0.881042 # DEPENDENCYPART_ARC
(7,5),0.933308 # DEPENDENCYPART_ARC
(7,6),1.97783 # DEPENDENCYPART_ARC
(7,8),-1.36699 # DEPENDENCYPART_ARC
(7,10),-1.54062 # DEPENDENCYPART_ARC
(7,11),-1.62902 # DEPENDENCYPART_ARC
(7,12),-0.869278 # DEPENDENCYPART_ARC
(7,15),-1.91485 # DEPENDENCYPART_ARC
(7,17),-1.78249 # DEPENDENCYPART_ARC
(7,18),-2.00035 # DEPENDENCYPART_ARC
(7,20),-1.55434 # DEPENDENCYPART_ARC
(8,9),-0.282352 # DEPENDENCYPART_ARC
(8,15),-1.1578 # DEPENDENCYPART_ARC
(9,7),-1.84257 # DEPENDENCYPART_ARC
(9,8),-0.679618 # DEPENDENCYPART_ARC
(9,20),-1.54024 # DEPENDENCYPART_ARC
(10,1),-1.8037 # DEPENDENCYPART_ARC
(10,2),-1.65742 # DEPENDENCYPART_ARC
(10,3),-3.78877 # DEPENDENCYPART_ARC
(10,4),-1.4273 # DEPENDENCYPART_ARC
(10,5),-0.850313 # DEPENDENCYPART_ARC
(10,6),-0.224634 # DEPENDENCYPART_ARC
(10,7),-2.45133 # DEPENDENCYPART_ARC
(10,8),0.945511 # DEPENDENCYPART_ARC
(10,9),1.8591 # DEPENDENCYPART_ARC
(10,11),-1.27631 # DEPENDENCYPART_ARC
(10,14),-1.61424 # DEPENDENCYPART_ARC
(10,18),-1.65728 # DEPENDENCYPART_ARC
(10,20),-1.8557 # DEPENDENCYPART_ARC
(11,1),-2.52756 # DEPENDENCYPART_ARC
(11,2),-1.96715 # DEPENDENCYPART_ARC
(11,3),-3.54947 # DEPENDENCYPART_ARC
(11,4),-1.25448 # DEPENDENCYPART_ARC
(11,5),-1.49148 # DEPENDENCYPART_ARC
(11,6),-1.50002 # DEPENDENCYPART_ARC
(11,7),-2.49612 # DEPENDENCYPART_ARC
(11,8),-0.407641 # DEPENDENCYPART_ARC
(11,9),-0.0656072 # DEPENDENCYPART_ARC
(11,10),2.73589 # DEPENDENCYPART_ARC
(11,12),-0.571979 # DEPENDENCYPART_ARC
(11,14),-1.24523 # DEPENDENCYPART_ARC
(11,15),-1.64644 # DEPENDENCYPART_ARC
(11,17),-1.18014 # DEPENDENCYPART_ARC
(11,18),-1.77951 # DEPENDENCYPART_ARC
(11,20),-1.55696 # DEPENDENCYPART_ARC
(13,12),-0.660232 # DEPENDENCYPART_ARC
(13,14),-0.253363 # DEPENDENCYPART_ARC
(13,15),-0.699851 # DEPENDENCYPART_ARC
(13,16),-0.763582 # DEPENDENCYPART_ARC
(14,12),-0.873123 # DEPENDENCYPART_ARC
(14,13),0.00104314 # DEPENDENCYPART_ARC
(15,3),-2.07915 # DEPENDENCYPART_ARC
(15,4),-1.64306 # DEPENDENCYPART_ARC
(15,6),-1.42418 # DEPENDENCYPART_ARC
(15,7),-1.54677 # DEPENDENCYPART_ARC
(15,8),-1.83465 # DEPENDENCYPART_ARC
(15,10),-1.77595 # DEPENDENCYPART_ARC
(15,11),-1.94437 # DEPENDENCYPART_ARC
(15,12),-0.841246 # DEPENDENCYPART_ARC
(15,13),-1.0194 # DEPENDENCYPART_ARC
(15,14),0.279822 # DEPENDENCYPART_ARC
(15,16),-1.33307 # DEPENDENCYPART_ARC
(15,18),-1.18328 # DEPENDENCYPART_ARC
(15,20),-1.70849 # DEPENDENCYPART_ARC
(16,3),-2.06154 # DEPENDENCYPART_ARC
(16,6),-1.32611 # DEPENDENCYPART_ARC
(16,7),-1.49324 # DEPENDENCYPART_ARC
(16,10),-1.88578 # DEPENDENCYPART_ARC
(16,11),-2.04789 # DEPENDENCYPART_ARC
(16,12),-0.761679 # DEPENDENCYPART_ARC
(16,13),-1.12009 # DEPENDENCYPART_ARC
(16,14),-0.323831 # DEPENDENCYPART_ARC
(16,15),0.637564 # DEPENDENCYPART_ARC
(17,1),-2.57426 # DEPENDENCYPART_ARC
(17,2),-2.15587 # DEPENDENCYPART_ARC
(17,3),-4.67037 # DEPENDENCYPART_ARC
(17,4),-1.58428 # DEPENDENCYPART_ARC
(17,5),-1.53196 # DEPENDENCYPART_ARC
(17,6),-2.28714 # DEPENDENCYPART_ARC
(17,7),-3.65606 # DEPENDENCYPART_ARC
(17,8),-0.583721 # DEPENDENCYPART_ARC
(17,9),-1.69567 # DEPENDENCYPART_ARC
(17,10),-1.6184 # DEPENDENCYPART_ARC
(17,11),-3.12707 # DEPENDENCYPART_ARC
(17,12),-1.02712 # DEPENDENCYPART_ARC
(17,13),0.337089 # DEPENDENCYPART_ARC
(17,14),0.0749017 # DEPENDENCYPART_ARC
(17,15),1.50938 # DEPENDENCYPART_ARC
(17,16),2.53386 # DEPENDENCYPART_ARC
(17,20),-1.67201 # DEPENDENCYPART_ARC
(18,1),-1.30145 # DEPENDENCYPART_ARC
(18,2),-1.83542 # DEPENDENCYPART_ARC
(18,3),-0.512655 # DEPENDENCYPART_ARC
(18,4),-0.143759 # DEPENDENCYPART_ARC
(18,5),-1.30126 # DEPENDENCYPART_ARC
(18,6),-1.73386 # DEPENDENCYPART_ARC
(18,7),0.342582 # DEPENDENCYPART_ARC
(18,8),-1.33041 # DEPENDENCYPART_ARC
(18,9),-1.48246 # DEPENDENCYPART_ARC
(18,10),-0.50719 # DEPENDENCYPART_ARC
(18,11),0.118966 # DEPENDENCYPART_ARC
(18,12),0.244525 # DEPENDENCYPART_ARC
