# _root_ Az események hátterét kutatva folyamatokat , trendeket szándékozik bemutatni , segítve a polgárosulási folyamatot és a város jövőképének közös formálását .
#goldHeads=2,3,4,8,9,9,9,0,8,8,8,14,14,11,11,17,18,20,20,11,8,
#predictedHeads=2,3,9,9,9,9,9,0,8,8,9,14,14,11,11,17,18,19,20,11,8,
(0,2),-3.35733 # DEPENDENCYPART_ARC
(0,3),-4.03661 # DEPENDENCYPART_ARC
(0,4),-3.66307 # DEPENDENCYPART_ARC
(0,5),-4.27517 # DEPENDENCYPART_ARC
(0,7),-4.79593 # DEPENDENCYPART_ARC
(0,8),-2.31139 # DEPENDENCYPART_ARC
(0,9),-4.26775 # DEPENDENCYPART_ARC
(0,11),-4.23853 # DEPENDENCYPART_ARC
(0,15),-3.21614 # DEPENDENCYPART_ARC
(1,5),-1.57344 # DEPENDENCYPART_ARC
(2,1),1.83492 # DEPENDENCYPART_ARC
(2,3),-2.08585 # DEPENDENCYPART_ARC
(2,4),-1.68894 # DEPENDENCYPART_ARC
(2,5),-1.83532 # DEPENDENCYPART_ARC
(3,1),-0.227862 # DEPENDENCYPART_ARC
(3,2),3.20499 # DEPENDENCYPART_ARC
(3,4),-1.44723 # DEPENDENCYPART_ARC
(3,5),-1.48875 # DEPENDENCYPART_ARC
(3,6),-1.01455 # DEPENDENCYPART_ARC
(3,7),-1.87623 # DEPENDENCYPART_ARC
(3,8),-1.95119 # DEPENDENCYPART_ARC
(3,20),-3.19171 # DEPENDENCYPART_ARC
(3,21),-1.94318 # DEPENDENCYPART_ARC
(4,2),-0.222591 # DEPENDENCYPART_ARC
(4,3),0.409148 # DEPENDENCYPART_ARC
(4,5),-0.565586 # DEPENDENCYPART_ARC
(4,6),-0.482778 # DEPENDENCYPART_ARC
(4,7),-1.00544 # DEPENDENCYPART_ARC
(4,8),-0.778892 # DEPENDENCYPART_ARC
(4,9),-0.969908 # DEPENDENCYPART_ARC
(4,10),-0.67857 # DEPENDENCYPART_ARC
(4,14),-1.71849 # DEPENDENCYPART_ARC
(4,15),-0.780938 # DEPENDENCYPART_ARC
(4,17),-1.94429 # DEPENDENCYPART_ARC
(4,18),-1.93619 # DEPENDENCYPART_ARC
(4,20),-1.9471 # DEPENDENCYPART_ARC
(4,21),-1.27143 # DEPENDENCYPART_ARC
(5,1),-0.957568 # DEPENDENCYPART_ARC
(5,2),-1.35157 # DEPENDENCYPART_ARC
(5,3),-1.93825 # DEPENDENCYPART_ARC
(5,4),-0.317561 # DEPENDENCYPART_ARC
(5,6),-0.684311 # DEPENDENCYPART_ARC
(5,7),-1.67704 # DEPENDENCYPART_ARC
(5,8),-1.65054 # DEPENDENCYPART_ARC
(5,9),-1.44387 # DEPENDENCYPART_ARC
(5,10),-1.11798 # DEPENDENCYPART_ARC
(5,11),-1.79317 # DEPENDENCYPART_ARC
(5,20),-3.37521 # DEPENDENCYPART_ARC
(5,21),-1.75212 # DEPENDENCYPART_ARC
(7,1),-1.10189 # DEPENDENCYPART_ARC
(7,2),-1.65988 # DEPENDENCYPART_ARC
(7,3),-2.94411 # DEPENDENCYPART_ARC
(7,4),-0.829561 # DEPENDENCYPART_ARC
(7,5),-0.942139 # DEPENDENCYPART_ARC
(7,6),-0.172189 # DEPENDENCYPART_ARC
(7,8),-1.28905 # DEPENDENCYPART_ARC
(7,9),-1.25488 # DEPENDENCYPART_ARC
(7,10),-0.763896 # DEPENDENCYPART_ARC
(7,11),-1.59178 # DEPENDENCYPART_ARC
(7,14),-2.29172 # DEPENDENCYPART_ARC
(7,18),-3.07324 # DEPENDENCYPART_ARC
(7,20),-3.14873 # DEPENDENCYPART_ARC
(7,21),-1.76289 # DEPENDENCYPART_ARC
(8,1),-1.58055 # DEPENDENCYPART_ARC
(8,2),-0.459668 # DEPENDENCYPART_ARC
(8,3),-0.175125 # DEPENDENCYPART_ARC
(8,4),0.347148 # DEPENDENCYPART_ARC
(8,5),-0.538981 # DEPENDENCYPART_ARC
(8,6),0.33423 # DEPENDENCYPART_ARC
