# _root_ Nagyon kedves neki az a rózsafüzér is , amelyikkel Angelo_Acerbi pápai nuncius ajándékozta meg , amikor meglátta a gyöngyösi Mária-szobor melletti olvasókat .
#goldHeads=2,7,7,6,6,7,0,7,13,12,12,13,7,13,13,17,13,20,20,21,22,17,7,
#predictedHeads=2,3,13,6,6,13,13,13,13,12,12,13,0,13,13,17,13,20,20,21,22,17,13,
(0,1),-2.79477 # DEPENDENCYPART_ARC
(0,2),-3.30074 # DEPENDENCYPART_ARC
(0,3),-3.31059 # DEPENDENCYPART_ARC
(0,4),-3.6311 # DEPENDENCYPART_ARC
(0,6),-4.1885 # DEPENDENCYPART_ARC
(0,7),-3.45205 # DEPENDENCYPART_ARC
(0,11),-3.9663 # DEPENDENCYPART_ARC
(0,13),-2.1705 # DEPENDENCYPART_ARC
(0,14),-4.44927 # DEPENDENCYPART_ARC
(0,16),-4.311 # DEPENDENCYPART_ARC
(0,17),-2.91336 # DEPENDENCYPART_ARC
(1,2),-0.976918 # DEPENDENCYPART_ARC
(1,3),-1.20522 # DEPENDENCYPART_ARC
(1,6),-1.5736 # DEPENDENCYPART_ARC
(1,7),-1.19272 # DEPENDENCYPART_ARC
(1,8),-1.08372 # DEPENDENCYPART_ARC
(1,10),-1.97801 # DEPENDENCYPART_ARC
(1,12),-2.13053 # DEPENDENCYPART_ARC
(1,13),-1.44003 # DEPENDENCYPART_ARC
(1,16),-1.42735 # DEPENDENCYPART_ARC
(1,17),-1.5632 # DEPENDENCYPART_ARC
(1,22),-2.36827 # DEPENDENCYPART_ARC
(1,23),-1.95402 # DEPENDENCYPART_ARC
(2,1),0.56021 # DEPENDENCYPART_ARC
(2,6),-1.56384 # DEPENDENCYPART_ARC
(2,7),-1.83727 # DEPENDENCYPART_ARC
(2,8),-0.999766 # DEPENDENCYPART_ARC
(2,13),-1.58242 # DEPENDENCYPART_ARC
(2,17),-1.75728 # DEPENDENCYPART_ARC
(2,23),-1.50061 # DEPENDENCYPART_ARC
(3,1),-0.264578 # DEPENDENCYPART_ARC
(3,2),0.0919286 # DEPENDENCYPART_ARC
(3,6),-0.934677 # DEPENDENCYPART_ARC
(3,8),-0.762591 # DEPENDENCYPART_ARC
(3,11),-1.14249 # DEPENDENCYPART_ARC
(3,12),-1.59135 # DEPENDENCYPART_ARC
(3,13),-0.991786 # DEPENDENCYPART_ARC
(3,15),-1.08403 # DEPENDENCYPART_ARC
(3,17),-1.24077 # DEPENDENCYPART_ARC
(3,20),-1.96967 # DEPENDENCYPART_ARC
(3,22),-1.94681 # DEPENDENCYPART_ARC
(3,23),-1.50822 # DEPENDENCYPART_ARC
(4,1),-0.81399 # DEPENDENCYPART_ARC
(4,2),-1.40794 # DEPENDENCYPART_ARC
(4,3),-0.240002 # DEPENDENCYPART_ARC
(4,6),-0.74464 # DEPENDENCYPART_ARC
(4,7),-0.833644 # DEPENDENCYPART_ARC
(4,8),-0.684408 # DEPENDENCYPART_ARC
(4,9),-1.5115 # DEPENDENCYPART_ARC
(4,10),-0.909382 # DEPENDENCYPART_ARC
(4,11),-0.761712 # DEPENDENCYPART_ARC
(4,12),-0.951453 # DEPENDENCYPART_ARC
(4,13),0.507378 # DEPENDENCYPART_ARC
(4,14),-1.06208 # DEPENDENCYPART_ARC
(4,15),-0.519726 # DEPENDENCYPART_ARC
(4,16),-1.04964 # DEPENDENCYPART_ARC
(4,17),0.444832 # DEPENDENCYPART_ARC
(4,19),-0.930803 # DEPENDENCYPART_ARC
(4,20),-1.23049 # DEPENDENCYPART_ARC
(4,21),-0.919108 # DEPENDENCYPART_ARC
(4,22),-1.92148 # DEPENDENCYPART_ARC
(4,23),-1.54833 # DEPENDENCYPART_ARC
(6,1),-1.7405 # DEPENDENCYPART_ARC
(6,2),-1.20359 # DEPENDENCYPART_ARC
(6,3),-1.33814 # DEPENDENCYPART_ARC
(6,4),0.480928 # DEPENDENCYPART_ARC
(6,5),1.85965 # DEPENDENCYPART_ARC
(6,10),-1.76733 # DEPENDENCYPART_ARC
(7,1),-0.926744 # DEPENDENCYPART_ARC
(7,2),-1.16748 # DEPENDENCYPART_ARC
(7,4),-1.11566 # DEPENDENCYPART_ARC
(7,5),-1.20762 # DEPENDENCYPART_ARC
(7,6),-0.320571 # DEPENDENCYPART_ARC
(7,8),-0.558578 # DEPENDENCYPART_ARC
(7,10),-1.44082 # DEPENDENCYPART_ARC
(7,12),-1.72015 # DEPENDENCYPART_ARC
(7,13),-0.803019 # DEPENDENCYPART_ARC
(7,15),-1.01408 # DEPENDENCYPART_ARC
(7,16),-2.0075 # DEPENDENCYPART_ARC
(7,17),-1.3709 # DEPENDENCYPART_ARC
(7,20),-2.13901 # DEPENDENCYPART_ARC
(7,22),-2.27702 # DEPENDENCYPART_ARC
(7,23),-2.12288 # DEPENDENCYPART_ARC
(9,11),-1.06988 # DEPENDENCYPART_ARC
(9,12),-0.665466 # DEPENDENCYPART_ARC
(9,20),-1.01085 # DEPENDENCYPART_ARC
(9,22),-1.72236 # DEPENDENCYPART_ARC
(10,4),-2.66244 # DEPENDENCYPART_ARC
(10,5),-1.48719 # DEPENDENCYPART_ARC
(10,9),-1.04988 # DEPENDENCYPART_ARC
(10,11),-1.09936 # DEPENDENCYPART_ARC
(10,12),-0.81304 # DEPENDENCYPART_ARC
(10,17),-1.57923 # DEPENDENCYPART_ARC
(11,1),-1.22751 # DEPENDENCYPART_ARC
(11,2),-1.71213 # DEPENDENCYPART_ARC
(11,3),-1.15207 # DEPENDENCYPART_ARC
(11,4),-1.5186 # DEPENDENCYPART_ARC
(11,5),-1.43426 # DEPENDENCYPART_ARC
(11,6),-1.10509 # DEPENDENCYPART_ARC
(11,7),-0.570648 # DEPENDENCYPART_ARC
(11,8),-0.604268 # DEPENDENCYPART_ARC
(11,9),-0.264361 # DEPENDENCYPART_ARC
(11,10),0.694652 # DEPENDENCYPART_ARC
(12,1),-1.36692 # DEPENDENCYPART_ARC
(12,2),-1.26079 # DEPENDENCYPART_ARC
(12,4),-0.866754 # DEPENDENCYPART_ARC
(12,5),-0.519106 # DEPENDENCYPART_ARC
(12,6),-1.30677 # DEPENDENCYPART_ARC
(12,7),-0.871248 # DEPENDENCYPART_ARC
(12,8),-0.353208 # DEPENDENCYPART_ARC
(12,9),-1.22708 # DEPENDENCYPART_ARC
(12,10),1.39664 # DEPENDENCYPART_ARC
(12,11),2.59682 # DEPENDENCYPART_ARC
(12,17),-1.44514 # DEPENDENCYPART_ARC
(13,1),-0.895896 # DEPENDENCYPART_ARC
(13,2),-1.74317 # DEPENDENCYPART_ARC
(13,3),-0.317562 # DEPENDENCYPART_ARC
