# _root_ A szaktudás mellett a jövőben fontos lesz az önvédelmi oktatás is , mert a szórólapterjesztőket egyre kevésbé szeretik Budapesten , a kutyák például kimondottan eszik a szerencsétleneket .
#goldHeads=2,3,7,5,7,7,0,10,10,7,7,7,7,15,18,17,18,7,18,7,22,25,25,25,7,27,25,7,
#predictedHeads=2,3,7,5,7,7,0,10,10,7,7,7,7,15,18,17,18,13,18,18,22,25,25,25,18,27,25,7,
(0,2),-3.18873 # DEPENDENCYPART_ARC
(0,3),-3.50866 # DEPENDENCYPART_ARC
(0,6),-3.79437 # DEPENDENCYPART_ARC
(0,7),-2.06958 # DEPENDENCYPART_ARC
(0,11),-3.85908 # DEPENDENCYPART_ARC
(0,13),-3.87787 # DEPENDENCYPART_ARC
(0,17),-4.39372 # DEPENDENCYPART_ARC
(0,18),-3.11938 # DEPENDENCYPART_ARC
(0,23),-4.68879 # DEPENDENCYPART_ARC
(0,24),-4.05451 # DEPENDENCYPART_ARC
(0,25),-3.5041 # DEPENDENCYPART_ARC
(2,1),1.76153 # DEPENDENCYPART_ARC
(2,5),-1.65688 # DEPENDENCYPART_ARC
(3,1),-0.179428 # DEPENDENCYPART_ARC
(3,2),2.5562 # DEPENDENCYPART_ARC
(3,5),-1.08916 # DEPENDENCYPART_ARC
(3,6),-1.13626 # DEPENDENCYPART_ARC
(3,7),-1.18179 # DEPENDENCYPART_ARC
(3,9),-1.36962 # DEPENDENCYPART_ARC
(3,10),-1.61108 # DEPENDENCYPART_ARC
(3,12),-0.894585 # DEPENDENCYPART_ARC
(3,15),-1.7698 # DEPENDENCYPART_ARC
(3,18),-1.54003 # DEPENDENCYPART_ARC
(3,25),-1.66053 # DEPENDENCYPART_ARC
(3,28),-1.02728 # DEPENDENCYPART_ARC
(4,6),-1.02205 # DEPENDENCYPART_ARC
(5,1),-0.640467 # DEPENDENCYPART_ARC
(5,2),-1.95092 # DEPENDENCYPART_ARC
(5,3),-1.0936 # DEPENDENCYPART_ARC
(5,4),1.8378 # DEPENDENCYPART_ARC
(5,6),-1.29251 # DEPENDENCYPART_ARC
(6,1),-1.52242 # DEPENDENCYPART_ARC
(6,2),-1.29921 # DEPENDENCYPART_ARC
(6,3),-0.551354 # DEPENDENCYPART_ARC
(6,4),-0.749146 # DEPENDENCYPART_ARC
(6,5),1.11878 # DEPENDENCYPART_ARC
(6,10),-1.64229 # DEPENDENCYPART_ARC
(6,11),-1.86816 # DEPENDENCYPART_ARC
(6,12),-1.14123 # DEPENDENCYPART_ARC
(6,18),-1.78484 # DEPENDENCYPART_ARC
(6,25),-1.90065 # DEPENDENCYPART_ARC
(6,28),-1.36534 # DEPENDENCYPART_ARC
(7,1),-1.41821 # DEPENDENCYPART_ARC
(7,2),0.177131 # DEPENDENCYPART_ARC
(7,3),0.904281 # DEPENDENCYPART_ARC
(7,4),-1.05308 # DEPENDENCYPART_ARC
(7,5),1.53536 # DEPENDENCYPART_ARC
(7,6),1.27655 # DEPENDENCYPART_ARC
(7,8),-1.03954 # DEPENDENCYPART_ARC
(7,9),-0.151912 # DEPENDENCYPART_ARC
(7,10),0.836003 # DEPENDENCYPART_ARC
(7,11),0.646174 # DEPENDENCYPART_ARC
(7,12),-0.0667838 # DEPENDENCYPART_ARC
(7,13),1.27563 # DEPENDENCYPART_ARC
(7,14),-1.99438 # DEPENDENCYPART_ARC
(7,15),-1.28503 # DEPENDENCYPART_ARC
(7,16),-0.937395 # DEPENDENCYPART_ARC
(7,17),-1.03195 # DEPENDENCYPART_ARC
(7,18),-0.530701 # DEPENDENCYPART_ARC
(7,19),-1.1897 # DEPENDENCYPART_ARC
(7,20),-0.901045 # DEPENDENCYPART_ARC
(7,22),-2.48906 # DEPENDENCYPART_ARC
(7,23),-1.58719 # DEPENDENCYPART_ARC
(7,24),-1.63832 # DEPENDENCYPART_ARC
(7,25),-1.31343 # DEPENDENCYPART_ARC
(7,27),-2.26943 # DEPENDENCYPART_ARC
(7,28),-1.13127 # DEPENDENCYPART_ARC
(8,9),-0.561634 # DEPENDENCYPART_ARC
(9,3),-1.75853 # DEPENDENCYPART_ARC
(9,5),-1.25146 # DEPENDENCYPART_ARC
(9,8),-0.37783 # DEPENDENCYPART_ARC
(10,1),-1.79778 # DEPENDENCYPART_ARC
(10,3),-1.54853 # DEPENDENCYPART_ARC
(10,4),-1.16595 # DEPENDENCYPART_ARC
(10,5),-2.57368 # DEPENDENCYPART_ARC
(10,6),-0.431891 # DEPENDENCYPART_ARC
(10,7),-1.08567 # DEPENDENCYPART_ARC
(10,8),1.2811 # DEPENDENCYPART_ARC
(10,9),2.37234 # DEPENDENCYPART_ARC
(10,11),-1.43703 # DEPENDENCYPART_ARC
(11,3),-1.21523 # DEPENDENCYPART_ARC
(11,5),-1.55582 # DEPENDENCYPART_ARC
(11,6),-1.46879 # DEPENDENCYPART_ARC
(11,7),-0.153607 # DEPENDENCYPART_ARC
(11,8),-1.31973 # DEPENDENCYPART_ARC
(11,9),-0.8167 # DEPENDENCYPART_ARC
(11,10),-0.37748 # DEPENDENCYPART_ARC
(11,12),-0.827857 # DEPENDENCYPART_ARC
(11,13),-1.40819 # DEPENDENCYPART_ARC
(11,15),-1.77642 # DEPENDENCYPART_ARC
(11,16),-2.02405 # DEPENDENCYPART_ARC
(11,17),-1.87572 # DEPENDENCYPART_ARC
(11,18),-1.39181 # DEPENDENCYPART_ARC
(11,19),-2.22324 # DEPENDENCYPART_ARC
(11,20),-1.14413 # DEPENDENCYPART_ARC
(11,23),-2.12667 # DEPENDENCYPART_ARC
(11,25),-2.06968 # DEPENDENCYPART_ARC
(11,28),-1.97939 # DEPENDENCYPART_ARC
(13,2),-1.47285 # DEPENDENCYPART_ARC
(13,3),-1.31283 # DEPENDENCYPART_ARC
(13,5),-1.1954 # DEPENDENCYPART_ARC
(13,6),-0.908616 # DEPENDENCYPART_ARC
(13,7),-2.48906 # DEPENDENCYPART_ARC
(13,9),-0.380078 # DEPENDENCYPART_ARC
(13,10),-0.376651 # DEPENDENCYPART_ARC
(13,11),-0.224058 # DEPENDENCYPART_ARC
(13,12),0.37055 # DEPENDENCYPART_ARC
(13,15),-1.20928 # DEPENDENCYPART_ARC
(13,16),-1.3191 # DEPENDENCYPART_ARC
(13,17),-1.35188 # DEPENDENCYPART_ARC
