# _root_ Érdekes helyzet volt : a vezetőség nem nagyon éreztette , hogy szükség van rám , és én se nagyon forszíroztam a dolgot .
#goldHeads=2,3,0,3,6,9,9,9,16,9,9,13,9,13,16,3,20,20,20,16,22,20,3,
#predictedHeads=2,3,16,3,6,9,9,9,16,9,9,13,9,13,16,0,20,20,20,16,22,20,16,
(0,1),-3.18468 # DEPENDENCYPART_ARC
(0,3),-1.5954 # DEPENDENCYPART_ARC
(0,7),-3.89174 # DEPENDENCYPART_ARC
(0,9),-2.4922 # DEPENDENCYPART_ARC
(0,11),-3.82677 # DEPENDENCYPART_ARC
(0,13),-3.04129 # DEPENDENCYPART_ARC
(0,14),-4.31226 # DEPENDENCYPART_ARC
(0,16),-2.0297 # DEPENDENCYPART_ARC
(0,17),-4.32302 # DEPENDENCYPART_ARC
(0,18),-4.60394 # DEPENDENCYPART_ARC
(0,20),-3.54842 # DEPENDENCYPART_ARC
(1,6),-1.88371 # DEPENDENCYPART_ARC
(1,7),-1.78238 # DEPENDENCYPART_ARC
(1,23),-1.43236 # DEPENDENCYPART_ARC
(2,1),2.26334 # DEPENDENCYPART_ARC
(2,4),-1.21361 # DEPENDENCYPART_ARC
(2,6),-1.58263 # DEPENDENCYPART_ARC
(3,1),0.499704 # DEPENDENCYPART_ARC
(3,2),3.16424 # DEPENDENCYPART_ARC
(3,4),0.61433 # DEPENDENCYPART_ARC
(3,5),-1.31122 # DEPENDENCYPART_ARC
(3,6),-0.872434 # DEPENDENCYPART_ARC
(3,7),-0.451849 # DEPENDENCYPART_ARC
(3,8),-0.765803 # DEPENDENCYPART_ARC
(3,9),0.271883 # DEPENDENCYPART_ARC
(3,10),-0.324188 # DEPENDENCYPART_ARC
(3,11),-0.078742 # DEPENDENCYPART_ARC
(3,12),-2.75471 # DEPENDENCYPART_ARC
(3,13),-0.0343408 # DEPENDENCYPART_ARC
(3,14),-1.09915 # DEPENDENCYPART_ARC
(3,15),-0.69263 # DEPENDENCYPART_ARC
(3,16),-1.20376 # DEPENDENCYPART_ARC
(3,18),-1.92695 # DEPENDENCYPART_ARC
(3,19),-2.17507 # DEPENDENCYPART_ARC
(3,20),-1.12032 # DEPENDENCYPART_ARC
(3,23),-1.56076 # DEPENDENCYPART_ARC
(6,4),-1.3616 # DEPENDENCYPART_ARC
(6,5),1.73695 # DEPENDENCYPART_ARC
(7,3),-1.18787 # DEPENDENCYPART_ARC
(7,4),-0.995431 # DEPENDENCYPART_ARC
(7,6),-0.368045 # DEPENDENCYPART_ARC
