# _root_ A szponzoroknak és nekünk is szívügyünk az utánpótlás , ezért mindent elkövetünk , hogy a jövőben még több pénzt fordítsunk erre .
#goldHeads=2,4,4,6,6,10,8,6,10,0,12,10,12,12,16,20,19,19,20,12,20,10,
#predictedHeads=2,3,10,6,6,10,8,6,10,0,12,10,12,12,16,20,20,19,20,12,20,10,
(0,2),-3.56859 # DEPENDENCYPART_ARC
(0,3),-3.18021 # DEPENDENCYPART_ARC
(0,4),-3.57628 # DEPENDENCYPART_ARC
(0,5),-3.35308 # DEPENDENCYPART_ARC
(0,6),-4.10492 # DEPENDENCYPART_ARC
(0,10),-2.5738 # DEPENDENCYPART_ARC
(0,12),-2.5992 # DEPENDENCYPART_ARC
(0,14),-4.5272 # DEPENDENCYPART_ARC
(0,20),-4.12912 # DEPENDENCYPART_ARC
(0,21),-4.84799 # DEPENDENCYPART_ARC
(2,1),1.77534 # DEPENDENCYPART_ARC
(2,5),-1.59063 # DEPENDENCYPART_ARC
(3,1),-1.42933 # DEPENDENCYPART_ARC
(3,2),-0.44384 # DEPENDENCYPART_ARC
(3,4),-1.27574 # DEPENDENCYPART_ARC
(3,5),-1.31778 # DEPENDENCYPART_ARC
(3,6),-1.38297 # DEPENDENCYPART_ARC
(3,8),-1.5199 # DEPENDENCYPART_ARC
(3,9),-1.20024 # DEPENDENCYPART_ARC
(3,10),-1.48395 # DEPENDENCYPART_ARC
(3,12),-1.84514 # DEPENDENCYPART_ARC
(3,13),-1.26477 # DEPENDENCYPART_ARC
(3,14),-1.56092 # DEPENDENCYPART_ARC
(3,17),-2.10449 # DEPENDENCYPART_ARC
(3,18),-1.79218 # DEPENDENCYPART_ARC
(3,20),-2.89303 # DEPENDENCYPART_ARC
(3,22),-1.38629 # DEPENDENCYPART_ARC
(4,2),-0.883055 # DEPENDENCYPART_ARC
(4,3),-0.323332 # DEPENDENCYPART_ARC
(4,6),-1.22024 # DEPENDENCYPART_ARC
(4,8),-1.40646 # DEPENDENCYPART_ARC
(4,9),-1.27736 # DEPENDENCYPART_ARC
(4,12),-1.34482 # DEPENDENCYPART_ARC
(4,13),-1.54942 # DEPENDENCYPART_ARC
(4,16),-2.516 # DEPENDENCYPART_ARC
(4,20),-1.67211 # DEPENDENCYPART_ARC
(4,22),-1.91579 # DEPENDENCYPART_ARC
(5,1),-2.22539 # DEPENDENCYPART_ARC
(5,2),-1.75324 # DEPENDENCYPART_ARC
(5,3),-1.00819 # DEPENDENCYPART_ARC
(5,4),-0.501539 # DEPENDENCYPART_ARC
(5,6),-1.15204 # DEPENDENCYPART_ARC
(5,8),-1.65966 # DEPENDENCYPART_ARC
(5,10),-1.82836 # DEPENDENCYPART_ARC
(5,12),-1.58436 # DEPENDENCYPART_ARC
(5,14),-1.74662 # DEPENDENCYPART_ARC
(5,20),-2.34852 # DEPENDENCYPART_ARC
(5,22),-1.70914 # DEPENDENCYPART_ARC
(6,1),-0.593554 # DEPENDENCYPART_ARC
(6,2),-3.09048 # DEPENDENCYPART_ARC
(6,3),-0.751667 # DEPENDENCYPART_ARC
(6,4),-0.521478 # DEPENDENCYPART_ARC
(6,5),-0.0281736 # DEPENDENCYPART_ARC
(6,7),-1.35703 # DEPENDENCYPART_ARC
(6,8),-0.755856 # DEPENDENCYPART_ARC
(6,9),-0.564778 # DEPENDENCYPART_ARC
(6,10),-1.14167 # DEPENDENCYPART_ARC
(6,12),-1.3286 # DEPENDENCYPART_ARC
(6,13),-1.06328 # DEPENDENCYPART_ARC
(6,16),-2.34226 # DEPENDENCYPART_ARC
(6,17),-1.63341 # DEPENDENCYPART_ARC
(6,20),-2.28084 # DEPENDENCYPART_ARC
(6,22),-1.45908 # DEPENDENCYPART_ARC
(8,1),-1.38424 # DEPENDENCYPART_ARC
(8,2),-3.03993 # DEPENDENCYPART_ARC
(8,3),-1.1782 # DEPENDENCYPART_ARC
(8,5),-1.0642 # DEPENDENCYPART_ARC
(8,6),-0.292875 # DEPENDENCYPART_ARC
(8,7),1.90953 # DEPENDENCYPART_ARC
(8,9),-0.768216 # DEPENDENCYPART_ARC
(10,2),-2.06375 # DEPENDENCYPART_ARC
(10,3),-0.740413 # DEPENDENCYPART_ARC
(10,5),-0.611182 # DEPENDENCYPART_ARC
(10,6),-1.54722 # DEPENDENCYPART_ARC
(10,7),-1.38451 # DEPENDENCYPART_ARC
(10,8),-1.46922 # DEPENDENCYPART_ARC
(10,9),0.185746 # DEPENDENCYPART_ARC
(10,11),-1.64457 # DEPENDENCYPART_ARC
(10,12),-0.0587875 # DEPENDENCYPART_ARC
(10,13),-0.830765 # DEPENDENCYPART_ARC
(10,14),-0.935859 # DEPENDENCYPART_ARC
(10,16),-1.93385 # DEPENDENCYPART_ARC
(10,17),-1.58117 # DEPENDENCYPART_ARC
(10,18),-1.36752 # DEPENDENCYPART_ARC
(10,19),-2.01117 # DEPENDENCYPART_ARC
(10,20),-1.11875 # DEPENDENCYPART_ARC
(10,21),-1.9484 # DEPENDENCYPART_ARC
(10,22),0.0585397 # DEPENDENCYPART_ARC
(11,9),-1.09027 # DEPENDENCYPART_ARC
(11,10),-0.284406 # DEPENDENCYPART_ARC
(12,1),-1.70538 # DEPENDENCYPART_ARC
(12,2),0.220849 # DEPENDENCYPART_ARC
(12,3),-0.228353 # DEPENDENCYPART_ARC
(12,4),-0.273854 # DEPENDENCYPART_ARC
(12,5),-0.106819 # DEPENDENCYPART_ARC
(12,6),-0.560295 # DEPENDENCYPART_ARC
(12,7),-1.37505 # DEPENDENCYPART_ARC
(12,8),-1.28957 # DEPENDENCYPART_ARC
(12,9),-0.201939 # DEPENDENCYPART_ARC
(12,10),0.43054 # DEPENDENCYPART_ARC
(12,11),2.21058 # DEPENDENCYPART_ARC
(12,13),0.959319 # DEPENDENCYPART_ARC
(12,14),2.10583 # DEPENDENCYPART_ARC
(12,15),-1.83046 # DEPENDENCYPART_ARC
(12,16),-0.965494 # DEPENDENCYPART_ARC
(12,17),-0.973209 # DEPENDENCYPART_ARC
(12,18),-1.59789 # DEPENDENCYPART_ARC
(12,19),-1.70301 # DEPENDENCYPART_ARC
(12,20),0.605434 # DEPENDENCYPART_ARC
(12,21),-1.71807 # DEPENDENCYPART_ARC
(12,22),-0.788824 # DEPENDENCYPART_ARC
(14,2),-2.44598 # DEPENDENCYPART_ARC
(14,3),-1.2314 # DEPENDENCYPART_ARC
(14,4),-1.2642 # DEPENDENCYPART_ARC
(14,5),-0.731025 # DEPENDENCYPART_ARC
(14,6),-1.43874 # DEPENDENCYPART_ARC
(14,8),-1.43221 # DEPENDENCYPART_ARC
(14,9),-1.43884 # DEPENDENCYPART_ARC
(14,10),-0.446071 # DEPENDENCYPART_ARC
(14,12),-1.62148 # DEPENDENCYPART_ARC
(14,13),0.157056 # DEPENDENCYPART_ARC
(14,16),-1.3569 # DEPENDENCYPART_ARC
(14,17),-1.26309 # DEPENDENCYPART_ARC
(14,18),-1.14609 # DEPENDENCYPART_ARC
(14,19),-1.82619 # DEPENDENCYPART_ARC
(14,20),-0.761988 # DEPENDENCYPART_ARC
(14,22),-0.205775 # DEPENDENCYPART_ARC
(15,19),-1.52798 # DEPENDENCYPART_ARC
(16,11),-2.52295 # DEPENDENCYPART_ARC
(16,14),-1.3442 # DEPENDENCYPART_ARC
(16,15),1.7462 # DEPENDENCYPART_ARC
(16,17),-1.40844 # DEPENDENCYPART_ARC
(16,18),-1.63898 # DEPENDENCYPART_ARC
(16,19),-1.79475 # DEPENDENCYPART_ARC
(17,6),-2.34866 # DEPENDENCYPART_ARC
(17,8),-2.31933 # DEPENDENCYPART_ARC
(17,10),-1.3679 # DEPENDENCYPART_ARC
(17,12),-1.5826 # DEPENDENCYPART_ARC
(17,13),-1.40362 # DEPENDENCYPART_ARC
(17,14),-1.0391 # DEPENDENCYPART_ARC
(17,16),-0.579637 # DEPENDENCYPART_ARC
(17,18),-0.893845 # DEPENDENCYPART_ARC
(17,19),-1.082 # DEPENDENCYPART_ARC
(17,20),-1.07841 # DEPENDENCYPART_ARC
(17,22),-1.50786 # DEPENDENCYPART_ARC
(18,15),-1.46616 # DEPENDENCYPART_ARC
(18,16),-1.54447 # DEPENDENCYPART_ARC
(18,17),-0.41257 # DEPENDENCYPART_ARC
(19,8),-3.3769 # DEPENDENCYPART_ARC
(19,11),-2.00799 # DEPENDENCYPART_ARC
(19,13),-1.20055 # DEPENDENCYPART_ARC
(19,14),-1.19013 # DEPENDENCYPART_ARC
(19,15),-0.706738 # DEPENDENCYPART_ARC
(19,16),-2.17168 # DEPENDENCYPART_ARC
(19,17),0.00210929 # DEPENDENCYPART_ARC
(19,18),1.89169 # DEPENDENCYPART_ARC
(20,2),-0.969027 # DEPENDENCYPART_ARC
(20,3),-0.843016 # DEPENDENCYPART_ARC
(20,4),-1.52795 # DEPENDENCYPART_ARC
(20,5),-1.37582 # DEPENDENCYPART_ARC
(20,6),-2.08282 # DEPENDENCYPART_ARC
(20,8),-3.1562 # DEPENDENCYPART_ARC
(20,9),-1.21266 # DEPENDENCYPART_ARC
(20,10),-0.607916 # DEPENDENCYPART_ARC
(20,11),-1.63444 # DEPENDENCYPART_ARC
(20,12),-1.35102 # DEPENDENCYPART_ARC
(20,13),-0.7705 # DEPENDENCYPART_ARC
(20,14),-0.664115 # DEPENDENCYPART_ARC
(20,15),-1.51156 # DEPENDENCYPART_ARC
(20,16),0.724029 # DEPENDENCYPART_ARC
(20,17),0.576977 # DEPENDENCYPART_ARC
(20,18),-1.08302 # DEPENDENCYPART_ARC
(20,19),1.5582 # DEPENDENCYPART_ARC
(20,21),0.767334 # DEPENDENCYPART_ARC
(20,22),-0.13698 # DEPENDENCYPART_ARC
(21,3),-0.729071 # DEPENDENCYPART_ARC
(21,5),-0.92414 # DEPENDENCYPART_ARC
(21,9),-1.15369 # DEPENDENCYPART_ARC
(21,10),-1.02084 # DEPENDENCYPART_ARC
(21,11),-1.68222 # DEPENDENCYPART_ARC
(21,12),-0.837581 # DEPENDENCYPART_ARC
(21,13),-1.07891 # DEPENDENCYPART_ARC
(21,14),-0.852557 # DEPENDENCYPART_ARC
(21,16),-2.15142 # DEPENDENCYPART_ARC
(21,17),-1.12228 # DEPENDENCYPART_ARC
(21,19),-1.87792 # DEPENDENCYPART_ARC
(21,20),0.0880531 # DEPENDENCYPART_ARC
(21,22),-0.635997 # DEPENDENCYPART_ARC
(0,2),(0,3),-0.120009 # DEPENDENCYPART_SIBL
