# _root_ Addig is egy sebtében összehívott " kinevezési bizottság " kapta feladatul , hogy november 30-áig három jelölt nevét tegye le a végső döntést meghozó kuratórium asztalára , ki legyen az új művészeti vezető .
#goldHeads=10,10,8,5,8,8,8,10,8,0,10,10,10,15,19,17,18,19,10,19,23,23,24,25,26,19,19,29,19,33,33,33,29,10,
#predictedHeads=10,10,8,5,8,8,8,10,8,0,10,10,10,15,19,17,18,19,10,19,23,23,24,25,26,19,10,29,10,33,33,33,29,10,
(0,1),-2.88153 # DEPENDENCYPART_ARC
(0,2),-3.00823 # DEPENDENCYPART_ARC
(0,4),-3.43391 # DEPENDENCYPART_ARC
(0,5),-3.67571 # DEPENDENCYPART_ARC
(0,10),-1.67496 # DEPENDENCYPART_ARC
(0,13),-3.58141 # DEPENDENCYPART_ARC
(0,19),-3.81262 # DEPENDENCYPART_ARC
(0,20),-4.58611 # DEPENDENCYPART_ARC
(0,29),-5.15931 # DEPENDENCYPART_ARC
(1,2),-0.791484 # DEPENDENCYPART_ARC
(1,5),-1.18097 # DEPENDENCYPART_ARC
(1,6),-1.03054 # DEPENDENCYPART_ARC
(1,8),-1.68383 # DEPENDENCYPART_ARC
(1,9),-0.950891 # DEPENDENCYPART_ARC
(1,10),-1.23554 # DEPENDENCYPART_ARC
(1,34),-1.68579 # DEPENDENCYPART_ARC
(2,1),-0.522755 # DEPENDENCYPART_ARC
(2,4),-1.13077 # DEPENDENCYPART_ARC
(2,5),-0.979225 # DEPENDENCYPART_ARC
(2,6),-0.648175 # DEPENDENCYPART_ARC
(2,7),-1.25243 # DEPENDENCYPART_ARC
(2,8),-1.1296 # DEPENDENCYPART_ARC
(2,9),-0.691757 # DEPENDENCYPART_ARC
(2,10),-0.517499 # DEPENDENCYPART_ARC
(2,13),-1.11945 # DEPENDENCYPART_ARC
(2,19),-1.34591 # DEPENDENCYPART_ARC
(2,25),-1.95369 # DEPENDENCYPART_ARC
(2,34),-2.33221 # DEPENDENCYPART_ARC
(3,5),-0.655688 # DEPENDENCYPART_ARC
(3,7),-0.883307 # DEPENDENCYPART_ARC
(4,1),-1.04334 # DEPENDENCYPART_ARC
(4,2),-1.29303 # DEPENDENCYPART_ARC
(4,7),-1.32428 # DEPENDENCYPART_ARC
(4,19),-1.74034 # DEPENDENCYPART_ARC
(5,1),-0.801544 # DEPENDENCYPART_ARC
(5,2),-0.547991 # DEPENDENCYPART_ARC
(5,3),-0.678012 # DEPENDENCYPART_ARC
(5,4),1.22059 # DEPENDENCYPART_ARC
(5,6),-0.254016 # DEPENDENCYPART_ARC
