# _root_ A Hexa és a RO-LA mellett már akad más támogatónk is , de mi azt szeretnénk , ha tovább bővülne ez a kör .
#goldHeads=2,6,6,5,6,8,8,13,10,8,8,13,0,16,16,13,16,16,20,15,23,23,20,13,
#predictedHeads=2,8,6,5,6,8,8,13,10,8,8,13,0,16,16,13,16,16,20,15,23,23,20,13,
(0,3),-3.36027 # DEPENDENCYPART_ARC
(0,6),-3.98624 # DEPENDENCYPART_ARC
(0,7),-3.56388 # DEPENDENCYPART_ARC
(0,8),-2.09815 # DEPENDENCYPART_ARC
(0,9),-4.29838 # DEPENDENCYPART_ARC
(0,11),-3.86891 # DEPENDENCYPART_ARC
(0,13),-2.3226 # DEPENDENCYPART_ARC
(0,14),-4.19277 # DEPENDENCYPART_ARC
(0,15),-4.76325 # DEPENDENCYPART_ARC
(0,16),-3.07315 # DEPENDENCYPART_ARC
(0,18),-4.16626 # DEPENDENCYPART_ARC
(0,20),-3.48474 # DEPENDENCYPART_ARC
(0,21),-4.40779 # DEPENDENCYPART_ARC
(2,1),1.17625 # DEPENDENCYPART_ARC
(3,1),-1.41172 # DEPENDENCYPART_ARC
(3,2),-0.359916 # DEPENDENCYPART_ARC
(3,4),-1.14641 # DEPENDENCYPART_ARC
(3,5),-0.668105 # DEPENDENCYPART_ARC
(3,6),-1.16275 # DEPENDENCYPART_ARC
(3,7),-1.56872 # DEPENDENCYPART_ARC
(3,8),-0.633325 # DEPENDENCYPART_ARC
(3,10),-1.55679 # DEPENDENCYPART_ARC
(3,11),-1.39676 # DEPENDENCYPART_ARC
(3,12),-1.03695 # DEPENDENCYPART_ARC
(3,13),-1.54148 # DEPENDENCYPART_ARC
(3,15),-2.15447 # DEPENDENCYPART_ARC
(3,16),-2.05043 # DEPENDENCYPART_ARC
(3,17),-1.25109 # DEPENDENCYPART_ARC
(3,18),-1.56261 # DEPENDENCYPART_ARC
(3,19),-1.87194 # DEPENDENCYPART_ARC
(3,20),-2.35533 # DEPENDENCYPART_ARC
(3,24),-0.90134 # DEPENDENCYPART_ARC
(4,3),-0.611353 # DEPENDENCYPART_ARC
(5,1),-1.40275 # DEPENDENCYPART_ARC
