# _root_ Nagy_Lajos , a kisgazdapárt helyi vezetője azt szeretné elérni , hogy a gázvagyonért kapott 45_millió forint felhasználását ellenőrizhessék .
#goldHeads=8,8,4,6,6,8,9,0,8,8,8,13,14,16,16,17,18,7,8,
#predictedHeads=8,8,4,6,6,8,9,0,8,8,8,13,14,16,16,17,18,7,8,
(0,1),-2.8823 # DEPENDENCYPART_ARC
(0,6),-4.76848 # DEPENDENCYPART_ARC
(0,7),-4.79824 # DEPENDENCYPART_ARC
(0,8),-2.07837 # DEPENDENCYPART_ARC
(0,9),-4.36339 # DEPENDENCYPART_ARC
(0,11),-4.24933 # DEPENDENCYPART_ARC
(0,18),-3.84558 # DEPENDENCYPART_ARC
(1,2),-0.672079 # DEPENDENCYPART_ARC
(1,4),-1.06738 # DEPENDENCYPART_ARC
(1,5),-1.57604 # DEPENDENCYPART_ARC
(1,6),-1.17015 # DEPENDENCYPART_ARC
(1,7),-2.10142 # DEPENDENCYPART_ARC
(1,8),-1.72676 # DEPENDENCYPART_ARC
(1,9),-1.53472 # DEPENDENCYPART_ARC
(1,10),-1.18831 # DEPENDENCYPART_ARC
(1,11),-1.37866 # DEPENDENCYPART_ARC
(1,13),-2.49084 # DEPENDENCYPART_ARC
(1,16),-2.02753 # DEPENDENCYPART_ARC
(1,18),-1.98129 # DEPENDENCYPART_ARC
(1,19),-1.63598 # DEPENDENCYPART_ARC
(3,2),-0.863718 # DEPENDENCYPART_ARC
(3,5),-0.982892 # DEPENDENCYPART_ARC
(4,1),-0.840903 # DEPENDENCYPART_ARC
(4,2),-1.31659 # DEPENDENCYPART_ARC
(4,3),1.86959 # DEPENDENCYPART_ARC
(4,6),-1.0825 # DEPENDENCYPART_ARC
(4,8),-1.31427 # DEPENDENCYPART_ARC
(4,18),-1.93096 # DEPENDENCYPART_ARC
(5,1),-1.59753 # DEPENDENCYPART_ARC
(5,2),-0.707257 # DEPENDENCYPART_ARC
(5,3),-0.813515 # DEPENDENCYPART_ARC
(5,4),0.610253 # DEPENDENCYPART_ARC
(5,8),-1.1016 # DEPENDENCYPART_ARC
(5,18),-2.02755 # DEPENDENCYPART_ARC
(6,1),-0.162348 # DEPENDENCYPART_ARC
(6,2),-0.838484 # DEPENDENCYPART_ARC
(6,3),-0.0605449 # DEPENDENCYPART_ARC
(6,4),2.09084 # DEPENDENCYPART_ARC
(6,5),2.40077 # DEPENDENCYPART_ARC
(6,8),-1.65111 # DEPENDENCYPART_ARC
(6,9),-1.07601 # DEPENDENCYPART_ARC
(6,10),-0.958614 # DEPENDENCYPART_ARC
(6,15),-1.64722 # DEPENDENCYPART_ARC
(6,18),-2.24806 # DEPENDENCYPART_ARC
(6,19),-1.63005 # DEPENDENCYPART_ARC
(7,1),-1.34012 # DEPENDENCYPART_ARC
(7,2),-1.13284 # DEPENDENCYPART_ARC
(7,4),-1.06634 # DEPENDENCYPART_ARC
(7,5),-0.647403 # DEPENDENCYPART_ARC
(7,6),-0.506463 # DEPENDENCYPART_ARC
(7,8),0.829748 # DEPENDENCYPART_ARC
(7,9),-0.133608 # DEPENDENCYPART_ARC
(7,10),0.365542 # DEPENDENCYPART_ARC
(7,11),0.10201 # DEPENDENCYPART_ARC
(7,13),-0.0794478 # DEPENDENCYPART_ARC
(7,14),0.042237 # DEPENDENCYPART_ARC
(7,15),-0.295976 # DEPENDENCYPART_ARC
(7,16),-0.078716 # DEPENDENCYPART_ARC
(7,17),-0.747488 # DEPENDENCYPART_ARC
(7,18),1.5489 # DEPENDENCYPART_ARC
(7,19),-1.13865 # DEPENDENCYPART_ARC
(8,1),-0.571238 # DEPENDENCYPART_ARC
(8,2),0.0870019 # DEPENDENCYPART_ARC
(8,3),-1.54028 # DEPENDENCYPART_ARC
(8,4),-0.119147 # DEPENDENCYPART_ARC
(8,5),-0.938591 # DEPENDENCYPART_ARC
(8,6),0.906683 # DEPENDENCYPART_ARC
(8,7),1.73882 # DEPENDENCYPART_ARC
(8,9),2.72988 # DEPENDENCYPART_ARC
(8,10),0.839011 # DEPENDENCYPART_ARC
(8,11),1.7186 # DEPENDENCYPART_ARC
(8,12),-1.68228 # DEPENDENCYPART_ARC
(8,13),-1.49611 # DEPENDENCYPART_ARC
