# _root_ A kft. másik társtulajdonosa Rózsavölgyi_Sándor , aki korábban maga is futballozott , később pedig a játékvezetésre adta a fejét .
#goldHeads=2,4,4,5,0,5,11,11,11,11,5,5,17,17,16,17,5,19,17,5,
#predictedHeads=2,4,4,5,11,11,11,11,11,11,0,11,17,17,16,17,11,19,17,11,
(0,2),-3.18059 # DEPENDENCYPART_ARC
(0,3),-3.74819 # DEPENDENCYPART_ARC
(0,4),-4.0064 # DEPENDENCYPART_ARC
(0,5),-3.7688 # DEPENDENCYPART_ARC
(0,8),-4.06987 # DEPENDENCYPART_ARC
(0,9),-4.22491 # DEPENDENCYPART_ARC
(0,10),-4.15433 # DEPENDENCYPART_ARC
(0,11),-2.10168 # DEPENDENCYPART_ARC
(0,13),-4.30007 # DEPENDENCYPART_ARC
(0,14),-3.067 # DEPENDENCYPART_ARC
(0,17),-2.56428 # DEPENDENCYPART_ARC
(1,4),-1.61201 # DEPENDENCYPART_ARC
(2,1),1.77199 # DEPENDENCYPART_ARC
(2,4),-1.16167 # DEPENDENCYPART_ARC
(2,5),-1.04489 # DEPENDENCYPART_ARC
(2,6),-0.647839 # DEPENDENCYPART_ARC
(2,8),-1.54525 # DEPENDENCYPART_ARC
(2,10),-1.35861 # DEPENDENCYPART_ARC
(2,11),-1.20632 # DEPENDENCYPART_ARC
(2,13),-1.73625 # DEPENDENCYPART_ARC
(2,17),-1.53155 # DEPENDENCYPART_ARC
(2,20),-1.82398 # DEPENDENCYPART_ARC
(3,2),-0.22551 # DEPENDENCYPART_ARC
(3,5),-1.00034 # DEPENDENCYPART_ARC
(3,6),-0.732557 # DEPENDENCYPART_ARC
(3,10),-0.614425 # DEPENDENCYPART_ARC
(3,11),0.287649 # DEPENDENCYPART_ARC
(3,12),-0.549014 # DEPENDENCYPART_ARC
(3,14),-0.563574 # DEPENDENCYPART_ARC
(3,16),-1.72309 # DEPENDENCYPART_ARC
(3,17),0.268308 # DEPENDENCYPART_ARC
(3,20),-1.34677 # DEPENDENCYPART_ARC
(4,1),-0.538683 # DEPENDENCYPART_ARC
(4,2),1.79875 # DEPENDENCYPART_ARC
(4,3),1.85249 # DEPENDENCYPART_ARC
(4,5),-0.726885 # DEPENDENCYPART_ARC
(4,6),-0.932167 # DEPENDENCYPART_ARC
(4,8),-1.76348 # DEPENDENCYPART_ARC
(4,10),-1.63546 # DEPENDENCYPART_ARC
(4,11),-1.45708 # DEPENDENCYPART_ARC
(4,13),-1.97303 # DEPENDENCYPART_ARC
(5,1),-0.928916 # DEPENDENCYPART_ARC
(5,2),-1.21917 # DEPENDENCYPART_ARC
(5,4),0.381956 # DEPENDENCYPART_ARC
(5,6),-0.456254 # DEPENDENCYPART_ARC
(5,11),-1.47629 # DEPENDENCYPART_ARC
(5,12),-1.25956 # DEPENDENCYPART_ARC
(5,17),-1.86809 # DEPENDENCYPART_ARC
(5,20),-1.81937 # DEPENDENCYPART_ARC
(7,10),-0.796799 # DEPENDENCYPART_ARC
(7,16),-1.61192 # DEPENDENCYPART_ARC
(7,19),-1.7634 # DEPENDENCYPART_ARC
(8,2),-2.2854 # DEPENDENCYPART_ARC
(8,4),-2.02027 # DEPENDENCYPART_ARC
(8,5),-1.89373 # DEPENDENCYPART_ARC
(8,6),-1.98692 # DEPENDENCYPART_ARC
(8,7),-1.00176 # DEPENDENCYPART_ARC
(8,10),-1.3311 # DEPENDENCYPART_ARC
(8,12),-1.2652 # DEPENDENCYPART_ARC
(8,13),-1.67776 # DEPENDENCYPART_ARC
(8,14),-1.27079 # DEPENDENCYPART_ARC
(8,17),-1.71961 # DEPENDENCYPART_ARC
(8,19),-2.31119 # DEPENDENCYPART_ARC
(8,20),-2.13414 # DEPENDENCYPART_ARC
(9,11),-0.0645692 # DEPENDENCYPART_ARC
(9,12),-0.49957 # DEPENDENCYPART_ARC
(9,16),-1.36368 # DEPENDENCYPART_ARC
(9,17),0.347918 # DEPENDENCYPART_ARC
(9,19),-1.43091 # DEPENDENCYPART_ARC
(9,20),-1.29293 # DEPENDENCYPART_ARC
(10,2),-2.246 # DEPENDENCYPART_ARC
(10,3),-2.34054 # DEPENDENCYPART_ARC
(10,4),-2.23464 # DEPENDENCYPART_ARC
(10,5),-1.97016 # DEPENDENCYPART_ARC
(10,6),-1.56551 # DEPENDENCYPART_ARC
(10,7),-1.70439 # DEPENDENCYPART_ARC
(10,8),-0.798672 # DEPENDENCYPART_ARC
(10,9),-0.828337 # DEPENDENCYPART_ARC
(10,11),0.0190479 # DEPENDENCYPART_ARC
(10,12),-0.955265 # DEPENDENCYPART_ARC
(10,13),-1.81718 # DEPENDENCYPART_ARC
(10,14),-1.63035 # DEPENDENCYPART_ARC
(10,17),-1.31119 # DEPENDENCYPART_ARC
(10,19),-2.1202 # DEPENDENCYPART_ARC
(10,20),-1.46592 # DEPENDENCYPART_ARC
(11,1),-1.77738 # DEPENDENCYPART_ARC
(11,2),-0.376704 # DEPENDENCYPART_ARC
(11,3),-0.794557 # DEPENDENCYPART_ARC
(11,4),-0.0281366 # DEPENDENCYPART_ARC
(11,5),-0.283219 # DEPENDENCYPART_ARC
(11,6),-0.545568 # DEPENDENCYPART_ARC
(11,7),0.987438 # DEPENDENCYPART_ARC
(11,8),0.998745 # DEPENDENCYPART_ARC
(11,9),1.21169 # DEPENDENCYPART_ARC
(11,10),1.70771 # DEPENDENCYPART_ARC
(11,12),0.517204 # DEPENDENCYPART_ARC
(11,13),-0.284773 # DEPENDENCYPART_ARC
(11,14),-0.5326 # DEPENDENCYPART_ARC
(11,15),-1.96189 # DEPENDENCYPART_ARC
(11,16),-1.17862 # DEPENDENCYPART_ARC
(11,17),-0.0425123 # DEPENDENCYPART_ARC
(11,18),-2.35807 # DEPENDENCYPART_ARC
(11,19),-1.67083 # DEPENDENCYPART_ARC
(11,20),-0.994918 # DEPENDENCYPART_ARC
(13,2),-2.33855 # DEPENDENCYPART_ARC
(13,4),-2.18387 # DEPENDENCYPART_ARC
(13,5),-2.29135 # DEPENDENCYPART_ARC
(13,6),-1.83763 # DEPENDENCYPART_ARC
(13,8),-1.53941 # DEPENDENCYPART_ARC
(13,10),-1.18624 # DEPENDENCYPART_ARC
(13,11),-1.23425 # DEPENDENCYPART_ARC
(13,12),-0.874975 # DEPENDENCYPART_ARC
(13,14),-0.800639 # DEPENDENCYPART_ARC
(13,16),-1.29401 # DEPENDENCYPART_ARC
(13,17),-1.11493 # DEPENDENCYPART_ARC
(13,19),-1.78203 # DEPENDENCYPART_ARC
(13,20),-1.52337 # DEPENDENCYPART_ARC
(14,2),-3.10139 # DEPENDENCYPART_ARC
(14,3),-3.07295 # DEPENDENCYPART_ARC
(14,4),-3.00674 # DEPENDENCYPART_ARC
(14,5),-2.84712 # DEPENDENCYPART_ARC
(14,6),-2.28155 # DEPENDENCYPART_ARC
(14,8),-2.02772 # DEPENDENCYPART_ARC
(14,9),-2.49957 # DEPENDENCYPART_ARC
(14,10),-1.08076 # DEPENDENCYPART_ARC
(14,11),-0.386324 # DEPENDENCYPART_ARC
(14,12),-1.4641 # DEPENDENCYPART_ARC
(14,13),-0.534214 # DEPENDENCYPART_ARC
(14,15),-1.26521 # DEPENDENCYPART_ARC
(14,16),-1.22016 # DEPENDENCYPART_ARC
(14,17),-0.211395 # DEPENDENCYPART_ARC
(14,19),-1.42946 # DEPENDENCYPART_ARC
