# _root_ Lajtos és Rózsavölgyi él-hal a sportágért , így aztán nem csoda , ha nem sajnálják a pénzt a futballra .
#goldHeads=4,4,4,9,6,4,9,9,0,13,13,13,9,15,13,17,15,19,15,9,
#predictedHeads=4,4,4,8,6,4,8,0,15,15,13,13,15,15,8,17,15,19,15,8,
(0,1),-2.8023 # DEPENDENCYPART_ARC
(0,2),-3.27168 # DEPENDENCYPART_ARC
(0,3),-3.42017 # DEPENDENCYPART_ARC
(0,4),-1.91893 # DEPENDENCYPART_ARC
(0,8),-1.89644 # DEPENDENCYPART_ARC
(0,9),-3.03128 # DEPENDENCYPART_ARC
(0,10),-3.806 # DEPENDENCYPART_ARC
(0,13),-3.66518 # DEPENDENCYPART_ARC
(0,15),-3.31781 # DEPENDENCYPART_ARC
(1,3),-1.47034 # DEPENDENCYPART_ARC
(1,4),-1.4555 # DEPENDENCYPART_ARC
(1,6),-2.17609 # DEPENDENCYPART_ARC
(2,1),-0.596875 # DEPENDENCYPART_ARC
(2,3),-0.885982 # DEPENDENCYPART_ARC
(2,4),-0.471147 # DEPENDENCYPART_ARC
(2,6),-1.48596 # DEPENDENCYPART_ARC
(2,7),-1.25033 # DEPENDENCYPART_ARC
(2,8),-1.55705 # DEPENDENCYPART_ARC
(2,9),-1.53107 # DEPENDENCYPART_ARC
(2,10),-1.91659 # DEPENDENCYPART_ARC
(2,11),-1.96635 # DEPENDENCYPART_ARC
(2,12),-1.2783 # DEPENDENCYPART_ARC
(2,13),-1.66585 # DEPENDENCYPART_ARC
(2,15),-2.59031 # DEPENDENCYPART_ARC
(2,17),-2.45257 # DEPENDENCYPART_ARC
(2,20),-2.18752 # DEPENDENCYPART_ARC
(3,1),-0.146952 # DEPENDENCYPART_ARC
(3,2),-0.0590205 # DEPENDENCYPART_ARC
(3,4),-0.762447 # DEPENDENCYPART_ARC
(3,6),-1.50707 # DEPENDENCYPART_ARC
(3,7),-0.954426 # DEPENDENCYPART_ARC
(3,11),-1.69715 # DEPENDENCYPART_ARC
(3,13),-1.42119 # DEPENDENCYPART_ARC
(3,15),-1.69887 # DEPENDENCYPART_ARC
(3,20),-1.99202 # DEPENDENCYPART_ARC
(4,1),1.30587 # DEPENDENCYPART_ARC
(4,2),0.999747 # DEPENDENCYPART_ARC
(4,3),2.82934 # DEPENDENCYPART_ARC
(4,5),-1.31451 # DEPENDENCYPART_ARC
(4,6),1.34723 # DEPENDENCYPART_ARC
(4,7),-0.0145347 # DEPENDENCYPART_ARC
(4,8),-0.291108 # DEPENDENCYPART_ARC
(4,9),-1.02809 # DEPENDENCYPART_ARC
(4,10),-1.0877 # DEPENDENCYPART_ARC
(4,11),-0.467208 # DEPENDENCYPART_ARC
(4,12),-0.855478 # DEPENDENCYPART_ARC
(4,13),0.0676152 # DEPENDENCYPART_ARC
(4,14),-1.49796 # DEPENDENCYPART_ARC
(4,15),-0.805668 # DEPENDENCYPART_ARC
(4,17),-2.92205 # DEPENDENCYPART_ARC
(4,19),-2.3697 # DEPENDENCYPART_ARC
(4,20),-1.13139 # DEPENDENCYPART_ARC
(6,1),-1.85178 # DEPENDENCYPART_ARC
(6,2),-1.42521 # DEPENDENCYPART_ARC
(6,3),-1.3127 # DEPENDENCYPART_ARC
(6,4),-1.73207 # DEPENDENCYPART_ARC
(6,5),1.70395 # DEPENDENCYPART_ARC
(6,7),-0.792583 # DEPENDENCYPART_ARC
(6,8),-1.61318 # DEPENDENCYPART_ARC
(6,9),-1.47649 # DEPENDENCYPART_ARC
(6,11),-1.97225 # DEPENDENCYPART_ARC
(6,12),-1.32025 # DEPENDENCYPART_ARC
(6,15),-1.84581 # DEPENDENCYPART_ARC
(8,1),-2.25339 # DEPENDENCYPART_ARC
(8,2),-0.859728 # DEPENDENCYPART_ARC
(8,3),-1.82037 # DEPENDENCYPART_ARC
(8,4),0.138947 # DEPENDENCYPART_ARC
(8,5),-1.52242 # DEPENDENCYPART_ARC
(8,6),-1.47825 # DEPENDENCYPART_ARC
(8,7),-0.0189439 # DEPENDENCYPART_ARC
(8,9),-0.930873 # DEPENDENCYPART_ARC
(8,10),-1.35957 # DEPENDENCYPART_ARC
(8,11),-1.3812 # DEPENDENCYPART_ARC
(8,12),-1.2096 # DEPENDENCYPART_ARC
(8,13),-1.18242 # DEPENDENCYPART_ARC
(8,14),-1.53583 # DEPENDENCYPART_ARC
(8,15),-0.871819 # DEPENDENCYPART_ARC
(8,17),-2.24896 # DEPENDENCYPART_ARC
(8,19),-2.58816 # DEPENDENCYPART_ARC
(8,20),-0.272678 # DEPENDENCYPART_ARC
(9,1),-2.4796 # DEPENDENCYPART_ARC
(9,2),-1.07225 # DEPENDENCYPART_ARC
(9,3),-2.18182 # DEPENDENCYPART_ARC
