# _root_ A társadalmi munkákat halmozó Kukorelli a Magyar_Politikatudományi_Társaság , a Független_Jogász_Fórum és a Népfőiskolai_Társaság tagja , emellett több tanácsadó testület és kodifikációs bizottság munkájában is közreműködik .
#goldHeads=5,3,4,5,0,7,14,14,10,14,14,13,14,5,5,25,19,19,23,23,22,23,25,25,5,5,
#predictedHeads=3,3,4,5,25,7,25,25,10,14,14,13,14,25,25,25,19,19,25,25,22,23,25,25,0,25,
(0,3),-3.91472 # DEPENDENCYPART_ARC
(0,4),-3.67729 # DEPENDENCYPART_ARC
(0,5),-3.69056 # DEPENDENCYPART_ARC
(0,11),-3.96092 # DEPENDENCYPART_ARC
(0,16),-4.55411 # DEPENDENCYPART_ARC
(0,18),-4.2016 # DEPENDENCYPART_ARC
(0,20),-4.38447 # DEPENDENCYPART_ARC
(0,21),-4.15571 # DEPENDENCYPART_ARC
(0,24),-5.7364 # DEPENDENCYPART_ARC
(0,25),-3.221 # DEPENDENCYPART_ARC
(1,2),-0.590361 # DEPENDENCYPART_ARC
(2,1),-0.590304 # DEPENDENCYPART_ARC
(3,1),1.2426 # DEPENDENCYPART_ARC
(3,2),2.50076 # DEPENDENCYPART_ARC
(3,7),-1.82013 # DEPENDENCYPART_ARC
(3,8),-0.884301 # DEPENDENCYPART_ARC
(3,25),-2.61289 # DEPENDENCYPART_ARC
(4,1),-0.725846 # DEPENDENCYPART_ARC
(4,2),-0.0429008 # DEPENDENCYPART_ARC
(4,3),1.45386 # DEPENDENCYPART_ARC
(4,7),-1.32489 # DEPENDENCYPART_ARC
(4,25),-2.02735 # DEPENDENCYPART_ARC
(4,26),-1.48564 # DEPENDENCYPART_ARC
(5,1),-0.140385 # DEPENDENCYPART_ARC
(5,2),-0.398011 # DEPENDENCYPART_ARC
(5,3),-1.60834 # DEPENDENCYPART_ARC
(5,4),1.63468 # DEPENDENCYPART_ARC
(5,7),-0.847947 # DEPENDENCYPART_ARC
(5,8),-0.629928 # DEPENDENCYPART_ARC
(5,10),-1.3138 # DEPENDENCYPART_ARC
(5,14),-1.3998 # DEPENDENCYPART_ARC
(5,15),-0.985982 # DEPENDENCYPART_ARC
(5,22),-1.80015 # DEPENDENCYPART_ARC
(5,25),-1.92574 # DEPENDENCYPART_ARC
(5,26),-1.66351 # DEPENDENCYPART_ARC
(6,4),-1.4336 # DEPENDENCYPART_ARC
(7,1),-1.88967 # DEPENDENCYPART_ARC
(7,4),-1.94373 # DEPENDENCYPART_ARC
(7,5),-0.926886 # DEPENDENCYPART_ARC
(7,6),1.24393 # DEPENDENCYPART_ARC
(7,8),-0.562377 # DEPENDENCYPART_ARC
(7,10),-1.32695 # DEPENDENCYPART_ARC
(7,25),-2.05727 # DEPENDENCYPART_ARC
(7,26),-2.07735 # DEPENDENCYPART_ARC
(9,8),-0.714668 # DEPENDENCYPART_ARC
(10,6),-1.33143 # DEPENDENCYPART_ARC
(10,9),1.26361 # DEPENDENCYPART_ARC
(11,2),-1.9466 # DEPENDENCYPART_ARC
(11,3),-1.82562 # DEPENDENCYPART_ARC
(11,4),-1.90836 # DEPENDENCYPART_ARC
(11,5),-1.6196 # DEPENDENCYPART_ARC
(11,6),-1.9866 # DEPENDENCYPART_ARC
(11,7),-1.2558 # DEPENDENCYPART_ARC
(11,8),-0.541187 # DEPENDENCYPART_ARC
(11,9),-1.37561 # DEPENDENCYPART_ARC
(11,10),-0.359916 # DEPENDENCYPART_ARC
(11,12),-1.14641 # DEPENDENCYPART_ARC
(11,13),-0.633816 # DEPENDENCYPART_ARC
(11,14),-0.77089 # DEPENDENCYPART_ARC
(11,15),-1.00108 # DEPENDENCYPART_ARC
(11,17),-1.34837 # DEPENDENCYPART_ARC
(11,19),-1.64638 # DEPENDENCYPART_ARC
(11,20),-1.41573 # DEPENDENCYPART_ARC
(11,21),-1.91278 # DEPENDENCYPART_ARC
(11,22),-1.74952 # DEPENDENCYPART_ARC
(11,23),-2.07019 # DEPENDENCYPART_ARC
(11,24),-1.68818 # DEPENDENCYPART_ARC
(11,25),-1.95424 # DEPENDENCYPART_ARC
(11,26),-2.15542 # DEPENDENCYPART_ARC
(12,11),-0.616204 # DEPENDENCYPART_ARC
(13,6),-2.43062 # DEPENDENCYPART_ARC
(13,9),-1.36767 # DEPENDENCYPART_ARC
(13,12),1.3669 # DEPENDENCYPART_ARC
(14,3),-4.83365 # DEPENDENCYPART_ARC
(14,5),-1.93463 # DEPENDENCYPART_ARC
(14,6),-2.79392 # DEPENDENCYPART_ARC
(14,7),-1.24734 # DEPENDENCYPART_ARC
(14,8),-1.41091 # DEPENDENCYPART_ARC
(14,9),-2.00398 # DEPENDENCYPART_ARC
(14,10),0.219714 # DEPENDENCYPART_ARC
(14,11),-0.376161 # DEPENDENCYPART_ARC
(14,12),-0.0152589 # DEPENDENCYPART_ARC
(14,13),2.89242 # DEPENDENCYPART_ARC
(14,15),-0.556131 # DEPENDENCYPART_ARC
(14,17),-1.38892 # DEPENDENCYPART_ARC
(14,19),-1.19076 # DEPENDENCYPART_ARC
(14,20),-1.27463 # DEPENDENCYPART_ARC
(14,22),-1.49822 # DEPENDENCYPART_ARC
(14,23),-2.28009 # DEPENDENCYPART_ARC
(14,24),-1.6102 # DEPENDENCYPART_ARC
(14,25),-1.78189 # DEPENDENCYPART_ARC
(14,26),-1.86188 # DEPENDENCYPART_ARC
(16,4),-1.76533 # DEPENDENCYPART_ARC
(16,14),-1.22267 # DEPENDENCYPART_ARC
(16,15),-0.706654 # DEPENDENCYPART_ARC
(16,18),-0.764751 # DEPENDENCYPART_ARC
(16,19),-0.920135 # DEPENDENCYPART_ARC
(16,20),-0.659131 # DEPENDENCYPART_ARC
(16,22),-1.32702 # DEPENDENCYPART_ARC
(16,23),-1.42382 # DEPENDENCYPART_ARC
(16,25),-1.07445 # DEPENDENCYPART_ARC
(16,26),-1.14812 # DEPENDENCYPART_ARC
(17,5),-2.17662 # DEPENDENCYPART_ARC
(17,13),-1.5067 # DEPENDENCYPART_ARC
(17,14),-1.59925 # DEPENDENCYPART_ARC
(17,16),-0.32294 # DEPENDENCYPART_ARC
(17,18),-0.842936 # DEPENDENCYPART_ARC
(17,19),-0.967707 # DEPENDENCYPART_ARC
(17,20),-0.892807 # DEPENDENCYPART_ARC
(17,21),-1.38597 # DEPENDENCYPART_ARC
(17,22),-1.39969 # DEPENDENCYPART_ARC
(17,23),-1.57821 # DEPENDENCYPART_ARC
(17,25),-0.795775 # DEPENDENCYPART_ARC
(17,26),-1.12868 # DEPENDENCYPART_ARC
(18,3),-2.23347 # DEPENDENCYPART_ARC
(18,5),-2.92376 # DEPENDENCYPART_ARC
(18,7),-2.62572 # DEPENDENCYPART_ARC
(18,10),-2.00709 # DEPENDENCYPART_ARC
(18,11),-1.04055 # DEPENDENCYPART_ARC
(18,12),-1.68094 # DEPENDENCYPART_ARC
(18,13),-1.55133 # DEPENDENCYPART_ARC
(18,14),-1.79668 # DEPENDENCYPART_ARC
(18,15),-0.792491 # DEPENDENCYPART_ARC
(18,16),-0.260479 # DEPENDENCYPART_ARC
(18,17),0.8522 # DEPENDENCYPART_ARC
(19,3),-5.64119 # DEPENDENCYPART_ARC
(19,6),-2.239 # DEPENDENCYPART_ARC
(19,7),-2.61023 # DEPENDENCYPART_ARC
(19,9),-1.4356 # DEPENDENCYPART_ARC
(19,10),-1.42023 # DEPENDENCYPART_ARC
(19,11),-1.08114 # DEPENDENCYPART_ARC
(19,12),-0.402874 # DEPENDENCYPART_ARC
(19,13),-0.548703 # DEPENDENCYPART_ARC
(19,14),-2.26076 # DEPENDENCYPART_ARC
