# _root_ Egymillió forint körüli összeget zsákmányolt az a férfi , aki péntek délben kirabolta a főváros XI. kerületében , a Bartók_Béla_úton lévő egyik postahivatalt .
#goldHeads=2,3,4,5,0,8,8,5,5,13,12,13,6,15,17,17,21,21,20,21,23,23,13,5,
#predictedHeads=2,3,4,5,0,8,8,5,5,13,12,13,6,15,17,17,13,21,20,21,23,23,13,5,
(0,1),-2.56818 # DEPENDENCYPART_ARC
(0,2),-3.0989 # DEPENDENCYPART_ARC
(0,3),-3.54152 # DEPENDENCYPART_ARC
(0,4),-4.0109 # DEPENDENCYPART_ARC
(0,5),-1.72102 # DEPENDENCYPART_ARC
(0,6),-4.19387 # DEPENDENCYPART_ARC
(0,8),-4.51431 # DEPENDENCYPART_ARC
(0,13),-2.69693 # DEPENDENCYPART_ARC
(1,2),-0.989169 # DEPENDENCYPART_ARC
(1,3),-1.41239 # DEPENDENCYPART_ARC
(1,4),-1.85301 # DEPENDENCYPART_ARC
(1,5),-1.07899 # DEPENDENCYPART_ARC
(1,8),-1.90001 # DEPENDENCYPART_ARC
(1,9),-1.27431 # DEPENDENCYPART_ARC
(1,11),-2.0194 # DEPENDENCYPART_ARC
(1,13),-1.64492 # DEPENDENCYPART_ARC
(1,24),-1.19128 # DEPENDENCYPART_ARC
(2,1),1.79451 # DEPENDENCYPART_ARC
(2,4),-1.41372 # DEPENDENCYPART_ARC
(2,5),-1.04901 # DEPENDENCYPART_ARC
(2,8),-1.5176 # DEPENDENCYPART_ARC
(2,9),-1.03174 # DEPENDENCYPART_ARC
(2,13),-1.60725 # DEPENDENCYPART_ARC
(2,24),-1.38772 # DEPENDENCYPART_ARC
(3,1),0.0838809 # DEPENDENCYPART_ARC
(3,2),0.960359 # DEPENDENCYPART_ARC
(3,13),-1.70886 # DEPENDENCYPART_ARC
(4,1),0.183696 # DEPENDENCYPART_ARC
(4,2),0.639287 # DEPENDENCYPART_ARC
(4,3),2.51319 # DEPENDENCYPART_ARC
(4,5),-1.21481 # DEPENDENCYPART_ARC
(4,8),-1.91239 # DEPENDENCYPART_ARC
(4,9),-1.23571 # DEPENDENCYPART_ARC
(4,13),-2.02063 # DEPENDENCYPART_ARC
(4,24),-1.63852 # DEPENDENCYPART_ARC
(5,1),-0.527539 # DEPENDENCYPART_ARC
(5,2),0.860961 # DEPENDENCYPART_ARC
(5,3),0.14923 # DEPENDENCYPART_ARC
(5,4),1.98941 # DEPENDENCYPART_ARC
(5,6),0.169179 # DEPENDENCYPART_ARC
(5,7),-0.978499 # DEPENDENCYPART_ARC
(5,8),0.971033 # DEPENDENCYPART_ARC
(5,9),0.739366 # DEPENDENCYPART_ARC
(5,10),-1.06033 # DEPENDENCYPART_ARC
(5,11),-0.773486 # DEPENDENCYPART_ARC
(5,12),-0.440521 # DEPENDENCYPART_ARC
(5,13),0.07762 # DEPENDENCYPART_ARC
(5,15),-1.48868 # DEPENDENCYPART_ARC
(5,17),-0.306929 # DEPENDENCYPART_ARC
(5,18),-0.392876 # DEPENDENCYPART_ARC
(5,20),-2.08117 # DEPENDENCYPART_ARC
(5,21),-1.97055 # DEPENDENCYPART_ARC
(5,23),-1.89343 # DEPENDENCYPART_ARC
(5,24),0.0469053 # DEPENDENCYPART_ARC
(6,2),-1.52178 # DEPENDENCYPART_ARC
(6,3),-1.73415 # DEPENDENCYPART_ARC
(6,4),-1.66575 # DEPENDENCYPART_ARC
(6,5),0.606169 # DEPENDENCYPART_ARC
(6,8),-0.592225 # DEPENDENCYPART_ARC
(6,9),-0.548443 # DEPENDENCYPART_ARC
(6,10),-1.11993 # DEPENDENCYPART_ARC
(6,11),-0.84233 # DEPENDENCYPART_ARC
(6,12),-0.714876 # DEPENDENCYPART_ARC
(6,13),0.846453 # DEPENDENCYPART_ARC
(6,15),-0.90835 # DEPENDENCYPART_ARC
(6,17),-0.844458 # DEPENDENCYPART_ARC
(6,18),-0.657674 # DEPENDENCYPART_ARC
(6,20),-1.35224 # DEPENDENCYPART_ARC
(6,21),-0.969055 # DEPENDENCYPART_ARC
(6,22),-0.899802 # DEPENDENCYPART_ARC
(6,23),-1.62377 # DEPENDENCYPART_ARC
(6,24),-1.55772 # DEPENDENCYPART_ARC
(7,11),-1.48586 # DEPENDENCYPART_ARC
(8,1),-1.59685 # DEPENDENCYPART_ARC
(8,2),-2.43092 # DEPENDENCYPART_ARC
(8,4),-3.33522 # DEPENDENCYPART_ARC
(8,5),-0.925898 # DEPENDENCYPART_ARC
(8,6),0.937192 # DEPENDENCYPART_ARC
(8,7),2.05276 # DEPENDENCYPART_ARC
(8,9),-0.634323 # DEPENDENCYPART_ARC
(8,10),-1.72475 # DEPENDENCYPART_ARC
(8,11),-1.39342 # DEPENDENCYPART_ARC
(8,12),-1.84617 # DEPENDENCYPART_ARC
(8,13),-1.28637 # DEPENDENCYPART_ARC
(8,17),-2.51214 # DEPENDENCYPART_ARC
(8,18),-1.09245 # DEPENDENCYPART_ARC
(8,24),-1.80232 # DEPENDENCYPART_ARC
(10,11),-0.761595 # DEPENDENCYPART_ARC
(10,12),-1.01135 # DEPENDENCYPART_ARC
(10,15),-1.31854 # DEPENDENCYPART_ARC
(10,17),-1.13953 # DEPENDENCYPART_ARC
(10,20),-1.68743 # DEPENDENCYPART_ARC
(10,23),-2.15891 # DEPENDENCYPART_ARC
(11,5),-1.92287 # DEPENDENCYPART_ARC
(11,6),-1.54657 # DEPENDENCYPART_ARC
(11,7),-1.09035 # DEPENDENCYPART_ARC
(11,8),-1.72409 # DEPENDENCYPART_ARC
(11,9),-1.56291 # DEPENDENCYPART_ARC
(11,10),0.661661 # DEPENDENCYPART_ARC
(11,12),-1.63999 # DEPENDENCYPART_ARC
(12,1),-2.19377 # DEPENDENCYPART_ARC
(12,2),-3.40558 # DEPENDENCYPART_ARC
(12,4),-4.31146 # DEPENDENCYPART_ARC
(12,5),-1.84696 # DEPENDENCYPART_ARC
(12,6),-1.26413 # DEPENDENCYPART_ARC
(12,7),-0.708256 # DEPENDENCYPART_ARC
(12,8),-1.61637 # DEPENDENCYPART_ARC
(12,9),-0.525105 # DEPENDENCYPART_ARC
