# _root_ Az előrehaladás akadálymentesnek látszik , amikor — már 1992-ben — jön egy váratlan kitérő : egy tárgyaláson a külföldi partner felfedezi , és pazar állásajánlattal téríti el .
#goldHeads=2,4,4,0,4,11,11,11,11,11,4,14,14,11,4,17,21,20,20,21,23,23,4,25,26,23,26,4,
#predictedHeads=2,4,4,23,4,11,11,11,11,11,4,14,14,11,11,17,21,20,20,21,23,23,0,25,26,23,26,23,
(0,2),-3.09912 # DEPENDENCYPART_ARC
(0,3),-3.51105 # DEPENDENCYPART_ARC
(0,4),-1.46218 # DEPENDENCYPART_ARC
(0,6),-3.87294 # DEPENDENCYPART_ARC
(0,8),-3.72836 # DEPENDENCYPART_ARC
(0,9),-4.022 # DEPENDENCYPART_ARC
(0,11),-2.78856 # DEPENDENCYPART_ARC
(0,21),-3.16804 # DEPENDENCYPART_ARC
(0,23),-2.65399 # DEPENDENCYPART_ARC
(0,26),-3.67451 # DEPENDENCYPART_ARC
(0,27),-4.89022 # DEPENDENCYPART_ARC
(1,3),-1.03702 # DEPENDENCYPART_ARC
(2,1),1.87858 # DEPENDENCYPART_ARC
(2,3),-1.44801 # DEPENDENCYPART_ARC
(2,4),-0.853721 # DEPENDENCYPART_ARC
(2,11),-1.20657 # DEPENDENCYPART_ARC
(3,1),-0.266049 # DEPENDENCYPART_ARC
(3,2),0.035527 # DEPENDENCYPART_ARC
(3,4),-0.818713 # DEPENDENCYPART_ARC
(3,5),-0.919441 # DEPENDENCYPART_ARC
(3,7),-1.04609 # DEPENDENCYPART_ARC
(3,9),-1.29821 # DEPENDENCYPART_ARC
(3,11),-1.64314 # DEPENDENCYPART_ARC
(3,28),-1.02715 # DEPENDENCYPART_ARC
(4,1),-0.928477 # DEPENDENCYPART_ARC
(4,2),1.22048 # DEPENDENCYPART_ARC
(4,3),2.25534 # DEPENDENCYPART_ARC
(4,5),0.375137 # DEPENDENCYPART_ARC
(4,6),-0.268298 # DEPENDENCYPART_ARC
(4,7),-0.513083 # DEPENDENCYPART_ARC
(4,8),-1.3896 # DEPENDENCYPART_ARC
(4,9),-0.640382 # DEPENDENCYPART_ARC
(4,10),-1.0899 # DEPENDENCYPART_ARC
(4,11),-0.580746 # DEPENDENCYPART_ARC
(4,15),-1.08673 # DEPENDENCYPART_ARC
(4,21),-1.03593 # DEPENDENCYPART_ARC
(4,22),-1.39241 # DEPENDENCYPART_ARC
(4,23),-1.81372 # DEPENDENCYPART_ARC
(4,26),-1.46841 # DEPENDENCYPART_ARC
(4,27),-2.5183 # DEPENDENCYPART_ARC
(4,28),-0.920773 # DEPENDENCYPART_ARC
(6,2),-0.835586 # DEPENDENCYPART_ARC
(6,5),-0.270214 # DEPENDENCYPART_ARC
(6,7),-0.302996 # DEPENDENCYPART_ARC
(6,10),-0.593665 # DEPENDENCYPART_ARC
(6,11),-1.00085 # DEPENDENCYPART_ARC
(6,14),-1.73921 # DEPENDENCYPART_ARC
(6,15),-0.935856 # DEPENDENCYPART_ARC
(6,21),-1.09552 # DEPENDENCYPART_ARC
(6,22),-1.4678 # DEPENDENCYPART_ARC
(6,25),-2.36498 # DEPENDENCYPART_ARC
(6,26),-1.20073 # DEPENDENCYPART_ARC
(6,28),-1.79755 # DEPENDENCYPART_ARC
(8,2),-1.93596 # DEPENDENCYPART_ARC
(8,3),-1.92717 # DEPENDENCYPART_ARC
(8,4),-1.33972 # DEPENDENCYPART_ARC
(8,5),-1.31676 # DEPENDENCYPART_ARC
(8,6),-1.10007 # DEPENDENCYPART_ARC
(8,7),-0.728777 # DEPENDENCYPART_ARC
(8,9),-0.61751 # DEPENDENCYPART_ARC
(8,10),-0.4378 # DEPENDENCYPART_ARC
(8,11),-0.782645 # DEPENDENCYPART_ARC
(8,14),-1.38665 # DEPENDENCYPART_ARC
(8,15),-0.736925 # DEPENDENCYPART_ARC
(8,17),-1.65923 # DEPENDENCYPART_ARC
(8,20),-1.938 # DEPENDENCYPART_ARC
(8,21),-1.14358 # DEPENDENCYPART_ARC
(8,23),-0.888099 # DEPENDENCYPART_ARC
(8,25),-2.02718 # DEPENDENCYPART_ARC
(8,26),-1.2172 # DEPENDENCYPART_ARC
(8,28),-0.990172 # DEPENDENCYPART_ARC
(9,4),-1.32899 # DEPENDENCYPART_ARC
(9,5),-0.82253 # DEPENDENCYPART_ARC
(9,6),-0.621118 # DEPENDENCYPART_ARC
(9,7),-0.702083 # DEPENDENCYPART_ARC
(9,8),0.2209 # DEPENDENCYPART_ARC
(9,10),-0.329334 # DEPENDENCYPART_ARC
(9,11),-0.334357 # DEPENDENCYPART_ARC
(9,13),-1.48692 # DEPENDENCYPART_ARC
(9,14),-1.48537 # DEPENDENCYPART_ARC
(9,15),-0.915295 # DEPENDENCYPART_ARC
