# _root_ S bár aranyat ér minden találatuk , Hímer és Kökény hadrendbe állásával kézzelfoghatóvá vált , hogy a kubaiak játéka az egyéni improvizációra épül .
#goldHeads=14,14,4,14,6,4,14,12,12,12,12,14,14,0,14,14,18,19,23,22,22,23,14,14,
#predictedHeads=4,4,4,0,6,4,4,14,14,11,12,14,14,4,14,14,18,19,23,22,22,23,14,4,
(0,1),-2.82358 # DEPENDENCYPART_ARC
(0,2),-3.28792 # DEPENDENCYPART_ARC
(0,3),-3.75697 # DEPENDENCYPART_ARC
(0,4),-1.95084 # DEPENDENCYPART_ARC
(0,9),-3.30633 # DEPENDENCYPART_ARC
(0,14),-2.61634 # DEPENDENCYPART_ARC
(0,16),-5.05386 # DEPENDENCYPART_ARC
(0,23),-3.54741 # DEPENDENCYPART_ARC
(1,2),-0.904161 # DEPENDENCYPART_ARC
(1,3),-1.36541 # DEPENDENCYPART_ARC
(1,4),-0.435422 # DEPENDENCYPART_ARC
(1,6),-1.47749 # DEPENDENCYPART_ARC
(1,7),-0.718493 # DEPENDENCYPART_ARC
(1,13),-2.14708 # DEPENDENCYPART_ARC
(1,14),-1.20597 # DEPENDENCYPART_ARC
(1,15),-0.755033 # DEPENDENCYPART_ARC
(1,16),-1.62467 # DEPENDENCYPART_ARC
(1,19),-1.98913 # DEPENDENCYPART_ARC
(1,23),-1.51972 # DEPENDENCYPART_ARC
(1,24),-0.30587 # DEPENDENCYPART_ARC
(2,1),-0.052123 # DEPENDENCYPART_ARC
(2,3),-1.26226 # DEPENDENCYPART_ARC
(2,4),-0.687775 # DEPENDENCYPART_ARC
(2,14),-1.88595 # DEPENDENCYPART_ARC
(2,15),-1.00842 # DEPENDENCYPART_ARC
(2,16),-1.66134 # DEPENDENCYPART_ARC
(2,23),-2.33929 # DEPENDENCYPART_ARC
(2,24),-1.52431 # DEPENDENCYPART_ARC
(3,1),-0.595656 # DEPENDENCYPART_ARC
(3,2),-0.185363 # DEPENDENCYPART_ARC
(3,14),-1.91208 # DEPENDENCYPART_ARC
(3,24),-1.58878 # DEPENDENCYPART_ARC
