# _root_ Nyilván a riválisok is kíváncsiak az összetételére , mert a kidolgozók mindössze annyit hajlandók elárulni róla , hogy " ez egy polimerszerű folyadék " .
#goldHeads=9,3,9,9,9,7,9,9,0,11,15,15,15,15,9,15,15,15,15,13,23,23,13,9,9,
#predictedHeads=9,3,7,5,9,7,9,9,0,11,15,15,15,15,9,15,15,15,23,23,23,23,13,23,9,
(0,1),-2.92064 # DEPENDENCYPART_ARC
(0,4),-3.38911 # DEPENDENCYPART_ARC
(0,5),-3.54999 # DEPENDENCYPART_ARC
(0,9),-3.41873 # DEPENDENCYPART_ARC
(0,12),-4.1785 # DEPENDENCYPART_ARC
(0,13),-4.73571 # DEPENDENCYPART_ARC
(0,14),-3.95501 # DEPENDENCYPART_ARC
(0,15),-4.2556 # DEPENDENCYPART_ARC
(0,16),-4.37274 # DEPENDENCYPART_ARC
(0,18),-4.62601 # DEPENDENCYPART_ARC
(0,20),-4.61709 # DEPENDENCYPART_ARC
(1,3),-0.925403 # DEPENDENCYPART_ARC
(1,4),-0.830274 # DEPENDENCYPART_ARC
(1,5),-1.04082 # DEPENDENCYPART_ARC
(1,7),-1.22677 # DEPENDENCYPART_ARC
(1,8),-1.00775 # DEPENDENCYPART_ARC
(1,9),-0.887616 # DEPENDENCYPART_ARC
(1,11),-1.69255 # DEPENDENCYPART_ARC
(1,15),-1.21215 # DEPENDENCYPART_ARC
(1,19),-1.03158 # DEPENDENCYPART_ARC
(1,23),-2.16983 # DEPENDENCYPART_ARC
(1,24),-1.02722 # DEPENDENCYPART_ARC
(1,25),-1.52518 # DEPENDENCYPART_ARC
(3,1),-1.24156 # DEPENDENCYPART_ARC
(3,2),1.67626 # DEPENDENCYPART_ARC
(4,1),-0.755507 # DEPENDENCYPART_ARC
(4,2),-1.50345 # DEPENDENCYPART_ARC
(4,3),-0.548071 # DEPENDENCYPART_ARC
(4,5),-1.11586 # DEPENDENCYPART_ARC
(4,7),-1.37279 # DEPENDENCYPART_ARC
(4,12),-1.92015 # DEPENDENCYPART_ARC
(4,13),-2.36903 # DEPENDENCYPART_ARC
(4,15),-1.96817 # DEPENDENCYPART_ARC
(4,18),-1.56755 # DEPENDENCYPART_ARC
(4,25),-1.71071 # DEPENDENCYPART_ARC
(5,1),-0.565171 # DEPENDENCYPART_ARC
(5,2),0.0583545 # DEPENDENCYPART_ARC
(5,3),-0.418919 # DEPENDENCYPART_ARC
(5,4),0.556399 # DEPENDENCYPART_ARC
(5,7),-0.129959 # DEPENDENCYPART_ARC
(5,8),-0.506421 # DEPENDENCYPART_ARC
(5,9),-1.01676 # DEPENDENCYPART_ARC
(5,11),-1.6466 # DEPENDENCYPART_ARC
(5,14),-1.20595 # DEPENDENCYPART_ARC
(5,15),-1.31347 # DEPENDENCYPART_ARC
