# _root_ A század első negyedében Alsógöd , Felsőgöd és Sződliget kialakuló református gyülekezetei előbb a váci anyaegyház leány- , majd fiókegyházaiként növekedtek .
#goldHeads=2,4,4,21,12,12,12,12,12,12,12,21,21,16,16,20,20,20,20,21,0,21,
#predictedHeads=2,4,4,8,7,7,12,12,10,12,12,21,21,16,16,20,21,21,21,21,0,21,
(0,3),-3.25462 # DEPENDENCYPART_ARC
(0,4),-3.64831 # DEPENDENCYPART_ARC
(0,8),-3.45123 # DEPENDENCYPART_ARC
(0,10),-3.99573 # DEPENDENCYPART_ARC
(0,13),-4.38262 # DEPENDENCYPART_ARC
(0,19),-3.10561 # DEPENDENCYPART_ARC
(0,21),-2.99754 # DEPENDENCYPART_ARC
(1,3),-0.899877 # DEPENDENCYPART_ARC
(2,1),1.80669 # DEPENDENCYPART_ARC
(2,4),-1.65802 # DEPENDENCYPART_ARC
(2,5),-1.07668 # DEPENDENCYPART_ARC
(2,13),-1.76774 # DEPENDENCYPART_ARC
(2,19),-1.22583 # DEPENDENCYPART_ARC
(2,21),-1.64341 # DEPENDENCYPART_ARC
(2,22),-1.73467 # DEPENDENCYPART_ARC
(3,2),0.0296171 # DEPENDENCYPART_ARC
(4,2),0.127219 # DEPENDENCYPART_ARC
(4,3),0.766289 # DEPENDENCYPART_ARC
(4,19),-1.40809 # DEPENDENCYPART_ARC
(5,1),-0.693044 # DEPENDENCYPART_ARC
(5,2),-1.08102 # DEPENDENCYPART_ARC
(5,3),0.165081 # DEPENDENCYPART_ARC
(5,4),-0.0757438 # DEPENDENCYPART_ARC
(5,6),-0.795077 # DEPENDENCYPART_ARC
(5,7),-1.46825 # DEPENDENCYPART_ARC
(5,9),-1.58485 # DEPENDENCYPART_ARC
(5,12),-1.9934 # DEPENDENCYPART_ARC
(5,18),-1.39465 # DEPENDENCYPART_ARC
(5,21),-2.06296 # DEPENDENCYPART_ARC
(5,22),-2.06431 # DEPENDENCYPART_ARC
(7,1),-1.14802 # DEPENDENCYPART_ARC
(7,2),-1.93756 # DEPENDENCYPART_ARC
(7,3),-1.39079 # DEPENDENCYPART_ARC
(7,5),-0.219766 # DEPENDENCYPART_ARC
(7,6),-0.580271 # DEPENDENCYPART_ARC
(7,9),-1.33014 # DEPENDENCYPART_ARC
(7,12),-1.73107 # DEPENDENCYPART_ARC
(7,16),-1.61709 # DEPENDENCYPART_ARC
(7,21),-2.10849 # DEPENDENCYPART_ARC
(7,22),-2.10604 # DEPENDENCYPART_ARC
(8,4),-1.12698 # DEPENDENCYPART_ARC
(8,5),-1.25687 # DEPENDENCYPART_ARC
(8,6),-0.641273 # DEPENDENCYPART_ARC
(8,7),-0.657801 # DEPENDENCYPART_ARC
(8,9),-0.888395 # DEPENDENCYPART_ARC
(8,10),-1.31512 # DEPENDENCYPART_ARC
(8,11),-1.47823 # DEPENDENCYPART_ARC
(8,12),-1.19001 # DEPENDENCYPART_ARC
(8,13),-1.8997 # DEPENDENCYPART_ARC
(8,15),-1.86639 # DEPENDENCYPART_ARC
(8,16),-1.7225 # DEPENDENCYPART_ARC
(8,18),-1.28444 # DEPENDENCYPART_ARC
(8,19),-1.63175 # DEPENDENCYPART_ARC
(8,21),-2.06387 # DEPENDENCYPART_ARC
(8,22),-1.96027 # DEPENDENCYPART_ARC
(9,1),-1.67215 # DEPENDENCYPART_ARC
(9,3),-2.17214 # DEPENDENCYPART_ARC
(9,5),-1.62161 # DEPENDENCYPART_ARC
(9,6),-0.842399 # DEPENDENCYPART_ARC
(9,7),-0.138668 # DEPENDENCYPART_ARC
(9,8),-0.214665 # DEPENDENCYPART_ARC
(9,10),-0.956308 # DEPENDENCYPART_ARC
(9,11),-1.12903 # DEPENDENCYPART_ARC
(9,12),-1.06347 # DEPENDENCYPART_ARC
(9,16),-1.09729 # DEPENDENCYPART_ARC
(9,18),-0.843879 # DEPENDENCYPART_ARC
(9,21),-1.65028 # DEPENDENCYPART_ARC
(9,22),-1.52009 # DEPENDENCYPART_ARC
(10,2),-1.41024 # DEPENDENCYPART_ARC
(10,5),-1.1642 # DEPENDENCYPART_ARC
(10,6),-0.611053 # DEPENDENCYPART_ARC
(10,7),-0.549995 # DEPENDENCYPART_ARC
(10,8),-0.0633533 # DEPENDENCYPART_ARC
(10,9),0.58346 # DEPENDENCYPART_ARC
(10,11),-1.30429 # DEPENDENCYPART_ARC
(10,16),-1.82889 # DEPENDENCYPART_ARC
(10,19),-1.66796 # DEPENDENCYPART_ARC
(10,21),-1.61359 # DEPENDENCYPART_ARC
(10,22),-1.70957 # DEPENDENCYPART_ARC
(11,2),-1.99538 # DEPENDENCYPART_ARC
(11,5),-1.80686 # DEPENDENCYPART_ARC
(11,6),-0.801299 # DEPENDENCYPART_ARC
(11,7),-1.29153 # DEPENDENCYPART_ARC
(11,8),-0.441822 # DEPENDENCYPART_ARC
(11,9),-0.590167 # DEPENDENCYPART_ARC
(11,10),0.493123 # DEPENDENCYPART_ARC
(11,13),-1.61028 # DEPENDENCYPART_ARC
(12,1),-1.51917 # DEPENDENCYPART_ARC
(12,2),-0.819152 # DEPENDENCYPART_ARC
(12,3),-1.81089 # DEPENDENCYPART_ARC
(12,5),-0.831207 # DEPENDENCYPART_ARC
(12,6),-0.725646 # DEPENDENCYPART_ARC
(12,7),0.0772868 # DEPENDENCYPART_ARC
(12,8),-0.413071 # DEPENDENCYPART_ARC
(12,9),0.845446 # DEPENDENCYPART_ARC
(12,10),1.44215 # DEPENDENCYPART_ARC
(12,11),2.2445 # DEPENDENCYPART_ARC
(12,13),-1.35367 # DEPENDENCYPART_ARC
(12,16),-1.51968 # DEPENDENCYPART_ARC
(12,17),-1.56418 # DEPENDENCYPART_ARC
(12,18),-1.13886 # DEPENDENCYPART_ARC
(12,19),-1.56942 # DEPENDENCYPART_ARC
(13,2),-1.42234 # DEPENDENCYPART_ARC
(13,5),-1.30792 # DEPENDENCYPART_ARC
(13,6),-1.04641 # DEPENDENCYPART_ARC
(13,7),-0.965689 # DEPENDENCYPART_ARC
(13,8),-0.845324 # DEPENDENCYPART_ARC
(13,9),-0.790217 # DEPENDENCYPART_ARC
(13,10),-0.845867 # DEPENDENCYPART_ARC
(13,11),-0.736616 # DEPENDENCYPART_ARC
(13,12),0.0238371 # DEPENDENCYPART_ARC
(13,15),-0.844929 # DEPENDENCYPART_ARC
(13,16),-0.842088 # DEPENDENCYPART_ARC
(13,18),-0.860684 # DEPENDENCYPART_ARC
(13,19),-0.731636 # DEPENDENCYPART_ARC
(13,20),-1.46674 # DEPENDENCYPART_ARC
(13,21),-1.1159 # DEPENDENCYPART_ARC
(13,22),-1.28275 # DEPENDENCYPART_ARC
(14,15),-0.542555 # DEPENDENCYPART_ARC
(15,12),-2.24132 # DEPENDENCYPART_ARC
(15,13),-1.17757 # DEPENDENCYPART_ARC
(15,14),-0.578276 # DEPENDENCYPART_ARC
(16,1),-1.98905 # DEPENDENCYPART_ARC
(16,2),-3.10767 # DEPENDENCYPART_ARC
(16,7),-1.56286 # DEPENDENCYPART_ARC
(16,8),-1.01887 # DEPENDENCYPART_ARC
(16,9),-1.09491 # DEPENDENCYPART_ARC
(16,10),-0.749187 # DEPENDENCYPART_ARC
(16,11),-0.513243 # DEPENDENCYPART_ARC
(16,12),-2.41989 # DEPENDENCYPART_ARC
(16,13),-0.842018 # DEPENDENCYPART_ARC
(16,14),1.28261 # DEPENDENCYPART_ARC
(16,15),2.27186 # DEPENDENCYPART_ARC
(16,17),-1.1256 # DEPENDENCYPART_ARC
(16,18),-1.03042 # DEPENDENCYPART_ARC
