# _root_ De hogy az átütemezést valóban megkapja -e gazda , arról a bankok egyedileg döntenek , azaz a termelőknek a pénzintézetekkel kell megállapodniuk .
#goldHeads=16,14,4,6,6,10,6,6,14,14,12,14,14,16,16,0,18,21,20,22,16,21,16,
#predictedHeads=6,6,4,6,6,0,6,6,6,14,12,14,14,6,14,21,18,22,20,22,10,21,6,
(0,1),-2.90126 # DEPENDENCYPART_ARC
(0,2),-3.41836 # DEPENDENCYPART_ARC
(0,5),-3.72304 # DEPENDENCYPART_ARC
(0,6),-2.07491 # DEPENDENCYPART_ARC
(0,10),-4.60343 # DEPENDENCYPART_ARC
(0,13),-4.11544 # DEPENDENCYPART_ARC
(0,14),-3.36827 # DEPENDENCYPART_ARC
(0,16),-3.4631 # DEPENDENCYPART_ARC
(0,21),-3.6805 # DEPENDENCYPART_ARC
(0,22),-4.60523 # DEPENDENCYPART_ARC
(1,2),-1.04822 # DEPENDENCYPART_ARC
(1,4),-1.73874 # DEPENDENCYPART_ARC
(1,6),-0.818335 # DEPENDENCYPART_ARC
(1,9),-0.938792 # DEPENDENCYPART_ARC
(1,10),-2.19176 # DEPENDENCYPART_ARC
(1,14),-1.71409 # DEPENDENCYPART_ARC
(1,15),-1.15718 # DEPENDENCYPART_ARC
(1,16),-1.93933 # DEPENDENCYPART_ARC
(1,18),-2.44217 # DEPENDENCYPART_ARC
(1,21),-1.74245 # DEPENDENCYPART_ARC
(1,22),-2.31731 # DEPENDENCYPART_ARC
(1,23),-0.619868 # DEPENDENCYPART_ARC
(2,1),0.277483 # DEPENDENCYPART_ARC
(2,4),-1.34091 # DEPENDENCYPART_ARC
(2,6),-0.807205 # DEPENDENCYPART_ARC
(2,9),-0.838254 # DEPENDENCYPART_ARC
(2,14),-1.68351 # DEPENDENCYPART_ARC
(2,15),-1.05932 # DEPENDENCYPART_ARC
(2,16),-1.4268 # DEPENDENCYPART_ARC
(2,21),-1.6901 # DEPENDENCYPART_ARC
(2,22),-2.32897 # DEPENDENCYPART_ARC
(2,23),-1.40967 # DEPENDENCYPART_ARC
(4,1),-0.932386 # DEPENDENCYPART_ARC
(4,2),-0.799834 # DEPENDENCYPART_ARC
(4,3),1.91571 # DEPENDENCYPART_ARC
(5,1),-1.00547 # DEPENDENCYPART_ARC
(5,2),-0.8201 # DEPENDENCYPART_ARC
(5,4),-0.338767 # DEPENDENCYPART_ARC
(5,8),-1.30198 # DEPENDENCYPART_ARC
(5,12),-1.8737 # DEPENDENCYPART_ARC
(5,14),-1.37679 # DEPENDENCYPART_ARC
(6,1),-0.267936 # DEPENDENCYPART_ARC
(6,2),-0.42976 # DEPENDENCYPART_ARC
(6,3),-1.73253 # DEPENDENCYPART_ARC
(6,4),0.997687 # DEPENDENCYPART_ARC
(6,5),1.69185 # DEPENDENCYPART_ARC
(6,7),1.57437 # DEPENDENCYPART_ARC
(6,8),1.4719 # DEPENDENCYPART_ARC
(6,9),0.534721 # DEPENDENCYPART_ARC
(6,10),-0.723043 # DEPENDENCYPART_ARC
(6,11),-1.74443 # DEPENDENCYPART_ARC
(6,12),-1.36584 # DEPENDENCYPART_ARC
(6,13),-0.571649 # DEPENDENCYPART_ARC
(6,14),0.103291 # DEPENDENCYPART_ARC
(6,15),-0.257784 # DEPENDENCYPART_ARC
