# _root_ Az egység vitathatatlan , ugyanakkor megfigyelők szerint feltűnő , hogy nem került sor ennél határozottabb hangú közös fellépésre .
#goldHeads=2,3,0,3,10,7,10,10,10,3,12,10,12,15,16,18,18,12,3,
#predictedHeads=2,10,10,10,10,7,8,10,10,0,12,10,12,15,16,18,18,12,10,
(0,2),-3.10056 # DEPENDENCYPART_ARC
(0,3),-3.48464 # DEPENDENCYPART_ARC
(0,5),-3.76461 # DEPENDENCYPART_ARC
(0,8),-3.91672 # DEPENDENCYPART_ARC
(0,10),-3.20755 # DEPENDENCYPART_ARC
(0,11),-3.74059 # DEPENDENCYPART_ARC
(0,12),-2.48043 # DEPENDENCYPART_ARC
(0,14),-4.75648 # DEPENDENCYPART_ARC
(0,15),-4.19924 # DEPENDENCYPART_ARC
(0,16),-4.18421 # DEPENDENCYPART_ARC
(1,3),-1.06823 # DEPENDENCYPART_ARC
(2,1),1.92782 # DEPENDENCYPART_ARC
(2,4),-0.739303 # DEPENDENCYPART_ARC
(2,5),-1.34812 # DEPENDENCYPART_ARC
(2,6),-1.23542 # DEPENDENCYPART_ARC
(2,12),-1.17346 # DEPENDENCYPART_ARC
(3,1),-0.648749 # DEPENDENCYPART_ARC
(3,2),0.766034 # DEPENDENCYPART_ARC
(3,4),-0.438701 # DEPENDENCYPART_ARC
(3,6),-1.68816 # DEPENDENCYPART_ARC
(3,7),-1.26591 # DEPENDENCYPART_ARC
(3,8),-1.76379 # DEPENDENCYPART_ARC
(3,9),-0.978343 # DEPENDENCYPART_ARC
(3,10),-1.39169 # DEPENDENCYPART_ARC
(3,11),-1.55866 # DEPENDENCYPART_ARC
(3,12),-1.29408 # DEPENDENCYPART_ARC
(3,15),-1.83418 # DEPENDENCYPART_ARC
(3,16),-2.12617 # DEPENDENCYPART_ARC
(3,18),-2.00154 # DEPENDENCYPART_ARC
(3,19),-1.64986 # DEPENDENCYPART_ARC
(5,2),-1.10761 # DEPENDENCYPART_ARC
(5,3),-1.16157 # DEPENDENCYPART_ARC
(5,4),-0.662741 # DEPENDENCYPART_ARC
(5,6),-0.855268 # DEPENDENCYPART_ARC
(5,7),-0.782724 # DEPENDENCYPART_ARC
(5,8),-0.997128 # DEPENDENCYPART_ARC
(5,9),-0.839422 # DEPENDENCYPART_ARC
(5,12),-1.12412 # DEPENDENCYPART_ARC
(5,13),-1.78163 # DEPENDENCYPART_ARC
(5,14),-1.43068 # DEPENDENCYPART_ARC
(5,18),-1.88499 # DEPENDENCYPART_ARC
(5,19),-1.7179 # DEPENDENCYPART_ARC
(6,1),-1.0056 # DEPENDENCYPART_ARC
(6,2),-1.63508 # DEPENDENCYPART_ARC
(6,3),-0.379307 # DEPENDENCYPART_ARC
(6,4),-0.540119 # DEPENDENCYPART_ARC
(6,5),-0.276545 # DEPENDENCYPART_ARC
(6,8),-1.38267 # DEPENDENCYPART_ARC
(6,9),-0.69723 # DEPENDENCYPART_ARC
(6,12),-1.27558 # DEPENDENCYPART_ARC
(6,18),-2.61464 # DEPENDENCYPART_ARC
(6,19),-1.46468 # DEPENDENCYPART_ARC
(7,1),-1.30718 # DEPENDENCYPART_ARC
(7,2),-0.461454 # DEPENDENCYPART_ARC
(7,3),-0.858669 # DEPENDENCYPART_ARC
(7,4),-0.381715 # DEPENDENCYPART_ARC
(7,6),2.50967 # DEPENDENCYPART_ARC
(7,8),-0.927112 # DEPENDENCYPART_ARC
(7,9),-0.824483 # DEPENDENCYPART_ARC
(7,12),-1.25729 # DEPENDENCYPART_ARC
(7,18),-1.81488 # DEPENDENCYPART_ARC
(7,19),-1.39919 # DEPENDENCYPART_ARC
(8,1),-1.35326 # DEPENDENCYPART_ARC
(8,2),-1.3536 # DEPENDENCYPART_ARC
(8,3),-1.14108 # DEPENDENCYPART_ARC
(8,4),-0.574226 # DEPENDENCYPART_ARC
(8,5),-0.215411 # DEPENDENCYPART_ARC
(8,6),-0.58188 # DEPENDENCYPART_ARC
(8,7),0.81459 # DEPENDENCYPART_ARC
(8,9),-0.378918 # DEPENDENCYPART_ARC
(8,10),-1.31478 # DEPENDENCYPART_ARC
(8,11),-1.32372 # DEPENDENCYPART_ARC
(8,12),-0.934106 # DEPENDENCYPART_ARC
(8,13),-1.68072 # DEPENDENCYPART_ARC
(8,15),-1.6195 # DEPENDENCYPART_ARC
(8,16),-1.93796 # DEPENDENCYPART_ARC
(8,18),-1.67694 # DEPENDENCYPART_ARC
(8,19),-1.51509 # DEPENDENCYPART_ARC
(10,2),-0.925189 # DEPENDENCYPART_ARC
(10,3),-0.663452 # DEPENDENCYPART_ARC
