# _root_ Elsősorban nekik köszönhető , hogy a különböző korosztályos megyei válogatottak eljuthatnak külföldre , és rendszeresek a Pest_megyében tartott nemzetközi tornák is .
#goldHeads=5,5,5,5,0,10,8,10,10,11,14,11,14,5,21,20,18,20,20,21,14,5,
#predictedHeads=5,5,5,5,0,10,8,10,10,11,14,11,14,5,21,20,18,20,20,21,14,5,
(0,1),-2.83833 # DEPENDENCYPART_ARC
(0,2),-3.13424 # DEPENDENCYPART_ARC
(0,3),-3.47445 # DEPENDENCYPART_ARC
(0,5),-2.82078 # DEPENDENCYPART_ARC
(0,11),-2.65063 # DEPENDENCYPART_ARC
(0,14),-2.58787 # DEPENDENCYPART_ARC
(0,15),-3.91425 # DEPENDENCYPART_ARC
(0,21),-4.41302 # DEPENDENCYPART_ARC
(1,2),-0.815416 # DEPENDENCYPART_ARC
(1,3),-0.908173 # DEPENDENCYPART_ARC
(1,4),-0.784534 # DEPENDENCYPART_ARC
(1,5),-0.96674 # DEPENDENCYPART_ARC
(1,10),-1.74619 # DEPENDENCYPART_ARC
(1,11),-1.17478 # DEPENDENCYPART_ARC
(1,14),-1.28737 # DEPENDENCYPART_ARC
(1,20),-2.17594 # DEPENDENCYPART_ARC
(1,21),-1.7696 # DEPENDENCYPART_ARC
(1,22),-1.56018 # DEPENDENCYPART_ARC
(2,1),-0.0786703 # DEPENDENCYPART_ARC
(2,3),-0.819543 # DEPENDENCYPART_ARC
(2,4),-0.88164 # DEPENDENCYPART_ARC
(2,7),-1.34198 # DEPENDENCYPART_ARC
(2,8),-1.34898 # DEPENDENCYPART_ARC
(2,9),-1.36578 # DEPENDENCYPART_ARC
(2,10),-1.59661 # DEPENDENCYPART_ARC
(2,11),-1.20937 # DEPENDENCYPART_ARC
(2,12),-1.67672 # DEPENDENCYPART_ARC
(2,20),-2.14766 # DEPENDENCYPART_ARC
(2,22),-1.69379 # DEPENDENCYPART_ARC
(3,1),-0.309872 # DEPENDENCYPART_ARC
(3,2),0.822495 # DEPENDENCYPART_ARC
(3,4),-0.595798 # DEPENDENCYPART_ARC
(3,5),-1.42717 # DEPENDENCYPART_ARC
(3,8),-1.86781 # DEPENDENCYPART_ARC
(3,10),-2.14034 # DEPENDENCYPART_ARC
(3,11),-1.35237 # DEPENDENCYPART_ARC
(3,12),-1.69481 # DEPENDENCYPART_ARC
(3,13),-1.30133 # DEPENDENCYPART_ARC
(3,14),-1.58188 # DEPENDENCYPART_ARC
(3,18),-2.11049 # DEPENDENCYPART_ARC
(3,20),-2.53654 # DEPENDENCYPART_ARC
(3,21),-2.09618 # DEPENDENCYPART_ARC
(3,22),-1.65268 # DEPENDENCYPART_ARC
(5,1),-0.302767 # DEPENDENCYPART_ARC
(5,2),-0.0498379 # DEPENDENCYPART_ARC
(5,3),0.327303 # DEPENDENCYPART_ARC
(5,4),0.205063 # DEPENDENCYPART_ARC
(5,7),-1.27965 # DEPENDENCYPART_ARC
(5,8),-1.46575 # DEPENDENCYPART_ARC
(5,9),-1.65681 # DEPENDENCYPART_ARC
(5,10),-1.61636 # DEPENDENCYPART_ARC
(5,11),-0.812435 # DEPENDENCYPART_ARC
(5,12),-1.92744 # DEPENDENCYPART_ARC
(5,13),-1.15225 # DEPENDENCYPART_ARC
(5,14),-1.19112 # DEPENDENCYPART_ARC
(5,15),-2.10944 # DEPENDENCYPART_ARC
(5,18),-2.17589 # DEPENDENCYPART_ARC
(5,20),-2.26145 # DEPENDENCYPART_ARC
(5,21),-1.50019 # DEPENDENCYPART_ARC
(5,22),-0.86389 # DEPENDENCYPART_ARC
(6,7),-0.41189 # DEPENDENCYPART_ARC
(6,8),-0.728169 # DEPENDENCYPART_ARC
(7,2),-1.69336 # DEPENDENCYPART_ARC
(7,5),-1.26599 # DEPENDENCYPART_ARC
(7,6),-0.75792 # DEPENDENCYPART_ARC
(8,1),-1.35354 # DEPENDENCYPART_ARC
(8,2),-1.23165 # DEPENDENCYPART_ARC
(8,3),-1.39434 # DEPENDENCYPART_ARC
(8,4),-0.912056 # DEPENDENCYPART_ARC
(8,5),-0.706429 # DEPENDENCYPART_ARC
(8,6),-0.92191 # DEPENDENCYPART_ARC
(8,7),0.730323 # DEPENDENCYPART_ARC
(8,9),-1.36547 # DEPENDENCYPART_ARC
(8,22),-1.8405 # DEPENDENCYPART_ARC
(9,1),-1.27835 # DEPENDENCYPART_ARC
(9,2),-1.17171 # DEPENDENCYPART_ARC
(9,3),-1.4268 # DEPENDENCYPART_ARC
(9,4),-0.802333 # DEPENDENCYPART_ARC
(9,5),-0.730212 # DEPENDENCYPART_ARC
(9,6),-1.10864 # DEPENDENCYPART_ARC
(9,7),-0.0761216 # DEPENDENCYPART_ARC
(9,8),0.761768 # DEPENDENCYPART_ARC
(10,1),-1.21735 # DEPENDENCYPART_ARC
