# _root_ Ő korábban — egyebek között — az Ybl_Bank csődjét okozó Hepta-csoport egyik cégének , a Carbontransz_Rt.-nek volt az elnök-vezérigazgatója ( HVG , 1992. augusztus 1. )
#goldHeads=17,17,17,5,17,17,8,9,10,11,13,13,17,13,16,13,0,19,17,21,17,21,25,25,21,21,
#predictedHeads=2,5,17,5,17,17,8,9,10,11,13,13,17,17,16,17,0,19,17,21,17,21,25,25,21,17,
(0,1),-3.39589 # DEPENDENCYPART_ARC
(0,2),-3.22803 # DEPENDENCYPART_ARC
(0,4),-3.67198 # DEPENDENCYPART_ARC
(0,5),-3.58678 # DEPENDENCYPART_ARC
(0,10),-4.06885 # DEPENDENCYPART_ARC
(0,11),-4.82275 # DEPENDENCYPART_ARC
(0,12),-4.48554 # DEPENDENCYPART_ARC
(0,17),-2.7911 # DEPENDENCYPART_ARC
(1,3),-0.974573 # DEPENDENCYPART_ARC
(1,5),-0.925436 # DEPENDENCYPART_ARC
(1,6),-0.981859 # DEPENDENCYPART_ARC
(1,9),-1.49645 # DEPENDENCYPART_ARC
(1,11),-1.21698 # DEPENDENCYPART_ARC
(1,13),-1.39132 # DEPENDENCYPART_ARC
(1,17),0.208192 # DEPENDENCYPART_ARC
(1,19),-1.49191 # DEPENDENCYPART_ARC
(2,1),0.0216243 # DEPENDENCYPART_ARC
(2,3),-0.648176 # DEPENDENCYPART_ARC
(2,5),-1.05166 # DEPENDENCYPART_ARC
(2,6),-1.03612 # DEPENDENCYPART_ARC
(2,8),-1.9567 # DEPENDENCYPART_ARC
(2,9),-2.01403 # DEPENDENCYPART_ARC
(2,11),-2.09795 # DEPENDENCYPART_ARC
(2,13),-2.18179 # DEPENDENCYPART_ARC
(2,14),-1.48116 # DEPENDENCYPART_ARC
(2,17),-1.26958 # DEPENDENCYPART_ARC
(2,20),-1.54466 # DEPENDENCYPART_ARC
(2,22),-1.84285 # DEPENDENCYPART_ARC
(2,25),-2.82253 # DEPENDENCYPART_ARC
(2,26),-1.31344 # DEPENDENCYPART_ARC
(4,5),-0.642478 # DEPENDENCYPART_ARC
(4,6),-0.911024 # DEPENDENCYPART_ARC
(4,8),-1.02555 # DEPENDENCYPART_ARC
(4,9),-1.06057 # DEPENDENCYPART_ARC
(4,11),-0.890189 # DEPENDENCYPART_ARC
(4,12),-0.985823 # DEPENDENCYPART_ARC
(4,13),-0.826241 # DEPENDENCYPART_ARC
(4,14),-0.727466 # DEPENDENCYPART_ARC
(4,16),-1.40384 # DEPENDENCYPART_ARC
(4,17),0.0417746 # DEPENDENCYPART_ARC
(4,20),-0.981652 # DEPENDENCYPART_ARC
(4,21),-1.51755 # DEPENDENCYPART_ARC
(4,22),-0.88634 # DEPENDENCYPART_ARC
(4,26),-1.69394 # DEPENDENCYPART_ARC
(5,2),-0.20253 # DEPENDENCYPART_ARC
(5,3),-0.130386 # DEPENDENCYPART_ARC
(5,4),2.17906 # DEPENDENCYPART_ARC
(5,6),-0.779209 # DEPENDENCYPART_ARC
(5,8),-1.48418 # DEPENDENCYPART_ARC
(5,9),-1.53255 # DEPENDENCYPART_ARC
(5,11),-1.57114 # DEPENDENCYPART_ARC
(5,13),-1.58229 # DEPENDENCYPART_ARC
(5,14),-1.03202 # DEPENDENCYPART_ARC
(5,16),-1.64605 # DEPENDENCYPART_ARC
(5,17),-1.65185 # DEPENDENCYPART_ARC
(5,19),-1.67616 # DEPENDENCYPART_ARC
(5,26),-1.30859 # DEPENDENCYPART_ARC
(7,6),-0.483415 # DEPENDENCYPART_ARC
(7,8),-0.569006 # DEPENDENCYPART_ARC
(7,9),-1.14071 # DEPENDENCYPART_ARC
(8,2),-2.05537 # DEPENDENCYPART_ARC
(8,3),-1.57969 # DEPENDENCYPART_ARC
(8,5),-1.40581 # DEPENDENCYPART_ARC
(8,7),1.33402 # DEPENDENCYPART_ARC
(8,9),-1.45507 # DEPENDENCYPART_ARC
(8,12),-2.13502 # DEPENDENCYPART_ARC
(9,1),-1.96841 # DEPENDENCYPART_ARC
(9,2),-1.7477 # DEPENDENCYPART_ARC
(9,3),-1.27906 # DEPENDENCYPART_ARC
(9,4),-1.57021 # DEPENDENCYPART_ARC
(9,5),-1.31646 # DEPENDENCYPART_ARC
(9,6),-0.794584 # DEPENDENCYPART_ARC
(9,7),-0.0982554 # DEPENDENCYPART_ARC
(9,8),2.64196 # DEPENDENCYPART_ARC
(9,11),-1.3927 # DEPENDENCYPART_ARC
(9,13),-1.9045 # DEPENDENCYPART_ARC
(9,14),-1.03827 # DEPENDENCYPART_ARC
(9,17),-1.85751 # DEPENDENCYPART_ARC
(9,25),-3.01168 # DEPENDENCYPART_ARC
(10,2),-1.18579 # DEPENDENCYPART_ARC
(10,3),-1.06484 # DEPENDENCYPART_ARC
(10,5),-0.807523 # DEPENDENCYPART_ARC
(10,6),-0.802554 # DEPENDENCYPART_ARC
(10,7),-0.949874 # DEPENDENCYPART_ARC
(10,8),-0.0878251 # DEPENDENCYPART_ARC
(10,9),1.54624 # DEPENDENCYPART_ARC
(10,13),-1.41731 # DEPENDENCYPART_ARC
(10,17),-1.52372 # DEPENDENCYPART_ARC
(11,2),-1.27879 # DEPENDENCYPART_ARC
(11,3),-0.880967 # DEPENDENCYPART_ARC
(11,4),-1.65438 # DEPENDENCYPART_ARC
(11,5),-1.02729 # DEPENDENCYPART_ARC
(11,6),-0.65689 # DEPENDENCYPART_ARC
(11,7),0.169894 # DEPENDENCYPART_ARC
(11,8),0.525014 # DEPENDENCYPART_ARC
