# _root_ Az ÖIAG-hoz csapták még — idegen testként — az állami nyomdát , a Staatsdruckereit_és_a_Dorotheum aukciósházat , amelyek privatizációja is a szervezetre vár .
#goldHeads=2,3,0,3,3,7,3,3,11,11,3,3,15,15,3,3,18,22,22,21,22,3,3,
#predictedHeads=2,3,0,3,3,7,3,3,11,11,3,3,14,15,3,3,22,22,22,21,22,3,3,
(0,2),-3.17232 # DEPENDENCYPART_ARC
(0,3),-1.30999 # DEPENDENCYPART_ARC
(0,4),-3.80965 # DEPENDENCYPART_ARC
(0,6),-3.94029 # DEPENDENCYPART_ARC
(0,7),-4.4505 # DEPENDENCYPART_ARC
(0,22),-3.54402 # DEPENDENCYPART_ARC
(2,1),1.21136 # DEPENDENCYPART_ARC
(2,3),-1.17659 # DEPENDENCYPART_ARC
(2,5),-1.05707 # DEPENDENCYPART_ARC
(2,7),-1.76566 # DEPENDENCYPART_ARC
(2,11),-1.98391 # DEPENDENCYPART_ARC
(2,22),-2.26977 # DEPENDENCYPART_ARC
(2,23),-1.44836 # DEPENDENCYPART_ARC
(3,1),-0.641535 # DEPENDENCYPART_ARC
(3,2),1.46731 # DEPENDENCYPART_ARC
(3,4),2.0074 # DEPENDENCYPART_ARC
(3,5),0.0925932 # DEPENDENCYPART_ARC
(3,6),-0.707586 # DEPENDENCYPART_ARC
(3,7),-0.0602934 # DEPENDENCYPART_ARC
(3,8),-0.380634 # DEPENDENCYPART_ARC
(3,9),-1.95694 # DEPENDENCYPART_ARC
(3,10),-1.49759 # DEPENDENCYPART_ARC
(3,11),0.17026 # DEPENDENCYPART_ARC
(3,12),-0.481714 # DEPENDENCYPART_ARC
(3,14),-2.50582 # DEPENDENCYPART_ARC
(3,15),-0.572524 # DEPENDENCYPART_ARC
(3,16),-0.279615 # DEPENDENCYPART_ARC
(3,17),-2.55737 # DEPENDENCYPART_ARC
(3,18),-2.6936 # DEPENDENCYPART_ARC
(3,19),-1.20573 # DEPENDENCYPART_ARC
(3,21),-2.82636 # DEPENDENCYPART_ARC
(3,22),-0.00811627 # DEPENDENCYPART_ARC
(3,23),-0.625536 # DEPENDENCYPART_ARC
(4,2),-0.77829 # DEPENDENCYPART_ARC
(4,3),-0.42556 # DEPENDENCYPART_ARC
(4,5),-0.916597 # DEPENDENCYPART_ARC
(4,6),-1.44102 # DEPENDENCYPART_ARC
(4,7),-1.62319 # DEPENDENCYPART_ARC
(4,8),-1.25466 # DEPENDENCYPART_ARC
(4,11),-2.20805 # DEPENDENCYPART_ARC
(4,15),-2.58319 # DEPENDENCYPART_ARC
(4,16),-1.81839 # DEPENDENCYPART_ARC
(4,19),-2.04833 # DEPENDENCYPART_ARC
(4,22),-1.70943 # DEPENDENCYPART_ARC
(4,23),-2.33054 # DEPENDENCYPART_ARC
(6,1),-1.84785 # DEPENDENCYPART_ARC
(6,2),-0.789023 # DEPENDENCYPART_ARC
(6,3),-1.06561 # DEPENDENCYPART_ARC
(6,4),-0.280271 # DEPENDENCYPART_ARC
(6,5),-0.135527 # DEPENDENCYPART_ARC
(6,8),-0.582948 # DEPENDENCYPART_ARC
(6,11),-1.77018 # DEPENDENCYPART_ARC
(6,12),-0.78992 # DEPENDENCYPART_ARC
(6,15),-1.97859 # DEPENDENCYPART_ARC
(6,16),-0.905135 # DEPENDENCYPART_ARC
(6,22),-1.70323 # DEPENDENCYPART_ARC
(6,23),-1.31917 # DEPENDENCYPART_ARC
(7,1),-0.971105 # DEPENDENCYPART_ARC
