# _root_ Az érdekvédők továbbra is ragaszkodtak ahhoz , hogy az ÉT még április 9. , a részben helyébe lépő Gazdasági_Tanács összehívása előtt üljön össze .
#goldHeads=2,5,5,5,0,5,5,5,10,22,22,13,21,21,19,18,18,19,20,21,22,6,22,5,
#predictedHeads=2,5,5,5,0,5,5,5,10,13,13,13,5,22,19,18,18,19,20,21,22,6,22,5,
(0,2),-3.33562 # DEPENDENCYPART_ARC
(0,3),-3.4633 # DEPENDENCYPART_ARC
(0,4),-3.15485 # DEPENDENCYPART_ARC
(0,5),-1.85264 # DEPENDENCYPART_ARC
(0,6),-4.20418 # DEPENDENCYPART_ARC
(0,8),-3.56276 # DEPENDENCYPART_ARC
(0,22),-3.99605 # DEPENDENCYPART_ARC
(0,23),-4.71476 # DEPENDENCYPART_ARC
(2,1),1.90445 # DEPENDENCYPART_ARC
(2,3),-1.15217 # DEPENDENCYPART_ARC
(2,5),-1.0491 # DEPENDENCYPART_ARC
(2,24),-1.94119 # DEPENDENCYPART_ARC
(3,2),-0.339381 # DEPENDENCYPART_ARC
(3,4),-0.942525 # DEPENDENCYPART_ARC
(3,5),-1.17328 # DEPENDENCYPART_ARC
(3,11),-1.501 # DEPENDENCYPART_ARC
(3,22),-1.57772 # DEPENDENCYPART_ARC
(3,24),-1.82937 # DEPENDENCYPART_ARC
(4,1),-1.69817 # DEPENDENCYPART_ARC
(4,2),-1.31295 # DEPENDENCYPART_ARC
(4,3),-0.426761 # DEPENDENCYPART_ARC
(4,5),0.0505642 # DEPENDENCYPART_ARC
(4,6),-2.00608 # DEPENDENCYPART_ARC
(4,7),-0.888822 # DEPENDENCYPART_ARC
(4,8),-1.3329 # DEPENDENCYPART_ARC
(4,21),-2.00347 # DEPENDENCYPART_ARC
(4,22),-1.72305 # DEPENDENCYPART_ARC
(4,24),-1.65101 # DEPENDENCYPART_ARC
(5,1),-1.07469 # DEPENDENCYPART_ARC
(5,2),1.33058 # DEPENDENCYPART_ARC
(5,3),1.27577 # DEPENDENCYPART_ARC
(5,4),1.53505 # DEPENDENCYPART_ARC
(5,6),1.46564 # DEPENDENCYPART_ARC
(5,7),0.709303 # DEPENDENCYPART_ARC
(5,8),2.18022 # DEPENDENCYPART_ARC
(5,9),-1.34208 # DEPENDENCYPART_ARC
(5,10),-0.941227 # DEPENDENCYPART_ARC
(5,11),-0.470999 # DEPENDENCYPART_ARC
(5,12),-1.19974 # DEPENDENCYPART_ARC
(5,13),-0.279856 # DEPENDENCYPART_ARC
(5,14),-0.291268 # DEPENDENCYPART_ARC
(5,16),-1.11964 # DEPENDENCYPART_ARC
(5,17),-1.21265 # DEPENDENCYPART_ARC
(5,18),-1.71204 # DEPENDENCYPART_ARC
(5,19),-2.0231 # DEPENDENCYPART_ARC
(5,20),-1.58724 # DEPENDENCYPART_ARC
(5,21),-0.693287 # DEPENDENCYPART_ARC
(5,22),0.381698 # DEPENDENCYPART_ARC
(5,23),-1.15739 # DEPENDENCYPART_ARC
(5,24),-0.295928 # DEPENDENCYPART_ARC
(6,2),-1.60865 # DEPENDENCYPART_ARC
(6,3),-1.10671 # DEPENDENCYPART_ARC
(6,4),-1.23422 # DEPENDENCYPART_ARC
(6,5),-0.000816169 # DEPENDENCYPART_ARC
(6,7),-0.382477 # DEPENDENCYPART_ARC
(6,8),-0.909733 # DEPENDENCYPART_ARC
(6,10),-0.898563 # DEPENDENCYPART_ARC
(6,11),-0.96254 # DEPENDENCYPART_ARC
(6,12),-0.729428 # DEPENDENCYPART_ARC
(6,13),-0.78864 # DEPENDENCYPART_ARC
(6,14),-0.538643 # DEPENDENCYPART_ARC
(6,16),-0.782184 # DEPENDENCYPART_ARC
(6,17),-1.28557 # DEPENDENCYPART_ARC
(6,18),-1.03413 # DEPENDENCYPART_ARC
(6,19),-1.31994 # DEPENDENCYPART_ARC
(6,20),-1.14399 # DEPENDENCYPART_ARC
