# _root_ A társaság a HungarHotelst nem tudja ugyan megvenni , mégis tovább működött , fb-elnöki tisztéről Récsey 1998 áprilisában mondott le .
#goldHeads=2,6,4,8,6,10,6,6,10,0,12,10,10,15,19,19,18,19,10,19,10,
#predictedHeads=2,6,4,6,6,10,6,6,10,0,12,10,12,15,19,18,18,19,10,19,10,
(0,2),-3.06965 # DEPENDENCYPART_ARC
(0,5),-3.75904 # DEPENDENCYPART_ARC
(0,6),-2.02626 # DEPENDENCYPART_ARC
(0,7),-2.92424 # DEPENDENCYPART_ARC
(0,8),-4.08164 # DEPENDENCYPART_ARC
(0,10),-2.33119 # DEPENDENCYPART_ARC
(0,12),-2.7171 # DEPENDENCYPART_ARC
(0,19),-3.06135 # DEPENDENCYPART_ARC
(0,20),-4.3231 # DEPENDENCYPART_ARC
(2,1),1.89952 # DEPENDENCYPART_ARC
(2,3),-1.29203 # DEPENDENCYPART_ARC
(2,4),-1.39606 # DEPENDENCYPART_ARC
(2,6),-0.90478 # DEPENDENCYPART_ARC
(2,19),-1.54625 # DEPENDENCYPART_ARC
(2,21),-1.61858 # DEPENDENCYPART_ARC
(4,1),-1.03638 # DEPENDENCYPART_ARC
(4,2),-1.22604 # DEPENDENCYPART_ARC
(4,3),1.10952 # DEPENDENCYPART_ARC
(5,2),-0.900587 # DEPENDENCYPART_ARC
(5,4),-0.191166 # DEPENDENCYPART_ARC
(5,7),-1.14264 # DEPENDENCYPART_ARC
(5,8),-1.17815 # DEPENDENCYPART_ARC
(5,9),-1.10298 # DEPENDENCYPART_ARC
(5,19),-1.8318 # DEPENDENCYPART_ARC
(5,21),-2.00331 # DEPENDENCYPART_ARC
(6,1),-1.80822 # DEPENDENCYPART_ARC
(6,2),0.305009 # DEPENDENCYPART_ARC
(6,3),-1.51263 # DEPENDENCYPART_ARC
(6,4),1.49345 # DEPENDENCYPART_ARC
(6,5),1.97233 # DEPENDENCYPART_ARC
(6,7),2.72244 # DEPENDENCYPART_ARC
(6,8),2.2277 # DEPENDENCYPART_ARC
(6,9),0.194348 # DEPENDENCYPART_ARC
(6,10),-0.235083 # DEPENDENCYPART_ARC
(6,11),-0.81362 # DEPENDENCYPART_ARC
(6,12),0.166333 # DEPENDENCYPART_ARC
(6,13),-0.665866 # DEPENDENCYPART_ARC
(6,14),-1.3056 # DEPENDENCYPART_ARC
(6,15),-1.76183 # DEPENDENCYPART_ARC
(6,16),-2.2888 # DEPENDENCYPART_ARC
(6,17),-1.47037 # DEPENDENCYPART_ARC
