# _root_ A reaktor felhasználási lehetőségei ez évtől kiteljesednek , ugyanis hamarosan üzembe helyezik az úgynevezett hidegneutron forrást , amely tulajdonképpen egy reaktorba helyezett hidrogéncella .
#goldHeads=2,4,4,7,6,7,9,9,0,12,12,9,16,16,16,12,12,12,12,23,22,23,12,9,
#predictedHeads=2,4,4,7,6,7,9,9,0,12,12,9,15,15,16,12,12,19,12,21,22,23,19,9,
(0,2),-3.10964 # DEPENDENCYPART_ARC
(0,4),-4.21312 # DEPENDENCYPART_ARC
(0,5),-4.13466 # DEPENDENCYPART_ARC
(0,6),-4.4355 # DEPENDENCYPART_ARC
(0,7),-2.09257 # DEPENDENCYPART_ARC
(0,9),-2.46844 # DEPENDENCYPART_ARC
(0,12),-2.89967 # DEPENDENCYPART_ARC
(2,1),1.75351 # DEPENDENCYPART_ARC
(2,4),-1.12137 # DEPENDENCYPART_ARC
(2,6),-1.64473 # DEPENDENCYPART_ARC
(2,12),-1.28739 # DEPENDENCYPART_ARC
(3,1),-0.737363 # DEPENDENCYPART_ARC
(3,2),0.713403 # DEPENDENCYPART_ARC
(3,12),-1.87877 # DEPENDENCYPART_ARC
(4,1),0.156096 # DEPENDENCYPART_ARC
(4,2),2.01301 # DEPENDENCYPART_ARC
(4,3),2.59561 # DEPENDENCYPART_ARC
(4,6),-1.70521 # DEPENDENCYPART_ARC
(4,7),-1.06299 # DEPENDENCYPART_ARC
(4,8),-0.961491 # DEPENDENCYPART_ARC
(4,12),-1.74138 # DEPENDENCYPART_ARC
(4,24),-1.65942 # DEPENDENCYPART_ARC
(5,2),-1.39005 # DEPENDENCYPART_ARC
(5,3),-1.52395 # DEPENDENCYPART_ARC
(5,4),-0.754542 # DEPENDENCYPART_ARC
(5,6),-1.16557 # DEPENDENCYPART_ARC
(5,7),-0.228685 # DEPENDENCYPART_ARC
(5,8),-0.466404 # DEPENDENCYPART_ARC
(5,9),-0.685688 # DEPENDENCYPART_ARC
(5,10),-1.18254 # DEPENDENCYPART_ARC
(5,11),-1.36757 # DEPENDENCYPART_ARC
(5,12),0.290077 # DEPENDENCYPART_ARC
(5,14),-1.05634 # DEPENDENCYPART_ARC
(5,15),-1.11767 # DEPENDENCYPART_ARC
(5,16),-1.7281 # DEPENDENCYPART_ARC
(5,17),-0.449502 # DEPENDENCYPART_ARC
(5,18),-1.07869 # DEPENDENCYPART_ARC
(5,19),-0.873748 # DEPENDENCYPART_ARC
(5,21),-1.56955 # DEPENDENCYPART_ARC
(5,22),-1.15303 # DEPENDENCYPART_ARC
