# _root_ Egyébként a helyi legenda szerint Bregovity éppen itt , Gucsán szedte össze azokat a bandákat is , amelyekkel aztán a stúdióban feljátszatta az említett filmek slágereit .
#goldHeads=11,4,4,5,11,11,11,11,11,11,0,11,15,15,11,11,11,22,22,21,22,13,25,25,26,22,11,
#predictedHeads=11,4,4,5,11,11,11,11,11,11,0,11,15,15,11,11,11,22,22,21,22,13,25,25,26,22,11,
(0,1),-2.95812 # DEPENDENCYPART_ARC
(0,5),-3.95077 # DEPENDENCYPART_ARC
(0,7),-3.92042 # DEPENDENCYPART_ARC
(0,8),-3.88719 # DEPENDENCYPART_ARC
(0,10),-4.6496 # DEPENDENCYPART_ARC
(0,11),-2.25949 # DEPENDENCYPART_ARC
(0,12),-4.32772 # DEPENDENCYPART_ARC
(0,13),-4.58859 # DEPENDENCYPART_ARC
(0,16),-4.26194 # DEPENDENCYPART_ARC
(0,19),-4.40531 # DEPENDENCYPART_ARC
(0,22),-3.22033 # DEPENDENCYPART_ARC
(1,3),-0.892357 # DEPENDENCYPART_ARC
(1,4),-0.867782 # DEPENDENCYPART_ARC
(1,5),-0.622479 # DEPENDENCYPART_ARC
(1,6),-1.13239 # DEPENDENCYPART_ARC
(1,7),-1.00687 # DEPENDENCYPART_ARC
(1,9),-0.842613 # DEPENDENCYPART_ARC
(1,10),-1.59372 # DEPENDENCYPART_ARC
(1,11),-1.06381 # DEPENDENCYPART_ARC
(1,15),-2.00798 # DEPENDENCYPART_ARC
(1,16),-1.32384 # DEPENDENCYPART_ARC
(1,17),-1.11132 # DEPENDENCYPART_ARC
(1,22),-1.27536 # DEPENDENCYPART_ARC
(1,27),-1.6651 # DEPENDENCYPART_ARC
(2,3),-0.517427 # DEPENDENCYPART_ARC
(3,1),-1.34179 # DEPENDENCYPART_ARC
(3,2),-0.704874 # DEPENDENCYPART_ARC
(4,1),-0.890061 # DEPENDENCYPART_ARC
(4,2),1.33656 # DEPENDENCYPART_ARC
(4,3),2.30697 # DEPENDENCYPART_ARC
(4,6),-1.42314 # DEPENDENCYPART_ARC
(4,7),-1.76782 # DEPENDENCYPART_ARC
(4,8),-1.82198 # DEPENDENCYPART_ARC
(5,1),-0.535716 # DEPENDENCYPART_ARC
(5,2),-0.628816 # DEPENDENCYPART_ARC
(5,3),0.169898 # DEPENDENCYPART_ARC
(5,4),2.73396 # DEPENDENCYPART_ARC
(5,6),-0.910728 # DEPENDENCYPART_ARC
(5,7),-1.2201 # DEPENDENCYPART_ARC
(5,10),-1.55514 # DEPENDENCYPART_ARC
(5,22),-1.49986 # DEPENDENCYPART_ARC
(6,1),-1.54023 # DEPENDENCYPART_ARC
(6,2),-0.617181 # DEPENDENCYPART_ARC
(6,3),-1.06646 # DEPENDENCYPART_ARC
(6,4),-0.587706 # DEPENDENCYPART_ARC
(6,5),-0.105201 # DEPENDENCYPART_ARC
(6,9),-0.779107 # DEPENDENCYPART_ARC
(6,10),-1.93104 # DEPENDENCYPART_ARC
(6,11),-1.34529 # DEPENDENCYPART_ARC
(6,13),-1.68859 # DEPENDENCYPART_ARC
(6,22),-1.82699 # DEPENDENCYPART_ARC
(6,27),-1.63292 # DEPENDENCYPART_ARC
(7,1),-1.07918 # DEPENDENCYPART_ARC
(7,3),-1.4797 # DEPENDENCYPART_ARC
(7,4),-1.17485 # DEPENDENCYPART_ARC
(7,5),-1.04837 # DEPENDENCYPART_ARC
(7,6),-0.380865 # DEPENDENCYPART_ARC
(7,9),-0.840743 # DEPENDENCYPART_ARC
(7,10),-1.29649 # DEPENDENCYPART_ARC
(7,11),-1.09133 # DEPENDENCYPART_ARC
(7,16),-1.31084 # DEPENDENCYPART_ARC
(7,17),-1.17953 # DEPENDENCYPART_ARC
(7,22),-1.38576 # DEPENDENCYPART_ARC
(7,26),-2.30744 # DEPENDENCYPART_ARC
(7,27),-1.73422 # DEPENDENCYPART_ARC
(8,3),-1.18945 # DEPENDENCYPART_ARC
(8,4),-0.944685 # DEPENDENCYPART_ARC
(8,6),-0.605249 # DEPENDENCYPART_ARC
(8,7),0.279518 # DEPENDENCYPART_ARC
(8,9),-0.542996 # DEPENDENCYPART_ARC
(8,10),-1.09275 # DEPENDENCYPART_ARC
(8,11),-0.879243 # DEPENDENCYPART_ARC
(8,13),-1.28726 # DEPENDENCYPART_ARC
(8,15),-1.85848 # DEPENDENCYPART_ARC
(8,17),-1.19502 # DEPENDENCYPART_ARC
(8,22),-1.34305 # DEPENDENCYPART_ARC
(8,27),-1.64312 # DEPENDENCYPART_ARC
(10,1),-1.75648 # DEPENDENCYPART_ARC
(10,2),-1.44449 # DEPENDENCYPART_ARC
(10,3),-2.28326 # DEPENDENCYPART_ARC
(10,4),-2.73221 # DEPENDENCYPART_ARC
(10,5),-1.61786 # DEPENDENCYPART_ARC
(10,6),-2.02482 # DEPENDENCYPART_ARC
(10,7),-1.05676 # DEPENDENCYPART_ARC
(10,9),-0.220312 # DEPENDENCYPART_ARC
(10,13),-1.58469 # DEPENDENCYPART_ARC
(10,15),-1.76132 # DEPENDENCYPART_ARC
(10,17),-1.15166 # DEPENDENCYPART_ARC
(10,22),-2.09597 # DEPENDENCYPART_ARC
(10,27),-1.76181 # DEPENDENCYPART_ARC
(11,1),0.251684 # DEPENDENCYPART_ARC
(11,2),-1.83434 # DEPENDENCYPART_ARC
(11,3),-1.66315 # DEPENDENCYPART_ARC
(11,4),-0.380671 # DEPENDENCYPART_ARC
(11,5),0.135171 # DEPENDENCYPART_ARC
(11,6),0.776328 # DEPENDENCYPART_ARC
(11,7),0.531923 # DEPENDENCYPART_ARC
(11,8),0.608183 # DEPENDENCYPART_ARC
(11,9),0.39477 # DEPENDENCYPART_ARC
(11,10),2.83579 # DEPENDENCYPART_ARC
(11,12),1.87141 # DEPENDENCYPART_ARC
(11,13),0.170551 # DEPENDENCYPART_ARC
(11,14),-1.12705 # DEPENDENCYPART_ARC
(11,15),0.56647 # DEPENDENCYPART_ARC
(11,16),0.703579 # DEPENDENCYPART_ARC
(11,17),0.457885 # DEPENDENCYPART_ARC
(11,18),-0.919592 # DEPENDENCYPART_ARC
(11,19),-0.344816 # DEPENDENCYPART_ARC
(11,21),-1.02305 # DEPENDENCYPART_ARC
(11,22),0.190906 # DEPENDENCYPART_ARC
(11,24),-1.62113 # DEPENDENCYPART_ARC
(11,25),-2.28207 # DEPENDENCYPART_ARC
(11,26),-0.928448 # DEPENDENCYPART_ARC
(11,27),-0.303432 # DEPENDENCYPART_ARC
(12,4),-1.72761 # DEPENDENCYPART_ARC
(12,5),-1.25831 # DEPENDENCYPART_ARC
(12,9),-1.14444 # DEPENDENCYPART_ARC
(12,11),-0.388565 # DEPENDENCYPART_ARC
(12,15),-1.08625 # DEPENDENCYPART_ARC
(12,16),-0.942118 # DEPENDENCYPART_ARC
(12,17),-0.920436 # DEPENDENCYPART_ARC
(12,21),-1.73131 # DEPENDENCYPART_ARC
(12,26),-1.95982 # DEPENDENCYPART_ARC
(13,4),-1.09847 # DEPENDENCYPART_ARC
(13,6),-0.979118 # DEPENDENCYPART_ARC
(13,7),-1.1642 # DEPENDENCYPART_ARC
(13,9),-1.035 # DEPENDENCYPART_ARC
(13,10),-0.887061 # DEPENDENCYPART_ARC
(13,11),-0.629493 # DEPENDENCYPART_ARC
(13,15),-0.949051 # DEPENDENCYPART_ARC
(13,16),-0.461821 # DEPENDENCYPART_ARC
(13,17),-0.55284 # DEPENDENCYPART_ARC
(13,18),-0.964651 # DEPENDENCYPART_ARC
(13,19),-0.613713 # DEPENDENCYPART_ARC
(13,21),-0.429725 # DEPENDENCYPART_ARC
(13,22),0.518612 # DEPENDENCYPART_ARC
(13,24),-0.519094 # DEPENDENCYPART_ARC
(13,25),-0.841028 # DEPENDENCYPART_ARC
(13,26),-1.28107 # DEPENDENCYPART_ARC
(13,27),-1.16175 # DEPENDENCYPART_ARC
(14,16),-0.943459 # DEPENDENCYPART_ARC
(15,5),-2.24919 # DEPENDENCYPART_ARC
(15,8),-2.1589 # DEPENDENCYPART_ARC
(15,13),0.280894 # DEPENDENCYPART_ARC
(15,14),1.84543 # DEPENDENCYPART_ARC
(15,19),-1.90884 # DEPENDENCYPART_ARC
(16,1),-1.76761 # DEPENDENCYPART_ARC
(16,5),-1.47522 # DEPENDENCYPART_ARC
(16,6),-1.93806 # DEPENDENCYPART_ARC
(16,7),-1.81998 # DEPENDENCYPART_ARC
(16,8),-1.77173 # DEPENDENCYPART_ARC
(16,9),-1.44008 # DEPENDENCYPART_ARC
(16,10),-1.78666 # DEPENDENCYPART_ARC
(16,11),-0.608964 # DEPENDENCYPART_ARC
(16,13),-1.13544 # DEPENDENCYPART_ARC
(16,14),-1.21542 # DEPENDENCYPART_ARC
(16,15),-0.452648 # DEPENDENCYPART_ARC
(16,17),-0.557823 # DEPENDENCYPART_ARC
(16,19),-1.72138 # DEPENDENCYPART_ARC
(16,21),-1.95525 # DEPENDENCYPART_ARC
(16,22),-0.888999 # DEPENDENCYPART_ARC
(16,25),-1.86357 # DEPENDENCYPART_ARC
(16,26),-2.0301 # DEPENDENCYPART_ARC
(16,27),-1.76087 # DEPENDENCYPART_ARC
(18,21),-0.689416 # DEPENDENCYPART_ARC
(18,24),-1.17356 # DEPENDENCYPART_ARC
