# _root_ E társaság tulajdonosai 150_millió forintot keresnek a Márkus_Kft.-n , mondván , ekkora összegben helyeztek el náluk importletétet .
#goldHeads=2,3,6,5,6,0,8,6,6,6,6,13,14,10,14,14,14,6,
#predictedHeads=2,3,6,5,6,0,8,6,6,6,6,13,14,10,14,14,14,6,
(0,1),-3.28267 # DEPENDENCYPART_ARC
(0,2),-3.11064 # DEPENDENCYPART_ARC
(0,3),-3.81067 # DEPENDENCYPART_ARC
(0,4),-3.39041 # DEPENDENCYPART_ARC
(0,5),-4.22446 # DEPENDENCYPART_ARC
(0,6),-2.29446 # DEPENDENCYPART_ARC
(0,10),-4.35214 # DEPENDENCYPART_ARC
(0,12),-4.60197 # DEPENDENCYPART_ARC
(0,14),-3.11097 # DEPENDENCYPART_ARC
(0,15),-4.5533 # DEPENDENCYPART_ARC
(0,16),-4.41422 # DEPENDENCYPART_ARC
(1,2),-0.624533 # DEPENDENCYPART_ARC
(1,3),-0.886491 # DEPENDENCYPART_ARC
(1,4),-0.987075 # DEPENDENCYPART_ARC
(1,5),-1.48566 # DEPENDENCYPART_ARC
(1,6),-0.184625 # DEPENDENCYPART_ARC
(1,8),-1.58312 # DEPENDENCYPART_ARC
(1,9),-0.752595 # DEPENDENCYPART_ARC
(1,10),-1.01105 # DEPENDENCYPART_ARC
(1,11),-0.830886 # DEPENDENCYPART_ARC
(1,12),-1.11759 # DEPENDENCYPART_ARC
(1,13),-1.42998 # DEPENDENCYPART_ARC
(1,14),0.384606 # DEPENDENCYPART_ARC
(1,15),-0.982421 # DEPENDENCYPART_ARC
(1,17),-1.9322 # DEPENDENCYPART_ARC
(1,18),-2.12728 # DEPENDENCYPART_ARC
(2,1),1.88977 # DEPENDENCYPART_ARC
(2,3),-1.13705 # DEPENDENCYPART_ARC
(2,4),-1.45422 # DEPENDENCYPART_ARC
(2,5),-1.71111 # DEPENDENCYPART_ARC
(2,6),-1.05633 # DEPENDENCYPART_ARC
(2,14),-1.62026 # DEPENDENCYPART_ARC
(3,1),0.164669 # DEPENDENCYPART_ARC
(3,2),2.48453 # DEPENDENCYPART_ARC
(3,4),-0.973844 # DEPENDENCYPART_ARC
(3,5),-1.48178 # DEPENDENCYPART_ARC
(3,6),-0.886979 # DEPENDENCYPART_ARC
(3,8),-2.06494 # DEPENDENCYPART_ARC
(3,9),-0.661846 # DEPENDENCYPART_ARC
(3,10),-1.49674 # DEPENDENCYPART_ARC
(3,11),-0.90486 # DEPENDENCYPART_ARC
(3,14),-1.15115 # DEPENDENCYPART_ARC
(3,17),-2.75827 # DEPENDENCYPART_ARC
(3,18),-1.33205 # DEPENDENCYPART_ARC
(4,1),-0.637703 # DEPENDENCYPART_ARC
(4,2),-0.704534 # DEPENDENCYPART_ARC
(4,3),-0.157764 # DEPENDENCYPART_ARC
(4,6),-0.670169 # DEPENDENCYPART_ARC
(4,8),-2.04817 # DEPENDENCYPART_ARC
(4,9),-1.35999 # DEPENDENCYPART_ARC
(4,11),-1.3063 # DEPENDENCYPART_ARC
(4,14),-1.61024 # DEPENDENCYPART_ARC
(4,18),-1.6057 # DEPENDENCYPART_ARC
(5,1),-0.492942 # DEPENDENCYPART_ARC
(5,2),-0.602792 # DEPENDENCYPART_ARC
(5,3),-0.680362 # DEPENDENCYPART_ARC
(5,4),2.01733 # DEPENDENCYPART_ARC
(5,8),-1.97129 # DEPENDENCYPART_ARC
(5,9),-1.18721 # DEPENDENCYPART_ARC
