# _root_ — Mivel a legnagyobb vetélytársunk , Turi_Tamás anyagiak hiánya miatt nem indult , elég volt biztonsági autózással teljesíteni a távot .
#goldHeads=15,15,5,5,12,12,12,9,10,12,12,15,15,15,0,17,18,15,20,18,15,
#predictedHeads=12,12,5,5,12,12,8,9,10,12,12,0,12,15,12,17,18,15,20,18,12,
(0,2),-2.94181 # DEPENDENCYPART_ARC
(0,5),-4.46791 # DEPENDENCYPART_ARC
(0,11),-3.99136 # DEPENDENCYPART_ARC
(0,12),-2.60248 # DEPENDENCYPART_ARC
(0,14),-4.31406 # DEPENDENCYPART_ARC
(0,15),-3.27971 # DEPENDENCYPART_ARC
(0,16),-4.32493 # DEPENDENCYPART_ARC
(0,18),-5.17896 # DEPENDENCYPART_ARC
(2,1),0.314776 # DEPENDENCYPART_ARC
(2,4),-1.11232 # DEPENDENCYPART_ARC
(2,5),-1.0571 # DEPENDENCYPART_ARC
(2,6),-0.91938 # DEPENDENCYPART_ARC
(2,7),-1.32644 # DEPENDENCYPART_ARC
(2,8),-1.36939 # DEPENDENCYPART_ARC
(2,9),-1.45912 # DEPENDENCYPART_ARC
(2,12),-0.868988 # DEPENDENCYPART_ARC
(2,13),-0.68674 # DEPENDENCYPART_ARC
(2,14),-1.90571 # DEPENDENCYPART_ARC
(2,15),-1.12765 # DEPENDENCYPART_ARC
(2,16),-1.87539 # DEPENDENCYPART_ARC
(2,17),-1.84636 # DEPENDENCYPART_ARC
(2,18),-1.73928 # DEPENDENCYPART_ARC
(2,20),-1.84029 # DEPENDENCYPART_ARC
(2,21),-0.271151 # DEPENDENCYPART_ARC
(3,4),-0.670986 # DEPENDENCYPART_ARC
(4,2),-1.2292 # DEPENDENCYPART_ARC
(4,3),-0.312918 # DEPENDENCYPART_ARC
(5,1),-1.08919 # DEPENDENCYPART_ARC
(5,2),-1.20016 # DEPENDENCYPART_ARC
(5,3),1.31976 # DEPENDENCYPART_ARC
(5,4),2.55556 # DEPENDENCYPART_ARC
(5,6),-0.792068 # DEPENDENCYPART_ARC
(5,7),-1.63375 # DEPENDENCYPART_ARC
(5,8),-1.47043 # DEPENDENCYPART_ARC
(5,9),-1.84915 # DEPENDENCYPART_ARC
(5,10),-1.68895 # DEPENDENCYPART_ARC
(5,12),-1.56641 # DEPENDENCYPART_ARC
(5,15),-1.79115 # DEPENDENCYPART_ARC
(5,18),-1.95219 # DEPENDENCYPART_ARC
(5,21),-1.96356 # DEPENDENCYPART_ARC
(7,1),-1.22012 # DEPENDENCYPART_ARC
(7,2),-1.25095 # DEPENDENCYPART_ARC
(7,3),-0.820155 # DEPENDENCYPART_ARC
(7,4),-1.12595 # DEPENDENCYPART_ARC
(7,5),-0.532429 # DEPENDENCYPART_ARC
(7,6),-0.460047 # DEPENDENCYPART_ARC
(7,8),-1.04646 # DEPENDENCYPART_ARC
(7,9),-1.14981 # DEPENDENCYPART_ARC
(7,10),-1.23994 # DEPENDENCYPART_ARC
(7,14),-1.93263 # DEPENDENCYPART_ARC
(7,18),-1.76552 # DEPENDENCYPART_ARC
(8,1),-0.933396 # DEPENDENCYPART_ARC
(8,2),-0.936474 # DEPENDENCYPART_ARC
(8,3),-0.354387 # DEPENDENCYPART_ARC
(8,4),-0.403609 # DEPENDENCYPART_ARC
(8,5),-0.977974 # DEPENDENCYPART_ARC
(8,6),-0.405841 # DEPENDENCYPART_ARC
(8,7),2.03946 # DEPENDENCYPART_ARC
