# _root_ Ígéretei a lakásépítés , az egészségügy , az energetika és az infrastruktúra átalakítására és belendítésére eddig nem váltak be .
#goldHeads=18,3,13,13,6,13,13,9,13,13,12,13,15,15,18,18,18,0,18,18,
#predictedHeads=18,3,18,18,6,18,18,9,13,13,12,13,18,18,18,18,18,0,18,18,
(0,1),-3.42419 # DEPENDENCYPART_ARC
(0,3),-4.05401 # DEPENDENCYPART_ARC
(0,10),-3.92729 # DEPENDENCYPART_ARC
(0,14),-4.25443 # DEPENDENCYPART_ARC
(0,16),-4.82391 # DEPENDENCYPART_ARC
(0,17),-4.2464 # DEPENDENCYPART_ARC
(0,18),-3.323 # DEPENDENCYPART_ARC
(0,19),-4.99354 # DEPENDENCYPART_ARC
(1,2),-1.47627 # DEPENDENCYPART_ARC
(1,3),-1.07169 # DEPENDENCYPART_ARC
(1,4),-0.7525 # DEPENDENCYPART_ARC
(1,6),-1.40431 # DEPENDENCYPART_ARC
(1,7),-0.99189 # DEPENDENCYPART_ARC
(1,9),-1.78032 # DEPENDENCYPART_ARC
(1,10),-1.10436 # DEPENDENCYPART_ARC
(1,12),-2.08225 # DEPENDENCYPART_ARC
(1,13),-2.84889 # DEPENDENCYPART_ARC
(1,14),-1.08628 # DEPENDENCYPART_ARC
(1,15),-2.96732 # DEPENDENCYPART_ARC
(1,18),-1.55126 # DEPENDENCYPART_ARC
(1,20),-1.83282 # DEPENDENCYPART_ARC
(3,1),-1.90791 # DEPENDENCYPART_ARC
(3,2),1.72208 # DEPENDENCYPART_ARC
(3,4),-0.580279 # DEPENDENCYPART_ARC
(3,6),-1.19884 # DEPENDENCYPART_ARC
(3,7),-0.993988 # DEPENDENCYPART_ARC
(3,14),-1.25882 # DEPENDENCYPART_ARC
(3,18),-1.84303 # DEPENDENCYPART_ARC
(3,20),-2.24436 # DEPENDENCYPART_ARC
(5,4),-0.825691 # DEPENDENCYPART_ARC
(6,1),-3.43847 # DEPENDENCYPART_ARC
(6,2),-0.598817 # DEPENDENCYPART_ARC
(6,3),-1.33519 # DEPENDENCYPART_ARC
(6,4),-1.10788 # DEPENDENCYPART_ARC
(6,5),1.92833 # DEPENDENCYPART_ARC
(6,7),-0.566211 # DEPENDENCYPART_ARC
(6,9),-1.30743 # DEPENDENCYPART_ARC
(6,13),-2.35278 # DEPENDENCYPART_ARC
(6,18),-1.8085 # DEPENDENCYPART_ARC
(6,20),-2.34944 # DEPENDENCYPART_ARC
(8,7),-0.821318 # DEPENDENCYPART_ARC
(8,10),-0.861094 # DEPENDENCYPART_ARC
(8,12),-1.44774 # DEPENDENCYPART_ARC
(8,13),-1.75338 # DEPENDENCYPART_ARC
(9,1),-4.4742 # DEPENDENCYPART_ARC
(9,2),-1.64595 # DEPENDENCYPART_ARC
(9,3),-2.61753 # DEPENDENCYPART_ARC
(9,5),-0.561966 # DEPENDENCYPART_ARC
(9,6),-1.43963 # DEPENDENCYPART_ARC
(9,8),1.86307 # DEPENDENCYPART_ARC
(10,1),-1.87047 # DEPENDENCYPART_ARC
(10,3),-1.8571 # DEPENDENCYPART_ARC
(10,4),-1.22662 # DEPENDENCYPART_ARC
(10,5),-1.86819 # DEPENDENCYPART_ARC
(10,6),-1.38121 # DEPENDENCYPART_ARC
(10,7),-0.555559 # DEPENDENCYPART_ARC
(10,8),-1.30407 # DEPENDENCYPART_ARC
(10,9),-0.485295 # DEPENDENCYPART_ARC
(10,11),-1.08041 # DEPENDENCYPART_ARC
(10,12),-0.612478 # DEPENDENCYPART_ARC
(10,13),-1.15792 # DEPENDENCYPART_ARC
(10,14),-1.23949 # DEPENDENCYPART_ARC
(10,15),-1.57735 # DEPENDENCYPART_ARC
(10,17),-1.54129 # DEPENDENCYPART_ARC
(10,18),-1.06293 # DEPENDENCYPART_ARC
(10,20),-0.937738 # DEPENDENCYPART_ARC
(11,10),-0.667195 # DEPENDENCYPART_ARC
(11,15),-1.76263 # DEPENDENCYPART_ARC
(12,5),-1.63932 # DEPENDENCYPART_ARC
