# _root_ Az oroszok azonban feltűnően békésen viselkednek , s egyelőre semmi jele annak , hogy a katonák erőszakos akcióra készülnének .
#goldHeads=2,6,6,5,6,8,8,0,14,11,14,14,14,8,16,19,18,19,14,8,
#predictedHeads=2,6,6,6,6,8,8,0,14,11,14,14,14,8,16,19,18,19,14,8,
(0,3),-3.16505 # DEPENDENCYPART_ARC
(0,6),-1.94172 # DEPENDENCYPART_ARC
(0,8),-1.91437 # DEPENDENCYPART_ARC
(0,9),-3.90592 # DEPENDENCYPART_ARC
(0,12),-4.61965 # DEPENDENCYPART_ARC
(0,14),-4.11619 # DEPENDENCYPART_ARC
(0,19),-3.54327 # DEPENDENCYPART_ARC
(1,3),-0.957426 # DEPENDENCYPART_ARC
(1,4),-1.17416 # DEPENDENCYPART_ARC
(1,5),-1.2456 # DEPENDENCYPART_ARC
(2,1),1.76676 # DEPENDENCYPART_ARC
(3,1),-1.32368 # DEPENDENCYPART_ARC
(3,2),-0.475341 # DEPENDENCYPART_ARC
(3,4),-1.29828 # DEPENDENCYPART_ARC
(3,5),-1.51061 # DEPENDENCYPART_ARC
(3,6),-0.813699 # DEPENDENCYPART_ARC
(3,7),-1.03146 # DEPENDENCYPART_ARC
(3,8),-1.5763 # DEPENDENCYPART_ARC
(3,11),-1.58315 # DEPENDENCYPART_ARC
(3,12),-2.27498 # DEPENDENCYPART_ARC
(3,13),-1.14453 # DEPENDENCYPART_ARC
(3,14),-1.29647 # DEPENDENCYPART_ARC
(3,16),-1.83338 # DEPENDENCYPART_ARC
(3,19),-2.42223 # DEPENDENCYPART_ARC
(3,20),-1.46657 # DEPENDENCYPART_ARC
(4,1),-1.33507 # DEPENDENCYPART_ARC
(4,2),-1.58467 # DEPENDENCYPART_ARC
(4,3),-0.0995699 # DEPENDENCYPART_ARC
(4,5),-1.15607 # DEPENDENCYPART_ARC
(4,6),-1.45932 # DEPENDENCYPART_ARC
(4,7),-0.981274 # DEPENDENCYPART_ARC
(4,10),-1.79299 # DEPENDENCYPART_ARC
(4,19),-2.05532 # DEPENDENCYPART_ARC
(4,20),-1.33891 # DEPENDENCYPART_ARC
(5,1),-1.2404 # DEPENDENCYPART_ARC
(5,2),-2.01107 # DEPENDENCYPART_ARC
(5,3),-0.586069 # DEPENDENCYPART_ARC
(5,4),1.08585 # DEPENDENCYPART_ARC
(5,10),-1.95565 # DEPENDENCYPART_ARC
(5,19),-2.18639 # DEPENDENCYPART_ARC
(5,20),-1.46501 # DEPENDENCYPART_ARC
(6,1),-1.00187 # DEPENDENCYPART_ARC
(6,2),1.35271 # DEPENDENCYPART_ARC
(6,3),1.35216 # DEPENDENCYPART_ARC
(6,4),1.32807 # DEPENDENCYPART_ARC
(6,5),2.4117 # DEPENDENCYPART_ARC
(6,7),0.438469 # DEPENDENCYPART_ARC
(6,8),-0.255677 # DEPENDENCYPART_ARC
(6,9),-0.932401 # DEPENDENCYPART_ARC
(6,10),-1.61284 # DEPENDENCYPART_ARC
(6,11),-1.31603 # DEPENDENCYPART_ARC
(6,12),-1.33974 # DEPENDENCYPART_ARC
(6,13),-1.03782 # DEPENDENCYPART_ARC
(6,14),-0.230685 # DEPENDENCYPART_ARC
(6,16),-2.47924 # DEPENDENCYPART_ARC
(6,17),-2.13273 # DEPENDENCYPART_ARC
(6,18),-2.64687 # DEPENDENCYPART_ARC
(6,19),0.0331771 # DEPENDENCYPART_ARC
(6,20),-0.975502 # DEPENDENCYPART_ARC
(8,2),-1.94057 # DEPENDENCYPART_ARC
(8,3),-0.728122 # DEPENDENCYPART_ARC
(8,4),-1.38008 # DEPENDENCYPART_ARC
(8,5),-1.2874 # DEPENDENCYPART_ARC
(8,6),0.793966 # DEPENDENCYPART_ARC
