# _root_ Szakmai ártalom talán , hogy jobb híján statisztikát készítek róluk magamban , hátha kiderül az élet e mindennapi jelenetéből valami .
#goldHeads=2,5,5,5,0,7,9,9,5,9,9,9,14,9,16,19,19,19,14,14,5,
#predictedHeads=2,5,5,5,0,8,9,9,5,9,9,9,14,9,16,19,19,19,14,14,5,
(0,1),-3.18613 # DEPENDENCYPART_ARC
(0,2),-3.28822 # DEPENDENCYPART_ARC
(0,3),-3.54304 # DEPENDENCYPART_ARC
(0,5),-3.02545 # DEPENDENCYPART_ARC
(0,6),-3.86837 # DEPENDENCYPART_ARC
(0,7),-3.88049 # DEPENDENCYPART_ARC
(0,8),-4.56315 # DEPENDENCYPART_ARC
(0,9),-2.70048 # DEPENDENCYPART_ARC
(0,10),-4.10489 # DEPENDENCYPART_ARC
(0,13),-4.21187 # DEPENDENCYPART_ARC
(0,14),-3.32312 # DEPENDENCYPART_ARC
(0,17),-4.64698 # DEPENDENCYPART_ARC
(0,20),-4.82515 # DEPENDENCYPART_ARC
(1,3),-1.45615 # DEPENDENCYPART_ARC
(1,4),-1.02853 # DEPENDENCYPART_ARC
(1,5),-1.55377 # DEPENDENCYPART_ARC
(1,9),-1.54601 # DEPENDENCYPART_ARC
(1,14),-1.80874 # DEPENDENCYPART_ARC
(2,1),2.39221 # DEPENDENCYPART_ARC
(2,3),-1.27994 # DEPENDENCYPART_ARC
(2,4),-1.03212 # DEPENDENCYPART_ARC
(2,6),-1.72507 # DEPENDENCYPART_ARC
(2,7),-1.41553 # DEPENDENCYPART_ARC
(2,9),-1.6855 # DEPENDENCYPART_ARC
(3,1),-0.656777 # DEPENDENCYPART_ARC
(3,2),0.19657 # DEPENDENCYPART_ARC
(3,4),-0.76836 # DEPENDENCYPART_ARC
(3,5),-1.10633 # DEPENDENCYPART_ARC
(3,6),-1.20144 # DEPENDENCYPART_ARC
(3,7),-1.07215 # DEPENDENCYPART_ARC
(3,8),-1.68508 # DEPENDENCYPART_ARC
(3,9),-1.3457 # DEPENDENCYPART_ARC
(3,10),-1.4323 # DEPENDENCYPART_ARC
(3,12),-1.36094 # DEPENDENCYPART_ARC
(3,13),-1.44619 # DEPENDENCYPART_ARC
(3,14),-1.64755 # DEPENDENCYPART_ARC
(3,16),-2.43618 # DEPENDENCYPART_ARC
(3,19),-2.49849 # DEPENDENCYPART_ARC
(3,21),-2.07982 # DEPENDENCYPART_ARC
(5,1),-0.377514 # DEPENDENCYPART_ARC
(5,2),-0.189618 # DEPENDENCYPART_ARC
(5,3),-0.250874 # DEPENDENCYPART_ARC
(5,4),0.088231 # DEPENDENCYPART_ARC
(5,6),-1.21879 # DEPENDENCYPART_ARC
